בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under a Threat of Extinction: Three cheetah cubs were born in Iran	yes
חשוב לדעת שכיום ניתן לבצע את כל ההליכים לקבלת החזרי מס באופן דיגיטלי, קל ופשוט, בלי הבירוקרטיה שהרתיעה רבים בעבר״.	It's important to know that nowadays, all the procedures for obtaining tax refunds can be done digitally, easily and simply, without the bureaucracy that deterred many in the past."	no
שוק התעסוקה: פחות מועמדים למשרה, יותר שכר	The Job Market: Fewer candidates for a position, higher salary.	yes
דו"ח אולג'ובס לסיכום 2021: בראש הביקושים - משרות ללא ניסיון •	AllJobs report for 2021 summary: At the forefront of demand - positions without experience •	yes
היקף המשרות שהוצעו עלה ב-50% •	The volume of offered positions increased by 50% •	yes
"מחפשים עבודה, אך לא מסתערים על השוק"	Seeking employment, but not storming the market.	yes
בשנה שהסתיימה זה עתה חלה ירידה של 15% במספר קורות החיים שנשלחו, ועל כל תפקיד התמודדו בממוצע 23 מועמדים בלבד, לעומת 41 מועמדים בשנה הקודמת - כך עולה מדו"ח של אתר אולג'ובס לסיכום שנת 2021, על משבר הקורונה והשפעותיו על שוק העבודה בישראל.	In the just-concluded year, there has been a 15% decrease in the number of submitted resumes, and for each position, an average of only 23 candidates competed, compared to 41 candidates in the previous year - according to a report by the AllJobs website summarizing the year 2021, on the COVID-19 crisis and its impacts on the job market in Israel.	yes
לפי הדו"ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.	According to the report, job seekers were primarily interested in saturated job sectors such as administration and sales, to which a total of 1,738,485 resumes were sent.	yes
עם זאת, המשרות ללא ניסיון הובילו בראש הביקושים עם יותר מ-38 אלף חיפושים - כנראה בעקבות חזרה של צעירים חסרי ניסיון מקצועי לחיפוש אחר עבודה מיידית, בתום תשלומי החל"ת.	Nevertheless, entry-level positions led the demand with over 38,000 searches - likely due to a resurgence of inexperienced young individuals seeking immediate employment after completing their unpaid leave payments..	yes
מספר החיפושים למכירות ולאדמיניסטרציה היה 35 אלף ו-32 אלף (בהתאמה), לנהגים ולשליחים היו 11 אלף חיפושים, ולשמירה היו מעט פחות מ-9,000 חיפושים.	The number of searches for sales and administration positions was 35,000 and 32,000 (respectively), for drivers and couriers there were 11,000 searches, and for security positions there were slightly less than 9,000 searches.	yes
מאידך, למרות משבר הקורונה, השכר בשנת 2021 עלה ב-2% בהשוואה לשנת 2020, והשכר הממוצע בישראל עמד על 11,675 שקלים ברוטו.	On the other hand, despite the COVID-19 crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel stood at 11,675 shekels gross.	yes
השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.	The monthly salary in the software field averaged 17,915 shekels, and in information systems analysis, it stood at 17,140 shekels.	yes
עם זאת, בין המרכז לפריפריה היה קיים פער שכר של יותר מ-2,000 שקלים: במרכז הארץ הוא היה 12,500 שקלים בממוצע, לעומת 10,795 בצפון ו-10,135 שקלים בדרום.	However, there was a salary gap of over 2,000 shekels between the center and the periphery: In the central part of the country, it was 12,500 shekels on average, compared to 10,795 in the north and 10,135 shekels in the south.	no
מבחינה מגדרית, פער השכר הממוצע בין נשים לגברים, שאותו ניתן להסביר גם בסוג העבודה ובהיקפי השעות, נשמר ועמד על 36%.	In terms of gender, the average wage gap between women and men, which can also be explained by job type and working hours, remained at 36%.	no
גברים השתכרו 13,295 שקלים, לעומת שכר הנשים שעמד על 9,740 שקלים.	Men earned 13,295 shekels, compared to women's salary of 9,740 shekels.	no
מנסים לחזור לתלם	Trying to return to normalcy.	no
בצד של העסקים, נרשמה צמיחה רוחבית כמעט בכל ענפי המשק, והעסקים השתוקקו לידיים עובדות.	On the business side, there was a broad growth recorded in almost all sectors of the economy, and businesses were eager to have more and more employees..	no
כך, היצע המשרות עלה ב-50% ורשם שיא של יותר מ-40 אלף משרות באולג'ובס.	As a result, the job supply increased by 50% and reached a record high of over 40,000 positions on AllJobs.	no
סקר שערך האתר בקרב מעסיקים מצא כי 50% היו אופטימיים לגבי הסטטוס הכלכלי שלהם ב-2022, 30% מהם העידו על כוונתם להגדיל את סך הגיוסים אך 72% מבינים שיתקשו בכך השנה.	A survey conducted by the website among employers found that 50% were optimistic about their economic status in 2022, with 30% indicating their intention to increase their hiring, but 72% acknowledged that they would face challenges in doing so this year.	no
ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.	The largest supply was for positions without experience - there were over 58,000 such positions on the website.	no
אחריהן היו תפקידי שירות לקוחות ואדמיניסטרציה עם כ-44 אלף משרות בכל תחום, מכירות ותוכנה עם 41 אלף משרות כל אחת, הוראה וחינוך עם 24 אלף משרות פנויות, ומחסנאים עדיין מבוקשים ב-19 אלף משרות פנויות.	Following those were customer service and administration roles, each with around 44,000 positions, sales and software with 41,000 positions each, education and teaching with 24,000 vacancies, and warehouse roles still in demand with 19,000 vacant positions.	no
עינב בוימפלד, מנהלת המחקר והתוכן באולג'ובס: "מחפשי העבודה מנסים לחזור לתלם אך אינם מסתערים על השוק, בעיקר בשל היעדר משרות אטרקטיביות בעיניהם.	Einav Boimfeld, Director of Research and Content at AllJobs, said: 'Job seekers are trying to return to normalcy but are not storming the market, mainly due to the lack of attractive positions in their eyes.	no
כמו כן, הנתק הממושך ממעגל העבודה מקשה עליהם לחזור, וחלקם מצאו אופנים יצירתיים להתפרנס".	As well, the prolonged disconnection from the job market makes it difficult for them to return, and some have found creative ways to make a living”.	no
הלמ"ס: שיעור האבטלה בישראל עלה ל-6.3%	The Central Bureau of Statistics The unemployment rate in Israel rose to 6.3%.	yes
מנתוני סקר הלשכה עולה כי כ-270 אלף ישראלים נותרו מחוסרי עבודה בחודש דצמבר 2021 •	Data from the Central Bureau of Statistics survey shows that around 270,000 Israelis remained unemployed in December 2021.	yes
בנובמבר היו כ-262 אלף מובטלים	In November, there were around 262,000 unemployed individuals.	yes
אחוז המובטלים במחצית הראשונה של חודש דצמבר 2021 עמד על 6.3%, כ-270 אלף ישראלים, לעומת 6.1% במחצית השנייה של נובמבר 2021 (כ-262 אלף).	The unemployment rate in the first half of December 2021 stood at 6.3%, around 270,000 Israelis, compared to 6.1% in the second half of November 2021 (approximately 262,000).	yes
כך עולה מנתוני סקר כוח אדם למחצית הראשונה של חודש דצמבר 2021 של הלשכה המרכזית לסטטיסטיקה.	This is according to the data from the Central Bureau of Statistics' Labor Survey for the first half of December 2021.	yes
אחוז הבלתי מועסקים עמד על 4.5% במחצית הראשונה של דצמבר 2021 לעומת 4.3% במחצית השנייה של נובמבר 2021.	The unemployment rate stood at 4.5% in the first half of December 2021, compared to 4.3% in the second half of November 2021.	yes
במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.	In other words, this corresponds to 193,000 unemployed individuals compared to 180,300.	yes
לפי תכונות כוח העבודה במחצית הראשונה של דצמבר 2021 בקרב בני 15 ומעלה עולה כי אוכלוסיה זו כללה 6,607,500 תושבים בישראל, לא כולל מוסדות וגרים מחוץ לישובים.	According to labor characteristics in the first half of December 2021 among those aged 15 and above in Israel, this population included 6,607,500 residents, excluding institutions and residents outside settlements.	yes
מתוכם 64.4%, כלומר 4,252,700 הם בכוח העבודה והשאר המהווים 2,354,800 אינם בכוח העבודה.	Out of them, 64.4%, meaning 4,252,700, are in the labor force, while the rest, comprising 2,354,800, are not in the labor force.	yes
מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.	Of those in the labor force, 95.5%, amounting to 4,059,700, are employed, and the rest are unemployed.	yes
מאלה אשר אינם בכוח העבודה, 2.3% הפסיקו לעבוד בגלל פיטורים או סגירת העבודה ממרץ 2020.	Among those not in the labor force, 2.3% stopped working due to layoffs or job closures since March 2020.	no
סקר כוח אדם מספק מידע על כוח העבודה בישראל והוא נערך באופן שוטף על ידי הלשכה המרכזית לסטטיסטיקה.	The Labor Force Survey provides information about the labor force in Israel and is conducted regularly by the Central Bureau of Statistics.	no
במחצית הראשונה של חודש דצמבר 2021 רואיינו באופן שוטף כ-8,700 בני 15 ומעלה.	In the first half of December 2021, interviewed approximately 8,700 individuals aged 15 and above on an ongoing basis.	no
במחצית השנייה של חודש נובמבר 2021 רואיינו באופן שוטף כ-8,900 בני 15 ומעלה.	In the second half of December 2021, interviewed approximately 8,900 individuals aged 15 and above on an ongoing basis.	no
אוכלוסיית הסקר כוללת את התושבים הקבועים של מדינת ישראל, תיירים ותושבים ארעיים השוהים בישראל יותר משנה ברציפות.	The survey population includes permanent residents of the State of Israel, tourists, and temporary residents who have continuously resided in Israel for more than one year.	no
הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.	The survey enables tracking the development of the labor force, its size and characteristics, the unemployment rate, and more.	no
"לא מובן מאליו": סאבלימינל מקדש את השבת - ומתכונן לעצמאות	"Not taken for granted:" ‘Sabliminal’ is observing the Sabbath - and preparing for independence day.	yes
חוגג את העובדה ש"אנחנו יכולים לחיות כמו שבא לנו", מתרגש לקראת המפגש עם הקהל ומקפיד לבלות עם הילדים •	Celebrating the fact that 'we can live as we just want to,' excited for the upcoming meeting with the audience, and making sure to spend time with the children.	yes
סוף השבוע ויום העצמאות של קובי שמעוני, סאבלימינל	The weekend and Independence Day of Kobi Shimoni, ‘Subliminal’.	yes
איך נראה יום שישי טיפוסי שלך?	What does a typical Friday look like for you?	yes
"סופי השבוע הם הרגעים החשובים בחיים, מבחינתי.	“The weekends are the most significant moments in life, for me.	yes
הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.	The Kiddush and tradition are deeply rooted in my soul.	yes
ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).	My Fridays are dedicated to the children, Or (10) and Yonatan (8).	yes
אני אוסף אותם מבית הספר, אנחנו קונים פרחים ומצרכים לקידוש, אוכלים צהריים ועושים משהו כיפי ביחד, כמו לשחק כדורגל, לרכוב על סוסים או לשחק במכוניות על שלט.	I pick them up from school, we buy flowers and supplies for the Kiddush, have lunch together, and do something fun as a family, like playing soccer, riding horses, or playing with remote control cars.	yes
לפעמים הולכים לים, או אפילו סתם לרחוץ את הרכב, אבל תמיד עוצרים בדרך לקנות מתנה בחנות הצעצועים בשכונה - ותמיד יש תירוץ אחר.	Sometimes we go to the beach, or just wash the car, but we always stop by the way to buy a gift at the neighborhood toy store - and there's always another excuse.	yes
כשחוזרים הביתה עם שלל המתנות, ריחות הבישולים מקבלים את פנינו".	When we return home with all the gifts, the aromas of cooking welcome us”.	yes
איך נראית ארוחת שישי שלכם?	How does your Friday meal look?	no
"בורכתי בבשלניות סביבי.	"I am blessed the candles around me.	no
מהצד שלי יש מטבח פרסי־תוניסאי, מלא סלטים ואווירה של צחוקים, מוזיקה, שירה ושמחה.	On my side, there's a Persian-Tunisian kitchen, full of salads and an atmosphere of laughter, music, singing, and joy.	no
מהצד של אשתי אינס, שהיא גם בשלנית נהדרת, מגיעים המאכלים האוקראיניים, שהם עמוקים וחריפים, עם הרבה בשר.	On my wife's Iness side, who is also a wonderful cook, Ukrainian dishes come in, which are rich and spicy, with lots of meat.	no
כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.	When we arrive at my mother-in-law's, even from the building lobby, amazing aromas waft out from her apartment.	no
לרוב אני עושה את הקידוש, יחד עם הילדים, שמכירים אותו בעל פה.	Usually, I do the Kiddush, together with the kids, who know it by heart.	no
בסופו של דבר, הכיף שלי אחרי האוכל זה להתעלף על השטיח, ושהילדים קופצים עלי כאילו אני איזה מתנפח".	In the end, my fun after the meal is to lie down on the rug, and the kids jump on me as if I'm some kind of inflatable toy.	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have a special childhood memory from Friday evenings?	no
"כילד, הייתי מתעורר בשבת לצלילי מוזיקה ישראלית ברשת ג' ולמערכוני הגשש החיוור, שידענו בעל פה.	As a child, I would wake up on Saturdays to the sounds of Israeli music on Reshet Gimmel radio and the skits of Hagashash Ha-hiver, which we all knew about."	no
אבא שלי אהב טבע וטיילנו המון בארץ ישראל, בדרך כלל לצפון.	My dad loved nature, and we traveled a lot around Israel, mostly to the north.	no
כל פינה נידחת בארץ עשתה לו גאווה בלב.	Every corner in the country held a special place in his heart.	no
הוא נפטר לפני שלושה חודשים ממחלה קשה, ובשבילו קידוש ושבת היו קודש הקודשים, בעיקר מהבחינה שכל המשפחה צריכה להיות יחד.	He passed away three months ago after a severe illness, and for him, the Kiddush and Shabbat was the holiest of holies, especially in terms of bringing the whole family together.	no
לאחרונה הוצאתי שיר לזכרו בשם 'שומר עליך', שיצרתי עם אושר כהן.	Recently, I released a song in his memory called 'Watching Over You,' which I created together with Osher Cohen.	no
אני מאמין שהוא היה גאה ביצירה הזו, שמקדשת את הקשר בין אבא לבן".	I believe he would have been proud of this creation that sanctifies the bond between a father and a son”.	no
בקרוב נציין את יום העצמאות ה־74. כציוני נלהב, מה התחושות שלך לגבי החג?	Soon we will celebrate the 74th Independence Day. As an enthusiastic Zionist, what are your feelings about the holiday?	no
"יום העצמאות הוא יום קדוש בשבילי, וחלק מהמשמעות ומהזהות שלי.	"Independence Day is a sacred day for me, and it's part of the meaning and identity I hold.	no
בפרס ובתוניסיה הוריי נאלצו להסתיר את הזהות היהודית שלהם, ואילו אני יהודי־ישראלי שזוכה לחיות עם ילדיו במדינה שלנו.	In Persia and Tunisia, my parents were forced to hide their Jewish identity, whereas I am an Israeli Jew who is fortunate to live with my children in our own country.	no
שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.	Two weeks before Independence Day, I would already be climbing trees and attaching strings with Israeli flags to my house.	no
היום ימי העצמאות שלי מלאים בהופעות, ותמיד פוגשים קהל שמח בטירוף, שחוגג את זה שאנחנו יכולים לחיות כמו שבא לנו.	These days, my Independence Day is filled with performances, and I always meet an ecstatic crowd celebrating the fact that we can live the way we want.	no
צריך לשמור שגם לילדים, לנכדים ולנינים שלנו תהיה האפשרות הזו, ולזכור ששום דבר פה לא מובן מאליו".	We need to ensure that our children, grandchildren, and future generations will also have this opportunity, and to remember that nothing here is taken for granted.	no
שישי שלה: אסתי זקהיים מברכת את השבת	Her Friday: Esti Zackheim is blessing the Sabbath.	yes
"החלום שלי הוא לפתוח שולחן גדול ולהזמין את כל יקיריי המתים": ארוחת שישי שאסתי זקהיים חולמת עליה, ואיך היא מתמודדת עם העובדה שבעלה שומר שבת?	"My dream is to set up a big table and invite all my dear departed loved ones”: Esti Zackheim dreams of a Friday night meal and how she copes with the fact that her husband observes the Sabbath?	yes
ספרי על ההכנות שלך לשבת	Tell us about your preparations for the Sabbath.	yes
.	.	no
"ההכנות מתחילות כבר בחמישי בלילה, כשאני חוזרת מהצגה או מסדנה ומבשלת עד שלוש לפנות בוקר את כל מה שמצריך בישול ארוך כמו גולש, צלי ורטבים.	The preparations start already on Thursday night when I return from a show or workshop and cook until three in the morning everything that requires a long cooking process, like goulash, roasts, and sauces.	yes
בשישי, בחלק הראשון של היום, אני מקדישה את הזמן לעצמי, לפגישה עם חברות וחברים לקפה, להצגה או לסרט, או שאני משתתפת בחזרות.	On Friday, in the first part of the day, I dedicate time to myself, meet with friends for coffee, attend a show or a movie, or participate in rehearsals.	yes
בקיץ השבתות נכנסות מאוחר, ויש לי הרבה זמן לשבת בגינה השכונתית ולצפות בשקיעה או סתם בסדרה טובה.	During the summer, the Sabbaths come in later, and I have plenty of time to relax in the neighborhood garden and watch the sunset or simply enjoy a good TV series.	yes
בארוחת השבת אני לרוב מארחת את אמא שלי, ורדה, שחגגה 89, וגם חברים".	For the Sabbath meal, I usually host my mom, Varda, who is celebrating her 89th birthday, and also friends”.	yes
יכולה לשתף עוד בבישולים?	Can I share more about the cooking?	yes
"אני אוהבת קיצורי דרך.	"I love shortcuts.	yes
למשל, במקום לקלף 10 בצלים, לחתוך ולבכות, אני קונה שקית בצל קפוא ומטגנת אותו.	For example, instead of peeling and chopping 10 onions and shedding tears, I buy a bag of frozen chopped onions and fry them.	no
על שולחן השבת שלי אפשר למצוא מנות בשר, מנות טופו טבעוניות, תפוחי אדמה וכרובית בתנור.	On my Shabbat table, you can find meat dishes, vegan tofu dishes, oven-baked potatoes, and roasted cauliflower.	no
את רוב הבישולים אני מכינה, והם כמובן מתחממים על הפלטה בשבת.	I prepare most of the dishes, and they of course get warmed up on the hot plate on Shabbat.	no
אלחנדרו, בן זוגי, מכין מרק עוף, סלט ירקות ובחורף - את הצ'ולנט".	Alejandro, my partner, prepares chicken soup, vegetable salad, and in the winter - the Cholent”.	no
בעלך הוא אדם דתי ואת מבית חילוני.	Your husband is religious and you come from a secular background.	no
איך זה עובד?	How does it work?	no
"לגור עם שומר שבת זו התפשרות אינסופית.	Living with someone who observes the Sabbath is an endless compromise.	no
'ואהבת לרעך כמוך', הלכה למעשה.	'Love your neighbor as yourself’ in practice.	no
לטיולים משפחתיים הוא לא יכול לצאת, אז מצאתי את עצמי הרבה פעמים אורזת את הילדים ומצטרפת לטיולי משפחות של חברים.	He can't join family trips, so I often find myself packing the kids and joining friends' family outings.	no
בנוסף, אני גם הנהגת התורנית של הילדים, זו שמחזירה אותם בשישי בלילה ממסיבות וממפגשים.	In addition, I'm also the designated driver for the kids, the one who picks them up on Friday nights from parties and gatherings.	no
מצד שני, אני גם נהנית מיתרונות השבת שלו, כי בדרך כלל אני לא מופיעה בשבת ומקבלת מעין 'חופשה כפויה' - וטוב שכך".	On the other hand, I also enjoy the benefits of his Shabbat observance, because usually I don't appear on Shabbat and get a kind of 'forced vacation' - and that's a good thing.	no
את מי היית רוצה לארח בשבת?	Who would you like to host on Shabbat?	no
"הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.	"I would set a large table and invite 'my departed loved ones'.	no
לפעמים אני מדמיינת מה היה אילו אחי דניאל ז"ל היה בחיים, או אם אבא שלי, שניאור ז"ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).	Sometimes I imagine what it would be like if my late brother Daniel z”l were still alive, or if my father Shneior z”l could see my children: Uriel (23) and the twins Tamara and Naama (16 and a half).	no
בטח היינו רבים על כדורגל ופוליטיקה ומתמוגגים אלה מאלה".	"We probably would have had lively discussions about soccer and politics, and enjoy each other”.	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have a special childhood memory from Friday evenings?	no
"היינו משפחה חמה ומאוחדת.	“We were a warm and united family.	no
בשישי בצהריים אמא היתה מכינה ערימת שניצלים, מביאה מהשוק חומוס ופיתות ושורפת חצילים לסלט טחינה.	On Friday afternoons, my mom would prepare a stack of schnitzels, bring hummus and pita bread from the market, and roast eggplants for tahini salad.	no
אחר כך היינו נוסעים לדודה חנה ביד אליהו, או כמו שהיא היתה אומרת 'יד אליָיְקֶ'ה', והיא היתה מכינה בלינצ'סים.	Afterwards, we would go to Aunt Hannah in Yad Eliyahu, or as she used to say, 'Yad Alayke’, and she would prepare blintzes.	no
מכיוון שרק אני לא אהבתי צימוקים, היא היתה מכינה לי כמה ללא צימוקים.	Since I was the only one who didn't like raisins, she would prepare several portions for me without raisins.	no
היא ראתה אותי, הקטנה שבאחים, ודאגה לי.	She saw me, the youngest among the siblings, and took care of me.	no
בשבתות היינו עושים סיור עם אבא שלי בנמל יפו, והוא היה מראה לנו מאיפה הוא ואחיו התאום, גרישה, הגיעו לארץ בלי כלום".	On Saturdays, we used to take a tour with my father at the Jaffa Port, and he would show us where he and his twin brother, Grisha, arrived in the country with nothing”.	no
פיינליסטית "אקס פקטור" ענבל ביבי תשתתף במחזמר "הלהקה"	"X Factor" finalist Inbal Bibi will be participating in the musical "The Band"	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •	Bibi participated in the last season of "X Factor" and finished in third place	yes
היא תשחק בתפקיד נועה שאותו גילמה דפנה ארמוני	She will play the role of Noa, which was portrayed by Dafna Armoni	yes
פיינליסטית ״אקס פקטור״, ענבל ביבי, לוהקה למחזמר ״הלהקה״ שיעלה בתיאטרון הארצי ותשחק בתפקיד נועה.	"X Factor" finalist, Inbal Bibi, is cast in the musical "The Band" that will be staged at the National Theatre, playing the role of Noa.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי והמכובד.	Bibi participated in the last season of "X Factor" and finished in an honorable third place.	yes
כעת מתגלה שיש חיים אחרי הריאליטי והיא מצטרפת למחזמר ״הלהקה״.	Now it's revealed that there is life after reality TV, as she joins the musical "The Band".	yes
ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.	Bibi will play the role of Noa, which was portrayed by Dafna Armoni.	yes
ביבי תצטרף לעמית פרקש, נאיה בינשטוק, ים רפאלי, נופר סלמאן, שי המבר, אלישע בנאי ועוד.	Bibi will be joining Amit Farkash, Naia Binstock, Yam Rafaeli, Nofar Salman, Shay Hammber, Elisha Banai, and more.	yes
ג'ניפר לופז ובן אפלק התארסו	Jennifer Lopez and Ben Affleck got engaged.	no
כמעט שני עשורים אחרי סיפור האהבה שלהם שנגמר בפרידה, לופז ואפלק חוזרים זה לזרועות זו •	Nearly two decades after their love story ended in a breakup, Lopez and Affleck are reuniting and getting back together.	no
לופז נפרדה משחקן הבייסבול אלכס רודריגז באפריל 2021	Lopez parted ways with baseball player Alex Rodriguez in April 2021.	no
.	.	no
האחת שלו: כמעט שני עשורים אחרי סיפור האהבה הראשון שלהם שנגמר בפרידה ושנה לאחר הקאמבק המתוקשר, ג'ניפר לופז ובן אפלק סוגרים מעגל רומנטי ומאורסים.	The one and only for him: Nearly two decades after their initial love story ended in a breakup and a year after the publicized comeback, Jennifer Lopez and Ben Affleck are closing a romantic circle and engaged.	no
את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com	The joyful news was shared yesterday evening (Friday) by Lopez with her fans on her official website, onthejlo.com	no
.	.	no
הידיעה על האירוסין מגיעה לאחר שהשבוע תועדה לופז מסתובבת כשטבעת יהלום ענקית נראית בבירור על אצבע האירוסין שלה.	The news of the engagement comes after Lopez was spotted this week wearing a large diamond ring clearly visible on her engagement finger.	no
נציג מטעמה אישר למגזין פיפל כי אפלק ולופז אכן מאורסים.	A representative on her behalf confirmed to the magazine People that Affleck and Lopez are indeed engaged.	no
כזכור, בפעם הקודמת שאפלק (49) שלף טבעת והציע ללופז (52) להיות שלו לנצח זה היה בשנת 2002, ואז היה מדובר בטבעת מנקרת עיניים עם יהלום ורוד ענק של שישה קראט, בשווי מוערך של כ-2.5 מיליון דולר.	As previously mentioned, the last time Affleck (49) pulled out a ring and proposed to Lopez (52) was in 2002, and it was an eye-catching ring with a massive pink diamond of six carats, estimated to be worth around $2.5 million.	no
למרות מחוות האהבה הגרנדיוזית, השניים נפרדו בשנת 2004, כשהם מאשימים את התקשורת באובססיביות יתר ובחיטוט בלתי פוסק בחייהם.	Despite the grand gestures of love, the two parted ways in 2004, blaming the media's excessive obsession and relentless scrutiny in their lives.	no
מאז אפלק הספיק להינשא לשחקנית ג'ניפר גארנר, אם שלושת ילדיו, ואילו לופז, כידוע, היתה נשואה כבר 3 פעמים בעבר, כולל לזמר מארק אנתוני, שיחד הפכו הורים לתאומים.	Since then, Affleck went on to marry actress Jennifer Garner, with whom he has three children, and on the other hand, as is well known, Lopez has been married three times before, including to singer Marc Anthony, with whom they became parents to twins.	no
מערכת היחסים הרומנטית האחרונה של לופז היתה עם שחקן הבייסבול אלכס רודריגז, שממנו נפרדה באפריל 2021 לאחר מערכת יחסים בת ארבע שנים, כולל אירוסים של שנתיים.	Jennifer Lopez's most recent romantic relationship was with baseball player Alex Rodriguez, from whom she separated in April 2021 after a four-year relationship, including a two-year engagement.	no
הקרדשיאנס מדברות: "אי אפשר להמציא את מה שקורה לנו"	The Kardashians are speaking, "You can't make up what's happening to us"	yes
"הכאוס בלתי נגמר", מתעקשת אמא קריס ג'נר על הסדרה החדשה בכיכוב המשפחה הראשונה של הריאליטי, ומקבלת גיבוי מבנותיה ומהמפיק החדש •	"the chaos is never-ending", insists mom Kris Jenner about the new series starring the first family of reality, and she receives support from her daughters and the new producer •	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In an article to be published in the magazine "ShiShabat," they discuss the big money, the PR machinery, the branding factory and the change Kim wants to bring to the world: "I'm not the same person who used to spend hours thinking about which bikini selfie to post"	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It might surprise many, but the most sought-after brand in 2022 of the content empire Disney, which includes, among other things, Marvel and "Star Wars” movies, is the Kardashian family.	yes
פרטי החוזה של המשפחה הראשונה של הריאליטי ושל הרשתות החברתיות מול דיסני לא נחשפו, אבל ההערכות טוענות לסכום מינימלי של מאה מיליון דולר שהועבר לבנות המשפחה, שמעתה מתפקדות גם כמפיקות.	The details of the contract between the first family of reality TV and social media networks with Disney have not been disclosed, but estimates suggest a minimum sum of $100 million was transferred to the family's daughters, who now also function as producers.	yes
במפגש עיתונאי עם הכוכבות, כל אחת מהן מלווה בצוות ביוטי שלם שדואג לטאצ'-אפים של איפור, שיער וקמטוטים בבגדים ללא הפסקה, התעקשו בנות המשפחה, כמו גם המפיק החדש והמבוקש שלהן, שהפעם לא מדובר בריאליטי, הפעם מה שמתקבל על המסך אותנטי לחלוטין.	During a press event with the stars, each of them is accompanied by an entire beauty team that takes care of non-stop touch-ups for makeup, hair, and wardrobe adjustments, the family's daughters insisted, as did their sought-after new producer, that this time it's not about reality TV – what's being presented on the screen is completely authentic.	yes
"אי אפשר להמציא את מה שקורה לנו", אומרת בנחרצות האמא של המשפחה קריס ג'נר, "הכאוס בלתי נגמר".	"It's impossible to make up what's happening to us," the family matriarch Kris Jenner insists, "the chaos is never-ending".	yes
"אנחנו מראות כמה גדלנו מאז אותה סדרה שעלתה ב-2007", אומרת קלואי קרדשיאן.	"We're showing how much we've grown since that series premiered in 2007," says Khloe Kardashian.	yes
"כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.	"When we started, we were overwhelmed, a lot was happening in our lives, and it's impossible to condense everything into a simple beginning, middle, and end narrative," she says.	yes
הרבה עלילות זורזו בעריכה, נעטפו בסרט צבעוני מתקתק ונשכחו בצד.	“Many plots were rushed in editing, wrapped in a colorful glossy film, and forgotten on the sidelines.	yes
ככה לא נראים החיים במציאות.	That's not how life looks in reality.	no
עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית".	Now we're more exposed, facing the camera directly in a natural way, not just in a reality show but in an authentic documentary series”.	no
כשמעמתים אותן עם מעורבותן החדשה בהפקת הסדרה, מה שלמעשה נותן להן שליטה מוחלטת בתוכן שמתקבל על המסך, קלואי טוענת: "אנחנו מעורבות מאחורי הקלעים, רואות קטעים בזמן עריכה ונותנות הערות, אבל לא ממקום של מגננה אלא פשוט לתת את דעתנו לגבי מה יעשה את הסדרה לטובה יותר.	When facing them with their new involvement in the production of the series, which essentially gives them complete control over the content that appears on screen, Khloe claims, "We're involved behind the scenes, we see clips during editing and provide feedback, but not from a place of dictation, just giving our input on what will make the series better.	no
