בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under the threat of extinction: three cheetah cubs were born in Iran	yes
סיבות נוספות להחזרי מס הינן: החזר בגין תשלומי ביטוח חיים, ביטוח חיים על משכנתא ,החזר ישוב מזכה, החזר בגין הפסדים בניירות ערך ,אי רישום נקודות זיכוי לגבר בגין לידה וחלוקת החזרי מס לפי מקום גיאוגרפי.	Other reasons for tax refunds are: refund for life insurance payments, life insurance on a mortgage, refund for living in a settlement qualifying for refund, refund for losses in securities, failure to register credit points for a man due to a birth and tax refunds according to geographic location of residence.	no
- 94% מהאנשים שהפקידו לביטוח חיים אישי או בגין לקיחת משכנתא היו זכאים להחזר מס.	- 94% of the people who deposited installments for personal life insurance or for taking out a mortgage were entitled to a tax refund.	no
בבדיקה שנערכה על כל מיליון שקלים משכנתא ל-25 שנה, החזר המס המצטבר לתקופה הינו בגובה של מעל 20,000 שקלים לכל תקופת המשכנתא	In an inspection conducted on every million NIS of a 25-year mortgage, the cumulative tax refund for the period is over 20,000 NIS for the entire mortgage period	no
100% מהעוברים לישוב מזכה קיבלו החזר מס על שנת המעבר היות ואישור על תושבות בישוב מזכה ניתנת רק לאחר 12 חודשים מיום הפיכת התושב לתושב מזכה ובכך למעשה השנה הראשונה משולם מס מלא.	100% of those who move to a qualifying settlement received a tax refund for the year of the move since confirmation of residency in a qualifying settlement is given only after 12 months from the day the resident became a qualified resident, therefor effectively the first year full tax is paid.	no
79% מהלקוחות המחזיקים ניירות ערך היו זכאים להחזר מס השנים האמורות.	79% of the customers holding securities were entitled to a tax refund for the aforementioned years.	no
עם זאת, מי שמחזיק ניירות ערך חשוב שיבדוק כל שנה היות והפסדים לא מגולגלים משנה לשנה אלא רק דרך הגשת דוח.	However, it is important for those who hold securities to check every year since losses are not rolled over from year to year but only by submission of a report.	no
56% מהגברים שנולד להם ילד לא רושמים נקודות זיכוי בשנת הלידה בתלוש השכר.	56% of the men who had a child do not record credit points in the year of birth on the payslip.	no
שיעור ההחזר יכול להגיע לעשרות אלפי שקלים לאורך 6 שנים.	The refund can amount as high as tens of thousands of NIS over 6 years.	no
זו תופעה הקיימת בעיקר במגזר הערבי.	This phenomenon exists mainly in the Arab sector.	no
מנכ״ל tax:on, טל כרמון: "משבר הקורונה גרם לכך שציבור השכירים בישראל הפך להרבה יותר אקטיבי.	CEO of Tax:On, Tal Carmon: "The Corona Virus crisis has meant that the employed in Israel have become much more active.	no
הוא מתעניין, בודק ודורש את מה שמגיע לו בהחזרים ממס הכנסה.	They show interest, check and demand the refunds they deserve from the income tax.	no
מתברר שהישיבה בבית, בחל״ת או אחרי פיטורים, של מאות אלפי ישראלים במשך חודשים ארוכים, גרמה לשכירים רבים לבדוק לעומק מה מגיע להם מהמדינה.	It turns out that hundreds of thousands of Israelis sitting at home for many months, on an unpaid leave or after layoffs, caused many employees to inspect deeply at their rights and what they deserve from the state.	no
חשוב לדעת שכיום ניתן לבצע את כל ההליכים לקבלת החזרי מס באופן דיגיטלי, קל ופשוט, בלי הבירוקרטיה שהרתיעה רבים בעבר״.	It is important to know that today all procedures for receiving tax refunds can be carried out digitally, easily and simply, without the bureaucracy that deterred many in the past."	no
שוק התעסוקה: פחות מועמדים למשרה, יותר שכר	The job market: fewer job applicants, more pay	yes
דו"ח אולג'ובס לסיכום 2021: בראש הביקושים - משרות ללא ניסיון •	AllJobs 2021 summary report: the top of demand—jobs without experience •	yes
היקף המשרות שהוצעו עלה ב-50% •	The scope of jobs offered increased by 50% •	yes
"מחפשים עבודה, אך לא מסתערים על השוק"	"Looking for a job, but not storming the market"	yes
בשנה שהסתיימה זה עתה חלה ירידה של 15% במספר קורות החיים שנשלחו, ועל כל תפקיד התמודדו בממוצע 23 מועמדים בלבד, לעומת 41 מועמדים בשנה הקודמת - כך עולה מדו"ח של אתר אולג'ובס לסיכום שנת 2021, על משבר הקורונה והשפעותיו על שוק העבודה בישראל.	During the year just ended, there was a 15% decrease in the number of resumes sent, and for each position only 23 candidates competed on average, compared to 41 candidates on the previous year—according to a report by AllJobs website summarizing the year 2021, on the Corona Virus crisis and its effects on the labor market in Israel.	yes
לפי הדו"ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.	According to the report, the job seekers were mainly interested in areas saturated with jobs such as administration and sales, for which 1,738,485 CVs were sent.	yes
עם זאת, המשרות ללא ניסיון הובילו בראש הביקושים עם יותר מ-38 אלף חיפושים - כנראה בעקבות חזרה של צעירים חסרי ניסיון מקצועי לחיפוש אחר עבודה מיידית, בתום תשלומי החל"ת.	However, the jobs without experience led the demand with more than 38 thousand searches—probably due to the come back of young people with no professional experience looking for immediate work, at the end of the unpaid leave payments.	yes
מספר החיפושים למכירות ולאדמיניסטרציה היה 35 אלף ו-32 אלף (בהתאמה), לנהגים ולשליחים היו 11 אלף חיפושים, ולשמירה היו מעט פחות מ-9,000 חיפושים.	The number of searches for sales and administration was 35,000 and 32,000 (respectively), drivers and couriers had 11,000 searches, and guarding jobs had just under 9,000 searches.	yes
מאידך, למרות משבר הקורונה, השכר בשנת 2021 עלה ב-2% בהשוואה לשנת 2020, והשכר הממוצע בישראל עמד על 11,675 שקלים ברוטו.	On the other hand, despite the Corona Virus crisis, wages in 2021 increased by 2% compared to 2020, and the average gross salary in Israel was 11,675 NIS.	yes
השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.	The average monthly salary in the software field was 17,915 NIS, and in information systems analysis it was 17,140 NIS.	yes
עם זאת, בין המרכז לפריפריה היה קיים פער שכר של יותר מ-2,000 שקלים: במרכז הארץ הוא היה 12,500 שקלים בממוצע, לעומת 10,795 בצפון ו-10,135 שקלים בדרום.	However, between the center and the periphery there was a salary gap of more than 2,000 NIS: in the center of the country it was 12,500 NIS on average, compared to 10,795 NIS in the north and 10,135 NIS in the south.	no
מבחינה מגדרית, פער השכר הממוצע בין נשים לגברים, שאותו ניתן להסביר גם בסוג העבודה ובהיקפי השעות, נשמר ועמד על 36%.	From a gender perspective, the average wage gap between women and men, which can also be explained by the type of work and the number of hours, remained at 36%.	no
גברים השתכרו 13,295 שקלים, לעומת שכר הנשים שעמד על 9,740 שקלים.	Men earned 13,295 NIS, compared to women’s wages of 9,740 NIS.	no
מנסים לחזור לתלם	Trying to get back on track	no
בצד של העסקים, נרשמה צמיחה רוחבית כמעט בכל ענפי המשק, והעסקים השתוקקו לידיים עובדות.	As for the business aspect, horizontal growth was recorded in almost all branches of the economy, and businesses craved for working hands.	no
כך, היצע המשרות עלה ב-50% ורשם שיא של יותר מ-40 אלף משרות באולג'ובס.	Thus, the offer of jobs increased by 50% and recorded a record of more than 40 thousand jobs in AllJobs.	no
סקר שערך האתר בקרב מעסיקים מצא כי 50% היו אופטימיים לגבי הסטטוס הכלכלי שלהם ב-2022, 30% מהם העידו על כוונתם להגדיל את סך הגיוסים אך 72% מבינים שיתקשו בכך השנה.	A survey conducted by the site among employers revealed that 50% were optimistic about their economic status in 2022, 30% of them testified that they intend to increase the total number of hires, but 72% understand that they will have difficulty doing so this year.	no
ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.	The largest offer was for jobs without experience—more than 58 thousand of them were on the site.	no
אחריהן היו תפקידי שירות לקוחות ואדמיניסטרציה עם כ-44 אלף משרות בכל תחום, מכירות ותוכנה עם 41 אלף משרות כל אחת, הוראה וחינוך עם 24 אלף משרות פנויות, ומחסנאים עדיין מבוקשים ב-19 אלף משרות פנויות.	the amount of customer service and administration positions followed with approximately 44,000 jobs in each field, sales and software with 41,000 jobs each, teaching and education with 24,000 vacancies, and warehouse workers still in demand with 19,000 vacancies.	no
עינב בוימפלד, מנהלת המחקר והתוכן באולג'ובס: "מחפשי העבודה מנסים לחזור לתלם אך אינם מסתערים על השוק, בעיקר בשל היעדר משרות אטרקטיביות בעיניהם.	Einav Boimfeld, director of research and content at AllJobs: "The job seekers are trying to get back on track but are not storming the market, mainly due to the lack of jobs that they find as attractive to them.	no
כמו כן, הנתק הממושך ממעגל העבודה מקשה עליהם לחזור, וחלקם מצאו אופנים יצירתיים להתפרנס".	Also, the prolonged disconnection from the work circle makes it difficult for them to come back, and some have found creative ways to make a living".	no
הלמ"ס: שיעור האבטלה בישראל עלה ל-6.3%	CBS: The unemployment rate in Israel rose to 6.3%	yes
מנתוני סקר הלשכה עולה כי כ-270 אלף ישראלים נותרו מחוסרי עבודה בחודש דצמבר 2021 •	According to the Bureau’s survey data, approximately 270,000 Israelis remained unemployed in December 2021 •	yes
בנובמבר היו כ-262 אלף מובטלים	In November there were about 262,000 unemployed	yes
אחוז המובטלים במחצית הראשונה של חודש דצמבר 2021 עמד על 6.3%, כ-270 אלף ישראלים, לעומת 6.1% במחצית השנייה של נובמבר 2021 (כ-262 אלף).	The percentage of unemployed in the first half of December 2021 was 6.3%, about 270,000 Israelis, compared to 6.1% in the second half of November 2021 (about 262,000).	yes
כך עולה מנתוני סקר כוח אדם למחצית הראשונה של חודש דצמבר 2021 של הלשכה המרכזית לסטטיסטיקה.	This is according to the human resources survey data for the first half of December 2021 of the Central Bureau of Statistics.	yes
אחוז הבלתי מועסקים עמד על 4.5% במחצית הראשונה של דצמבר 2021 לעומת 4.3% במחצית השנייה של נובמבר 2021.	The percentage of the unemployed was 4.5% in the first half of December 2021 compared to 4.3% in the second half of November 2021.	yes
במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.	In other words, 193,000 unemployed in comparison to 180,300.	yes
לפי תכונות כוח העבודה במחצית הראשונה של דצמבר 2021 בקרב בני 15 ומעלה עולה כי אוכלוסיה זו כללה 6,607,500 תושבים בישראל, לא כולל מוסדות וגרים מחוץ לישובים.	According to the characteristics of the workforce in the first half of December 2021 among those aged 15 and over, it appears that this population consists of 6,607,500 Israeli residents, excluding institutions and those living out of the settlements.	yes
מתוכם 64.4%, כלומר 4,252,700 הם בכוח העבודה והשאר המהווים 2,354,800 אינם בכוח העבודה.	Out of which, 64.4%, i.e. 4,252,700 are in the labor force and the rest, which is 2,354,800, are not in the labor force.	yes
מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.	Of the labor force, 95.5%, which is 4,059,700, are employed and the rest are unemployed.	yes
מאלה אשר אינם בכוח העבודה, 2.3% הפסיקו לעבוד בגלל פיטורים או סגירת העבודה ממרץ 2020.	Of those not in the labor force, 2.3% stopped working due to layoffs or job closures as of March 2020.	no
סקר כוח אדם מספק מידע על כוח העבודה בישראל והוא נערך באופן שוטף על ידי הלשכה המרכזית לסטטיסטיקה.	A labor force survey provides information on the labor force in Israel and is conducted regularly by the Central Bureau of Statistics.	no
במחצית הראשונה של חודש דצמבר 2021 רואיינו באופן שוטף כ-8,700 בני 15 ומעלה.	At the first half of December 2021, approximately 8,700 people aged 15 and over were interviewed on an ongoing basis.	no
במחצית השנייה של חודש נובמבר 2021 רואיינו באופן שוטף כ-8,900 בני 15 ומעלה.	At the second half of November 2021, approximately 8,900 people aged 15 and over were interviewed on an ongoing basis.	no
אוכלוסיית הסקר כוללת את התושבים הקבועים של מדינת ישראל, תיירים ותושבים ארעיים השוהים בישראל יותר משנה ברציפות.	The survey population includes the permanent residents of the State of Israel, tourists and temporary residents who have been staying in Israel for more than a year continuously.	no
הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.	The survey enables monitoring the development of the labor force, its size and characteristics, the extent of unemployment and more.	no
"לא מובן מאליו": סאבלימינל מקדש את השבת - ומתכונן לעצמאות	"Not obvious": Subliminal sanctifies the Sabbath—and prepares for Independence Day	yes
חוגג את העובדה ש"אנחנו יכולים לחיות כמו שבא לנו", מתרגש לקראת המפגש עם הקהל ומקפיד לבלות עם הילדים •	Celebrates the fact that "we can live the way we want", gets excited about meeting the audience and makes sure to spend time with the children •	yes
סוף השבוע ויום העצמאות של קובי שמעוני, סאבלימינל	The weekend and Independence Day of Kobi Shimoni, Subliminal	yes
איך נראה יום שישי טיפוסי שלך?	What does your typical Friday look like?	yes
"סופי השבוע הם הרגעים החשובים בחיים, מבחינתי.	"Weekends are the most important moments in life, as far as I’m concerned.	yes
הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.	Saturday’s sanctification and tradition are deeply rooted in my soul.	yes
ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).	My Fridays are dedicated to the children, Orr (10) and Jonathan (8).	yes
אני אוסף אותם מבית הספר, אנחנו קונים פרחים ומצרכים לקידוש, אוכלים צהריים ועושים משהו כיפי ביחד, כמו לשחק כדורגל, לרכוב על סוסים או לשחק במכוניות על שלט.	I pick them up from school, we buy flowers and groceries for Saturday’s sanctification, have lunch and do something fun together, like play soccer, ride horses or play with toy motor cars.	yes
לפעמים הולכים לים, או אפילו סתם לרחוץ את הרכב, אבל תמיד עוצרים בדרך לקנות מתנה בחנות הצעצועים בשכונה - ותמיד יש תירוץ אחר.	Sometimes we go to the beach, or even just to wash the car, but we always stop on the way to buy a gift at the toy store in the neighborhood—and there is always different excuse for it.	yes
כשחוזרים הביתה עם שלל המתנות, ריחות הבישולים מקבלים את פנינו".	When we return home with the multitude of gifts, the smells of cooking greet us".	yes
איך נראית ארוחת שישי שלכם?	How does your Friday’s dinner look like?	no
"בורכתי בבשלניות סביבי.	"I was blessed since I am surrounded by cooking women.	no
מהצד שלי יש מטבח פרסי־תוניסאי, מלא סלטים ואווירה של צחוקים, מוזיקה, שירה ושמחה.	On my side of the family there is a Persian-Tunisian cuisine, lots of salads and an ambience of laughter, music, singing and joy.	no
מהצד של אשתי אינס, שהיא גם בשלנית נהדרת, מגיעים המאכלים האוקראיניים, שהם עמוקים וחריפים, עם הרבה בשר.	on my wife’s side, who is also a great cook, are the Ukrainian dishes, which are profound and spicy, with a lot of meat.	no
כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.	When we arrive at my mother-in-law’s, from the lobby of the building, you can already smell the amazing aromas coming from her apartment.	no
לרוב אני עושה את הקידוש, יחד עם הילדים, שמכירים אותו בעל פה.	I usually do the Saturday’s sanctification, together with the children, who know it by heart.	no
בסופו של דבר, הכיף שלי אחרי האוכל זה להתעלף על השטיח, ושהילדים קופצים עלי כאילו אני איזה מתנפח".	In the end, my fun after eating is passing out on the carpet, and having the kids jump on me like I’m some kind of an inflatable".	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have a special childhood memory from the weekends?	no
"כילד, הייתי מתעורר בשבת לצלילי מוזיקה ישראלית ברשת ג' ולמערכוני הגשש החיוור, שידענו בעל פה.	"As a child, I would wake up on Shabbat to the sounds of Israeli music on Channel C and the skits of ‘Hagashash Hakhiver’, which we knew by heart.	no
אבא שלי אהב טבע וטיילנו המון בארץ ישראל, בדרך כלל לצפון.	My father loved nature and we traveled a lot in Israel, mostly to the north part of the country.	no
כל פינה נידחת בארץ עשתה לו גאווה בלב.	Every remote location of the country made his heart proud.	no
הוא נפטר לפני שלושה חודשים ממחלה קשה, ובשבילו קידוש ושבת היו קודש הקודשים, בעיקר מהבחינה שכל המשפחה צריכה להיות יחד.	He died three months ago from a serious illness, and for him Saturday’s sanctification and Shabbat were the holiest of holies, especially believing that the whole family should come together.	no
לאחרונה הוצאתי שיר לזכרו בשם 'שומר עליך', שיצרתי עם אושר כהן.	I recently released a song in his memory called 'Shomer Alecha', which I created with Osher Cohen.	no
אני מאמין שהוא היה גאה ביצירה הזו, שמקדשת את הקשר בין אבא לבן".	I believe he would have been proud of this creation, which sanctifies the bond between father and son".	no
בקרוב נציין את יום העצמאות ה־74. כציוני נלהב, מה התחושות שלך לגבי החג?	Soon we will celebrate Israel’s 74th Independence Day. As an avid Zionist, what are your feelings about the holiday?	no
"יום העצמאות הוא יום קדוש בשבילי, וחלק מהמשמעות ומהזהות שלי.	"Independence Day is a sacred day for me, and part of my meaning and identity.	no
בפרס ובתוניסיה הוריי נאלצו להסתיר את הזהות היהודית שלהם, ואילו אני יהודי־ישראלי שזוכה לחיות עם ילדיו במדינה שלנו.	In Persia and Tunisia my parents had to hide their Jewish identity, while I am an Israeli Jew who is privileged to live with his children in our country.	no
שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.	A week or two before Independence Day I already climbed trees and attached strings with Israeli flags to the house.	no
היום ימי העצמאות שלי מלאים בהופעות, ותמיד פוגשים קהל שמח בטירוף, שחוגג את זה שאנחנו יכולים לחיות כמו שבא לנו.	Today, my days of independence are packed with shows and performances, and I always meet an insanely happy crowd, celebrating the fact that we can live as we please.	no
צריך לשמור שגם לילדים, לנכדים ולנינים שלנו תהיה האפשרות הזו, ולזכור ששום דבר פה לא מובן מאליו".	We need to ensure that our children, grandchildren and great-grandchildren also have this option, and remember that nothing here is taken for granted".	no
שישי שלה: אסתי זקהיים מברכת את השבת	Her Friday: Esti Zakheim blesses the Shabbat	yes
"החלום שלי הוא לפתוח שולחן גדול ולהזמין את כל יקיריי המתים": ארוחת שישי שאסתי זקהיים חולמת עליה, ואיך היא מתמודדת עם העובדה שבעלה שומר שבת?	"My dream is to open a big table and invite all my dead loved ones": the Friday dinner Esti Zakheim dreams of, and how does she deal with the fact that her husband observes the Shabbat?	yes
ספרי על ההכנות שלך לשבת	Tell me about your preparations for the Shabbat	yes
.	.	no
"ההכנות מתחילות כבר בחמישי בלילה, כשאני חוזרת מהצגה או מסדנה ומבשלת עד שלוש לפנות בוקר את כל מה שמצריך בישול ארוך כמו גולש, צלי ורטבים.	"Preparations start already on Thursday night, when I return from a show or a workshop and cook until three in the morning everything that requires long cooking such as goulash, roasts and sauces.	yes
בשישי, בחלק הראשון של היום, אני מקדישה את הזמן לעצמי, לפגישה עם חברות וחברים לקפה, להצגה או לסרט, או שאני משתתפת בחזרות.	On Friday, on the first part of the day, I dedicate the time to myself, meeting friends for coffee, a play or a movie, or I attend rehearsals.	yes
בקיץ השבתות נכנסות מאוחר, ויש לי הרבה זמן לשבת בגינה השכונתית ולצפות בשקיעה או סתם בסדרה טובה.	In the summer, Saturdays start late, and I have a lot of time to sit in the neighborhood garden and watch the sunset or just watch a good series.	yes
בארוחת השבת אני לרוב מארחת את אמא שלי, ורדה, שחגגה 89, וגם חברים".	At Shabbat dinner, I usually host my mother, Varda, who just celebrated her 89th birthday, and also friends".	yes
יכולה לשתף עוד בבישולים?	Can you share more about the cooking?	yes
"אני אוהבת קיצורי דרך.	"I like shortcuts.	yes
למשל, במקום לקלף 10 בצלים, לחתוך ולבכות, אני קונה שקית בצל קפוא ומטגנת אותו.	For example, instead of peeling 10 onions, cutting them and crying, I buy a bag of frozen onions and fry them.	no
על שולחן השבת שלי אפשר למצוא מנות בשר, מנות טופו טבעוניות, תפוחי אדמה וכרובית בתנור.	On my Shabbat table you will have meat dishes, vegan tofu dishes, potatoes and cauliflower in the oven.	no
את רוב הבישולים אני מכינה, והם כמובן מתחממים על הפלטה בשבת.	I prepare most of the dishes, and of course they heat up on the stove on Shabbat.	no
אלחנדרו, בן זוגי, מכין מרק עוף, סלט ירקות ובחורף - את הצ'ולנט".	Alejandro, my partner, prepares chicken soup, vegetable salad and in the winter—the cholent".	no
בעלך הוא אדם דתי ואת מבית חילוני.	Your husband is a religious person and you come from a secular home.	no
איך זה עובד?	How does It work?	no
"לגור עם שומר שבת זו התפשרות אינסופית.	"Living with a Shabbat observant is an endless compromise.	no
'ואהבת לרעך כמוך', הלכה למעשה.	'Love thy neighbor as thyself', practically.	no
לטיולים משפחתיים הוא לא יכול לצאת, אז מצאתי את עצמי הרבה פעמים אורזת את הילדים ומצטרפת לטיולי משפחות של חברים.	He can’t go on family trips, so I often packed up the kids and joined friends’ family trips.	no
בנוסף, אני גם הנהגת התורנית של הילדים, זו שמחזירה אותם בשישי בלילה ממסיבות וממפגשים.	In addition, I am also the driver on duty for the children, the one who brings them back on Friday night from parties and gatherings.	no
מצד שני, אני גם נהנית מיתרונות השבת שלו, כי בדרך כלל אני לא מופיעה בשבת ומקבלת מעין 'חופשה כפויה' - וטוב שכך".	On the other hand, I also enjoy the benefits of his Shabbat, because usually I don’t perform on Shabbat and get a sort of 'forced vacation'—and that’s a good thing".	no
את מי היית רוצה לארח בשבת?	Who would you like to invite for the Shabbat?	no
"הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.	"I would set a big table and invite 'my dearly departed'.	no
לפעמים אני מדמיינת מה היה אילו אחי דניאל ז"ל היה בחיים, או אם אבא שלי, שניאור ז"ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).	Sometimes I imagine what would have happened if my brother, Daniel, God rest his soul, was alive, or if my father, the late Shneor, had seen my children: Uriel (23) and the twins, Tamara and Naama (16.5).	no
בטח היינו רבים על כדורגל ופוליטיקה ומתמוגגים אלה מאלה".	We would have probably argue about football and politics and be happy with each other".	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have a special childhood memory from the weekends?	no
"היינו משפחה חמה ומאוחדת.	"We were a warm and close family.	no
בשישי בצהריים אמא היתה מכינה ערימת שניצלים, מביאה מהשוק חומוס ופיתות ושורפת חצילים לסלט טחינה.	On Friday noon, my mother prepared a pile of schnitzels, bring hummus and pitas from the market and burn eggplants for a tahini salad.	no
אחר כך היינו נוסעים לדודה חנה ביד אליהו, או כמו שהיא היתה אומרת 'יד אליָיְקֶ'ה', והיא היתה מכינה בלינצ'סים.	Then we would go to Aunt Hana’s in Yad Eliyahu, or as she used to say, 'Yad Alyike', and she used to prepare blintzes.	no
מכיוון שרק אני לא אהבתי צימוקים, היא היתה מכינה לי כמה ללא צימוקים.	Since I was the only one who didn’t like raisins, she made me some without raisins.	no
היא ראתה אותי, הקטנה שבאחים, ודאגה לי.	She saw me, the youngest of the siblings, and took care of me.	no
בשבתות היינו עושים סיור עם אבא שלי בנמל יפו, והוא היה מראה לנו מאיפה הוא ואחיו התאום, גרישה, הגיעו לארץ בלי כלום".	On Saturdays we would take a tour with my father in the port of Jaffa, and he would show us the place that he and his twin brother, Grisha, arrived to Israel without a thing".	no
פיינליסטית "אקס פקטור" ענבל ביבי תשתתף במחזמר "הלהקה"	"X Factor" finalist, Inbal Bibi, will participate in the musical "The Band"	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •	Bibi participated in the last season of ״X Factor״ and finished in third place •	yes
היא תשחק בתפקיד נועה שאותו גילמה דפנה ארמוני	She will play the role of Noa, played by Dafna Armoni	yes
פיינליסטית ״אקס פקטור״, ענבל ביבי, לוהקה למחזמר ״הלהקה״ שיעלה בתיאטרון הארצי ותשחק בתפקיד נועה.	״X Factor״ finalist, Inbal Bibi, was casted in the musical ״The Band״ that will be played at the National Theater and she will play the role of Noa.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי והמכובד.	Bibi participated in the last season of ״X Factor״ and finished third place.	yes
כעת מתגלה שיש חיים אחרי הריאליטי והיא מצטרפת למחזמר ״הלהקה״.	Now it turns out that there is life after the reality show and she joins the musical ״The Band״.	yes
ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.	Ms. Bibi will play the role of Noa, played by Dafna Armoni	yes
ביבי תצטרף לעמית פרקש, נאיה בינשטוק, ים רפאלי, נופר סלמאן, שי המבר, אלישע בנאי ועוד.	Bibi will join Amit Farkash, Naya Binstock, Yam Rafaeli, Nofar Salman, Shai Hamber, Elisha Banai and more.	yes
ג'ניפר לופז ובן אפלק התארסו	Jennifer Lopez and Ben Affleck got engaged	no
כמעט שני עשורים אחרי סיפור האהבה שלהם שנגמר בפרידה, לופז ואפלק חוזרים זה לזרועות זו •	Almost two decades after their love story that ended in separation, Lopez and Affleck return to each other’s arms •	no
לופז נפרדה משחקן הבייסבול אלכס רודריגז באפריל 2021	Lopez split up from baseball player, Alex Rodriguez, in April 2021	no
.	.	no
האחת שלו: כמעט שני עשורים אחרי סיפור האהבה הראשון שלהם שנגמר בפרידה ושנה לאחר הקאמבק המתוקשר, ג'ניפר לופז ובן אפלק סוגרים מעגל רומנטי ומאורסים.	His one and only: almost two decades after their first love story that ended in separation and a year after the publicized comeback, Jennifer Lopez and Ben Affleck are closing a romantic circle and are engaged.	no
את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com	Lopez shared the happy news with her fans yesterday evening (Friday) on her official website onthejlo.com	no
.	.	no
הידיעה על האירוסין מגיעה לאחר שהשבוע תועדה לופז מסתובבת כשטבעת יהלום ענקית נראית בבירור על אצבע האירוסין שלה.	News of the engagement came after Lopez was spotted this week walking around with a huge diamond ring clearly visible on her engagement finger.	no
נציג מטעמה אישר למגזין פיפל כי אפלק ולופז אכן מאורסים.	A representative confirmed to People magazine that Affleck and Lopez are indeed engaged.	no
כזכור, בפעם הקודמת שאפלק (49) שלף טבעת והציע ללופז (52) להיות שלו לנצח זה היה בשנת 2002, ואז היה מדובר בטבעת מנקרת עיניים עם יהלום ורוד ענק של שישה קראט, בשווי מוערך של כ-2.5 מיליון דולר.	Remember, the last time Affleck (49) pulled out a ring and proposed to Lopez (52) to be his forever it was in 2002, and then it was an eye-popping ring with a huge pink diamond of six carats, with an estimated value of about 2.5 million dollars.	no
למרות מחוות האהבה הגרנדיוזית, השניים נפרדו בשנת 2004, כשהם מאשימים את התקשורת באובססיביות יתר ובחיטוט בלתי פוסק בחייהם.	Despite the grandiose gesture of love, the two separated in 2004, accusing the media of excessive obsession and incessant prying into their lives.	no
מאז אפלק הספיק להינשא לשחקנית ג'ניפר גארנר, אם שלושת ילדיו, ואילו לופז, כידוע, היתה נשואה כבר 3 פעמים בעבר, כולל לזמר מארק אנתוני, שיחד הפכו הורים לתאומים.	Since then, Affleck managed to marry actress Jennifer Garner, the mother of his three children, while Lopez, as we know, has already been married 3 times in the past, including to singer Marc Anthony, who together became parents to twins.	no
מערכת היחסים הרומנטית האחרונה של לופז היתה עם שחקן הבייסבול אלכס רודריגז, שממנו נפרדה באפריל 2021 לאחר מערכת יחסים בת ארבע שנים, כולל אירוסים של שנתיים.	Lopez’s last romantic relationship was with baseball player, Alex Rodriguez, from whom she split in April 2021 after a four-year relationship, including a two-year engagement.	no
הקרדשיאנס מדברות: "אי אפשר להמציא את מה שקורה לנו"	The Kardashians speak: "You can’t make up what’s happening to us"	yes
"הכאוס בלתי נגמר", מתעקשת אמא קריס ג'נר על הסדרה החדשה בכיכוב המשפחה הראשונה של הריאליטי, ומקבלת גיבוי מבנותיה ומהמפיק החדש •	"The chaos never ends", mother Kris Jenner insists on the new series starring the first family of reality shows, and receives backing from her daughters and the new producer •	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In the article that will be published in "Shishabat" magazine, they talk about big money, the PR mill, the brand factory and the change that Kim wants to make in the world: "I’m no longer the same one spending hours on end thinking of the bikini selfie I should post"	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It may surprise many, but the most in-demand brand in 2022 for the Disney content empire, including Marvel movies and "Star Wars", is the Kardashian family.	yes
