בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three bridal puppies born in Iran	yes
עם זאת, המשרות ללא ניסיון הובילו בראש הביקושים עם יותר מ-38 אלף חיפושים - כנראה בעקבות חזרה של צעירים חסרי ניסיון מקצועי לחיפוש אחר עבודה מיידית, בתום תשלומי החל"ת.	However, inexperienced jobs led the search with over 38,000 searches - presumably as a result of inexperienced young people returning to look for immediate work at the end of their internships.	yes
מספר החיפושים למכירות ולאדמיניסטרציה היה 35 אלף ו-32 אלף (בהתאמה), לנהגים ולשליחים היו 11 אלף חיפושים, ולשמירה היו מעט פחות מ-9,000 חיפושים.	The number of searches for sales and administration was 35,000 and 32,000 (respectively), drivers and couriers had 11,000 searches, and security had just under 9,000.	yes
מאידך, למרות משבר הקורונה, השכר בשנת 2021 עלה ב-2% בהשוואה לשנת 2020, והשכר הממוצע בישראל עמד על 11,675 שקלים ברוטו.	On the other hand, despite the corona crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel stood at NIS 11,675 gross.	yes
השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.	The average monthly salary in software was $44,900, and in information systems analysis it was $1,700.	yes
עם זאת, בין המרכז לפריפריה היה קיים פער שכר של יותר מ-2,000 שקלים: במרכז הארץ הוא היה 12,500 שקלים בממוצע, לעומת 10,795 בצפון ו-10,135 שקלים בדרום.	However, between the center and the periphery there was a wage gap of more than NIS 2,000: in the center of the country it was NIS 12,500 on average, compared to NIS 10,795 in the north and NIS 10,135 in the south.	no
מבחינה מגדרית, פער השכר הממוצע בין נשים לגברים, שאותו ניתן להסביר גם בסוג העבודה ובהיקפי השעות, נשמר ועמד על 36%.	Gender-wise, the average pay gap between women and men, which can also be explained by the type of work and the duration of the hours, remained at 36%.	no
גברים השתכרו 13,295 שקלים, לעומת שכר הנשים שעמד על 9,740 שקלים.	Men were paid NIS 13,295, compared with the women's salary of NIS 9,740.	no
מנסים לחזור לתלם	Trying to get back on track	no
בצד של העסקים, נרשמה צמיחה רוחבית כמעט בכל ענפי המשק, והעסקים השתוקקו לידיים עובדות.	On the business side, there was exponential growth in almost every sector of the economy, and businesses needed workers.	no
כך, היצע המשרות עלה ב-50% ורשם שיא של יותר מ-40 אלף משרות באולג'ובס.	Thus, job offer increased by 50% and a record of more than 40,000 jobs in the oljobes.	no
סקר שערך האתר בקרב מעסיקים מצא כי 50% היו אופטימיים לגבי הסטטוס הכלכלי שלהם ב-2022, 30% מהם העידו על כוונתם להגדיל את סך הגיוסים אך 72% מבינים שיתקשו בכך השנה.	A survey conducted by the website among employers found that 50% were optimistic about their economic status in 2022, 30% stated an intention to increase their headcount, but 72% said they would have difficulty doing so this year.	no
ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.	The largest bid was for no-experience jobs -- and there were over 58,000 of them on the site.	no
אחריהן היו תפקידי שירות לקוחות ואדמיניסטרציה עם כ-44 אלף משרות בכל תחום, מכירות ותוכנה עם 41 אלף משרות כל אחת, הוראה וחינוך עם 24 אלף משרות פנויות, ומחסנאים עדיין מבוקשים ב-19 אלף משרות פנויות.	They were followed by customer service and administration with about 44,000 jobs in each area, sales and software with 41,000 jobs each, teaching and education with 24,000 vacancies, and warehousing still in demand with 19,000 vacancies.	no
עינב בוימפלד, מנהלת המחקר והתוכן באולג'ובס: "מחפשי העבודה מנסים לחזור לתלם אך אינם מסתערים על השוק, בעיקר בשל היעדר משרות אטרקטיביות בעיניהם.	Ineb Wimfeld, director of research and content at Alljobs: "Job seekers are trying to get back on track but are not storming the market, mainly because of the lack of attractive jobs.	no
כמו כן, הנתק הממושך ממעגל העבודה מקשה עליהם לחזור, וחלקם מצאו אופנים יצירתיים להתפרנס".	Also, the long disconnection from work makes it difficult for them to return, and some have found creative ways to make a living".	no
הלמ"ס: שיעור האבטלה בישראל עלה ל-6.3%	The unemployment rate in Israel has risen to 6.3%	yes
מנתוני סקר הלשכה עולה כי כ-270 אלף ישראלים נותרו מחוסרי עבודה בחודש דצמבר 2021 •	Bureau survey data shows that about 270,000 Israelis were unemployed in December 2021.	yes
בנובמבר היו כ-262 אלף מובטלים	In November, there were about 262,000 unemployed.	yes
אחוז המובטלים במחצית הראשונה של חודש דצמבר 2021 עמד על 6.3%, כ-270 אלף ישראלים, לעומת 6.1% במחצית השנייה של נובמבר 2021 (כ-262 אלף).	The unemployment rate in the first half of December 2021 stood at 6.3%, about 270,000 Israelis, compared to 6.1% in the second half of November 2021 (about 262,000).	yes
כך עולה מנתוני סקר כוח אדם למחצית הראשונה של חודש דצמבר 2021 של הלשכה המרכזית לסטטיסטיקה.	This is according to the Central Bureau of Statistics Human Resources Survey for the first half of December 2021.	yes
אחוז הבלתי מועסקים עמד על 4.5% במחצית הראשונה של דצמבר 2021 לעומת 4.3% במחצית השנייה של נובמבר 2021.	The unemployment rate stood at 4.5% in the first half of December 2021 compared to 4.3% in the second half of November 2021.	yes
במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.	In other words, it's 193,000 unemployed versus 180,3000.	yes
לפי תכונות כוח העבודה במחצית הראשונה של דצמבר 2021 בקרב בני 15 ומעלה עולה כי אוכלוסיה זו כללה 6,607,500 תושבים בישראל, לא כולל מוסדות וגרים מחוץ לישובים.	According to the characteristics of the labor force in the first half of December 2021 among those aged 15 and above it emerges that this population included 6,607,500 residents in Israel, not including institutions and grims outside the settlements.	yes
מתוכם 64.4%, כלומר 4,252,700 הם בכוח העבודה והשאר המהווים 2,354,800 אינם בכוח העבודה.	Of these, 64.4%, or 4,252,700 are in the labor force and the remaining 2,354,800 are not in the labor force.	yes
מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.	Of those in the labor force, 95.5% of the 4,059,700 are employed and the rest are unemployed.	yes
מאלה אשר אינם בכוח העבודה, 2.3% הפסיקו לעבוד בגלל פיטורים או סגירת העבודה ממרץ 2020.	Of those not in the labor force, 2.3% have stopped working due to layoffs or closures since March 2020.	no
סקר כוח אדם מספק מידע על כוח העבודה בישראל והוא נערך באופן שוטף על ידי הלשכה המרכזית לסטטיסטיקה.	The Manpower Survey provides information on the Israeli workforce and is conducted regularly by the Central Bureau of Statistics.	no
במחצית הראשונה של חודש דצמבר 2021 רואיינו באופן שוטף כ-8,700 בני 15 ומעלה.	In the first half of December 2021, 8,700 people aged 15 and over were interviewed on a regular basis.	no
במחצית השנייה של חודש נובמבר 2021 רואיינו באופן שוטף כ-8,900 בני 15 ומעלה.	In the second half of November 2021, approximately 8,900 people aged 15 and older were interviewed on a regular basis.	no
אוכלוסיית הסקר כוללת את התושבים הקבועים של מדינת ישראל, תיירים ותושבים ארעיים השוהים בישראל יותר משנה ברציפות.	The survey population includes permanent residents of the State of Israel, tourists and temporary residents who have been in Israel for more than one year.	no
הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.	The survey allows the monitoring of the development of the labour force, its size and characteristics, the level of unemployment and more.	no
"לא מובן מאליו": סאבלימינל מקדש את השבת - ומתכונן לעצמאות	"Uncertain": Subliminal sanctifies the Sabbath - and prepares for independence	yes
חוגג את העובדה ש"אנחנו יכולים לחיות כמו שבא לנו", מתרגש לקראת המפגש עם הקהל ומקפיד לבלות עם הילדים •	Celebrating "we can live as we wish", gets excited about meeting the audience and makes sure to spend time with the children	yes
סוף השבוע ויום העצמאות של קובי שמעוני, סאבלימינל	The weekend and the independence day of Kobe Shimon, Sublime.	yes
איך נראה יום שישי טיפוסי שלך?	What's your typical Friday look like?	yes
"סופי השבוע הם הרגעים החשובים בחיים, מבחינתי.	"The weekends are the most important moments in my life.	yes
הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.	Holiness and tradition are very deeply rooted in my soul.	yes
ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).	Friday nights are for the children, Orr (10) and Jonathan (8).	yes
אני אוסף אותם מבית הספר, אנחנו קונים פרחים ומצרכים לקידוש, אוכלים צהריים ועושים משהו כיפי ביחד, כמו לשחק כדורגל, לרכוב על סוסים או לשחק במכוניות על שלט.	I pick them up from school, we buy flowers and sacraments, have lunch and do something fun together, like play soccer, ride horses or play cars on the sign.	yes
לפעמים הולכים לים, או אפילו סתם לרחוץ את הרכב, אבל תמיד עוצרים בדרך לקנות מתנה בחנות הצעצועים בשכונה - ותמיד יש תירוץ אחר.	Sometimes we go to the beach or even just to wash the car, but we always stop to buy a gift at the neighborhood toy store - there's always another excuse.	yes
כשחוזרים הביתה עם שלל המתנות, ריחות הבישולים מקבלים את פנינו".	When we come home with the spoils of the gifts, the smells of the cooking greet us".	yes
איך נראית ארוחת שישי שלכם?	How's your Friday dinner look?	no
"בורכתי בבשלניות סביבי.	I've been blessed with cooks around me.	no
מהצד שלי יש מטבח פרסי־תוניסאי, מלא סלטים ואווירה של צחוקים, מוזיקה, שירה ושמחה.	Next to me is Persian-Tunisian cuisine, full of salads and an atmosphere of laughter, music, song and joy.	no
מהצד של אשתי אינס, שהיא גם בשלנית נהדרת, מגיעים המאכלים האוקראיניים, שהם עמוקים וחריפים, עם הרבה בשר.	On the part of my wife Ines, who's also a great cook, comes the Ukrainian food, which is deep and spicy, with a lot of meat.	no
כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.	By the time we get to my mother-in-law, the lobby of the building already emits incredible scents from her apartment.	no
לרוב אני עושה את הקידוש, יחד עם הילדים, שמכירים אותו בעל פה.	I usually do the consecration with the children, who know it by heart.	no
בסופו של דבר, הכיף שלי אחרי האוכל זה להתעלף על השטיח, ושהילדים קופצים עלי כאילו אני איזה מתנפח".	After all, my pleasure after dinner is passing out on the carpet, and the kids jumping on me like I'm some kind of bloat".	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have any special childhood memories from the weekends?	no
"כילד, הייתי מתעורר בשבת לצלילי מוזיקה ישראלית ברשת ג' ולמערכוני הגשש החיוור, שידענו בעל פה.	"As a child, I would wake up on Saturdays to the sounds of Israeli music on the j network and the pale radar channels which we knew by heart.	no
אבא שלי אהב טבע וטיילנו המון בארץ ישראל, בדרך כלל לצפון.	My father loved nature and we traveled a lot in the Land of Israel, usually to the north.	no
כל פינה נידחת בארץ עשתה לו גאווה בלב.	Every remote corner of the land made his heart proud.	no
הוא נפטר לפני שלושה חודשים ממחלה קשה, ובשבילו קידוש ושבת היו קודש הקודשים, בעיקר מהבחינה שכל המשפחה צריכה להיות יחד.	He passed away three months ago from a serious illness, and for him Lent and the Sabbath were holy days, especially since the whole family has to be together.	no
לאחרונה הוצאתי שיר לזכרו בשם 'שומר עליך', שיצרתי עם אושר כהן.	I recently released a song in his honor called "Warding of You", which I wrote with Usher Cohen.	no
אני מאמין שהוא היה גאה ביצירה הזו, שמקדשת את הקשר בין אבא לבן".	I believe he would have been proud of this piece, which celebrates the bond between father and son".	no
בקרוב נציין את יום העצמאות ה־74. כציוני נלהב, מה התחושות שלך לגבי החג?	As an ardent Zionist, how do you feel about the holiday?	no
"יום העצמאות הוא יום קדוש בשבילי, וחלק מהמשמעות ומהזהות שלי.	"Independence Day is a sacred day to me, and part of my meaning and identity.	no
בפרס ובתוניסיה הוריי נאלצו להסתיר את הזהות היהודית שלהם, ואילו אני יהודי־ישראלי שזוכה לחיות עם ילדיו במדינה שלנו.	In Persia and Tunisia, my parents had to hide their Jewish identity, while I am an Israeli Jew who is allowed to live with his children in our country.	no
שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.	A week or two before Independence Day, I was already climbing trees and being tied to a house of wires with Israeli flags.	no
היום ימי העצמאות שלי מלאים בהופעות, ותמיד פוגשים קהל שמח בטירוף, שחוגג את זה שאנחנו יכולים לחיות כמו שבא לנו.	Now my days of independence are filled with gigs, always met with a raving and happy crowd, celebrating that we can live the way we want.	no
צריך לשמור שגם לילדים, לנכדים ולנינים שלנו תהיה האפשרות הזו, ולזכור ששום דבר פה לא מובן מאליו".	We must ensure that our children, our grandchildren and our great-grandchildren are given that choice, as well, and remember that nothing is taken for granted".	no
שישי שלה: אסתי זקהיים מברכת את השבת	Her Friday: Estee Zackheim blessing the Sabbath	yes
"החלום שלי הוא לפתוח שולחן גדול ולהזמין את כל יקיריי המתים": ארוחת שישי שאסתי זקהיים חולמת עליה, ואיך היא מתמודדת עם העובדה שבעלה שומר שבת?	"My dream is to open a big table and invite all my dead loved ones": the Friday dinner that Sati Zakheim dreams about, and how does she cope with the fact that her husband keeps a Sabbath?	yes
ספרי על ההכנות שלך לשבת	Tell me about your willingness to sit down.	yes
.	I know.	no
"ההכנות מתחילות כבר בחמישי בלילה, כשאני חוזרת מהצגה או מסדנה ומבשלת עד שלוש לפנות בוקר את כל מה שמצריך בישול ארוך כמו גולש, צלי ורטבים.	"The preparations begin as early as Thursday night, when I return from a show or workshop and cook until three o'clock in the morning all the things that require long cooking such as sauce, stew and soap.	yes
בשישי, בחלק הראשון של היום, אני מקדישה את הזמן לעצמי, לפגישה עם חברות וחברים לקפה, להצגה או לסרט, או שאני משתתפת בחזרות.	Friday, the first part of the day, I devote the time to myself, meet with friends and acquaintances for coffee, a show or a movie, or I go to rehearsals.	yes
בקיץ השבתות נכנסות מאוחר, ויש לי הרבה זמן לשבת בגינה השכונתית ולצפות בשקיעה או סתם בסדרה טובה.	Summer vacation comes in late, and I have a lot of time to sit in the neighborhood garden and watch a sunset or just a good show.	yes
בארוחת השבת אני לרוב מארחת את אמא שלי, ורדה, שחגגה 89, וגם חברים".	"At dinner on Saturday, I usually invite my mother, Verda, who just turned 89, and friends".	yes
יכולה לשתף עוד בבישולים?	Can we share some more cooking?	yes
"אני אוהבת קיצורי דרך.	"I like shortcuts.	yes
למשל, במקום לקלף 10 בצלים, לחתוך ולבכות, אני קונה שקית בצל קפוא ומטגנת אותו.	For example, instead of peeling 10 onions, cutting and crying, I buy a bag of frozen onions and fry them.	no
על שולחן השבת שלי אפשר למצוא מנות בשר, מנות טופו טבעוניות, תפוחי אדמה וכרובית בתנור.	On my Saturday table you'll find meat dishes, vegan tofu, potatoes and cabbage in the oven.	no
את רוב הבישולים אני מכינה, והם כמובן מתחממים על הפלטה בשבת.	Most of the cooking is done by me, and they are, of course, heated on the stove on Saturday.	no
אלחנדרו, בן זוגי, מכין מרק עוף, סלט ירקות ובחורף - את הצ'ולנט".	Alejandro, my partner, makes chicken soup, vegetable salad, and in the winter, the Chollet".	no
בעלך הוא אדם דתי ואת מבית חילוני.	Your husband is a religious man and you come from a secular home.	no
איך זה עובד?	How does it work?	no
"לגור עם שומר שבת זו התפשרות אינסופית.	"Living with a Sabbath keeper is an infinite compromise.	no
'ואהבת לרעך כמוך', הלכה למעשה.	"And love thy neighbor as thyself", actually went.	no
לטיולים משפחתיים הוא לא יכול לצאת, אז מצאתי את עצמי הרבה פעמים אורזת את הילדים ומצטרפת לטיולי משפחות של חברים.	Family outings, he can't go out, so I found myself packing up the kids and joining friends' families outings a lot.	no
בנוסף, אני גם הנהגת התורנית של הילדים, זו שמחזירה אותם בשישי בלילה ממסיבות וממפגשים.	Plus, I'm the kid's shift driver, the one who picks them up on Friday nights from parties and get-togethers.	no
מצד שני, אני גם נהנית מיתרונות השבת שלו, כי בדרך כלל אני לא מופיעה בשבת ומקבלת מעין 'חופשה כפויה' - וטוב שכך".	On the other hand, I also enjoy the benefits of his Sabbath, because usually I don't show up on Sabbath and get a kind of 'forced leave' - which is good".	no
את מי היית רוצה לארח בשבת?	Who would you like to host on Saturday?	no
"הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.	"I would open a big table and invite my dead.	no
לפעמים אני מדמיינת מה היה אילו אחי דניאל ז"ל היה בחיים, או אם אבא שלי, שניאור ז"ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).	Sometimes I wonder if my brother Daniel, Jr., were still alive, or if my father, Shenior, Jr., could see my children - Aurele, 23, and the twins Tamar and Naamah, 16 and a half.	no
בטח היינו רבים על כדורגל ופוליטיקה ומתמוגגים אלה מאלה".	We probably fought about football and politics and brands and branding".	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have any special childhood memories from the weekends?	no
"היינו משפחה חמה ומאוחדת.	"We were a warm and united family.	no
בשישי בצהריים אמא היתה מכינה ערימת שניצלים, מביאה מהשוק חומוס ופיתות ושורפת חצילים לסלט טחינה.	Friday afternoon, Mother would prepare a pile of noodles, bring back hummus and lures from the market, and burn some parsnips to make a salad.	no
אחר כך היינו נוסעים לדודה חנה ביד אליהו, או כמו שהיא היתה אומרת 'יד אליָיְקֶ'ה', והיא היתה מכינה בלינצ'סים.	Then we'd go to Aunt Hannah's with the Eliyahu hand, or as she used to say, "Elyachek's hand", and she'd make Linch's.	no
מכיוון שרק אני לא אהבתי צימוקים, היא היתה מכינה לי כמה ללא צימוקים.	Since I was the only one who didn't like raisins, she'd make me some without raisins.	no
היא ראתה אותי, הקטנה שבאחים, ודאגה לי.	She saw me, the little one, and she worried about me.	no
בשבתות היינו עושים סיור עם אבא שלי בנמל יפו, והוא היה מראה לנו מאיפה הוא ואחיו התאום, גרישה, הגיעו לארץ בלי כלום".	On Saturdays, my father and I would tour the Joppa harbor, and he would show us where he and his twin brother, Grisha, had come to the country with nothing".	no
פיינליסטית "אקס פקטור" ענבל ביבי תשתתף במחזמר "הלהקה"	The X Factor finalist Embel Bibi will participate in the musical "The Band".	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •	Bibi participated in the last season of The X Factor and finished in third place.	yes
היא תשחק בתפקיד נועה שאותו גילמה דפנה ארמוני	She will be playing a moving role played by Daphne Armoni.	yes
פיינליסטית ״אקס פקטור״, ענבל ביבי, לוהקה למחזמר ״הלהקה״ שיעלה בתיאטרון הארצי ותשחק בתפקיד נועה.	"The X Factor" finalist, Annette Beebe, has been cast in a revival of the musical "The Band" at the National Theatre in a moving role.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי והמכובד.	Bibi competed on the last season of The X Factor and finished in a respectable third place.	yes
כעת מתגלה שיש חיים אחרי הריאליטי והיא מצטרפת למחזמר ״הלהקה״.	Now it turns out there's a life after reality, and she joins The Band.	yes
ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.	And Bibi will play the role of Moha, played by Daphne Armoni.	yes
ביבי תצטרף לעמית פרקש, נאיה בינשטוק, ים רפאלי, נופר סלמאן, שי המבר, אלישע בנאי ועוד.	Bibi will be joined by Amiti Parshak, Naya Binstock, Zee Rafaeli, Nefer Salman, Shih Hambar, Elisha Baney and more.	yes
ג'ניפר לופז ובן אפלק התארסו	Jennifer Lopez and Ben Affleck are engaged.	no
כמעט שני עשורים אחרי סיפור האהבה שלהם שנגמר בפרידה, לופז ואפלק חוזרים זה לזרועות זו •	Almost two decades after their love story ended in divorce, Lopez and Aflek are back in each other's arms.	no
לופז נפרדה משחקן הבייסבול אלכס רודריגז באפריל 2021	Lopez parted ways with baseball player Alex Rodriguez in April 2021.	no
.	I know.	no
האחת שלו: כמעט שני עשורים אחרי סיפור האהבה הראשון שלהם שנגמר בפרידה ושנה לאחר הקאמבק המתוקשר, ג'ניפר לופז ובן אפלק סוגרים מעגל רומנטי ומאורסים.	His one: Nearly two decades after their first love affair ended in divorce and a year after their enthralling return, Jennifer Lopez and Ben Affleck are closing a romantic circle and getting engaged.	no
את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com	The good news was shared last night by Lopez with her fan on her official website onthejlo.com	no
.	I know.	no
הידיעה על האירוסין מגיעה לאחר שהשבוע תועדה לופז מסתובבת כשטבעת יהלום ענקית נראית בבירור על אצבע האירוסין שלה.	News of the engagement comes a week after Lopez was seen spinning like a giant diamond ring clearly visible on her engagement finger.	no
נציג מטעמה אישר למגזין פיפל כי אפלק ולופז אכן מאורסים.	A representative confirmed to People magazine that Affleck and Lopez are indeed engaged.	no
כזכור, בפעם הקודמת שאפלק (49) שלף טבעת והציע ללופז (52) להיות שלו לנצח זה היה בשנת 2002, ואז היה מדובר בטבעת מנקרת עיניים עם יהלום ורוד ענק של שישה קראט, בשווי מוערך של כ-2.5 מיליון דולר.	As you may remember, the last time Shafley, 49, pulled a ring and offered Lopez, 52, to be his forever was in 2002, and it was a dazzling ring with a giant six-carat pink diamond, worth an estimated $2.5 million.	no
למרות מחוות האהבה הגרנדיוזית, השניים נפרדו בשנת 2004, כשהם מאשימים את התקשורת באובססיביות יתר ובחיטוט בלתי פוסק בחייהם.	Despite grand gestures of love, the two broke up in 2004, accusing the media of over-obsessing and relentlessly rummaging through their lives.	no
מאז אפלק הספיק להינשא לשחקנית ג'ניפר גארנר, אם שלושת ילדיו, ואילו לופז, כידוע, היתה נשואה כבר 3 פעמים בעבר, כולל לזמר מארק אנתוני, שיחד הפכו הורים לתאומים.	Apple has since managed to marry actress Jennifer Garner, the mother of his three children, while Lopez, as it is known, has been married three times before, including to singer Mark Anthony, who together became parents to twins.	no
מערכת היחסים הרומנטית האחרונה של לופז היתה עם שחקן הבייסבול אלכס רודריגז, שממנו נפרדה באפריל 2021 לאחר מערכת יחסים בת ארבע שנים, כולל אירוסים של שנתיים.	Lopez's last romantic relationship was with baseball player Alex Rodriguez, from whom she separated in April 2021 after a four-year relationship, including a two-year engagement.	no
הקרדשיאנס מדברות: "אי אפשר להמציא את מה שקורה לנו"	The Kardashians are saying, "You can't make up what happens to us".	yes
"הכאוס בלתי נגמר", מתעקשת אמא קריס ג'נר על הסדרה החדשה בכיכוב המשפחה הראשונה של הריאליטי, ומקבלת גיבוי מבנותיה ומהמפיק החדש •	"The Unending Chaos", Chris Jenner's mom pushing for the new series starring the first family of reality, and getting backing from her daughters and the new producer •	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In the article to be published in Shabbat magazine, they talk about big money, the public relations industry, the brand factory and the change Kim wants to make in the world:	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It may come as a surprise to many, but the most sought-after brand in 2022 for the Disney content empire, which also includes Marvel and Star Wars, is the Kardashian family.	yes
פרטי החוזה של המשפחה הראשונה של הריאליטי ושל הרשתות החברתיות מול דיסני לא נחשפו, אבל ההערכות טוענות לסכום מינימלי של מאה מיליון דולר שהועבר לבנות המשפחה, שמעתה מתפקדות גם כמפיקות.	Details of the premiere family's reality and social media contract with Disney were not disclosed, but estimates suggest a minimum of $100 million has been transferred to the family, who now also serve as producers.	yes
במפגש עיתונאי עם הכוכבות, כל אחת מהן מלווה בצוות ביוטי שלם שדואג לטאצ'-אפים של איפור, שיער וקמטוטים בבגדים ללא הפסקה, התעקשו בנות המשפחה, כמו גם המפיק החדש והמבוקש שלהן, שהפעם לא מדובר בריאליטי, הפעם מה שמתקבל על המסך אותנטי לחלוטין.	At a press conference with the stars, each of them accompanied by a whole beauty crew that takes care of the makeup, hair and wrinkles in their clothes, the girls of the family, as well as their new and sought-after producer, insisted that this time it is not reality, this time what they receive on the screen is completely authentic.	yes
"אי אפשר להמציא את מה שקורה לנו", אומרת בנחרצות האמא של המשפחה קריס ג'נר, "הכאוס בלתי נגמר".	"We can't invent what's happening to us", says the mother, Kris Jenner, vehemently, "the chaos is endless".	yes
"אנחנו מראות כמה גדלנו מאז אותה סדרה שעלתה ב-2007", אומרת קלואי קרדשיאן.	"We're showing how much we've grown since that show came out in 2007", says Khloe Kardashian.	yes
"כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.	"When we started, we were terrified that there's so much going on in our lives, you can't just pin everything down to a narrative of beginning, middle and end.	yes
הרבה עלילות זורזו בעריכה, נעטפו בסרט צבעוני מתקתק ונשכחו בצד.	A lot of plots were rushed through the editing, wrapped in pop-up color film and left behind.	yes
ככה לא נראים החיים במציאות.	This is not what real life is like.	no
עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית".	Now we're more exposed, turning directly to the camera naturally, not just reality but authentic documentary".	no
כשמעמתים אותן עם מעורבותן החדשה בהפקת הסדרה, מה שלמעשה נותן להן שליטה מוחלטת בתוכן שמתקבל על המסך, קלואי טוענת: "אנחנו מעורבות מאחורי הקלעים, רואות קטעים בזמן עריכה ונותנות הערות, אבל לא ממקום של מגננה אלא פשוט לתת את דעתנו לגבי מה יעשה את הסדרה לטובה יותר.	When confronted with their new involvement in production, which effectively gives them total control over the content that's on screen, Chloe states, "We're involved behind the scenes, watching pieces while they're being edited and providing commentary, but not from a position of patronage, but just giving our opinions on what would make the show better.	no
זו מראה של חיינו ואני אישית מרגישה שעברתי צמיחה רגשית מצפייה בעצמי.	It's a reflection of our lives, and I personally feel like I've done an emotional growth from watching myself.	no
קנדל וקיילי היו ילדות קטנות כשהתחלנו, אז הן יותר מציבות גבולות".	Kendall and Kylie were little girls when we started, so they're more of a boundary-setter".	no
"התבגרתי"	"I have grown up".	no
קים קרדשיאן, מצדה, ממשיכה בכל הכוח לשנות את התדמית שלה, מטראש-ריאליטי זול לעורכת דין עם אג'נדה.	Kim Kardashian, for her part, continues to push hard to change her image from cheap reality trash to lawyer with an agenda.	no
"התבגרתי", היא טוענת, "אני מגדלת ארבעה ילדים שחורים, כלומר מקהילה נרדפת שמופלית לרעה במדינה הזאת.	"I grew up", she says, "raising four black children, meaning from a marginalized and underprivileged community in this country.	no
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change reality, so that my children and the children of all my friends have a different future, in hopes that we can heal this crooked system.	no
זוהי המוטיבציה שלי".	This is my motivation".	no
"אני כבר לא אותה קים שחושבת שעות על איזה סלפי ביקיני כדאי להעלות", היא מתעקשת, "אבל זה גם לא נעלם לגמרי מחיי.	"I'm not the same Kim who spent hours thinking about which bikini selfie to upload", she insists, "but it's not completely gone from my life, either.	no
אדם חייב להיות נאמן למי שהוא באמת ולקחת הכל בכיף".	A person must be true to who he really is and take it all in stride".	no
על הסיבות לפיטורי המפיק שגילה אותן ריאן סיקרסט ועל הדרך החדשה והמאוד רווחית שלהן בתעשייה, המשמעות של המעבר לדיסני, מכונת היח"צ המשומנת של המשפחה והשפעתה על רווחיות המותג ועוד, בכתבה המלאה שתפורסם במגזין "שישבת".	On the reasons for the executive layoffs uncovered by Ryan Seacrest, on their very lucrative new path in the industry, the meaning of the transition to Disney, the family's oiled slot machine and its impact on the brand's profitability and more, in a full article to be published in Saturday magazine.	no
אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז	Indingv with an international flavour: Afghan Whigs joined Abhir Bani and Nge Erz	yes
להקת הרוק האמריקאית מצטרפת אל שורת אמנים מקומיים שייקחו השנה חלק בפסטיבל המוזיקה המדברי, שנחשב לאירוע עלייה לרגל בקרב שוחרי מוזיקה רבים	The American rock band joins the ranks of local artists taking part this year in the Desert Music Festival, considered a pilgrimage event among many music lovers	yes
