בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs were born in Iran.	yes
מכיוון שרק אני לא אהבתי צימוקים, היא היתה מכינה לי כמה ללא צימוקים.	Since I was the only one who didn't like raisins, she would make some without raisins for me.	no
היא ראתה אותי, הקטנה שבאחים, ודאגה לי.	She saw me, the youngest of the siblings, and took care of me.	no
בשבתות היינו עושים סיור עם אבא שלי בנמל יפו, והוא היה מראה לנו מאיפה הוא ואחיו התאום, גרישה, הגיעו לארץ בלי כלום".	On Saturdays, we would take a tour with my father in Jaffa port, and he would show us where he and his brother, Grisha, arrived in the country with nothing.	no
פיינליסטית "אקס פקטור" ענבל ביבי תשתתף במחזמר "הלהקה"	"X Factor" finalist Inbal Bibi will participate in the musical "The Band".	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •	Bibi participated in the last season of "X Factor" and finished in third place.	yes
היא תשחק בתפקיד נועה שאותו גילמה דפנה ארמוני	She will play the role of Noa, which was portrayed by Dafna Armoni.	yes
פיינליסטית ״אקס פקטור״, ענבל ביבי, לוהקה למחזמר ״הלהקה״ שיעלה בתיאטרון הארצי ותשחק בתפקיד נועה.	"X Factor" finalist, Inbal Bibi, has been cast in the musical "The Band" which will be performed at the National Theatre, playing the role of Noa.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי והמכובד.	Bibi participated in the last season of "X Factor" and finished in the respectable third place.	yes
כעת מתגלה שיש חיים אחרי הריאליטי והיא מצטרפת למחזמר ״הלהקה״.	Now it turns out that there is life after reality TV and she is joining the musical "The Band".	yes
ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.	Bibi will play the role of Noa, which was portrayed by Dafna Armoni.	yes
ביבי תצטרף לעמית פרקש, נאיה בינשטוק, ים רפאלי, נופר סלמאן, שי המבר, אלישע בנאי ועוד.	Bibi will join Amit Farkash, Naya Binstock, Yam Raphaeli, Nofar Salman, Shai Hamber, Elisha Banai and others.	yes
ג'ניפר לופז ובן אפלק התארסו	Jennifer Lopez and Ben Affleck got engaged.	no
כמעט שני עשורים אחרי סיפור האהבה שלהם שנגמר בפרידה, לופז ואפלק חוזרים זה לזרועות זו •	Almost two decades after their love story ended in a breakup, Lopez and Affleck are back in each other's arms.	no
לופז נפרדה משחקן הבייסבול אלכס רודריגז באפריל 2021	Lopez separated from baseball player Alex Rodriguez in April 2021.	no
.	.	no
האחת שלו: כמעט שני עשורים אחרי סיפור האהבה הראשון שלהם שנגמר בפרידה ושנה לאחר הקאמבק המתוקשר, ג'ניפר לופז ובן אפלק סוגרים מעגל רומנטי ומאורסים.	His one: Almost two decades after their first love story ended in a breakup and a year after their highly publicized comeback, Jennifer Lopez and Ben Affleck are closing a romantic circle and getting engaged.	no
את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com	The happy news was shared by Lopez with her fans yesterday evening (Friday) on her official website onthejlo.com.	no
.	.	no
הידיעה על האירוסין מגיעה לאחר שהשבוע תועדה לופז מסתובבת כשטבעת יהלום ענקית נראית בבירור על אצבע האירוסין שלה.	The news about the engagement comes after Lopez was spotted this week with a clearly visible giant diamond ring on her engagement finger.	no
נציג מטעמה אישר למגזין פיפל כי אפלק ולופז אכן מאורסים.	A representative on her behalf confirmed to People magazine that Affleck and Lopez are indeed engaged.	no
כזכור, בפעם הקודמת שאפלק (49) שלף טבעת והציע ללופז (52) להיות שלו לנצח זה היה בשנת 2002, ואז היה מדובר בטבעת מנקרת עיניים עם יהלום ורוד ענק של שישה קראט, בשווי מוערך של כ-2.5 מיליון דולר.	As you may recall, the last time Affleck (49) pulled out a ring and proposed to Lopez (52) to be his forever was in 2002, and then it was an eye-catching ring with a giant six-carat pink diamond, estimated to be worth about 2.5 million dollars.	no
למרות מחוות האהבה הגרנדיוזית, השניים נפרדו בשנת 2004, כשהם מאשימים את התקשורת באובססיביות יתר ובחיטוט בלתי פוסק בחייהם.	Despite the grandiose gestures of love, the two separated in 2004, blaming the media for excessive obsession and constant intrusion into their lives.	no
מאז אפלק הספיק להינשא לשחקנית ג'ניפר גארנר, אם שלושת ילדיו, ואילו לופז, כידוע, היתה נשואה כבר 3 פעמים בעבר, כולל לזמר מארק אנתוני, שיחד הפכו הורים לתאומים.	Since Affleck managed to marry actress Jennifer Garner, the mother of his three children, while Lopez, as is well known, has been married three times in the past, including to singer Marc Anthony, with whom they became parents to twins.	no
מערכת היחסים הרומנטית האחרונה של לופז היתה עם שחקן הבייסבול אלכס רודריגז, שממנו נפרדה באפריל 2021 לאחר מערכת יחסים בת ארבע שנים, כולל אירוסים של שנתיים.	Lopez's last romantic relationship was with baseball player Alex Rodriguez, from whom she separated in April 2021 after a four-year relationship, including two years of engagement.	no
הקרדשיאנס מדברות: "אי אפשר להמציא את מה שקורה לנו"	The Kardashians say: "You can't make up what happens to us."	yes
"הכאוס בלתי נגמר", מתעקשת אמא קריס ג'נר על הסדרה החדשה בכיכוב המשפחה הראשונה של הריאליטי, ומקבלת גיבוי מבנותיה ומהמפיק החדש •	"The never-ending chaos," insists mom Kris Jenner about the new series starring the first family of reality, and gets support from her daughters and the new producer.	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In an article to be published in "Shishabat" magazine, they talk about the big money, the PR grind, the brand factory and the change Kim wants to make in the world: "I'm no longer the one who spends hours thinking about which bikini selfie to post."	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It may surprise many, but the most sought-after brand in Disney's content empire in 2022, which among other things includes Marvel movies and "Star Wars", is the Kardashian family.	yes
פרטי החוזה של המשפחה הראשונה של הריאליטי ושל הרשתות החברתיות מול דיסני לא נחשפו, אבל ההערכות טוענות לסכום מינימלי של מאה מיליון דולר שהועבר לבנות המשפחה, שמעתה מתפקדות גם כמפיקות.	The contract details of the first reality family and the social networks against Disney were not revealed, but estimates suggest a minimum amount of one hundred million dollars was transferred to the daughters of the family, who now also function as producers.	yes
במפגש עיתונאי עם הכוכבות, כל אחת מהן מלווה בצוות ביוטי שלם שדואג לטאצ'-אפים של איפור, שיער וקמטוטים בבגדים ללא הפסקה, התעקשו בנות המשפחה, כמו גם המפיק החדש והמבוקש שלהן, שהפעם לא מדובר בריאליטי, הפעם מה שמתקבל על המסך אותנטי לחלוטין.	In a press meeting with the stars, each accompanied by a full beauty team constantly taking care of makeup touch-ups, hair and wrinkles in clothes, the girls of the family, as well as their new and sought-after producer, insisted that this time it's not about reality TV, this time what is shown on the screen is completely authentic.	yes
"אי אפשר להמציא את מה שקורה לנו", אומרת בנחרצות האמא של המשפחה קריס ג'נר, "הכאוס בלתי נגמר".	"You can't make up what's happening to us," says the family's mother, Kris Jenner, "the chaos is endless."	yes
"אנחנו מראות כמה גדלנו מאז אותה סדרה שעלתה ב-2007", אומרת קלואי קרדשיאן.	"We show how much we've grown since that series that aired in 2007," says Khloe Kardashian.	yes
"כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.	"When we started we were overwhelmed, a lot was happening in our lives and it was impossible to simply confine everything into a narrative of beginning, middle, and end.	yes
הרבה עלילות זורזו בעריכה, נעטפו בסרט צבעוני מתקתק ונשכחו בצד.	Many plots were rushed in editing, wrapped in a shiny colorful ribbon and then forgotten on the side.	yes
ככה לא נראים החיים במציאות.	This is not how life looks in reality.	no
עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית".	Now we are more exposed, directly addressing the camera in a natural way, not just reality but an authentic documentary series".	no
כשמעמתים אותן עם מעורבותן החדשה בהפקת הסדרה, מה שלמעשה נותן להן שליטה מוחלטת בתוכן שמתקבל על המסך, קלואי טוענת: "אנחנו מעורבות מאחורי הקלעים, רואות קטעים בזמן עריכה ונותנות הערות, אבל לא ממקום של מגננה אלא פשוט לתת את דעתנו לגבי מה יעשה את הסדרה לטובה יותר.	When you combine this with their new involvement in the production of the series, which essentially gives them complete control over the content that appears on the screen, Khloe claims: "We are involved behind the scenes, watching clips during editing and giving feedback, but not from a controlling place, just to give our opinion on what will make the series better."	no
זו מראה של חיינו ואני אישית מרגישה שעברתי צמיחה רגשית מצפייה בעצמי.	This is a reflection of our lives and I personally feel that I have undergone emotional growth from watching myself.	no
קנדל וקיילי היו ילדות קטנות כשהתחלנו, אז הן יותר מציבות גבולות".	Kendall and Kylie were little girls when we started, so they set more boundaries.	no
"התבגרתי"	"I grew up"	no
קים קרדשיאן, מצדה, ממשיכה בכל הכוח לשנות את התדמית שלה, מטראש-ריאליטי זול לעורכת דין עם אג'נדה.	Kim Kardashian, on the other hand, continues to work hard to change her image, from cheap reality trash to a lawyer with an agenda.	no
"התבגרתי", היא טוענת, "אני מגדלת ארבעה ילדים שחורים, כלומר מקהילה נרדפת שמופלית לרעה במדינה הזאת.	"I've matured," she claims, "I'm raising four black children, meaning from a persecuted community that is discriminated against in this country.	no
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change the reality, so that my children and the children of all my friends will have a different future, in the hope that we can heal the flawed system.	no
זוהי המוטיבציה שלי".	"This is my motivation."	no
"אני כבר לא אותה קים שחושבת שעות על איזה סלפי ביקיני כדאי להעלות", היא מתעקשת, "אבל זה גם לא נעלם לגמרי מחיי.	"I'm no longer the same Kim who spends hours thinking about which bikini selfie to post," she insists, "but it also hasn't completely disappeared from my life."	no
אדם חייב להיות נאמן למי שהוא באמת ולקחת הכל בכיף".	A person must be true to who they really are and take everything in stride.	no
על הסיבות לפיטורי המפיק שגילה אותן ריאן סיקרסט ועל הדרך החדשה והמאוד רווחית שלהן בתעשייה, המשמעות של המעבר לדיסני, מכונת היח"צ המשומנת של המשפחה והשפעתה על רווחיות המותג ועוד, בכתבה המלאה שתפורסם במגזין "שישבת".	About the reasons for the producer's dismissal revealed by Ryan Seacrest, their new and very profitable path in the industry, the significance of the transition to Disney, the family's well-oiled PR machine and its impact on the brand's profitability and more, in the full article to be published in "Shishabat" magazine.	no
אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז	Indingav with an international scent: Afgan Whigs join Avitar Banai and Noga Erez.	yes
להקת הרוק האמריקאית מצטרפת אל שורת אמנים מקומיים שייקחו השנה חלק בפסטיבל המוזיקה המדברי, שנחשב לאירוע עלייה לרגל בקרב שוחרי מוזיקה רבים	The American rock band joins a line-up of local artists who will participate in this year's desert music festival, which is considered a pilgrimage event among many music enthusiasts.	yes
להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.	Afghan Whigs, Shlomi Shaban, Noga Erez, Avitar Banai and Tess are among the names that will take part in the Indnegev Festival, which will take place from October 20 to 22.	yes
השנה יציין הפסטיבל 15 שנים להקמתו והיום (רביעי) מפרסמת הפקת הפסטיבל את רשימת המשתתפים באירוע המדברי.	This year the festival will mark its 15th anniversary and today (Wednesday) the festival production is releasing the list of participants in the desert event.	yes
מוזיקאים אחרים המופיעים בליינאפ כוללים את: הילה רוח, טדי נגוסה, דניאלה ספקטור, יובל מנדלסון והמסע לפולין, להקת המסך הלבן, ריף כהן, קרולינה, עטר מיינר, רבע לאפריקה, פול טראנק, עילי אשדות ורבים אחרים.	Other musicians appearing in the lineup include: Hila Ruach, Teddy Neguse, Daniela Spector, Yuval Mendelson and the Journey to Poland, The White Screen band, Riff Cohen, Karolina, Atar Meiner, Quarter to Africa, Paul Trunk, Ili Ashdot and many others.	yes
אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.	IndieNegev started its journey in 2007 as a small niche event, bringing together the hottest names in the Israeli indie scene.	yes
עם השנים הוא הפך לאירוע עלייה לרגל עבור חובבי מוזיקה רבים, והחל לארח שמות בינלאומיים, לצד אמנים מיינסטרימים.	Over the years, it has become a pilgrimage event for many music lovers, and began hosting international names, alongside mainstream artists.	yes
אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות	Aviv Geffen and Sarit Hadad: Jerusalem's Hutzot Hayotzer Festival with new surprises.	yes
הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים	The international festival in the capital, which has become a tradition and will take place at several locations, will feature musical performances by leading local artists, and will incorporate circus performances and innovative and surprising artistic displays.	yes
.	.	no
כמו כל קיץ לאורך השנים, לצד החום, הלחות והשעמום של התלמידים, מגיע גם הפסטיבל הבינלאומי חוצות היוצר ירושלים, שכבר הפך למסורת בבירה ויתקיים במספר מוקדים (בהם גן מיטשל, בריכת הסולטן, אל מול מגדל דוד ולמרגלות חומות העיר העתיקה) - בין התאריכים 15-27 באוגוסט.	Like every summer over the years, alongside the heat, humidity, and students' boredom, the International Arts and Crafts Festival, 'Hutzot Hayotzer' in Jerusalem also arrives, which has already become a tradition in the capital and will be held at several locations (including Mitchell Park, Sultan's Pool, opposite the Tower of David and at the foot of the walls of the Old City) - between August 15-27.	yes
במסגרת הפסטיבל יתקיימו בכל יום מופעים מוזיקליים של אמנים רבים בהם שרית חדד, קובי פרץ, אביב גפן והתעויוט שיארחו את החברים של נטאשה, שלומי שבת, עידן חביב, נתן גושן, נסרין קדרי, דני סנדרסון שיארח את תיסלם ואמיר דדון, נגה ארז ועוד.	As part of the festival, every day there will be musical performances by many artists including Sarit Hadad, Kobi Peretz, Aviv Geffen and The Taviot who will host Natasha's friends, Shlomi Shabbat, Idan Haviv, Natan Goshen, Nasreen Kadari, Dany Sanderson who will host Tislam and Amir Dadon, Noga Erez and more.	yes
לצד המוסיקה השנה יתקיימו שני מופעים מסקרנים.	Alongside the music, two intriguing performances will take place this year.	yes
הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.	The first is ARTISTA - an exhibition of illuminated displays in the public space (design: Philip Blau) with other galactic figures that will circulate among the visitors within a structure and present a whole adventure in light and also at night.	yes
המיצג התיאטרלי ישלב רקדנים, שחקנים, ואמני תיאטרון פיזי שיתקשרו עם הקהל.	The theatrical performance will combine dancers, actors, and physical theater artists who will interact with the audience.	yes
SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.	SPARKS is a circus, movement and aerial performance by Circus Y, an Instagram photography exhibition inspired by famous works of art.	yes
The Black Box Gallery – היא גלריית ההצצה של היוצר והמבצע ליאור כלפון, שתוצב ברחבת היריד עם חורי הצצה שיחשפו את הקהל לתערוכת יצירותיו הזרחניות של ליאור כלפון, יצירות אמנות של פסלים מוארים של האמן הרב תחומי אלון בירגר (תיאטרון האור) ועוד.	The Black Box Gallery - is the peep gallery of the creator and performer Lior Kalphon, which will be placed in the fairground with peepholes that will expose the audience to the radiant works of Lior Kalphon, illuminated sculptures by the multidisciplinary artist Alon Berger (Theater of Light) and more.	yes
צפו: תמיר גרינברג על מערכת היחסים עם אביו	Watch: Tamir Greenberg on his relationship with his father.	yes
זוכה "הכוכב הבא" מוצא סינגל שני וחוזר אל זיכרונות ילדותו ולנוכחות המשמעותית של אביו בחייו •	The winner of "The Next Star" releases a second single and returns to his childhood memories and the significant presence of his father in his life.	yes
"השיר מספר על הדרך לשמור על הקשר מרחוק", הוא מספר	"The song is about how to maintain a long-distance relationship," he says.	yes
תמיר גרינברג בסינגל שני בשם Into The Night לאחר שכבש את הקהל עם הסינגל הראשון שלו ובהשתתפותו ב"הכוכב הבא".	Tamir Greenberg in his second single called "Into The Night" after winning over the audience with his first single and his participation in "The Next Star".	yes
בחודשים האחרונים ממשיך גרינברג בהופעות רבות: היכל תרבות ת"א, משכן האופרה ת"א, אמפי שוני, אמפי גני יהושוע, האנגר 11 ועוד עשרות מופעים.	In recent months, Greenberg continues to perform in many venues: Tel Aviv Culture Hall, Tel Aviv Opera House, Shuni Amphitheater, Ganei Yehoshua Amphitheater, Hangar 11 and dozens of other shows.	yes
את השיר Into The Night הפיק ועיבד גרינברג יחד עם המפיק סתיו בגר.	The song "Into The Night" was produced and arranged by Greenberg together with the producer Stav Beger.	yes
הקליפ, בבימויה של דריה גלר, מחזיר את תמיר לזיכרונות מילדותו ולנוכחות המשמעותית של אביו בחייו.	The clip, directed by Daria Geller, takes Tamir back to his childhood memories and the significant presence of his father in his life.	yes
"השיר מדבר על היחסים בין אבא שלי לביני.	"The song talks about the relationship between my father and me.	yes
על התקופה שעזבתי את הארץ לארה"ב והדרך לשמור על הקשר מרחוק", מספר גרינברג.	"About the period when I left the country to the USA and the way to maintain the relationship from a distance," Greenberg says.	yes
בחודש הקרוב יופיע גרינברג בטקס הפתיחה של המכביה בישראל, ולקראת העונה החדשה של "הכוכב הבא", השיר איתו זכה בתוכנית, Tell Me Where The Light Goes, נבחר כשיר האודישנים לעונה הקרובה.	In the coming month, Greenberg will perform at the opening ceremony of the Maccabiah in Israel, and ahead of the new season of "The Next Star", the song with which he won the show, Tell Me Where The Light Goes, was chosen as the audition song for the upcoming season.	yes
תוצרת כחול לבן: יובל שמלא הוא המנצח הגדול של העונה והנינג'ה ה-16 בעולם	Blue and white product: Yuval Shamla is the big winner of the season and the 16th ninja in the world.	yes
הפנומן טיפס את הר מדוריאמה ב-26 שניות וקטף את התואר "הנינג'ה הישראלי הראשון" •	The phenomenon climbed Mount Midoriyama in 26 seconds and won the title "The first Israeli Ninja".	yes
יוגב מלכה טיפס את ההר ב-29 שניות, אך לא יחזיק בתואר נינג'.	Yogev Malka climbed the mountain in 29 seconds, but he will not hold the title of Ninja.	yes
ה	The	yes
יש מנצח: יובל שמלא כבש את המידוריאמה, והוא המנצח של העונה הרביעית של "נינג'ה ישראל" וכעת הוא מחזיק בתואר הנינג'ה הישראלי הראשון וה-16 בעולם.	We have a winner: Yuval Shamla has conquered the Midoriyama, and he is the champion of the fourth season of "Ninja Israel". Now, he holds the title of the first Israeli Ninja and the 16th in the world.	yes
שמלא משתתף בתוכנית מאז עונתה הראשונה אז סיים במקום הראשון, ובעונה השנייה הפסיד לגיל מרנץ.	Shamla has been participating in the program since its first season where he finished first, and in the second season he lost to Gil Marentz.	yes
בעונה השלישית הוא שוב ניצח ולאחרונה חזר לעונה הרביעית, ובמהלך הצילומים הוא הצהיר שזו תהיה העונה האחרונה.	In the third season, he won again and recently returned for the fourth season, during which he announced that this would be his last season.	yes
הערב הוא טיפס לראשונה את הר המידוריאמה ב-26 שניות וסיים במקום הראשון, לאחר שגבר על המתמודדים יוגב מלכה וישי כלפון.	This evening, he climbed Mount Midoriyama for the first time in 26 seconds and finished in first place, after overcoming competitors Yogev Malka and Yishai Kalphon.	yes
מלכה הצליח לטפס את ההר ב-29 שניות וסיים במקום השני.	Malcha managed to climb the mountain in 29 seconds and finished in second place.	yes
יצויין שעל פי חוקי התכנית, בכל עונה יכול להיות מוכתר רק נינג׳ה אחד שהצליח לטפס את המידוריאמה בזמן.	It should be noted that according to the show's rules, only one ninja can be crowned each season who has successfully climbed the Midoriyama in time.	yes
לכן, על אף ההישג המרשים של מלכה, כיוון שיובל שמלא מנצח העונה טיפס את המידוריאמה ב-3 שניות מהר יותר, מלכה אינו זוכה בתואר העולמי של נינג׳ה.	Therefore, despite Malka's impressive achievement, since Yuval, the season's champion, climbed the Midoriyama 3 seconds faster, Malka does not win the world title of Ninja.	no
הוא יוכל להתחרות עליו מחדש בעונה הבאה.	He will be able to compete for it again next season.	no
טוב, הבנו, שמלא גיבור על, רותם סלע מושלמת, ו"נינג'ה ישראל" הוא אירוע הספורט החשוב בעולם	Okay, we get it, Shmuel is a superhero, Rotem Sela is perfect, and "Ninja Israel" is the most important sports event in the world.	yes
.	.	no
שתי מדליסטיות אולימפיות ושדר ספורט ותיק ישבו בגמר של תוכנית ריאליטי והתנהגו כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ	Two Olympic medalists and a veteran sports broadcaster sat in the finale of a reality show and acted as if it was the most significant sporting achievement on the face of the earth.	yes
.	.	no
רותם סלע מייצגת עבורנו אידיאל נשי כל כך מושלם, שזה מעוות להציג אותו כך בטלוויזיה.	Rotem Sela represents such a perfect feminine ideal for us, that it's distorted to present it like this on television.	yes
היא מרוויחה על קמפיינים יותר מוונדר וומן, היא יפה מדי, היא יודעת להעמיד במקום את דנה ויס, וכשצריך - גם לסנגר על השותף העסקי שלה.	She earns more from campaigns than Wonder Woman, she is too beautiful, she knows how to put Dana Weiss in her place, and when necessary - also to take care of her business partner.	yes
היא אמא וגם אשת קריירה שמפרסמת בנקים ומזגנים, מדגמנת ומובילה סדרות ותוכניות ריאליטי, ומשמשת עבור בנות צעירות מודל חיקוי בלתי מושג.	She is a mother and also a career woman who advertises banks and air conditioners, models and leads reality series and programs, and serves as an unattainable role model for young girls.	yes
ואולי זה הגיוני שרותם סלע עוברת מסך מושלם מדי, כי בתוכנית שהיא מנחה מוכרחים להיות מושלמים, ואין צורך להתנצל על כך.	And perhaps it makes sense that Rotem Sela goes through a too perfect screen, because in the show she hosts, you have to be perfect, and there's no need to apologize for that.	yes
בעולם של הנינג'ה כולם גדולים מהחיים, והמנחים תחילה.	In the world of the ninja, everyone is larger than life, and the leaders first and foremost.	yes
אסי עזר הרי הסתבך בפרשה שלכאורה היתה אמורה למחוק אותו מהמסך לתקופה מסוימת, אך מכיוון שהוא לא בן אנוש רגיל - הוא נחלץ ממנה עוד לפני מקבץ הפרסומות הראשון.	Asi Azar apparently got tangled up in a scandal that was supposed to erase him from the screen for a certain period, but since he is not an ordinary person - he got out of it even before the first commercial break.	yes
תקשיבו לפסקול של האירוע: ניב רסקין, ששידר בחייו זכיות בגביעי אירופה ושיאי עולם, אבל מתרגש ממגה־קיר כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ.	Listen to the event's soundtrack: Niv Raskin, who has broadcast live rights to European Cups and World Records in his life, but gets excited about a mega-wall as if it's the most significant sports achievement on the face of the earth.	no
בגמר ישבו לצידו כפרשניות שתי מדליסטיות אולימפיות (ירדן ג'רבי ולינוי אשרם), כאילו כדי להדגיש כמה נדירים ואיכותיים תנאי הכניסה לעולם העל־אנושי שמציגה תוכנית הריאליטי הזאת כבר ארבע עונות.	In the final, two Olympic medalists (Jordan Jervi and Linoy Ashram) sat next to him as commentators, as if to emphasize how rare and high-quality the conditions for entering the superhuman world that this reality show has been presenting for four seasons.	no
"נינג'ה ישראל" יצאה מפרופורציות כדי לשווק את העונה, שהסתיימה אמש עם הר המידוריאמה ועם יובל שמלא שהצליח לטפס אותו ב-26 שניות והוכתר סוף סוף לנינג'ה.	"Israeli Ninja" went out of proportion to market the season, which ended last night with the Midoriyama mountain and with Yuval Shamla who managed to climb it in 26 seconds and was finally crowned as the Ninja.	no
לשם הוביל מסלול כמעט בלתי עביר, שהפיל בזה אחר זה את כל הדמויות העל־אנושיות שהתוכנית דאגה לנפח להן את האגו לאורך השנה.	For this, he led an almost impassable path, which sequentially knocked down all the superhuman characters that the program had inflated their ego throughout the year.	no
רוצים להיות צבי נינג'ה?	Do you want to be a ninja squirrel?	no
לא אצלנו.	Not with us.	no
כאן מחפשים גיבורי־על.	Here, they are looking for superheroes.	no
הדגש היה על חיפוש יורש לשמלא, מי שמכונה "מלך המלכים והאחד במינו", ועוד כינויים שנועדו להבהיר כמה הוא מושלם וחד־פעמי.	The emphasis was on finding a successor to fill the role of the one called "King of Kings and one of a kind", and other titles meant to clarify how perfect and unique he is.	no
כתוצאה מכך הועלתה רמת הקושי, הבנות שניסו להתמודד במסלולי העונה התרסקו, והבנים התחרו ביניהם למי יש יותר ריבועים בבטן וכריזמה של דיקט כדי להיכנס לנעליו של שמלא הפורש.	As a result, the level of difficulty was raised, the girls who tried to cope in the season's courses crashed, and the boys competed among themselves for who has more abs and charisma of a dictator to fill the shoes of the retiring bachelor.	no
יגידו שזו תוכנית ספורטיבית שמעודדת פעילות גופנית ומציגה התגברות על קשיים ואתגרים, אבל מבחינת הרוב המוחלט של הצופים - בטטות כורסה בינוניות שכמונו - "נינג'ה ישראל" מטפחת עבורנו מודל ספורטיבי־הישגי בלתי מושג.	They might say it's a sports program that encourages physical activity and overcoming challenges, but for the vast majority of viewers - average couch potatoes like us - "Ninja Israel" cultivates an unattainable sports-achievement model for us.	no
מהיר יותר, חזק יותר, גבוה יותר, מושלם יותר.	Faster, stronger, higher, more perfect.	no
כשגיל ססובר נע בין פאנצ'ים לשיחות על קדושה	When Gil Sassover oscillates between punches and talks about holiness.	yes
מוזר לראות את הקומיקאי, אקס "קומדי סטור", מנחה תוכנית "קבלת שבת" בערוץ 14, שבה הוא טועם מסירים ונותן במה בעיקר לגברים	It's strange to see the comedian, a former "Comedy Store" performer, hosting a "Friday Night Reception" program on Channel 14, where he tastes dishes and mainly gives a platform to men.	yes
אם נשחק במשחק אסוציאציות, לכולנו יהיו תשובות דומות לשאלה "מה מזכיר לכם המושג 'הכנות לשבת'?".	If we play an association game, we would all have similar answers to the question "What does the term 'preparation for Shabbat' remind you of?".	yes
תגידו: ספונג'ה וניקיונות, סירים על הגז וריחות בחדר המדרגות, ירון אילן או אבי כאכון בטלוויזיה, אבל הכי מוזר יהיה אם מישהו יגיד פתאום "גיל ססובר".	Say: Sponge and cleanliness, pots on the gas and smells in the stairwell, Yaron Ilan or Avi Kakhon on TV, but the weirdest thing would be if someone suddenly says "Gil Sassover".	yes
כי גיל ססובר באמצע הספונג'ה והבישולים זה הכי לא קשור שהטלוויזיה יכולה להציע.	Because Sesober's age is in the middle of the sponge and the cooking is the least related thing that television can offer.	yes
ובאמת, "קבלת שבת", התוכנית החדשה שהוא מנחה בצהרי שישי בערוץ 14, מנותקת ברוחה מהשעה שהיא משודרת.	Indeed, "Kabbalat Shabbat", the new show he hosts on Friday afternoon on Channel 14, is disconnected in its spirit from the time it is broadcasted.	yes
לאורך מחצית ממנה - ססובר עומד.	Halfway along it - a sycamore stands.	yes
הוא מדבר במהירות, מחזיק ביד מיקרופון גם כשהוא טועם מנות, ומשתדל לחלק את המינון בין פאנצ'ים לבין שיחות על קדושה.	He speaks quickly, holds a microphone even when he's tasting dishes, and tries to balance the dosage between punchlines and talks about holiness.	yes
להגנתו ייאמר כי דלות התקציב מורגשת, וזה כנראה המקסימום שניתן לייצר בתנאים הללו.	In his defense, it should be said that the budget constraints are noticeable, and this is probably the maximum that can be produced under these conditions.	yes
עם זאת, מה שעוד הורגש בתוכנית הבכורה, ששודרה שלשום ממטה בנימין, זו חלוקה מגדרית ברורה.	However, what was also noticeable in the debut program, which was broadcast the other day from Matan in Binyamin, was a clear gender division.	yes
הגברים שרים, מנגנים, רוקדים, מדברים תורה, משווקים מסעדות ומפעלים - ואילו הנשים הסתפקו באייטם קטן, שבו סיפרו בהתרגשות על ניהול מתפרה.	The men sing, play music, dance, discuss Torah, promote restaurants and factories - while the women were content with a small item, in which they excitedly talked about managing a sewing shop.	no
