בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs were born in Iran.	yes
לפי הדו"ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.	According to the report, job seekers were mainly interested in job-intensive areas such as administration and sales, for which 1, 738, 485 resumes were sent, for which 1, 738, 485 resumes were sent.	yes
עם זאת, המשרות ללא ניסיון הובילו בראש הביקושים עם יותר מ-38 אלף חיפושים - כנראה בעקבות חזרה של צעירים חסרי ניסיון מקצועי לחיפוש אחר עבודה מיידית, בתום תשלומי החל"ת.	However, jobs without experience led the demand with more than 38, 000 searches  probably due to the return of young people with no professional experience to look for immediate work, at the end of the payment by TSA.	yes
מספר החיפושים למכירות ולאדמיניסטרציה היה 35 אלף ו-32 אלף (בהתאמה), לנהגים ולשליחים היו 11 אלף חיפושים, ולשמירה היו מעט פחות מ-9,000 חיפושים.	The number of searches for sales and administration was 35, 000 and 32, 000 ( respectively), drivers and couriers had 11, 000, and maintenance had slightly less than 9, 000 searches.	yes
מאידך, למרות משבר הקורונה, השכר בשנת 2021 עלה ב-2% בהשוואה לשנת 2020, והשכר הממוצע בישראל עמד על 11,675 שקלים ברוטו.	On the other hand, despite the coronavirus crisis, wages in 2021 increased by 2% compared to 2020, and the average wage in Israel was NIS 11, 675 gross.	yes
השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.	The monthly salary in the software field was NIS 17, 915 on average, and in information systems analysis it was NIS 17, 140, and in information systems analysis it was NIS 17, 140.	yes
עם זאת, בין המרכז לפריפריה היה קיים פער שכר של יותר מ-2,000 שקלים: במרכז הארץ הוא היה 12,500 שקלים בממוצע, לעומת 10,795 בצפון ו-10,135 שקלים בדרום.	However, between the center and the periphery there was a wage gap of more than NIS 2, 000: In the center of the country, it averaged NIS 12, 500, compared to NIS 10, 795 in the north and NIS 10, 135 in the south.	no
מבחינה מגדרית, פער השכר הממוצע בין נשים לגברים, שאותו ניתן להסביר גם בסוג העבודה ובהיקפי השעות, נשמר ועמד על 36%.	From a gender perspective, the average wage gap between women and men, which can also be explained by the type of work and the volume of hours, was maintained at 36% and stood at 36%.	no
גברים השתכרו 13,295 שקלים, לעומת שכר הנשים שעמד על 9,740 שקלים.	Men earned NIS 13, 295, compared to women's NIS 9, 740.	no
מנסים לחזור לתלם	Trying to get back on track.	no
בצד של העסקים, נרשמה צמיחה רוחבית כמעט בכל ענפי המשק, והעסקים השתוקקו לידיים עובדות.	On the business side, there was transverse growth in almost all sectors of the economy, and businesses craved working hands.	no
כך, היצע המשרות עלה ב-50% ורשם שיא של יותר מ-40 אלף משרות באולג'ובס.	Thus, the supply of jobs increased by 50% and recorded a record of more than 40, 000 jobs at All Jobs.	no
סקר שערך האתר בקרב מעסיקים מצא כי 50% היו אופטימיים לגבי הסטטוס הכלכלי שלהם ב-2022, 30% מהם העידו על כוונתם להגדיל את סך הגיוסים אך 72% מבינים שיתקשו בכך השנה.	A survey conducted by the site among employers found that 50% were optimistic about their economic status in 2022, 30% of them indicated their intention to increase total recruits, but 72% understand that they will find it difficult this year.	no
ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.	The largest supply was for jobs without experience - and such there were more than 58, 000 on the site.	no
אחריהן היו תפקידי שירות לקוחות ואדמיניסטרציה עם כ-44 אלף משרות בכל תחום, מכירות ותוכנה עם 41 אלף משרות כל אחת, הוראה וחינוך עם 24 אלף משרות פנויות, ומחסנאים עדיין מבוקשים ב-19 אלף משרות פנויות.	They were followed by customer service and administration positions with about 44, 000 jobs in every field, sales and software with 41, 000 jobs each, teaching and education positions with 24, 000 vacancies, and warehouse workers still in demand in 19, 000 vacancies.	no
עינב בוימפלד, מנהלת המחקר והתוכן באולג'ובס: "מחפשי העבודה מנסים לחזור לתלם אך אינם מסתערים על השוק, בעיקר בשל היעדר משרות אטרקטיביות בעיניהם.	Einav Boimfeld, Director of Research and Content at Jobs: “ Job seekers are trying to get back on track but are not storming the market, mainly due to the lack of attractive jobs in their eyes.	no
כמו כן, הנתק הממושך ממעגל העבודה מקשה עליהם לחזור, וחלקם מצאו אופנים יצירתיים להתפרנס".	In addition, the prolonged disconnection from the workforce makes it difficult for them to return, and some have found creative ways to make a living."	no
הלמ"ס: שיעור האבטלה בישראל עלה ל-6.3%	The CBS: The unemployment rate in Israel rose to 6 percent. 3%	yes
מנתוני סקר הלשכה עולה כי כ-270 אלף ישראלים נותרו מחוסרי עבודה בחודש דצמבר 2021 •	Bureau survey data shows that about 270, 000 Israelis remain unemployed in December 2021•	yes
בנובמבר היו כ-262 אלף מובטלים	In November, 262, 000 people were unemployed.	yes
אחוז המובטלים במחצית הראשונה של חודש דצמבר 2021 עמד על 6.3%, כ-270 אלף ישראלים, לעומת 6.1% במחצית השנייה של נובמבר 2021 (כ-262 אלף).	The percentage of unemployed in the first half of December 2021 was 6, or 6, respectively. 3%, about 270 thousand Israelis, compared to 6, 000 Israelis. 1% in the second half of November 2021 ( about 262 thousand) .	yes
כך עולה מנתוני סקר כוח אדם למחצית הראשונה של חודש דצמבר 2021 של הלשכה המרכזית לסטטיסטיקה.	This is according to labor force survey data for the first half of December 2021 by the Central Bureau of Statistics.	yes
אחוז הבלתי מועסקים עמד על 4.5% במחצית הראשונה של דצמבר 2021 לעומת 4.3% במחצית השנייה של נובמבר 2021.	The percentage of unemployed was 4, which was unemployed. 5% in the first half of December 2021 compared to 4 in the country. 3% in the second half of November 2021	yes
במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.	In other words, this is 193 thousand unemployed compared to 180, 000 unemployed. 3k	yes
לפי תכונות כוח העבודה במחצית הראשונה של דצמבר 2021 בקרב בני 15 ומעלה עולה כי אוכלוסיה זו כללה 6,607,500 תושבים בישראל, לא כולל מוסדות וגרים מחוץ לישובים.	According to the characteristics of the labor force in the first half of December 2021 among those aged 15 and over, this population included 6, 607, 500 residents in Israel, excluding institutions and living outside the communities.	yes
מתוכם 64.4%, כלומר 4,252,700 הם בכוח העבודה והשאר המהווים 2,354,800 אינם בכוח העבודה.	Of these, 64 are. 4%, i.e. 4, 252, 700 are in the labor force and the rest comprising 2, 354, 800 are not in the labor force.	yes
מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.	Of those in the 95th workforce. 5%, or 4, 059, 700, are employed and the rest are unemployed, the rest are unemployed.	yes
מאלה אשר אינם בכוח העבודה, 2.3% הפסיקו לעבוד בגלל פיטורים או סגירת העבודה ממרץ 2020.	Of those who are not in the labor force, 2, are not in the labor force. 3% stopped working due to layoffs or job closures as of March 2020	no
סקר כוח אדם מספק מידע על כוח העבודה בישראל והוא נערך באופן שוטף על ידי הלשכה המרכזית לסטטיסטיקה.	A labor force survey provides information on the labor force in Israel and is conducted regularly by the Central Bureau of Statistics.	no
במחצית הראשונה של חודש דצמבר 2021 רואיינו באופן שוטף כ-8,700 בני 15 ומעלה.	In the first half of December 2021, about 8, 700 people aged 15 and over were interviewed regularly on a round-the-clock basis.	no
במחצית השנייה של חודש נובמבר 2021 רואיינו באופן שוטף כ-8,900 בני 15 ומעלה.	In the second half of November 2021, about 8, 900 people aged 15 and over were interviewed on a regular basis.	no
אוכלוסיית הסקר כוללת את התושבים הקבועים של מדינת ישראל, תיירים ותושבים ארעיים השוהים בישראל יותר משנה ברציפות.	The survey population includes the permanent residents of the State of Israel, tourists and temporary residents who have been in Israel for more than a year in a row.	no
הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.	The survey enables monitoring of developments in the labor force, its size and characteristics, the extent of unemployment and more.	no
"לא מובן מאליו": סאבלימינל מקדש את השבת - ומתכונן לעצמאות	" incomprehensible": Subliminal sanctifies the Sabbath  and prepares for independence.	yes
חוגג את העובדה ש"אנחנו יכולים לחיות כמו שבא לנו", מתרגש לקראת המפגש עם הקהל ומקפיד לבלות עם הילדים •	Celebrates the fact that "we can live the way we want", gets excited about meeting the audience and makes sure to spend time with the children•	yes
סוף השבוע ויום העצמאות של קובי שמעוני, סאבלימינל	Weekend and Independence Day of Kobi Shimoni, Subliminal.	yes
איך נראה יום שישי טיפוסי שלך?	What does your typical Friday look like?	yes
"סופי השבוע הם הרגעים החשובים בחיים, מבחינתי.	"The weekends are the most important moments in life, as far as I'm concerned, " the weekends are the most important moments in life.	yes
הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.	The sanctification and tradition are a very deep root in my soul.	yes
ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).	My Fridays are dedicated to the children, Or ( 10) and Jonathan ( 8) .	yes
אני אוסף אותם מבית הספר, אנחנו קונים פרחים ומצרכים לקידוש, אוכלים צהריים ועושים משהו כיפי ביחד, כמו לשחק כדורגל, לרכוב על סוסים או לשחק במכוניות על שלט.	I pick them up from school, we buy flowers and kiddush supplies, have lunch and do something fun together, like play soccer, ride horses or play cars on a sign, etc.	yes
לפעמים הולכים לים, או אפילו סתם לרחוץ את הרכב, אבל תמיד עוצרים בדרך לקנות מתנה בחנות הצעצועים בשכונה - ותמיד יש תירוץ אחר.	Sometimes you go to the beach, or even just wash the car, but you always stop on the way to buy a gift at the toy store in the neighborhood  and there's always another excuse.	yes
כשחוזרים הביתה עם שלל המתנות, ריחות הבישולים מקבלים את פנינו".	When we return home with our gifts, the smells of cooking greet us."	yes
איך נראית ארוחת שישי שלכם?	What does your Friday dinner look like?	no
"בורכתי בבשלניות סביבי.	“ I was blessed with the cooking around me.”	no
מהצד שלי יש מטבח פרסי־תוניסאי, מלא סלטים ואווירה של צחוקים, מוזיקה, שירה ושמחה.	On my side there is a Tunisian Persian cuisine, full of safes and an atmosphere of laughter, music, singing and joy.	no
מהצד של אשתי אינס, שהיא גם בשלנית נהדרת, מגיעים המאכלים האוקראיניים, שהם עמוקים וחריפים, עם הרבה בשר.	From the side of my wife Ines, who is also a great cook, come the Ukrainian dishes, which are deep and spicy, with a lot of meat, including a lot of meat.	no
כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.	When we get to my mother-in-law's, already from the lobby of the building, amazing smells come from her apartment.	no
לרוב אני עושה את הקידוש, יחד עם הילדים, שמכירים אותו בעל פה.	I usually do the Kiddush, together with the children, who know it by heart.	no
בסופו של דבר, הכיף שלי אחרי האוכל זה להתעלף על השטיח, ושהילדים קופצים עלי כאילו אני איזה מתנפח".	In the end, my fun after eating is passing out on the carpet, and having the kids jump on me like I'm some kind of inflatable."	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	You have a special childhood memory from the weekends.	no
"כילד, הייתי מתעורר בשבת לצלילי מוזיקה ישראלית ברשת ג' ולמערכוני הגשש החיוור, שידענו בעל פה.	“ As a child, I would wake up on Shabbat to the sounds of Israeli music on Network C and to the pale tracker systems, which we knew by heart that we knew by heart.	no
אבא שלי אהב טבע וטיילנו המון בארץ ישראל, בדרך כלל לצפון.	My father loved nature and we traveled a lot in the Land of Israel, usually to the north.	no
כל פינה נידחת בארץ עשתה לו גאווה בלב.	Every remote corner of the country made him proud in his heart.	no
הוא נפטר לפני שלושה חודשים ממחלה קשה, ובשבילו קידוש ושבת היו קודש הקודשים, בעיקר מהבחינה שכל המשפחה צריכה להיות יחד.	He died three months ago from a serious illness, and for him Kiddush and Shabbat were the holy of holies, mainly in the sense that the whole family should be together.	no
לאחרונה הוצאתי שיר לזכרו בשם 'שומר עליך', שיצרתי עם אושר כהן.	I recently released a song in his memory called 'Keeper of You', which I created with Osher Cohen,	no
אני מאמין שהוא היה גאה ביצירה הזו, שמקדשת את הקשר בין אבא לבן".	I believe he was proud of this work, which sanctifies the bond between father and son.	no
בקרוב נציין את יום העצמאות ה־74. כציוני נלהב, מה התחושות שלך לגבי החג?	We will soon mark our 74th Independence Day. As an enthusiastic Zionist, what are your feelings about the holiday?	no
"יום העצמאות הוא יום קדוש בשבילי, וחלק מהמשמעות ומהזהות שלי.	"Independence Day is a holy day for me, and part of my meaning and identity.	no
בפרס ובתוניסיה הוריי נאלצו להסתיר את הזהות היהודית שלהם, ואילו אני יהודי־ישראלי שזוכה לחיות עם ילדיו במדינה שלנו.	In Paris and Tunisia, my parents had to hide their Jewish identity, while I am an Israeli Jew who gets to live with his children in our country.	no
שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.	A week or two before Independence Day, I would climb trees and tie strings with Israeli flags to the house.	no
היום ימי העצמאות שלי מלאים בהופעות, ותמיד פוגשים קהל שמח בטירוף, שחוגג את זה שאנחנו יכולים לחיות כמו שבא לנו.	Today my independence days are full of performances, and I always meet an insanely happy audience, celebrating the fact that we can live the way we want us to live.	no
צריך לשמור שגם לילדים, לנכדים ולנינים שלנו תהיה האפשרות הזו, ולזכור ששום דבר פה לא מובן מאליו".	We need to ensure that our children, grandchildren and great-grandchildren also have this option, and remember that nothing here is taken for granted.	no
שישי שלה: אסתי זקהיים מברכת את השבת	Her Fridays: Esti Zakheim welcomes the Sabbath.	yes
"החלום שלי הוא לפתוח שולחן גדול ולהזמין את כל יקיריי המתים": ארוחת שישי שאסתי זקהיים חולמת עליה, ואיך היא מתמודדת עם העובדה שבעלה שומר שבת?	"My dream is to open a big table and invite all my dead loved ones": A Friday dinner that Esti Zakheim dreams of, and how she deals with the fact that her husband observes Shabbat.	yes
ספרי על ההכנות שלך לשבת	Tell us about your preparations for Shabbat.	yes
.		no
"ההכנות מתחילות כבר בחמישי בלילה, כשאני חוזרת מהצגה או מסדנה ומבשלת עד שלוש לפנות בוקר את כל מה שמצריך בישול ארוך כמו גולש, צלי ורטבים.	Preparations begin on Thursday night, when I return from a show or workshop and cook until three in the morning everything that requires long cooking such as goulash, roast and sauces.	yes
בשישי, בחלק הראשון של היום, אני מקדישה את הזמן לעצמי, לפגישה עם חברות וחברים לקפה, להצגה או לסרט, או שאני משתתפת בחזרות.	On Friday, in the first part of the day, I dedicate the time to myself, meeting friends for coffee, a play or a movie, or I attend rehearsalsals, or I attend rehearsalsals.	yes
בקיץ השבתות נכנסות מאוחר, ויש לי הרבה זמן לשבת בגינה השכונתית ולצפות בשקיעה או סתם בסדרה טובה.	In the summer, Saturdays come in late, and I have a lot of time to sit in the neighborhood garden and watch the sunset or just watch a good series.	yes
בארוחת השבת אני לרוב מארחת את אמא שלי, ורדה, שחגגה 89, וגם חברים".	At Shabbat dinner, I usually host my mother, Varda, who celebrated her 89th birthday, as well as friends.	yes
יכולה לשתף עוד בבישולים?	You can share more about cooking.	yes
"אני אוהבת קיצורי דרך.	“ I like shortcuts.	yes
למשל, במקום לקלף 10 בצלים, לחתוך ולבכות, אני קונה שקית בצל קפוא ומטגנת אותו.	For example, instead of peeling 10 onions, cutting and crying, I buy a bag of frozen onions and fry it.	no
על שולחן השבת שלי אפשר למצוא מנות בשר, מנות טופו טבעוניות, תפוחי אדמה וכרובית בתנור.	On my Shabbat table you can find meat dishes, vegan tofu dishes, potatoes and cauliflower in the oven.	no
את רוב הבישולים אני מכינה, והם כמובן מתחממים על הפלטה בשבת.	Most of the cooking I do, and of course they warm up on the plate on Shabbat.	no
אלחנדרו, בן זוגי, מכין מרק עוף, סלט ירקות ובחורף - את הצ'ולנט".	Alejandro, my partner, makes chicken soup, vegetable salad and in winter  the cholent” .	no
בעלך הוא אדם דתי ואת מבית חילוני.	Your husband is a religious man and you are from a secular home.	no
איך זה עובד?	How it work.	no
"לגור עם שומר שבת זו התפשרות אינסופית.	"Living with a Shabbat keeper is an endless compromise.	no
'ואהבת לרעך כמוך', הלכה למעשה.	'Love your neighbor as yourself', in fact she went.	no
לטיולים משפחתיים הוא לא יכול לצאת, אז מצאתי את עצמי הרבה פעמים אורזת את הילדים ומצטרפת לטיולי משפחות של חברים.	He can't go on family trips, so I often found myself packing up the kids and joining friends' family trips.	no
בנוסף, אני גם הנהגת התורנית של הילדים, זו שמחזירה אותם בשישי בלילה ממסיבות וממפגשים.	In addition, I am also the on-duty driver of the children, the one who brings them back on Friday night from parties and meetings and gatherings.	no
מצד שני, אני גם נהנית מיתרונות השבת שלו, כי בדרך כלל אני לא מופיעה בשבת ומקבלת מעין 'חופשה כפויה' - וטוב שכך".	On the other hand, I also enjoy the benefits of his Shabbat, because usually I don't show up on Shabbat and get a sort of 'forced vacation' - and that's a good thing."	no
את מי היית רוצה לארח בשבת?	The one you would like to host on Shabbat is the one you want to host.	no
"הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.	“ I would open a big table and invite 'my dead'.	no
לפעמים אני מדמיינת מה היה אילו אחי דניאל ז"ל היה בחיים, או אם אבא שלי, שניאור ז"ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).	Sometimes I imagine what would have happened if my late brother Daniel had been alive, or if my father, the late Shneur, had seen my children: Uriel ( 23) and twins Tamara and Naama ( 16 and a half) .	no
בטח היינו רבים על כדורגל ופוליטיקה ומתמוגגים אלה מאלה".	We must have been fighting over football and politics and enjoying each other.	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	You have a special childhood memory from the weekends.	no
"היינו משפחה חמה ומאוחדת.	"We were a warm and united family.	no
בשישי בצהריים אמא היתה מכינה ערימת שניצלים, מביאה מהשוק חומוס ופיתות ושורפת חצילים לסלט טחינה.	On Friday afternoon, Mom would make a pile of schnitzels, bring hummus and cookies from the market, and burn eggplants for a tahini salad.	no
אחר כך היינו נוסעים לדודה חנה ביד אליהו, או כמו שהיא היתה אומרת 'יד אליָיְקֶ'ה', והיא היתה מכינה בלינצ'סים.	Then we would go to Aunt Hannah at Yad Elio, or as she would say, Yad Elike, and she would make blintzes, and she would make blintzes.	no
מכיוון שרק אני לא אהבתי צימוקים, היא היתה מכינה לי כמה ללא צימוקים.	Since only I didn't like raisins, she would make me some without raisins.	no
היא ראתה אותי, הקטנה שבאחים, ודאגה לי.	She saw me, the little one of the brothers, and worried about me.	no
בשבתות היינו עושים סיור עם אבא שלי בנמל יפו, והוא היה מראה לנו מאיפה הוא ואחיו התאום, גרישה, הגיעו לארץ בלי כלום".	On Saturdays we would take a tour with my father at the port of Jaffe, and he would show us where he and his twin brother, Grisha, came to Israel with nothing."	no
פיינליסטית "אקס פקטור" ענבל ביבי תשתתף במחזמר "הלהקה"	"X Factor" finalist Inbal Bibi will participate in the musical "The Band" in the musical.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •	Bibi participated in the last season of "X Factor" and finished in third place.	yes
היא תשחק בתפקיד נועה שאותו גילמה דפנה ארמוני	She will play the role of Noa played by Dafna Armoni.	yes
פיינליסטית ״אקס פקטור״, ענבל ביבי, לוהקה למחזמר ״הלהקה״ שיעלה בתיאטרון הארצי ותשחק בתפקיד נועה.	Finalist" X Factor", Inbal Bibi, has been cast in the musical" The Band" which will be performed at the National Theater and will play the role of Noa.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי והמכובד.	Bibi participated in the last season of “ X Factor” and finished in third and respectable place.	yes
כעת מתגלה שיש חיים אחרי הריאליטי והיא מצטרפת למחזמר ״הלהקה״.	Now it is revealed that there is life after the reality show, and she joins the musical "The Band" and she joins the musical "The Band".	yes
ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.	Bibi will play the role of Noa, played by Dafna Armoni.	yes
ביבי תצטרף לעמית פרקש, נאיה בינשטוק, ים רפאלי, נופר סלמאן, שי המבר, אלישע בנאי ועוד.	Bibi will join colleague Farkas, Banai Binstock, Yam Refaeli, Nofar Salman, Shai Hember, Elisha Banai and others.	yes
ג'ניפר לופז ובן אפלק התארסו	Jennifer Lopez and Ben Affleck got engaged.	no
כמעט שני עשורים אחרי סיפור האהבה שלהם שנגמר בפרידה, לופז ואפלק חוזרים זה לזרועות זו •	Nearly two decades after their love story that ended in separation, Lopez and Affleck are back in each other's arms•	no
לופז נפרדה משחקן הבייסבול אלכס רודריגז באפריל 2021	Lopez split from baseball player Alex Rodriguez in April 2021 in April 2021.	no
.		no
האחת שלו: כמעט שני עשורים אחרי סיפור האהבה הראשון שלהם שנגמר בפרידה ושנה לאחר הקאמבק המתוקשר, ג'ניפר לופז ובן אפלק סוגרים מעגל רומנטי ומאורסים.	His one: Nearly two decades after their first love story that ended in separation and a year after the high-profile comeback, Jennifer Lopez and Ben Affleck are closing a romantic circle and are engaged.	no
את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com	Lopez shared the happy news last night ( Friday) with her fans on her official website onthejlo. com	no
.		no
הידיעה על האירוסין מגיעה לאחר שהשבוע תועדה לופז מסתובבת כשטבעת יהלום ענקית נראית בבירור על אצבע האירוסין שלה.	The news of the engagement comes after Lopez was documented walking around this week with a huge diamond ring clearly visible on her engagement finger.	no
נציג מטעמה אישר למגזין פיפל כי אפלק ולופז אכן מאורסים.	A representative confirmed to People magazine that Affleck and Lopez are indeed engaged.	no
כזכור, בפעם הקודמת שאפלק (49) שלף טבעת והציע ללופז (52) להיות שלו לנצח זה היה בשנת 2002, ואז היה מדובר בטבעת מנקרת עיניים עם יהלום ורוד ענק של שישה קראט, בשווי מוערך של כ-2.5 מיליון דולר.	Recall, the last time Affleck ( 49) pulled out a ring and offered Lopez ( 52) to be his forever it was in 2002, and then it was an eye-popping ring with a huge six-carat pink diamond, with an estimated value of about 2 or 2, an estimated value. $5 million	no
למרות מחוות האהבה הגרנדיוזית, השניים נפרדו בשנת 2004, כשהם מאשימים את התקשורת באובססיביות יתר ובחיטוט בלתי פוסק בחייהם.	Despite the grandiose gesture of love, the two separated in 2004, accusing the media of over-obsessing and incessant probing their lives.	no
מאז אפלק הספיק להינשא לשחקנית ג'ניפר גארנר, אם שלושת ילדיו, ואילו לופז, כידוע, היתה נשואה כבר 3 פעמים בעבר, כולל לזמר מארק אנתוני, שיחד הפכו הורים לתאומים.	Since then, Affleck managed to marry actress Jennifer Garner, the mother of his three children, while Lopez, as is known, has already been married 3 times in the past, including to singer Marc Anthony, who together became parents of twins.	no
מערכת היחסים הרומנטית האחרונה של לופז היתה עם שחקן הבייסבול אלכס רודריגז, שממנו נפרדה באפריל 2021 לאחר מערכת יחסים בת ארבע שנים, כולל אירוסים של שנתיים.	Lopez's last romantic relationship was with baseball player Alex Rodriguez, from whom she split in April 2021 after a four-year relationship, including a two-year engagement, which includes a two-year engagement.	no
הקרדשיאנס מדברות: "אי אפשר להמציא את מה שקורה לנו"	The Kardashians speak: "It is impossible to invent what is happening to us"	yes
"הכאוס בלתי נגמר", מתעקשת אמא קריס ג'נר על הסדרה החדשה בכיכוב המשפחה הראשונה של הריאליטי, ומקבלת גיבוי מבנותיה ומהמפיק החדש •	"The chaos is never-ending, " mom Kris Jenner insists on the new series starring the reality show's first family, backed by her daughters and the new producer •	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In an article that will be published in “ Shishat” magazine, they talk about the big money, the PR grinder, the brand factory and the change Kim wants to make in the world: “ I'm no longer the one who thinks for hours about which bikini selfie to post.”	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It may surprise many, but the most in-demand brand in 2022 for the Disney content empire, which also includes Marvel and Star Wars movies, is the Kardashian family.	yes
פרטי החוזה של המשפחה הראשונה של הריאליטי ושל הרשתות החברתיות מול דיסני לא נחשפו, אבל ההערכות טוענות לסכום מינימלי של מאה מיליון דולר שהועבר לבנות המשפחה, שמעתה מתפקדות גם כמפיקות.	Details of the contract of the first family of reality TV and social media with Disney have not been revealed, but estimates suggest a minimum amount of $100 million was transferred to the family members, who now also function as producers, who also serve as producers.	yes
במפגש עיתונאי עם הכוכבות, כל אחת מהן מלווה בצוות ביוטי שלם שדואג לטאצ'-אפים של איפור, שיער וקמטוטים בבגדים ללא הפסקה, התעקשו בנות המשפחה, כמו גם המפיק החדש והמבוקש שלהן, שהפעם לא מדובר בריאליטי, הפעם מה שמתקבל על המסך אותנטי לחלוטין.	In a press meeting with the stars, each accompanied by an entire beauty team that takes care of touch-ups of makeup, hair and wrinkles in clothes non-stop, the family members, as well as their new and sought-after producer, insisted that this time it is not a reality show, this time what is received on the screen is completely authentic, this time what is received on the screen is completely authentic.	yes
"אי אפשר להמציא את מה שקורה לנו", אומרת בנחרצות האמא של המשפחה קריס ג'נר, "הכאוס בלתי נגמר".	“ You can’ t make up what’ s happening to us,” says Kris Jenner, the mother of the family, “ the chaos is never-ending.”	yes
"אנחנו מראות כמה גדלנו מאז אותה סדרה שעלתה ב-2007", אומרת קלואי קרדשיאן.	"We're showing how much we've grown since that series that came out in 2007, " says Khloe Kardashian, saying.	yes
"כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.	“ When we started we were terrified, a lot happens to us in life and it is impossible to simply delimit everything to a narrative of beginning, middle and end.	yes
הרבה עלילות זורזו בעריכה, נעטפו בסרט צבעוני מתקתק ונשכחו בצד.	Many plots were catalyzed in editing, wrapped in a sweet colorful film and forgotten on the side.	yes
ככה לא נראים החיים במציאות.	This is not what life looks like in reality.	no
עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית".	Now we're more exposed, naturally facing the camera, not just a reality show but an authentic documentary series."	no
כשמעמתים אותן עם מעורבותן החדשה בהפקת הסדרה, מה שלמעשה נותן להן שליטה מוחלטת בתוכן שמתקבל על המסך, קלואי טוענת: "אנחנו מעורבות מאחורי הקלעים, רואות קטעים בזמן עריכה ונותנות הערות, אבל לא ממקום של מגננה אלא פשוט לתת את דעתנו לגבי מה יעשה את הסדרה לטובה יותר.	When confronted with their new involvement in the production of the series, which effectively gives them total control over the content that is received on screen, Chloe claims: “ We're involved behind the scenes, seeing footage while editing and giving comments, but not from a defensive position but simply giving our opinion on what would make the series better, but rather what would make the series better.	no
זו מראה של חיינו ואני אישית מרגישה שעברתי צמיחה רגשית מצפייה בעצמי.	It's a mirror of our lives and I personally feel like I've grown emotionally from watching myself.	no
קנדל וקיילי היו ילדות קטנות כשהתחלנו, אז הן יותר מציבות גבולות".	Kendall and Kylie were little girls when we started, so they set more boundaries."	no
"התבגרתי"	“ I've grown up” .	no
קים קרדשיאן, מצדה, ממשיכה בכל הכוח לשנות את התדמית שלה, מטראש-ריאליטי זול לעורכת דין עם אג'נדה.	Kim Kardashian, for her part, continues with all her might to change her image, from cheap reality TV trash to a lawyer with an agenda.	no
"התבגרתי", היא טוענת, "אני מגדלת ארבעה ילדים שחורים, כלומר מקהילה נרדפת שמופלית לרעה במדינה הזאת.	"I've grown up, " she claims, "I'm raising four black children, that is, from a persecuted community that is discriminated against in this country."	no
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change reality so that my children and the children of all my friends have a different future, in the hope that we can heal the crooked system.	no
זוהי המוטיבציה שלי".	That's my motivation."	no
