Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel	yes
In November, the brand shared photos for its "The Gift" collection, which featured child models posing with teddy bears that were dressed in bondage attire. Shortly after, Balenciaga dropped photos for its spring 2023 campaign that featured a page from a 2008 Supreme Court case involving "virtual child pornography" in the background. Parents, including reality TV star and longtime Balenciaga fan - and brand partner - Kim Kardashian, spoke out against the brand and its "disturbing images" on social media. Days later, Balenciaga released a statement apologizing for the photos and outlining the changes it would implement to avoid similar "mistakes" in the future. "This experience has forced me to reevaluate a lot of things in the way I, we, work, in the way we create and communicate images, the way we interact with our audiences, and the way we learn from our mistakes and move forward," Demna told Vogue.	Im November teilte die Marke Fotos für ihre "The Gift" Kollektion, in der Kindermodelle mit Teddybären posierten, die in Knechtschaft gekleidet waren. Bald darauf ließ Balenciaga Fotos für seine Frühlingskampagne 2023 fallen, in denen eine Seite aus einem Fall des Obersten Gerichtshofs von 2008 mit "virtueller Kinderpornographie" im Hintergrund zu sehen war. Eltern, darunter Reality-TV-Star und langjähriger Balenciaga-Fan - und Markengesellschaft Kim Kardashian, protestierten in den sozialen Medien gegen die Marke und ihre "störenden Bilder". Tage später veröffentlichte Balenciaga eine Erklärung, in der sie sich für die Fotos entschuldigte und die Änderungen skizzierte, die sie umsetzen würde, um ähnliche "Fehler" in der Zukunft zu vermeiden.	yes
He detailed the postbacklash changes at Balenciaga: "restructuring the image department," conducting more internal and external checks for campaign imagery, and partnering with the National Children's Alliance to help "thousands of kids in the process of overcoming trauma and dealing with their mental health." "It's the one thing that makes me happy about this whole horrible situation: to do something good out of it," he said of that partnership, which was announced Wednesday.	Er beschrieb die nachträgliche Veränderung bei Balenciaga: "Umstrukturierung der Bildabteilung", mehr interne und externe Überprüfungen für Kampagne-Images und eine Partnerschaft mit der National Children's Alliance, um "tausenden von Kindern dabei zu helfen, Traumata zu überwinden und sich mit ihrer psychischen Gesundheit zu befassen. "Es ist das Einzige, was mich über diese ganze schreckliche Situation glücklich macht: etwas Gutes daraus zu machen", sagte er über diese Partnerschaft, die am Mittwoch bekannt gegeben wurde.	yes
Also teaming up with the NCA is Balenciaga's parent company, Kering, which oversees other luxury brands including Saint Laurent and Bottega Veneta. Under the Kering umbrella is Gucci, which faced backlash in December for a campaign featuring Harry Styles that some social media critics alleged also sexualized children. In the interview, Denma said he plans to move away from the brand's "provocative" ways. "This is part of my learning: I will have a more mature and serious approach to everything I release as an idea or an image," he said. "I have decided to go back to my roots in fashion as well as to the roots of Balenciaga, which is making quality clothes - not making image or buzz."	Unter dem Dach von Kering steht Gucci, das im Dezember wegen einer Kampagne mit Harry Styles, von der einige Kritiker in sozialen Medien behaupteten, auch Kinder sexualisiert zu haben, mit dem Gegenschlag konfrontiert wurde. In dem Interview sagte Denma, er beabsichtige, sich von den "provokativen" Formen der Marke abzuwenden. "Dies ist ein Teil meines Lernens: Ich werde einen erwachseneren und ernsten Ansatz für alles haben, was ich als Idee oder Bild herausbringe ", sagte er. "Ich habe beschlossen, zu meinen Wurzeln in der Mode sowie zu den Wurzeln von Balenciaga zurückzukehren, die Kleidung von Qualität herstellt - nicht Bilder oder Begeisterung herstellen".	no
Speaking of the brand's origins, elsewhere in the interview Demna said one of the most "painful" parts of the backlash was tarnishing "the name of Balenciaga and the legacy of Cristóbal Balenciaga." "Balenciaga is a house that is over one century old and is based on strong and beautiful creative values, and I have been busy doing all in my creative power to bring it to its modern relevance, and suddenly we were under attack and labeled as something we're not at all," Demna said. "We certainly made a huge and stupid mistake with the gifting campaign, and we certainly have learned from it."	Von den Ursprüngen der Marke sagte Demna an anderer Stelle im Interview, dass einer der "schmerzhaftesten" Bestandteile der Gegenreaktion die Beleidigung "des Namens von Balenciaga und des Erbes von Cristóbal Balenciaga" sei. "Balenciaga ist ein Haus, das über ein Jahrhundert alt ist und auf starken und schönen kreativen Werten basiert, und ich war damit beschäftigt, alles in meiner kreativen Macht zu tun, um es zu seiner modernen Relevanz zu bringen, und plötzlich wurden wir angegriffen und als etwas bezeichnet, was wir überhaupt nicht sind", sagte Demna. "Wir haben sicherlich einen riesigen und dummen Fehler mit der Geschenkakampagne gemacht, und wir haben sicherlich daraus gelernt".	no
It's Fake News, CBN Debunks Claim It Lacks Capacity To Print More New Naira Notes	Es sind Fake News, CBN entlarvt Behauptung, es sei nicht in der Lage mehr neue Naira Banknoten zu drucken	yes
The Central Bank of Nigeria (CBN) has described as misleading, the report that claimed to be quoting CBN govemor, Mr. Godwin Emefiele, as attributing the current challenge in the distribution of the newly redesigned Naira banknotes to a shortage of printing materials at the Nigerian Security Printing and Minting Company Plc. In a statement issued on Saturday, CBN spokesman, Osita Nwasinobi, said at no time did the CBN governor made such statement during his presentation to the National Council of State at its meeting on Friday, February 10, 2023. Mr Nwasinobi said Emefiele only told the meeting that the NSPMC was working on printing all denominations of the Naira to meet the transaction needs of Nigerians. He said while the CBN appreciates the concerns shown by all stakeholders about the distribution of the new Naira notes, "we are alarmed at the extent to which vested interests are attempting to manipulate facts and pitch the public against the Bank." Nwasinobi said the CBN remains committed to performing its monetary policy functions, as stipulated in the CBN Act, 2007 (as amended). "We also wish to restate that the NSPMC has the capacity and enough materials to produce the required indent of the Naira. "The bank, therefore, wishes to appeal to the public to disregard the said report and exercise more restraint, even as we work assiduously to increase the circulation of the new notes in the country," he added.	Die Zentralbank von Nigeria (CBN) hat den Bericht als irreführend bezeichnet, der CBN-Gouverneur Mr. Godwin Emefiele zitiert, der die derzeitige Herausforderung bei der Verteilung der neu gestalteten Naira-Banknoten auf einen Mangel an Druckmaterialien der Nigerian Security Printing and Minting Company Plc. zurückzuführen habe. In einer am Samstag veröffentlichten Erklärung sagte Osita Nwasinobi, Sprecher der CBN, dass der CBN-Gouverneur während seiner Präsentation gegenüber dem Nationalen Staatsrat in seiner Sitzung am Freitag, dem 10. Februar 2023 zu keinem Zeitpunkt eine solche Aussage machte. Herr Nwasinobi sagte, Emefiele habe der Sitzung nur gesagt, dass das NSPMC daran arbeite, alle Währungsstufen des Naira zu drucken, um den Umlaufbedürfnissen der Nigerianer gerecht zu werden. Er sagte, dass die CBN die Sorgen aller Beteiligten über die Verteilung der neuen Naira-Banknoten schätzlich schätze und "wir sind alarmiert, was an dem Ausmaß der Versuche, die Naira-Bank zu drucken, fehle". Naidubi sagte, dass er es daher "zufriedenstellend sei", die Aufträge des CBN zu erhöhen, die Geldverteilungsschenden Interessen der neuen Banken auszuübung zu machen und die Notfalleisten Fakten des Staatsrats in seinem Sitzustellung zu erwarten".	yes
On a particular voice note trending on the social media alleging that the CBN planned to shut down some banks, particularly in a particular geopolitical region of the country, the CBN said there was no such plan and that the claims were illogical and do not comply with the workings of the Nigerian banking system. "The public is therefore advised to ignore such recordings as they do not represent the policy thrust of the CBN and are only the desperate attempts of persons bent on inciting the public against the Bank," he stated.	Bei einer bestimmten in den sozialen Medien verbreiteten Sprechwortmeldung, dass die CBN geplant habe, einige Banken zu schließen, insbesondere in einer bestimmten geopolitischen Region des Landes, sagte die CBN, dass es keinen solchen Plan gebe und dass die Behauptungen unlogisch seien und nicht mit dem Funktionieren des nigerianischen Bankensystems übereinstimmen. "Die Öffentlichkeit wird daher gebeten, solche Aufnahmen zu ignorieren, da sie nicht die politischen Ziele der CBN darstellen und nur die verzweifelten Versuche von Personen sind, die darauf aus sind, die Öffentlichkeit gegen die Bank aufzuhetzen", erklärte er.	yes
Tim Sherwood tears into £44m signing Pedro Porro after dismal Tottenham debut	Tim Sherwood verkauft für 44 Millionen Pfund Pedro Porro nach seinem schlechten Debüt bei Tottenham.	yes
Porro had an afternoon to forget against Leicester (Picture: Getty)	Porro hatte einen unvergesslichen Nachmittag gegen Leicester (Bild: Getty)	yes
Tim Sherwood tore into Pedro Porro's "absolutely disgusting" defending during Tottenham's 4-1 defeat to Leicester City. Spurs signed the right-back from Sporting CP on transfer deadline day on an initial loan deal for £5million with the obligation to buy this summer for £39million. The 23-year-old was handed his debut by Antonio Conte on Saturday at the King Power Stadium with his side taking the lead after 14 minutes through Rodrigo Bentancur.	Tim Sherwood schlug den Pedro Porros "absolut widerwärtige" Verteidigung bei Tottenhams 4:1-Niederlage gegen Leicester City ein. Die Spurs unterzeichnete den Rechtsverteidiger vom Sporting CP am Übergabetermin für einen anfänglichen Kreditvertrag in Höhe von 5 Millionen Pfund mit der Verpflichtung, diesen Sommer für 39 Millionen Pfund zu kaufen. Der 23-Jährige wurde am Samstag im King Power Stadium von Antonio Conte debütiert, und sein Team führte nach 14 Minuten durch Rodrigo Bentancur.	yes
But it turned into an miserable afternoon with Nampalys Mendy, James Maddison and Kelechi Iheanacho all scoring to give Leicester a 3-1 at half-time with Porro enduring a torrid first-half in the Premier League. The Spaniard was at fault again as Leicester thought they had added a fourth through Barnes and while the goal was ruled out for offside, former Spurs manager Sherwood was left shocked by the full-back's defensive efforts. "I don't want to keep picking on the kid but he needs to be relieved of his duties," Sherwood told Soccer Saturday. I'll give him the benefit of the doubt because it is his debut but Pedro Porro is no bad it is unbelievable. His positioning is absolutely disgusting, Barnes and Maddison are destroying him down the left hand side. Daniel Levy was saying this week, they have spent a lot of money, yes they have, but their recruitment has been very poor and this is the latest addition. Let's not make any conclusions at the moment but what I am looking at is a player who does not want to defend.	Aber es wurde zu einem elenden Nachmittag mit Nampalys Mendy, James Maddison und Kelechi Iheanacho, die alle in der Halbzeit erzielten, um Leicester 3-1 zu verschaffen, während Porro eine hitzige erste Halbzeit in der Premier League ertrug.Der Spanier war wieder in Fehler, da Leicester dachte, sie hätten eine vierte durch Barnes hinzugefügt, und während das Tor für Offside ausgeschlossen wurde, war der ehemalige Spurs-Manager Sherwood schockiert über die Verteidigungsanstrengungen des Vordenkerhalbers. "Ich will das Kind nicht weiter aufspielen, aber er muss von seinen Pflichten entlastet werden", sagte Sherwood am Samstag gegenüber Soccer.Ich werde ihm den Vorteil des Zweifels geben, weil es sein Debüt ist, aber Porro Pedro ist nicht schlecht ist, es ist unglaublich. Seine Positionierung ist absolut ekelhaft und Porro Barnes und Maddison zerstören ihn links unten.	yes
"Antonio Conte has complained about the defending and this player, at the moment is struggling to defend. He is up against very good players in Barnes and Maddison but it is very disappointing." While the goal was ruled out, Leicester restored their 4-1 lead with Barnes on target nine minutes from full-time. Despite beating Manchester City last week, Tottenham missed the chance to move ahead of Newcastle into third place.	"Antonio Conte hat sich über die Verteidigung beschwert und dieser Spieler kämpft derzeit gegen sehr gute Spieler wie Barnes und Maddison, aber es ist sehr enttäuschend". Während das Tor ausgeschlossen wurde, erholte Leicester seine 4-1-Führung mit Barnes auf Ziel neun Minuten vor Vollzeit. Trotz der Niederlage von Manchester City vergangene Woche verpasste Tottenham die Chance, vor Newcastle auf den dritten Platz zu kommen.	no
Jack Smith should win any privilege fight over Mike Pence subpoena	Jack Smith sollte jeden Kampf über die Vorladung von Mike Pence gewinnen.	yes
The news that special counsel Jack Smith has subpoenaed Mike Pence raises the question: How will Team Trump use the courts to muck up this latest development in the Justice Department's probe? The short answer is that any attempt to scuttle the Pence subpoena on executive privilege grounds should fail. First off, there's a threshold question of whether a former president can even claim the privilege. Recall that Trump tried and failed to block the House Jan. 6 committee from getting White House records.	Die Nachricht, dass der Sonderberater Jack Smith Mike Pence vorgeladen hat, wirft die Frage auf: Wie wird Team Trump die Gerichte benutzen, um diese jüngste Entwicklung der Untersuchung des Justizministeriums zu durchkreuzen? Die kurze Antwort lautet, dass jeder Versuch, die Vorladung von Pence aus Gründen ausführender Privilegien zu verhindern, scheitern sollte. Zunächst einmal gibt es eine Schwellenfrage, ob ein ehemaliger Präsident auch nur das Privileg beanspruchen kann.	yes
The Supreme Court declined to take up Trump's appeal last year, with only Justice Clarence Thomas (husband of 2020 election denier Ginni Thomas) dissenting. But the court left open the question of whether an ex-president can claim privilege, with Justice Brett Kavanaugh suggesting he'd support such a claim. So it's at least unclear whether a former president can claim the privilege, saying nothing of whether the claim would succeed. Plus, the Supreme Court appeal over then-President Richard Nixon's attempt to avoid subpoena compliance shows that a vague privilege assertion won't do, and can be overcome by a specific need for evidence.	Das Oberste Gerichtshof lehnte Trumps Berufung im vergangenen Jahr ab, wobei nur Richter Clarence Thomas (Ehemann von 2020 Wahl-Leugner Ginni Thomas) dem widersprach. Doch das Gericht ließ die Frage offen, ob ein Ex-Präsident ein Privileg geltend machen kann, wobei Richter Brett Kavanaugh schlug vor, er würde eine solche Behauptung unterstützen. Es ist also zumindest unklar, ob ein ehemaliger Präsident das Privileg geltend machen kann, ohne etwas darüber zu sagen, ob die Behauptung erfolgreich sein würde.	yes
The court observed in 1974"s United States v. Nixon: ... when the ground for asserting privilege as to subpoenaed materials sought for use in a criminal trial is based only on the generalized interest in confidentiality, it cannot prevail over the fundamental demands of due process of law in the fair administration of criminal justice. The generalized assertion of privilege must yield to the demonstrated, specific need for evidence in a pending criminal trial. Therefore, precedent is on the government's side. Of course, however, delays from litigating even a losing issue can be a victory of sorts for Trump. But further dampening the odds of a successful privilege claim is the previous rejection of Trump's attempt to block Jan. 6 grand jury testimony.	In der Rechtssache United States v. Nixon von 1974 bemerkte der Gerichtshof:... wenn der Grund für die Feststellung des Vorrechts für vorgeladene Materialien, die zur Nutzung in einem Strafprozess beabsichtigt werden, nur auf dem allgemeinen Interesse an Vertraulichkeit basiert, kann er nicht über die grundlegenden Anforderungen des ordentlichen Gerichtsverfahrens in der gerechten Rechtsverwaltung der Strafjustiz herrschen. Die allgemeine Behauptung des Vorrechts muss dem gezeigten, spezifischen Beweisbedarf in einer laufenden Strafverhandlung nachgeben. Daher liegt der Präzedenzfall auf der Seite der Regierung. Natürlich können jedoch Verzögerungen bei der Streitigkeit selbst bei einem Verlierer eine Art Sieg für Trump sein.	no
As The Washington Post reported in October, that rejection noted that former Pence aide Marc Short, for example, "probably possessed information important to the Justice Department's criminal investigation of the Jan. 6, 2021, attack on the Capitol that was not available from other sources." That Pence, too, likely has unique information would help the DOJ in any subpoena fight. And the reason we think Pence has such information is yet another reason that a privilege claim should fail. That's because Pence has chosen to write publicly about at least some of his supposed conversations with Trump in connection with Jan. 6. It's hard to say communications are privileged when you've previously deemed them fit to publicize. So while the subpoena might present varying political and personal calculations for Pence - who may vie for the 2024 Republican nomination against Trump, someone who effectively condoned calls for Pence's extrajudicial execution on Jan. 6 - the courts should have an easy time siding with DOJ on privilege.	Wie die Washington Post im Oktober berichtet, wurde bei dieser Ablehnung darauf hingewiesen, dass zum Beispiel der ehemalige Pence-Mitarbeiter Marc Short "wahrscheinlich Informationen besaß, die für die strafrechtliche Untersuchung des Justizministeriums zum Angriff auf das Kapitol am 6. Januar 2021 wichtig waren und aus anderen Quellen nicht verfügbar waren". Die Tatsache, dass Pence wahrscheinlich auch über einzigartige Informationen verfügt, würde dem DOJ in jedem Vorladungsstreit helfen. Und der Grund, warum wir denken, dass Pence solche Informationen hat, ist ein weiterer Grund, warum ein Privilegiumspakt scheitern sollte. Das liegt daran, dass Pence sich entschieden hat, öffentlich über zumindest einige seiner angeblichen Gespräche mit Trump in Verbindung mit dem 6. Januar zu schreiben. Es ist schwer zu sagen, dass Kommunikationen privilegiert sind, wenn Sie sie bereits für publikum geeignet hielten. Während die Vorladung also unterschiedliche politische und persönliche Berechnungen für Pence darstellen könnte - der sich möglicherweise um die republikanische Nominierung des Parlaments 2024 gegen Trump bemüht - jemand, der effektiv eine gerichtliche Hinrichtung von Pence am 6. Januar fordert - sollte der DOJ ein einfaches Spiel mit den Gerichten spielen.	no
The Case Against a Biden Run Is Obvious - and Weak	Der Fall gegen Biden ist offensichtlich - und schwach	yes
Why is this important? While Biden and his fellow Democrats can't do much in the way of passing laws with the GOP in control of the House, they can still spend the next two years setting an example. Collectively, everyone on the team should be seeking out opportunities to play Gallant to the Republicans" weird Goofus impulses. But it's also important for Biden to burnish his credibility with the American people - and maybe be a direly needed change agent in our all-too-tatty political culture.	Warum ist das so wichtig? Während Biden und seine Kollegen der Demokraten nicht viel tun können, um Gesetze mit der republikanischen Partei im Haus zu verabschieden, können sie die nächsten zwei Jahre damit verbringen, ein Vorbild zu sein. Alle im Team sollten nach Möglichkeiten suchen, den Republicanern ihren seltsamen Schwachsinn vorzuzeigen. Aber es ist auch wichtig, dass Biden seine Glaubwürdigkeit im amerikanischen Volk stärkt und vielleicht ein dringend benötigter Agent des Wandels in unserer allzu gefangenen politischen Kultur ist.	yes
Washington, a notoriously cynical place, is famous for its common sense-crippling ideas about leadership. Perhaps one of the most notorious is the odd standard that holds that publicly admitting errors is a sign of weakness and that politicians should go to comical lengths to avoid doing so. There's another way: In Bailout, Neil Barofsky's memoir of his time in Washington serving as the special inspector general overseeing the Troubled Asset Relief Program, he described the advice he received from Kristine Belisle, the woman he smartly hired to be his communications director. It was about as anti-Washington as it can get: "We'll admit and even highlight our mistakes."	Washington, ein notorisch zynischer Ort, ist berühmt für seine sinnkrüchigen Ideen über Führung. Eine der berüchtigtsten ist der merkwürdige Standard, der besagt, dass öffentliches Geben von Fehlern ein Zeichen von Schwäche ist und dass Politiker zu komischen Längen gehen sollten, um dies zu vermeiden. Es gibt noch einen anderen Weg: In Bailout beschrieb Neil Barofsky in seinen Memoiren von seiner Zeit in Washington, als er als Spezialeinspektor überwachte, den Rat, den er von Kristine Belisle, der Frau, die er klug zur Kommunikationsdirektorin engagiert hatte, erhalten hatte. Es war so anti-Washingtonisch wie möglich: "Wir werden unsere Fehler zugeben und sogar hervorheben".	yes
As she went on to explain, there's method in a strategy that most people inside the Beltway would deem madness: This is the best way to earn the press's trust. They'll know we're not spinning like everyone else. SIGTARP will quickly become the only credible source for information in Washington about TARP. We might be embarrassed at times and disclose things that we could - and others would - easily hide, but we'll shock the press with our honesty. No one else does this, and before long, we'll have a built in defense when we're attacked. No matter what they hear, the press will come to us first and believe us, because we'll prove to them that we tell the truth. This is perhaps the biggest reason for Biden to pursue the course of radical responsibility-taking: Moments inevitably arise in any presidency when having the trust of the public and the institutions that safeguard the civic interest is critical. Moreover, there is vital capital to be earned by owning our mistakes, and there's an important distinction that Biden can draw with his political opponents. The president would do well to follow the old adage: Tell the truth - and shame the devil.	Wie sie weiter erklärte, gibt es eine Methode in einer Strategie, die die meisten Leute innerhalb des Beltway für wahnsinnig halten würden: Das ist der beste Weg, um das Vertrauen der Presse zu gewinnen. Sie werden wissen, dass wir nicht wie jeder andere spinnen. SIGTARP wird schnell die einzige glaubwürdige Quelle für Informationen in Washington über TARP werden. Wir könnten uns zuweilen bändigen und Dinge offenlegen, die wir - und andere - leicht verbergen können, aber wir werden die Presse mit unserer Ehrlichkeit schockieren. Niemand sonst tut das, und bald werden wir eine eingebaute Verteidigung haben, wenn wir angegriffen werden. Egal, was sie hören, die Presse wird zuerst zu uns kommen und uns glauben, weil wir ihnen beweisen werden, dass wir die Wahrheit sagen. Dies ist vielleicht der größte Grund für Biden, den Kurs der radikalen Verantwortungsübernahme zu verfolgen: Momente entstehen unweigerlich in jeder Präsidentschaft, wenn man das Vertrauen der öffentlichen Institutionen und des bürgerlichen Interesses hat, der so wichtig ist, dass die Wahrheit besessen des Präsidenten geschützt werden können.	no
Some Super Bowl Commercials I Can't Wait to See	Werbespots zum Super Bowl, die ich unbedingt sehen will	yes
A nineties sitcom star reprising his beloved role to sell you car insurance. An ad that becomes a cultural phenomenon and gets immediately green-lighted as a TV show, extending a twelve-second scene into ten seasons. All the celebrities from last year's crypto ads apologizing for their crypto ads. Those "whassup" guys but the bit is that now they're old. Everybody's into whodunnits now, right? So some series of ads directed by Rian Johnson where if you figure out who did the murder you get a discount on a year of car insurance. A commercial that all of the super-online conservative guys are going to be furious about for a week.	Ein Sitcom-Star aus den 90ern, der seine geliebte Rolle wieder aufnimmt, um dir Autoversicherung zu verkaufen. Eine Werbung, die ein kulturelles Phänomen wird und sofort grünes Licht bekommt als TV Show, die eine Dutzend-Sekunden-Szene in zehn Staffeln verlängert. Alle Prominenten aus den letztes Jahr Krypto-Anzeigen, die sich entschuldigen für ihre Krypto-Anzeigen. Diese "Whassup" Jungs, aber das Wichtige ist, dass sie jetzt alt sind. Jeder ist in Whodunnits jetzt, oder? Also eine Serie von Werbung unter Regie von Rian Johnson, wo man, wenn man herausfindet, wer den Mord begangen hat, einen Rabatt auf ein Jahr Autoversicherung kriegt. Ein Werbespot, an dem die ganzen superonline konservativen Typen für eine Woche wütend sein werden.	yes
Timothée Chalamet in some capacity. Somebody who was supposedly cancelled forever making his triumphant return to television to sell you beer. An ad for the worst movie you'll ever see that you'll definitely watch when it's streaming in three weeks. An excruciatingly catchy new jingle that you'll be singing to yourself for years. A recycled Twitter joke from two months ago. A musician whose whole thing is being counterculture who is counterculturally telling you to bank with Wells Fargo. The "zoom zoom" kid but the bit is that now he's an adult.	Timothée Chalamet in gewisser Eigenschaft. Jemand, der angeblich für immer abgesagt wurde und triumphierend wieder ins Fernsehen zurückkehrte, um Ihnen Bier zu verkaufen. Eine Werbung für den schlimmsten Film, den Sie jemals gesehen haben, den Sie sich bestimmt in drei Wochen ansehen werden. Ein qualvoller eingängiger neuer Jingle, den Sie sich selbst jahrelang singen werden. Ein recyceltes Twitter-Witz von vor zwei Monaten. Ein Musiker, dessen Ganzes Gegenkultur ist, der Ihnen auf gegenkulturelle Weise sagt, dass Sie mit Wells Fargo aufspielen sollen. Der "Zoom Zoom"-Kind, aber der Punkt ist, dass er jetzt erwachsen ist.	yes
Biden DOJ 'Doesn't Want an Armed Citizenry'	Biden will keine bewaffneten Bürger	yes
Rep. Andrew Clyde (R-GA) sat down with Breitbart News on Thursday and discussed his plans to block the ATF pistol brace rule and his conviction that the Biden Department of Justice "doesn't want an armed citizenry" in the first place. Clyde made clear his opposition to the pistol brace rule. His reasons for that opposition include both general objections and more specific ones. Generally, he expressed his conviction that our Founding Fathers did not set forth a plan of governance that included federal agencies making laws in place of the legislature. He said, "The Justice Department is there to enforce the law, not to make the law. When you have the executive branch making the law and enforcing the law, then you have have a king, and a kingdom. Our Founders did not call for a king and they did not lay out a kingdom in the Constitution of the United States." Clyde then moved to specifics regarding the pistol brace rule and expressed his concern that the rule is part of a greater ATF push to acquire broader registration of firearms. He noted, "What the ATF wants is they want to increase the registration database for the National Firearms Act. They want to register people across the country because, as we know, what comes before confiscation is registration. And confiscation, in my opinion, is the ultimate goal, because this Justice Department doesn't want an armed citizenry." He added, "But this Justice Department wants a registered citizenry, so they know who's got what, so they can come after us."	Der Kongress-Abgeordnete Andrew Clyde (R-GA) setzte sich am Donnerstag mit Breitbart News zusammen und diskutierte seine Pläne, die ATF-Pistolenstützerregelung zu blockieren und seine Überzeugung, dass das Biden-Justizministerium "zunächst kein bewaffnetes Bürgertum will". Clyde machte deutlich, dass er gegen die Pistolenstützerregel ist. Seine Gründe für diesen Widerstand beinhalten sowohl allgemeine Einwände als auch spezifischere. Im Allgemeinen drückte er seine Überzeugung aus, dass unsere Gründerväter keinen Plan der Regierungsführung vorlegten, zu dem Bundesbehörden gehörten, die anstelle der Legislatur Gesetze erlassen. Er sagte: "Das Justizministerium ist da, um das Gesetz durchzusetzen, nicht um das Gesetz zu machen. Wenn du die Exekutive hast, die das Gesetz erarbeitet und das Gesetz durchsetzt, dann hast du einen König und ein Königreich. Unsere Gründer haben nicht nach einem König gerufen, und sie haben kein Königreich in den Vereinigten Staaten etabliert.	yes
Clyde's contention is that the ATF pistol brace rule was born in this environment of hostility toward the Second Amendment and toward private gun ownership, and he plans to fight it tooth and nail. He said he has "three tools" with which to fight the rule. The first of those tools is the SHORT Act and the second is the Congressional Review Act.	Clyde argumentiert, dass die ATF-Handfeuerwappensatzregel in diesem Umfeld der Feindseligkeit gegen den Zweiten Zusatzartikel und gegen privaten Waffenbesitz geboren wurde, und er plant, ihn mit Zähnen und Nägeln zu bekämpfen. Er sagte, er habe "drei Werkzeuge", mit denen er die Regel bekämpfen kann.	no
On January 30 Breitbart News quoted Clyde outlining his plan to "reintroduce the Stop Harassing Owners of Rifles Today Act, or the SHORT Act, to repeal elements of the National Firearms Act, thereby prohibiting the ATF from registering and banning pistols with stabilizing braces." He also noted that he would "introduce a resolution of disapproval under the Congressional Review Act, to override the Biden administration's unlawful overreach." Both acts, the SHORT Act and the Congressional Review Act, have the possibility of blocking the ATF pistol brace rule. But as Clyde told Breitbart News Thursday, the great challenge is that both of those routes will ultimately require President Biden's signature, either to enact the SHORT Act legislation or to finalize a resolution of disapproval under the Congressional Review Act.	Am 30. Januar zitierte Breitbart News Clyde, der seinen Plan skizzierte, "den Stop Harassing Owners of Rifles Today Act oder den SHORT Act neu einzuführen, um Elemente des National Firearms Act aufzuheben und somit die ATF daran zu hindern, Pistolen mit Stabilisierungsstützen zu registrieren und zu verbieten". Er bemerkte auch, dass er "einen Ablehnungsbeschluss im Rahmen des Congressional Review Act einführen würde, um das ungesetzliche Übertreten der Biden-Regierung zu überschreiten". Beide Gesetze, das SHORT Act und das Congressional Review Act, haben die Möglichkeit, die ATF-Pistolenstützregel zu blockieren.	no
He made clear that getting Biden's signature is not an impossibility, as there are ways; for instance, the SHORT Act legislation could be added to other, larger bills that Democrats are very anxious to pass. However, Clyde indicated there is also a third way to block the ATF pistol brace rule. He said: "I'm on the Appropriations Committee and we can defund this pistol brace rule, through what is called a limitation amendment. We can literally defund this rule and basically say, "No money may be spent executing or enforcing this particular pistol brace rule." And we can also do the very same thing with the ATF receiver/frame rule, from last August. I think both of them need to be defunded and I look forward to working with our appropriators to do it.	Er machte deutlich, dass die Unterschrift von Biden keine Unmöglichkeit ist, da es Möglichkeiten gibt. Zum Beispiel könnte die SHORT-Gesetzgebung zu anderen, größeren Gesetzen hinzugefügt werden, die Demokraten sehr dringend erwarten, zu passieren. Allerdings deutete Clyde an, dass es auch eine dritte Möglichkeit gibt, die ATF-Pistolenschleifenregel zu blockieren. Er sagte: "Ich bin im Appropriations-Ausschuss und wir können diese Pistolenschleifenregel durch den sogenannten Limitation-Änderung entkosten. Wir können diese Regel buchstäblich entkosten und grundsätzlich sagen:" Kein Geld darf für die Ausführung oder Durchsetzung dieser Pistolenschleifenregel ausgegeben werden. "Und wir können das Gleiche auch mit der ATF-Empfänger/Rahmenregel aus dem letzten August tun. Ich denke, beide müssen entkosten, und ich freue mich darauf, mit unseren Entsorgern zusammenzuarbeiten, um dies zu tun.	no
We Hope' Biden Has a Plan for Handling Title 42 Ending, 'If They Do, They Haven't Shared It Fully'	Wir hoffen, dass Biden einen Plan für den Umgang mit Titel 42 hat. Ende: "Wenn sie das tun, haben sie es nicht vollständig geteilt"	yes
On Friday's edition of NBC's "MTP Now," Colorado Gov. Jared Polis (D) said that he has "a lot of concern" over what will happen when Title 42 ends in May, he hopes the Biden administration has a plan for when the policy ends, and that "If they do, they haven't shared it fully with us yet." And said that "we've said, you need a plan. We want them to vet it with us."	In der Freitagsausgabe von NBCs "MTP Now" sagte Colorado-Governor Jared Polis (D), dass er "viel Besorgnis" darüber habe, was passieren wird, wenn Titel 42 im Mai ausläuft. Er hofft, dass die Biden-Regierung einen Plan für den Ablauf der Politik hat und dass "wenn sie es tun, haben sie ihn noch nicht vollständig mit uns geteilt". Und sagte, dass "wir gesagt haben, Sie brauchen einen Plan. Wir wollen, dass sie ihn mit uns prüfen".	yes
