Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigen Protesten vor einem Flüchtlingshotel in Großbritannien	yes
Also teaming up with the NCA is Balenciaga's parent company, Kering, which oversees other luxury brands including Saint Laurent and Bottega Veneta. Under the Kering umbrella is Gucci, which faced backlash in December for a campaign featuring Harry Styles that some social media critics alleged also sexualized children. In the interview, Denma said he plans to move away from the brand's "provocative" ways. "This is part of my learning: I will have a more mature and serious approach to everything I release as an idea or an image," he said. "I have decided to go back to my roots in fashion as well as to the roots of Balenciaga, which is making quality clothes - not making image or buzz."	Der NCA ist auch die Muttergesellschaft von Balenciaga, Kering, die andere Luxusmarken wie Saint Laurent und Bottega Veneta betreut. Unter dem Kering-Schirm steht Gucci, das im Dezember für eine Kampagne mit Harry Styles, die einige Social-Media-Kritiker behaupteten, auch Kinder sexualisiert zu haben, mit einer Gegenreaktion konfrontiert wurde. In dem Interview sagte Denma, er plane, sich von den "provokativen" Wegen der Marke zu entfernen. "Dies ist Teil meines Lernens: Ich werde einen reiferen und ernsthafteren Ansatz für alles haben, was ich als Idee oder Bild veröffentliche", sagte er. "Ich habe beschlossen, zu meinen Wurzeln in der Mode sowie zu den Wurzeln von Balenciaga zurückzukehren, die Kleidung von Qualität herstellt - nicht Bild oder Buzz".	no
Speaking of the brand's origins, elsewhere in the interview Demna said one of the most "painful" parts of the backlash was tarnishing "the name of Balenciaga and the legacy of Cristóbal Balenciaga." "Balenciaga is a house that is over one century old and is based on strong and beautiful creative values, and I have been busy doing all in my creative power to bring it to its modern relevance, and suddenly we were under attack and labeled as something we're not at all," Demna said. "We certainly made a huge and stupid mistake with the gifting campaign, and we certainly have learned from it."	"Balenciaga ist ein Haus, das über ein Jahrhundert alt ist und auf starken und schönen kreativen Werten basiert, und ich habe alles getan, um es zu seiner modernen Relevanz zu bringen, und plötzlich wurden wir angegriffen und als etwas bezeichnet, was wir überhaupt nicht sind", sagte Demna. "Wir haben mit der Geschenkkampagne sicherlich einen großen und dummen Fehler gemacht, und wir haben sicherlich daraus gelernt".	no
It's Fake News, CBN Debunks Claim It Lacks Capacity To Print More New Naira Notes	Es sind Fake News, CBN entlarvt Behauptung, es fehle Kapazität, mehr neue Naira-Banknoten zu drucken	yes
The Central Bank of Nigeria (CBN) has described as misleading, the report that claimed to be quoting CBN govemor, Mr. Godwin Emefiele, as attributing the current challenge in the distribution of the newly redesigned Naira banknotes to a shortage of printing materials at the Nigerian Security Printing and Minting Company Plc. In a statement issued on Saturday, CBN spokesman, Osita Nwasinobi, said at no time did the CBN governor made such statement during his presentation to the National Council of State at its meeting on Friday, February 10, 2023. Mr Nwasinobi said Emefiele only told the meeting that the NSPMC was working on printing all denominations of the Naira to meet the transaction needs of Nigerians. He said while the CBN appreciates the concerns shown by all stakeholders about the distribution of the new Naira notes, "we are alarmed at the extent to which vested interests are attempting to manipulate facts and pitch the public against the Bank." Nwasinobi said the CBN remains committed to performing its monetary policy functions, as stipulated in the CBN Act, 2007 (as amended). "We also wish to restate that the NSPMC has the capacity and enough materials to produce the required indent of the Naira. "The bank, therefore, wishes to appeal to the public to disregard the said report and exercise more restraint, even as we work assiduously to increase the circulation of the new notes in the country," he added.	Die Zentralbank von Nigeria (CBN) hat den Bericht als irreführend bezeichnet, in dem CBN-Gouverneur Godwin Emefiele behauptet, die aktuelle Herausforderung bei der Verteilung der neu gestalteten Naira-Banknoten auf einen Mangel an Druckmaterialien bei der Nigerian Security Printing and Minting Company Plc zurückzuführen zu haben. In einer am Samstag veröffentlichten Erklärung sagte CBN-Sprecher Osita Nwasinobi, dass der CBN-Gouverneur bei seiner Präsentation vor dem Nationalen Staatsrat bei seiner Sitzung am Freitag, 10. Februar 2023, zu keinem Zeitpunkt eine solche Aussage gemacht habe. Nwasinobi sagte, Emefiele habe dem Treffen nur gesagt, dass das NSPMC daran arbeite, alle Stückelungen des Naira zu drucken, um den Umlaufbedürfnissen der Nigerianer gerecht zu werden. Er sagte, während das CBN die Bedenken aller Interessengruppen hinsichtlich der Verteilung der neuen Naira-Banknoten schätzt, "sind wir alarmiert über die Ausmaßung, die wir versuchen, die Druckmaterialien bei der nigerianischen Sicherheitsdruck- und Münzwerkstattungsfirma zu verringern". In einer Erklärung vom Samstag, die am Samstag am Samstag veröffentlicht wurde, sagte CBN-Sprecher Osita Nwasinobi, dass der CBN zu keines Zeitpunkt der CBN-Gouverneur eine solche Aussage bei der Prässigung der Druckmaterialien bei der nationalen Staatsratur bei der Nationalen beim Staatsratur bei seiner Präsenthaltspräsent in der Sitzung am Freitag, am Freitag, 10. Februar 2023.	yes
On a particular voice note trending on the social media alleging that the CBN planned to shut down some banks, particularly in a particular geopolitical region of the country, the CBN said there was no such plan and that the claims were illogical and do not comply with the workings of the Nigerian banking system. "The public is therefore advised to ignore such recordings as they do not represent the policy thrust of the CBN and are only the desperate attempts of persons bent on inciting the public against the Bank," he stated.	In einer bestimmten Stimmennotiz, die in den sozialen Medien trendiert, behauptete, dass die CBN geplant hatte, einige Banken zu schließen, insbesondere in einer bestimmten geopolitischen Region des Landes, sagte die CBN, dass es keinen solchen Plan gebe und dass die Behauptungen unlogisch seien und nicht mit der Funktionsweise des nigerianischen Bankensystems übereinstimmen. "Die Öffentlichkeit wird daher aufgefordert, solche Aufnahmen zu ignorieren, da sie nicht die politischen Ziele der CBN darstellen und nur die verzweifelten Versuche von Personen sind, die die Öffentlichkeit gegen die Bank aufzuhetzen", erklärte er.	yes
Tim Sherwood tears into £44m signing Pedro Porro after dismal Tottenham debut	Tim Sherwood ist auf 44 Millionen Pfund, um Pedro Porro zu verpflichten, nachdem er bei Tottenham schlecht abgeschnitten hat.	yes
Porro had an afternoon to forget against Leicester (Picture: Getty)	Porro hatte einen nachmittag, den er gegen leicester nicht vergessen konnte (bild: getty)	yes
Tim Sherwood tore into Pedro Porro's "absolutely disgusting" defending during Tottenham's 4-1 defeat to Leicester City. Spurs signed the right-back from Sporting CP on transfer deadline day on an initial loan deal for £5million with the obligation to buy this summer for £39million. The 23-year-old was handed his debut by Antonio Conte on Saturday at the King Power Stadium with his side taking the lead after 14 minutes through Rodrigo Bentancur.	Tim Sherwood hat sich in die "absolut ekelhafte" Verteidigung von Pedro Porro während der 4:1-Niederlage von Tottenham gegen Leicester City eingeschlichen.	yes
But it turned into an miserable afternoon with Nampalys Mendy, James Maddison and Kelechi Iheanacho all scoring to give Leicester a 3-1 at half-time with Porro enduring a torrid first-half in the Premier League. The Spaniard was at fault again as Leicester thought they had added a fourth through Barnes and while the goal was ruled out for offside, former Spurs manager Sherwood was left shocked by the full-back's defensive efforts. "I don't want to keep picking on the kid but he needs to be relieved of his duties," Sherwood told Soccer Saturday. I'll give him the benefit of the doubt because it is his debut but Pedro Porro is no bad it is unbelievable. His positioning is absolutely disgusting, Barnes and Maddison are destroying him down the left hand side. Daniel Levy was saying this week, they have spent a lot of money, yes they have, but their recruitment has been very poor and this is the latest addition. Let's not make any conclusions at the moment but what I am looking at is a player who does not want to defend.	Aber es wurde ein elender Nachmittag mit Nampalys Mendy, James Maddison und Kelechi Iheanacho, die alle in der Halbzeit erzielten, um Leicester eine 3-1-Gewinnschaft zu verschaffen, während Porro eine heiße erste Halbzeit in der Premier League ertrug. Der Spanier war wieder im Fehler, da Leicester dachte, sie hätten einen vierten durch Barnes hinzugefügt, und während das Tor für Offside ausgeschlossen wurde, war der ehemalige Spurs-Manager Sherwood schockiert über die defensiven Bemühungen des Fullbacks. "Ich möchte nicht weiter auf das Kind herumlaufen, aber er muss von seinen Pflichten entbunden werden", sagte Sherwood zu Soccer am Samstag. Ich werde ihm den Vorteil des Zweifels geben, weil es sein Debüt ist, aber Porro Pedro ist nicht schlecht, es ist unglaublich. Seine Positionierung ist absolut ekelhaft, und Porro Barnes und Maddison zerstören ihn links. Daniel Levy sagte diese Woche, sie haben viel Geld ausgegeben, aber sie haben ihren Rekrutierungspartner entworfen, aber ich möchte nicht zu den Schlussfolgern kommen, der in diesem Moment sehr arm ist.	yes
"Antonio Conte has complained about the defending and this player, at the moment is struggling to defend. He is up against very good players in Barnes and Maddison but it is very disappointing." While the goal was ruled out, Leicester restored their 4-1 lead with Barnes on target nine minutes from full-time. Despite beating Manchester City last week, Tottenham missed the chance to move ahead of Newcastle into third place.	"Antonio Conte hat sich über die Verteidigung beschwert und dieser Spieler kämpft derzeit darum, sich zu verteidigen. Er steht gegen sehr gute Spieler in Barnes und Maddison, aber es ist sehr enttäuschend". Während das Tor ausgeschlossen wurde, stellte Leicester seine 4-1-Führung mit Barnes auf Ziel neun Minuten vor Vollzeit wieder her. Trotz der Niederlage gegen Manchester City vergangene Woche verpasste Tottenham die Chance, vor Newcastle auf den dritten Platz zu kommen.	no
Jack Smith should win any privilege fight over Mike Pence subpoena	Jack Smith sollte jeden Kampf um die Vorrechte über die Vorladung von Mike Pence gewinnen.	yes
The news that special counsel Jack Smith has subpoenaed Mike Pence raises the question: How will Team Trump use the courts to muck up this latest development in the Justice Department's probe? The short answer is that any attempt to scuttle the Pence subpoena on executive privilege grounds should fail. First off, there's a threshold question of whether a former president can even claim the privilege. Recall that Trump tried and failed to block the House Jan. 6 committee from getting White House records.	Die Nachricht, dass der Sonderberater Jack Smith Mike Pence vorgeladen hat, wirft die Frage auf: Wie wird Team Trump die Gerichte nutzen, um diese jüngste Entwicklung in der Untersuchung des Justizministeriums zu vermasseln? Die kurze Antwort lautet, dass jeder Versuch, die Vorladung von Pence aus Gründen des Exekutivprivilegs zu verhindern, scheitern sollte. Zunächst einmal gibt es eine Schwellenfrage, ob ein ehemaliger Präsident überhaupt das Privileg in Anspruch nehmen kann. Erinnern Sie sich daran, dass Trump versucht hat, das Komitee vom 6. Januar daran zu hindern, auf die Unterlagen des Weißen Hauses zuzugreifen.	yes
The Supreme Court declined to take up Trump's appeal last year, with only Justice Clarence Thomas (husband of 2020 election denier Ginni Thomas) dissenting. But the court left open the question of whether an ex-president can claim privilege, with Justice Brett Kavanaugh suggesting he'd support such a claim. So it's at least unclear whether a former president can claim the privilege, saying nothing of whether the claim would succeed. Plus, the Supreme Court appeal over then-President Richard Nixon's attempt to avoid subpoena compliance shows that a vague privilege assertion won't do, and can be overcome by a specific need for evidence.	Der Oberste Gerichtshof lehnte Trumps Berufung im vergangenen Jahr ab, wobei nur Richter Clarence Thomas (Ehemann der Wahlverweigererin Ginni Thomas) abweichend war. Aber das Gericht ließ die Frage offen, ob ein Ex-Präsident ein Privileg geltend machen kann, wobei Richter Brett Kavanaugh vorschlug, dass er eine solche Forderung unterstützen würde. Es ist also zumindest unklar, ob ein ehemaliger Präsident das Privileg geltend machen kann, ohne zu sagen, ob die Forderung erfolgreich sein würde.	yes
The court observed in 1974"s United States v. Nixon: ... when the ground for asserting privilege as to subpoenaed materials sought for use in a criminal trial is based only on the generalized interest in confidentiality, it cannot prevail over the fundamental demands of due process of law in the fair administration of criminal justice. The generalized assertion of privilege must yield to the demonstrated, specific need for evidence in a pending criminal trial. Therefore, precedent is on the government's side. Of course, however, delays from litigating even a losing issue can be a victory of sorts for Trump. But further dampening the odds of a successful privilege claim is the previous rejection of Trump's attempt to block Jan. 6 grand jury testimony.	Das Gericht bemerkte in der Rechtssache "United States v. Nixon" von 1974:... wenn der Grund für die Geltendmachung von Privilegien hinsichtlich vorgeladenen Materialien, die für die Verwendung in einem Strafprozess beantragt werden, nur auf dem allgemeinen Interesse an Vertraulichkeit basiert, kann er nicht die grundlegenden Anforderungen des ordnungsgemäßen Verfahrens im Rahmen der fairen Verwaltung der Strafjustiz überwiegen. Die allgemeine Geltendmachung von Privilegien muss dem nachgewiesenen, spezifischen Beweisbedarf in einem anhängigen Strafprozess nachgeben. Daher ist der Präzedenzfall auf der Seite der Regierung. Natürlich können jedoch Verzögerungen bei der Verfolgung selbst eines verlorenen Themas eine Art Sieg für Trump sein.	no
As The Washington Post reported in October, that rejection noted that former Pence aide Marc Short, for example, "probably possessed information important to the Justice Department's criminal investigation of the Jan. 6, 2021, attack on the Capitol that was not available from other sources." That Pence, too, likely has unique information would help the DOJ in any subpoena fight. And the reason we think Pence has such information is yet another reason that a privilege claim should fail. That's because Pence has chosen to write publicly about at least some of his supposed conversations with Trump in connection with Jan. 6. It's hard to say communications are privileged when you've previously deemed them fit to publicize. So while the subpoena might present varying political and personal calculations for Pence - who may vie for the 2024 Republican nomination against Trump, someone who effectively condoned calls for Pence's extrajudicial execution on Jan. 6 - the courts should have an easy time siding with DOJ on privilege.	Wie die Washington Post im Oktober berichtete, wurde in dieser Ablehnung festgestellt, dass der ehemalige Pence-Mitarbeiter Marc Short zum Beispiel "wahrscheinlich Informationen besaß, die für die strafrechtliche Untersuchung des Justizministeriums zum Angriff auf das Kapitol am 6. Januar 2021 wichtig waren und die aus anderen Quellen nicht verfügbar waren". Dass Pence wahrscheinlich auch einzigartige Informationen hat, würde dem DOJ in jedem Vorladungskampf helfen. Und der Grund, warum wir denken, dass Pence solche Informationen hat, ist ein weiterer Grund, warum ein Privilegiumanspruch scheitern sollte. Das liegt daran, dass Pence sich entschieden hat, öffentlich über mindestens einige seiner angeblichen Gespräche mit Trump in Verbindung mit dem 6. Januar zu schreiben. Es ist schwer zu sagen, dass Kommunikationen privilegiert sind, wenn Sie sie zuvor für veröffentlichbar gehalten haben. Während die Vorladung unterschiedliche politische und persönliche Berechnungen für Pence darstellen könnte - der sich möglicherweise um die republikanische Nominierung für 2024 gegen Trump bewerben kann, sollte jemand, der effektiv die Hinrichtung von Pence am 6. Januar verurteilt hat - ein einfaches Verfahren mit dem DOJ haben.	no
The Case Against a Biden Run Is Obvious - and Weak	Die Argumente gegen eine Kandidatur von Biden sind offensichtlich - und schwach	yes
Why is this important? While Biden and his fellow Democrats can't do much in the way of passing laws with the GOP in control of the House, they can still spend the next two years setting an example. Collectively, everyone on the team should be seeking out opportunities to play Gallant to the Republicans" weird Goofus impulses. But it's also important for Biden to burnish his credibility with the American people - and maybe be a direly needed change agent in our all-too-tatty political culture.	Die Demokraten haben die Möglichkeit, die Demokraten zu überzeugen, dass sie die Demokraten nicht als die richtigen Leute sehen.	yes
Washington, a notoriously cynical place, is famous for its common sense-crippling ideas about leadership. Perhaps one of the most notorious is the odd standard that holds that publicly admitting errors is a sign of weakness and that politicians should go to comical lengths to avoid doing so. There's another way: In Bailout, Neil Barofsky's memoir of his time in Washington serving as the special inspector general overseeing the Troubled Asset Relief Program, he described the advice he received from Kristine Belisle, the woman he smartly hired to be his communications director. It was about as anti-Washington as it can get: "We'll admit and even highlight our mistakes."	In der Vergangenheit hat sich die Regierung in Washington als ein sehr kritischer Ort erwiesen, der für seine gesunden Menschenverstand und seine Führungsqualitäten bekannt ist. Vielleicht ist einer der berüchtigtsten die seltsame Norm, die besagt, dass öffentliche Fehler zuzugeben ein Zeichen der Schwäche ist und dass Politiker komische Anstrengungen unternehmen sollten, um dies zu vermeiden. Es gibt noch einen anderen Weg: In Bailout, Neil Barofskys Memoiren über seine Zeit in Washington als spezieller Generalinspektor, der das Troubled Asset Relief Program beaufsichtigte, beschrieb er den Rat, den er von Kristine Belisle erhielt, der Frau, die er klug als seine Kommunikationsdirektorin engagierte. Es war so anti-Washingtonisch, wie es nur sein kann: "Wir werden unsere Fehler zugeben und sogar hervorheben".	yes
As she went on to explain, there's method in a strategy that most people inside the Beltway would deem madness: This is the best way to earn the press's trust. They'll know we're not spinning like everyone else. SIGTARP will quickly become the only credible source for information in Washington about TARP. We might be embarrassed at times and disclose things that we could - and others would - easily hide, but we'll shock the press with our honesty. No one else does this, and before long, we'll have a built in defense when we're attacked. No matter what they hear, the press will come to us first and believe us, because we'll prove to them that we tell the truth. This is perhaps the biggest reason for Biden to pursue the course of radical responsibility-taking: Moments inevitably arise in any presidency when having the trust of the public and the institutions that safeguard the civic interest is critical. Moreover, there is vital capital to be earned by owning our mistakes, and there's an important distinction that Biden can draw with his political opponents. The president would do well to follow the old adage: Tell the truth - and shame the devil.	Sie erklärte weiter, dass es eine Methode in einer Strategie gibt, die die meisten Leute innerhalb des Beltways für Wahnsinn halten würden: Dies ist der beste Weg, um das Vertrauen der Presse zu gewinnen. Sie werden wissen, dass wir nicht wie alle anderen herumspinnen. SIGTARP wird schnell die einzige glaubwürdige Informationsquelle in Washington über TARP werden. Wir werden uns manchmal vielleicht schämen und Dinge offenlegen, die wir - und andere - leicht verbergen könnten, aber wir werden die Presse mit unserer Ehrlichkeit schockieren. Niemand sonst tut das, und schon bald haben wir eine eingebaute Verteidigung, wenn wir angegriffen werden. Egal was sie hören, die Presse wird zuerst zu uns kommen und uns glauben, weil wir ihnen beweisen werden, dass wir die Wahrheit sagen. Dies ist vielleicht der größte Grund für Biden, den Kurs der radikalen Verantwortung zu verfolgen: Momente entstehen unvermeidlich in jeder Präsidentschaft, wenn das Vertrauen der öffentlichen Institutionen und des bürgerlichen Interesses, das die Wahrheit besitzt, wichtig ist. Mehr als das, es gibt ein altes Sprichwort, das Biden mit dem Teufel und seinem politischen Gegner gut umgehen kann: Der alte Teufel und sein Kapital zu schämen.	no
Some Super Bowl Commercials I Can't Wait to See	Einige Super Bowl-Werbung, die ich unbedingt sehen will	yes
A nineties sitcom star reprising his beloved role to sell you car insurance. An ad that becomes a cultural phenomenon and gets immediately green-lighted as a TV show, extending a twelve-second scene into ten seasons. All the celebrities from last year's crypto ads apologizing for their crypto ads. Those "whassup" guys but the bit is that now they're old. Everybody's into whodunnits now, right? So some series of ads directed by Rian Johnson where if you figure out who did the murder you get a discount on a year of car insurance. A commercial that all of the super-online conservative guys are going to be furious about for a week.	Ein Sitcom-Star aus den 90ern, der seine geliebte Rolle wiederholt, um Ihnen eine Autoversicherung zu verkaufen. Eine Werbung, die ein kulturelles Phänomen wird und sofort grünes Licht als TV-Show bekommt, eine 12-Sekunden-Szene in zehn Staffeln verlängert. Alle Prominenten aus den Krypto-Werbung des letzten Jahres entschuldigen sich für ihre Krypto-Werbung. Diese "Whissip" Jungs, aber das Wichtigste ist, dass sie jetzt alt sind. Jeder ist jetzt in Whodunnits, oder? Also eine Reihe von Werbungen unter Regie von Rian Johnson, wo man herausfindet, wer den Mord begangen hat, bekommt man einen Rabatt auf ein Jahr Autoversicherung. Ein Werbespot, der alle super-online konservativen Typen für eine Woche wütend machen wird.	yes
Timothée Chalamet in some capacity. Somebody who was supposedly cancelled forever making his triumphant return to television to sell you beer. An ad for the worst movie you'll ever see that you'll definitely watch when it's streaming in three weeks. An excruciatingly catchy new jingle that you'll be singing to yourself for years. A recycled Twitter joke from two months ago. A musician whose whole thing is being counterculture who is counterculturally telling you to bank with Wells Fargo. The "zoom zoom" kid but the bit is that now he's an adult.	Timothée Chalamet in irgendeiner Form. Jemand, der angeblich für immer abgesagt wurde, der seine triumphale Rückkehr ins Fernsehen macht, um Ihnen Bier zu verkaufen. Eine Werbung für den schlimmsten Film, den Sie je gesehen haben, den Sie sich in drei Wochen auf jeden Fall ansehen werden. Ein unerträglich eingängiger neuer Jingle, den Sie sich selbst jahrelang singen werden. Ein recyceltes Twitter-Witz von vor zwei Monaten. Ein Musiker, dessen ganzes Ding Gegenkultur ist, der Ihnen auf Gegenkulturelle Weise sagt, dass Sie mit Wells Fargo Bank gehen sollen. Das "Zoom Zoom" Kind, aber das Wichtigste ist, dass er jetzt ein Erwachsener ist.	yes
Biden DOJ 'Doesn't Want an Armed Citizenry'	Biden DOJ 'will keine bewaffnete Bürgerschaft'	yes
Rep. Andrew Clyde (R-GA) sat down with Breitbart News on Thursday and discussed his plans to block the ATF pistol brace rule and his conviction that the Biden Department of Justice "doesn't want an armed citizenry" in the first place. Clyde made clear his opposition to the pistol brace rule. His reasons for that opposition include both general objections and more specific ones. Generally, he expressed his conviction that our Founding Fathers did not set forth a plan of governance that included federal agencies making laws in place of the legislature. He said, "The Justice Department is there to enforce the law, not to make the law. When you have the executive branch making the law and enforcing the law, then you have have a king, and a kingdom. Our Founders did not call for a king and they did not lay out a kingdom in the Constitution of the United States." Clyde then moved to specifics regarding the pistol brace rule and expressed his concern that the rule is part of a greater ATF push to acquire broader registration of firearms. He noted, "What the ATF wants is they want to increase the registration database for the National Firearms Act. They want to register people across the country because, as we know, what comes before confiscation is registration. And confiscation, in my opinion, is the ultimate goal, because this Justice Department doesn't want an armed citizenry." He added, "But this Justice Department wants a registered citizenry, so they know who's got what, so they can come after us."	Der Präsident des Repräsentantenhauses, Andrew Clyde (R-GA), setzte sich am Donnerstag mit Breitbart News zusammen und diskutierte seine Pläne, die ATF-Pistolenschutzregelung zu blockieren und seine Überzeugung, dass das Biden-Justizministerium "vor allem keine bewaffnete Bürgerschaft will". Clyde machte seine Ablehnung der Pistolenschutzregelung deutlich. Seine Gründe für diese Ablehnung beinhalten sowohl allgemeine Einwände als auch spezifischere. Im Allgemeinen äußerte er seine Überzeugung, dass unsere Gründerväter keinen Regierungsplan vorgelegt haben, der Bundesbehörden einschließt, die anstelle der Legislative Gesetze erlassen. Er sagte: "Das Justizministerium ist da, um das Gesetz durchzusetzen, nicht um das Gesetz zu machen. Wenn Sie die Exekutive haben, die das Gesetz erlässt und das Gesetz durchsetzt, dann haben Sie einen König und ein Königreich. Unsere Gründer forderten nicht nach einem König und sie haben kein Königreich in den Vereinigten Staaten ausgelegt. Clyde zog sich klar gegen die Pistolschutzregel und drückte seine Ablehnung gegen die Pistenschutzregel. Seine Gründe für diese Ablehnung beinhalten sowohl allgemeine Einwände als auch spezifischere. Im Allgemeine Einwände.	yes
Clyde's contention is that the ATF pistol brace rule was born in this environment of hostility toward the Second Amendment and toward private gun ownership, and he plans to fight it tooth and nail. He said he has "three tools" with which to fight the rule. The first of those tools is the SHORT Act and the second is the Congressional Review Act.	Clyde behauptet, dass die ATF-Pistolenstützregel in diesem Umfeld der Feindseligkeit gegenüber dem Zweiten Verfassungszusatz und dem privaten Waffenbesitz geboren wurde, und er plant, es mit Zeh und Nagel zu bekämpfen. Er sagte, er habe "drei Werkzeuge", mit denen er die Regel bekämpfen kann. Das erste dieser Werkzeuge ist der SHORT-Gesetz und das zweite ist das Kongress-Überprüfungsgesetz.	no
On January 30 Breitbart News quoted Clyde outlining his plan to "reintroduce the Stop Harassing Owners of Rifles Today Act, or the SHORT Act, to repeal elements of the National Firearms Act, thereby prohibiting the ATF from registering and banning pistols with stabilizing braces." He also noted that he would "introduce a resolution of disapproval under the Congressional Review Act, to override the Biden administration's unlawful overreach." Both acts, the SHORT Act and the Congressional Review Act, have the possibility of blocking the ATF pistol brace rule. But as Clyde told Breitbart News Thursday, the great challenge is that both of those routes will ultimately require President Biden's signature, either to enact the SHORT Act legislation or to finalize a resolution of disapproval under the Congressional Review Act.	Am 30. Januar zitierte Breitbart News Clyde, der seinen Plan skizzierte, "den Stop Harassing Owners of Rifles Today Act oder den SHORT Act neu einzuführen, um Elemente des National Firearms Act aufzuheben und damit die ATF daran zu hindern, Pistolen mit Stabilisierungsstangen zu registrieren und zu verbieten". Er stellte auch fest, dass er "einen Beschluss zur Ablehnung gemäß dem Congressional Review Act einleiten würde, um die rechtswidrige Überschreitung der Biden-Regierung zu überschreiten". Beide Gesetze, der SHORT Act und der Congressional Review Act, haben die Möglichkeit, die ATF-Pistolenstangenregel zu blockieren.	no
He made clear that getting Biden's signature is not an impossibility, as there are ways; for instance, the SHORT Act legislation could be added to other, larger bills that Democrats are very anxious to pass. However, Clyde indicated there is also a third way to block the ATF pistol brace rule. He said: "I'm on the Appropriations Committee and we can defund this pistol brace rule, through what is called a limitation amendment. We can literally defund this rule and basically say, "No money may be spent executing or enforcing this particular pistol brace rule." And we can also do the very same thing with the ATF receiver/frame rule, from last August. I think both of them need to be defunded and I look forward to working with our appropriators to do it.	Er machte deutlich, dass es keine Unmöglichkeit ist, Bidens Unterschrift zu bekommen, da es Möglichkeiten gibt; zum Beispiel könnte die SHORT-Gesetzgebung zu anderen, größeren Gesetzen hinzugefügt werden, die die Demokraten sehr eifrig verabschieden wollen. Allerdings wies Clyde darauf hin, dass es auch eine dritte Möglichkeit gibt, die ATF-Pistolenstützregel zu blockieren. Er sagte: "Ich bin im Mittelbewilligungsausschuss und wir können diese Pistolenstützregel durch eine sogenannte Begrenzungsänderung defund. Wir können diese Regel buchstäblich defund und im Grunde sagen: "Kein Geld darf für die Ausführung oder Durchsetzung dieser bestimmten Pistolenstützregel ausgegeben werden". Und wir können das Gleiche auch mit der ATF-Empfänger-/Rahmenregel vom vergangenen August tun. Ich denke, beide müssen defunded werden, und ich freue mich darauf, mit unseren Zuschreibern zusammenzuarbeiten, um dies zu tun.	no
We Hope' Biden Has a Plan for Handling Title 42 Ending, 'If They Do, They Haven't Shared It Fully'	Wir hoffen, dass Biden einen Plan für die Behandlung von Titel 42 hat.	yes
On Friday's edition of NBC's "MTP Now," Colorado Gov. Jared Polis (D) said that he has "a lot of concern" over what will happen when Title 42 ends in May, he hopes the Biden administration has a plan for when the policy ends, and that "If they do, they haven't shared it fully with us yet." And said that "we've said, you need a plan. We want them to vet it with us."	In der Freitagsausgabe von NBCs "MTP Now" sagte Colorado-Gouverneur Jared Polis (D), dass er "sehr besorgt" sei, was passieren wird, wenn Titel 42 im Mai endet, er hoffe, dass die Biden-Regierung einen Plan hat, wenn die Politik endet, und dass "wenn sie es tun, haben sie es noch nicht vollständig mit uns geteilt". Und sagte, dass "wir gesagt haben, Sie brauchen einen Plan. Wir wollen, dass sie ihn mit uns überprüfen".	yes
Polis stated that he wishes that more time was spent on the issue of immigration during the meeting of governors at the White House, but the issue "came up." We did have Secretary Mayorkas there for part of it. And so, we brought up, again, there's a lot of concern I share about what will happen when Title 42 ends in May and so, making sure that the federal government has a plan. We hope they do. If they do, they haven't shared it fully with us yet. But we've said, you need a plan. We want them to vet it with us. We want to make sure it's not what we experienced in December times five or times three, that would be a disaster for the country and it would be terrible for the Biden administration.	Polis sagte, er wünschte, dass mehr Zeit für das Thema Einwanderung während des Treffens der Gouverneure im Weißen Haus aufgewendet würde, aber das Thema "kam auf". Wir hatten Minister Mayorkas für einen Teil davon dabei. Und so brachten wir wiederum die große Sorge hervor, die ich teile, was passieren wird, wenn Titel 42 im Mai endet und so, um sicherzustellen, dass die Bundesregierung einen Plan hat. Wir hoffen, dass sie es tun. Wenn sie es tun, haben sie es noch nicht vollständig mit uns geteilt. Aber wir haben gesagt, Sie brauchen einen Plan. Wir wollen, dass sie es mit uns überprüfen. Wir wollen sicherstellen, dass es nicht das ist, was wir im Dezember fünfmal oder dreimal erlebt haben, das wäre eine Katastrophe für das Land und es wäre schrecklich für die Biden-Administration.	yes
McDonald's withdraws "tasteless" advert near crematorium - RT World News	McDonald's zieht "geschmacklose" Werbung in der Nähe eines Krematoriums zurück - RT World News	yes
