בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three Cheetah cubs born in Iran	yes
כתב "ישראל היום", רן רזניק, מוסיף כי חקירת מבקר המדינה נערכה בעקבות החשיפות המתמשכות ב״ישראל היום״ על מחדלי סל התרופות.	Israel Hayom correspondent Ran Resnick adds that the State Comptroller's investigation was conducted in the wake of the ongoing revelations in Israel Hayom about drug basket failures.	yes
על פי הדו"ח של מתניהו אנגלמן, הוא ממליץ "לבצע בתהליך הרחבת הסל תיקונים ושיפורים, שיביאו למיצוי איכותי יותר של תקציב סל שירותי הבריאות שהציבור זכאי לו".	According to the report by Matanya Engelman, he recommends "making corrections and improvements in the process of expanding the basket, which will result in a higher quality utilization of the basket of health services that the public is entitled to."	yes
לאורך כל שנות קיומו של מנגנון התוספת לסל התרופות, בשנים 2021-1998 נוספו לתקציב המדינה תרופות בסך שמונה מיליארד שקלים – כאשר התוספת נעה מדי שנה בסכומים שנעים בין 0 ל-500 מיליון שקלים.	Throughout the years of the addition mechanism to the drug basket, in the years 1998-2021, eight billion shekels were added to the state budget – with the addition each year in amounts ranging from 0 to 500 million shekels.	yes
בשנים 2019, 2020 ו-2021 הוגשו בקשות להוספת כ-800 תרופות וטכנולוגיות חדשות לסל שירותי הבריאות, בעלות שנתית כוללת של יותר משני מיליארד שקלים.	In 2019, 2020 and 2021, applications were submitted to add about 800 new medicines and technologies to the health care basket, at a total annual cost of more than two billion shekels.	no
בפועל, התקציב שהוקצה להרחבת הסל היה קטן מהיקף הבקשות.	In practice, the budget allocated to expanding the basket was less than the scope of the requests.	no
ברוב שנות פעולת הוועדה (90% מהזמן), גובה התוספת התקציבית היה קטן מ-1.5% של סל הבריאות, שיעור שהומלץ על ידי ועדות שונות כשיעור התוספת הרצוי.	In most years of the commission's operation (90% of the time), the budget supplement was less than 1.5% of the health basket, a rate recommended by various committees as the desired supplement rate.	no
המבקר מציין כי יש צורך לבחון ולהסדיר את גובה התוספת השנתית במטרה לאפשר ודאות ותכנון ארוך טווח.	The auditor notes that it is necessary to examine and regulate the height of the annual supplement in order to allow certainty and long-term planning.	no
עוד ציין אנגלמן כי "מודל השקיפות בעבודת הסל לוקה בחסר".	Engelman also noted that"the model of transparency in basket work is lacking."	no
כך, למשל, נוהל עבודת ועדת הסל קובע כי פרוטוקולי הישיבות, שהינן סגורות לציבור, יתפרסם בתוך 60 ימים, אך בפועל הפרוטוקולים מתפרסמים בעיכוב 160-109 ימים, כאשר לעיתים פרוטוקולי הישיבות הסופיות לא מתפרסמים כלל.	Thus, for example, the Basket Committee's working procedure states that the minutes of the meetings, which are closed to the public, will be published within 60 days, but in practice the minutes are published with a delay of 109-160 days, when sometimes the minutes of the final meetings are not published at all.	no
"העיכוב בפרסום הפרוטוקולים פוגע בשקיפות ההחלטות; בשל כך, עלולה להיפגע היכולת של מגישי ההצעות – ארגוני חולים וחברות התרופות – להגיש בקשות חוזרות בהקדם האפשרי והרלוונטי, לאחר שהפיקו לקחים מדחיית הצעותיהם, ניתחו את הסיבות לאי-הצלחתם בסבב הקודם, שיפרו ותיקנו את הצעותיהם וביצעו הערכה מחודשת באשר להיתכנות לקבלתן בסבב הבא", ציין המבקר בדו"ח.	"The delay in the publication of the protocols undermines the transparency of the decisions; as a result, the ability of the bidders – patient organizations and pharmaceutical companies – to submit repeated requests as soon as possible and relevant, after drawing lessons from the rejection of their proposals, analyzing the reasons for their failure in the previous round, improving and amending their proposals, and re-evaluating the feasibility of accepting them in the next round," he said. The reviewer in the report.	no
"על משרד הבריאות לפרסם את הפרוטוקולים בהתאם ללוחות הזמנים הקבועים בנוהל".	"The Ministry of Health should publish the protocols in accordance with the schedules set out in the procedure."	no
מתוך אלפי הגשות – הוגשה רק הערה כלכלית אחת	Out of thousands of submissions, only one financial comment was submitted	no
ביקורת נוספת של אנגלמן נוגעת להליך מקדמי של הערכת הטכנולוגיות המוגשות לסל התרופות.	Engelman's other criticism concerns the preliminary process of evaluating the technologies submitted to the drug basket.	no
המבקר מצא שכמחצית (46%) מהטכנולוגיות שהוגשו לא עברו את השלב הזה, אך משרד הבריאות לא מפרסם את הנימוקים לדחייה.	The auditor found that about half (46%) of the submitted technologies did not pass this stage, but the Department of Health does not publish the reasons for the rejection.	no
ליקוי נוסף נוגע לפעילות ועדת המשנה של סל התרופות שסגורה לתקשורת ולציבור, ושבה נידונים מספרי חולים ועלויות של תרופות.	Another flaw concerns the activities of the Drug basket subcommittee, which is closed to the media and the public, and where patient numbers and drug costs are discussed.	no
המבקר ממליץ לצרף נציג ציבור או לבחון אפשרות לפרסם לציבור את הדיונים ללא פרטים מסחריים חסויים.	The auditor recommends bringing in a public representative or exploring the possibility of making the discussions public without confidential commercial details.	no
בנוהל שלפיו פועלת ועדת סל שירותי הבריאות נקבע כי "יש להגיש הערכה כלכלית" לבקשה להוספת תרופה לסל.	The procedure used by the Health Services Select Committee states that "an economic assessment should be submitted" for a request to add a drug to the basket.	no
אך בפועל, לאורך השנים הוגשה רק הערכה כלכלית אחת מתוך אלפי הגשות – והוועדה מקבלת את החלטותיה ללא הערכה כלכלית.	But in practice, over the years only one economic assessment has been submitted out of thousands of submissions – and the commission makes its decisions without an economic assessment.	no
לדוגמה, לדיוני ועדת הסל לשנים 2021-2019 הוגשו בקשות להוסיף לסל תרופות נגד השמנה.	For example, the Basket Committee hearings for the years 2019-2021 submitted requests to add to the basket of anti-obesity drugs.	no
מהדו"ח עלה כי לבקשות לא צורפו הערכות כלכליות, לרבות הערכה של הסכום שהיה אפשר לחסוך בשל צמצום נזקי מחלות שמקורן בהשמנה או בשל היכולת להימנע מניתוחי קיצור קיבה.	The report found that the requests did not include economic estimates, including an estimate of the amount that could have been saved by reducing the damage of obesity-related diseases or the ability to avoid gastric bypass surgery.	no
עוד עולה כי החלטות ועדת סל התרופות לא עולות בקנה אחד עם היעדים והאסטרטגיה של משרד הבריאות.	Further, the decisions of the Drug Basket Committee are inconsistent with the goals and strategy of the Ministry of Health.	no
כך, למשל, משרד הבריאות הגדיר ב-2019 את הרפואה המונעת וההיערכות לטיפול בגידול במחלות כרוניות כיעדים, אך במסגרת ההחלטות בדבר הרחבת הסל לא הושם דגש על הצורך בהשגת יעדים אלו.	Thus, for example, in 2019, the Ministry of Health defined preventive medicine and preparedness to treat an increase in chronic diseases as goals, but in the framework of the decisions regarding the expansion of the basket, no emphasis was placed on the need to achieve these goals.	no
המבקר מתריע גם כי מאז 2011 נכללים בסל התרופות גם שירותים שאינם באחריות קופות החולים, בהם מכשירי שיקום וניידות וחיסונים שונים, שניתנים על ידי משרד הבריאות ("התוספת השלישית").	The auditor also warns that since 2011, services that are not the responsibility of the HMO are included in the drug basket, including rehabilitation and mobility devices and various vaccines, provided by the Ministry of Health (the"third Supplement").	no
זאת, כאשר המסגרת החוקית לצעד זה מוסדרת רק בדיעבד.	That is, when the legal framework for this measure is regulated only retrospectively.	no
בשש השנים האחרונות, נעשה שימוש ב-74 מיליון שקלים מהתוספת לסל התרופות עבור שירותים אלו.	In the past six years, NIS 74 million has been used from the addition to the drug basket for these services.	no
אנגלמן ממליץ למשרד הבריאות לעדכן את נהלי עבודת הסל וגם לקבוע האם יש צורך בתוספת כספית נפרדת עבור שירותים אלו.	Engelman recommends that the Department of Health update its basket work procedures and also determine whether a separate financial supplement is needed for these services.	no
כשליש מתרופות החדשות שנכנסות לסל התרופות מוגדרות כ"תרופות ללא תוספת עלות", שהשימוש בהן אינו עולה לקופות החולים בסכום נוסף משום שהן מחליפות טיפול קיים.	About one-third of new drugs that enter the drug basket are defined as"no-cost drugs," whose use does not cost the health funds an additional amount because they replace existing treatment.	no
המבקר מציע לבחון אפשרות שתרופות אלו יידונו במסלול אחר ומקוצר, כך שניתן יהיה לעדכן את סל התרופות מספר פעמים בשנה ולא רק אחת לשנה.	The comptroller proposes to examine the possibility that these drugs will be discussed in a different and abbreviated route, so that the portfolio of drugs can be updated several times a year rather than just once a year.	no
אין פיקוח על השימוש בתרופות יקרות במיוחד.	There is no control over the use of expensive drugs.	no
מהביקורת עולה גם כי מאז החלה עבודת ועדת הסל לפני 20 שנה, משרד הבריאות לא ביקש מקופות החולים לדווח ולא פיקח על היקף השימושים וניצול התרופות שבסל, מידע שיכול היה לאפשר למשרד לנתח ולבקר את התקציב שניתן לקופות.	The audit also shows that since the Basket Committee began its work 20 years ago, the Ministry of Health has not asked the HMO to report and has not monitored the scope of the uses and utilization of the drugs in the basket, information that could have allowed the Ministry to analyze and audit the budget given to the funds.	no
לאורך השנים פורסמו רק שני דו"חות שמתייחסים לשנים 2009-2006, וגם אלה פורסמו באיחור ניכר (האחרון פורסם השנה ועסק בניצול התקציב בשנים 2009-2007).	Over the years, only two reports relating to the years 2006-2009 were published, and these were also published significantly late (the last one was published this year and dealt with the exploitation of the budget in 2007-2009).	no
"העיכוב בביצוע בדיקות עלול להביא לקושי באיסוף הנתונים ובניתוחם, לאי-רלוונטיות של המסקנות העולות מהבדיקה אחרי תקופה כה ארוכה, לתמחור לא מיטבי של ועדת המשנה ולקבלת החלטות המבוססות על ממצאים לא סופיים", נכתב בדו"ח.	"The delay in conducting tests can lead to difficulty in collecting and analyzing the data, to the irrelevance of the conclusions drawn from the examination after such a long period, to the underperformance of the subcommittee and to decisions based on non-final findings," the report said.	no
כמו כן, המשרד גם לא מבקר ומפקח על השימושים בתרופות יקרות במיוחד ולא ביצע הפקת לקחים.	The ministry also does not audit and monitor the use of particularly expensive drugs and has not done any research.	no
מדובר על 10 תרופות שהיוו 62% מהתוספת לסל (1.7 מיליארד שקלים בשנים 2021-2016).	These are 10 drugs that accounted for 62% of the addition to the basket (NIS 1.7 billion in 2016-2021).	no
על כך, כתב המבקר: "מומלץ כי משרד הבריאות יבצע בקרות פרטניות על תרופות וטכנולוגיות אלו וינתח את היקף השימוש בהן לעומת האומדנים.	The auditor wrote: "It is recommended that the Ministry of Health carry out individual controls on these drugs and technologies and analyze the extent of their use compared to the estimates.	no
בקרות וניתוח יאפשרו להסיק מסקנות מערכתיות על תהליך העבודה של ועדת הסל וועדת המשנה, ועל אופן הכנת האומדנים בעת תמחור התרופות והטכנולוגיות ולשפרם".	Controls and analysis will enable systemic conclusions to be drawn about the work process of the select committee and the subcommittee, and how the estimates are prepared when pricing drugs and technologies and to improve them."	no
"מזעזע ובלתי נתפס": דיון סוער בוועדת הבריאות על ההרעלה בבית דפנה	'Shocking and Incomprehensible': Health Committee debate on Dafne House poisoning	yes
המדדים של החוסה הראשונה שנפטרה היו תקינים עשר דקות לפני מותה •	The indicators of the first José who died were normal ten minutes before her death •	yes
יו"ר הוועדה, ח"כ סילמן: "אם היה איכפת לאנשים שם שהמטבח יהיה כמו בבית - זה לא היה נראה ככה".	Chairman of the committee, MK Silman: "If people there cared that the kitchen would be like home, it wouldn't look like that."	yes
עשר דקות לפני שהחוסה הראשונה כבת 40 ממעון "בית דפנה" בחולון נפטרה מהרעלת מזון נלקחו לה מדדים רפואיים שהיו תקינים, כך טענה היום (שלישי) בדיון בוועדת הבריאות מנהלת המעון.	Ten minutes before the first 40-year-old José from the "Beit Dafna" daycare center in Holon died of food poisoning, medical measures were taken that were normal, she claimed today (Tuesday) at a hearing of the health committee that runs the daycare.	yes
"יש לנו מטפלי לילה שבודקים במהלך הלילה ויש אחות שעושה סבבים.	"We have night therapists who check in during the night and there is a nurse who does the rounds.	yes
היו מספר דיווחים על מקרי שלשול ואותה דיירת בעצם פעם אחרונה שנלקחו לה מדדים היו 10 דקות לפני שהפסיקה להגיב והם היוו תקינים.	There have been a number of reports of diarrhoea and the last time she was taken to hospital was 10 minutes before she stopped responding and they were normal.	yes
היא היתה במעקב כמו יתר הדייקרים עם שלשול.	She was followed up like the other dikers with diarrhea.	yes
היא מטופלת סיעודית, הלכנו להביא מנוך כדי לסייע בהעברה שלה ואז אותה דיירת לא הגיבה.	She is a nursing home patient, we went to get a manoch to assist with her transfer and then the same resident was unresponsive.	yes
התחלנו בהחייאה וקראנו לאחות המרפאה", תיארה מנהלת המעון את מה שהתרחש ביום ראשון שעבר בבוקר במעון.	We started CPR and called the clinic nurse," the day care manager described what happened last Sunday morning at the day care.	yes
מדובר באירוע שבו שלושה דיירים נפטרו, שישה אושפזו ובסה"כ כרבע מדיירי המעון (33 מתוך 131) סבלו משילשולים לארח אכילת בשר גולש מזוהם.	Three residents died, six were hospitalized and a total of about a quarter of the daycare's residents (33 out of 131) suffered diarrhea from eating contaminated raw meat.	yes
מנהלת המעון אמרה את הדברים על רקע הטענות כי מוות מהרעלת מזון מעיד על הזנחה וחוסר מעקב מצד הגורמים המטפלים.	The director of the daycare center made the comments against the backdrop of claims that a death from food poisoning indicates neglect and lack of follow-up on the part of the caregivers.	no
ד"ר נעמה נוס אחראית אפדימיולוגיה לשכת הבריאות בת"א ציינה כי "אנחנו לא יכולים לקבוע חד משמעית ממה שלושת הידיירים נפטרו.	Dr. Naama Nos, Head of Epidemiology at the Tel Aviv Health Bureau, said:"We cannot conclusively determine why the three occupants died.	no
נלקחו מהם רק בדיקות דם".	They only took blood tests."	no
עוד עלה בדיון כי גם מהדיירים שאושפזו בבית החולים כבר לא ניתן היה לקת דגימת צואה כי לא שלשלו ולכן לא ניתן לקבוע בוודאות את גורם המוות והתחלואה.	It also emerged that the residents who were admitted to the hospital could no longer receive a stool sample because they did not have diarrhea and therefore it is not possible to determine with certainty the cause of death and morbidity.	no
עוד ציינה מהנדסת מטעם משרד הבריאות כי "משרד הבריאות בודק מצב תברואי במטבחים במוסדות פעם בארבע שנים לבקשת משרד הרווחה או לבקשת חידוש רישיון".	An engineer on behalf of the Ministry of Health also noted that "the Ministry of Health checks the sanitary condition in the kitchens in the institutions once every four years at the request of the Ministry of Welfare or for a renewal of a license."	no
במשרד הרווחה הודו כי טרם מונתה ועדת החקירה למקרה הזה ולמקרה קודם של העללות בחוסים שארעה כבר לפני שלושה חודשים במוסד "בני ציון" בשרון.	The Ministry of Social Affairs admitted that it had not yet appointed an investigative committee for this case and for a previous case of hazim abuse that occurred three months ago at the Bnei Zion Institute in Sharon.	no
יו"ר ועדת הבריאות, ח"כ עידית סילמן, אמרה במהלך הדיון: "אם היה איכפת לאנשים שם שהמטבח יהיה כמו בבית - זה לא היה נראה ככה.	The chair of the Health Committee, MK Idit Silman, said during the debate:"If people there cared that the kitchen would be like home, it wouldn't look like that.	no
הדיריים במעונות הרווחה זקוקים ליותר.	Social housing tenants need more.	no
הם רגישים בריאותית וצריכים השגחה והקפדה יתרה.	They are sensitive to health and need extra care and care.	no
זה מזעזע ובלתי נתפס מה שהתחולל שם.	It is shocking and incomprehensible what took place there.	no
הממצאים הנוראיים שהתגלו הם עוד לאחר שידעו שמשרד הבריאות בא לבדוק.	The horrific findings came to light after they knew the Department of Health had come to look into it.	no
איפה פיקוח והאחריות של המשרדים?	Where is the oversight and accountability of the offices?	no
איך בכזה דיון לא נוכחים השרים ומנכ"לי המשרדים שייתנו הסבר על מה שמתחולל כאן?"	How come the ministers and the directors of the ministries are not present in such a discussion to explain what is happening here?"	no
יגאל נחתומי, מנכ"ל בית אקשטיין שמנהל את המעון ואף ניהל את המעון בעצמו אמר "מאות ואלפי אנשים בכל המערך קמים רק במטרה אחת: לעשות טוב לאנשים.	Yigal Nachomi, CEO of Beit Eckstein, which runs the day care and even managed the day care himself, said, "Hundreds and thousands of people in the entire system rise up with only one goal: to do good for people.	no
האנשים שנפטרו אלו אנשים שטיפלתי בהם אישית.	The people who died are people I took care of personally.	no
את אחת הדיירות הרדמתי על הידיים.	I put one of the tenants to sleep on my hands.	no
זה אירוע מטלטל מבחינתנו".	This is a shocking event for us."	no
סמדר אונה, דיירת לשעבר במעון זהה בגילה, התפרצה לעברו ואמרה כי "די עם השקרים והמילים היפות.	Smadar Ona, a former resident of a residence the same age, lashed out at him and said, "Stop with the lies and the nice words.	no
אני הייתי שם".	I was there."	no
גלי ברמי, נציגת ההורים באקים ישראל: "התלוננו כבר בעבר על האוכל ולא קיבלו את הביקורת".	Gali Barami, representative of parents in Akim Israel: "We have complained before about the food and did not accept the criticism."	no
אורן הלמן מייסד מיזם סיכוי שווה לשילוב אנשים עם מוגבלות מחה על כך שלא פורסמו שמותיהם של החוסים שנפטרו: "את השמות שלהם בכלל לא יודעים.	Oren Hellman, founder of the Equal Chance for Integration of People with Disabilities, protested that the names of those who died were not released: "They don't even know their names.	no
הם שווים פחות?	Are they worth less?	no
מזלזלים בחיים של הילדים שלנו".	They are ruining our children's lives."	no
חשד למחדל בוולפסון: המנתח גרם לקרע בלב - והמטופל מת.	Suspected failure at Wolfson: The surgeon caused a rupture in the heart - and the patient died.	yes
זהו ההליך הראשון שביצע ד"ר פראס אבו עכר כמנהל היחידה לניתוחי חזה בבית החולים •	This is the first procedure performed by Dr. Feras Abu Akar as the director of the hospital's thoracic Surgery Unit •	yes
יו"ר ועד הרופאים התלונן שהמנהלת, ד"ר אנגל, הוזהרה טרם מינויו •	The chairman of the Doctors ' Committee complained that the director, Dr Engel, had been warned before his appointment •	yes
ביה"ח: "הוא מוערך ומנוסה"	Hospital: 'He is respected and experienced'	yes
פרסום ראשון: טעות מחרידה התרחשה בבית החולים הממשלתי וולפסון שבחולון, כאשר במהלך ניתוח הרופא ביצע קרע בליבו של המטופל, מה שהוביל למותו הטרגי.	First Publication: An appalling mistake occurred at the Wolfson Government Hospital in Holon, when during surgery the doctor performed a tear in the patient's heart, leading to his tragic death.	yes
הניתוח בחולה סרטן ריאה בן 83 נערך ב־19 באפריל.	The surgery on an 83־year-old lung cancer patient took place on April 19.	yes
זה היה הניתוח הראשון שביצע ד"ר פראס אבו עכר בבית החולים, לאחר שמונה למנהל היחידה לניתוחי חזה בוולפסון.	This was the first surgery performed by Dr. Feras Abu Akar at the hospital, after he was appointed director of the thoracic Surgery Unit at Wolfson.	yes
במהלך הניתוח, שנועד לנקז את האזור המקיף את ליבו של המטופל, המנתח גרם בטעות לקרע גדול בלב, שהוביל לדימום קשה וגרם למותו של המטופל.	During the operation, designed to drain the area surrounding the patient's heart, the surgeon accidentally caused a large tear in the heart, leading to severe bleeding and causing the patient's death.	yes
אלא שהסיבוך החריג פתח תיבת פנדורה, שהעלתה שאלות קשות בכל הנוגע לניהול בית החולים.	But the unusual complication opened a Pandora's box, raising serious questions about the hospital's management.	yes
מנהל המכון האונקולוגי ויו"ר ועד הרופאים, ד"ר רונן ברנר, דרש חקירה של הפרשה במכתב שהעביר למנהלת בית החולים, ד"ר ענת אנגל.	The director of the Oncology Institute and the chairman of the Doctors ' Committee, Dr. Ronen Brenner, demanded an investigation into the affair in a letter he forwarded to the hospital's director, Dr. Anat Engel.	yes
במכתב העלה טענות קשות ביותר על ההתנהלות של ד"ר אנגל ועל מינויו של ד"ר אבו עכר, זאת לאחר שמנהל היחידה הקודם, ד"ר בני צוקרמן, עבר לביה"ח שיבא בתל השומר.	In the letter, he made the most serious allegations about Dr. Engel's conduct and the appointment of Dr. Abu Akar, after the previous director of the unit, Dr. Benny Zuckerman, moved to Sheba Hospital in Tel Hashomer.	no
חור ענק בלב	Huge hole in the heart	no
על פי מכתבו של ד"ר ברנר, החולה היה צלול, מתפקד וטופל על ידו בארבע השנים האחרונות.	According to Dr. Brenner's letter, the patient has been lucid, functioning and cared for by him for the past four years.	no
לאחרונה חלה אצלו התפשטות של המחלה, והתגלתה הצטברות לא תקינה של נוזלים בתוך קרום הלב, שבתוכו נמצא שריר הלב.	He had recently had a spread of the disease, and an abnormal build-up of fluid was discovered inside the pericardium, which houses the heart muscle.	no
כמו כן, המנתח ד"ר אבו עכר, התרשם שהוא יכול לבצע את הניתוח.	Also, surgeon Dr. Abu Akar, was impressed that he could perform the surgery.	no
לפי התלונה, בניתוח אירעה תקלה חמורה, וד"ר חגי דקל, מנהל מחלקת ניתוחי לב וחזה בוולפסון, שהיה באותו זמן בניתוח של ילד בחדר הסמוך, "נקרא בבהילות לשולחן הניתוח וראה חור ענק בלב".	According to the complaint, a serious malfunction occurred in the surgery, and Dr. Hagai Dekel, director of the Heart and chest Surgery department at Wolfson, who was in the surgery with a child in the next room at the time,"was rushed to the operating table and saw a huge hole in the heart."	no
לדבריו, הלב היה מרוקן מדם, לחצי הדם היו אפסיים, והגישה הניתוחית היתה שגויה.	He said the heart was drained of blood, the blood pressure was zero, and the surgical approach was wrong.	no
נוסף על כך, ד"ר ברנר סיפר כי ד"ר דקל פנה אליו ואמר לו כי ד"ר אבו עכר לא מתאים מבחינה מקצועית ואישית לניהול יחידת ניתוחי חזה בוולפסון.	In addition, Dr. Brenner said that Dr. Dekel approached him and told him that Dr. Abu Akar was not professionally and personally qualified to run a thoracic surgery unit at Wolfson.	no
עם זאת, על אף אזהרותיו המפורשות ואף שהיה אמור להיות המנהל הישיר של מנתח החזה, ד"ר אנגל ביצעה מכרז בלי לשתף אותו וקיבלה את ד"ר אבו עכר לתפקיד.	However, despite his explicit warnings and even though he was supposed to be the direct manager of the chest surgeon, Dr. Engel made a tender without sharing it and accepted Dr. Abu Akar for the position.	no
עוד ציין: "מדובר בהליך לא מסובך, שנמשך כמה דקות", והוסיף: "לא ניתן שלא להתייחס לתהליך הלקוי של קבלת ד"ר אבו עכר לתפקיד.	He added:" This is an uncomplicated procedure, which lasted a few minutes, "adding:"It is impossible not to consider the inadequate process of accepting Dr. Abu Akar for the position.	no
עולה השאלה אם קיימת אחריות ישירה של אנגל לכישלון הניתוח ולמות החולה".	The question arises as to whether Engel is directly responsible for the failure of the surgery and the death of the patient."	no
כירורג מנוסה	Experienced surgeon	no
בפני ״ישראל היום״ הועלו מידע וטענות של רופאים בכירים נוספים שמחזקים את השאלות שהעלה בפרשה ד״ר רונן ברנר.	Before Israel Hayom, information and allegations were raised by other senior doctors that reinforce the questions raised in the case by Dr. Ronen Brenner.	no
ד"ר מרדכי שמעונוב, מנהל כירורגית א' בוולפסון, הגיב לתלונה של ברנר וכתב כי ד"ר אבו עכר הוא "אחד הכירורגים היותר מנוסים בארץ, אך כירורג חזה צעיר יחסית".	Dr. Mordechai Shimonov, director of A surgery at Wolfson, responded to Brenner's complaint, writing that Dr. Abu Akar is"one of the most experienced surgeons in Israel, but a relatively young thoracic surgeon."	no
עוד הוסיף כי הוא נבחר במכרז תקין וד"ר דקל לא לקח בו חלק, בהתאם להצהרותיו על רצונו "להתנתק" מיחידת החזה.	He added that he had been selected in a proper tender and Dr Dekel had not taken part in it, in line with his statements of wanting to"disengage "from the chest unit.	no
עוד ציין: "גם אני לא הייתי שותף להליך, וייתכן שהייתי אמור להיו.	He added: "I wasn't a party to the procedure either, and I might have been.	no
ד"ר שמעונוב כתב כי ד"ר פראס אבו עכר החל לעבוד ב־10 באפריל וזכאי ל־100 ימי חסד, "כל רופאי בית החולים התרשמו מהמקצועיות שלו ומהמוטיבציה והנכונות לעבוד.	Dr. Shimonov wrote that Dr. Feras Abu Akar began work on April 10 and is entitled to 100 days of grace, "All the hospital doctors were impressed by his professionalism and his motivation and willingness to work.	no
הוא ביצע כבר עשרות מקרים של פרוצדורה דומה, ולצערי המקרה הנוכחי הסתיים כפי שהסתיים בצורה מצערת.	He has already performed dozens of cases of similar procedure, and unfortunately the current case ended as it did in an unfortunate way.	no
מבית החולים וולפסון נמסר בתגובה: "אנו משתתפים בצערה של המשפחה.	Wolfson Hospital said in a statement: "We offer our condolences to the family.	no
מדובר במטופל של האונקולוג ד"ר רונן ברנר.	This is a patient of oncologist Dr. Ronen Brenner.	no
מנתח החזה המוזכר בכתבה הוא מנתח מוערך ובעל ניסיון רב שנים, ונבחר במכרז לניהול יחידת כירורגיה חזה המשויכת למחלקת כירורגיה בבית החולים וולפסון.	The chest surgeon mentioned in the article is a highly regarded surgeon with many years of experience, and was selected in the tender to manage the thoracic surgery unit associated with the surgery department at Wolfson Hospital.	no
"לדברי ד"ר חגי דקל, דבריו שצוטטו אינם מדויקים והוצאו מהקשרם.	"According to Dr. Hagai Dekel, the words quoted are inaccurate and taken out of context.	no
יש לציין כי מדובר במטופל שהיה לצערנו במצב קשה מאוד.	It should be noted that this is a patient who was unfortunately in a very difficult situation.	no
בית החולים בודק את פרטי המקרה בשקיפות, ומשרד הבריאות מכיר את פרטי המקרה".	The hospital is investigating the details of the case with transparency, and the Ministry of Health is familiar with the details of the case."	no
צפו במדריך: איך לבצע בדיקת אנטיגן באופן עצמאי?	See the guide: How to do an antigen test independently?	yes
ההוראות שעל האריזה מבלבלות אתכם?	Do the instructions on the packaging confuse you?	yes
"ישראל היום" ו"איחוד הצלה" מציגים: כך תוכלו לדגום את עצמכם ולקבל תשובה בתוך דקות.	"Israel Hayom" and "Union of Rescue" present: this way you can sample yourself and get an answer in minutes.	yes
ההוראות שעל האריזה מבלבלות אתכם?	Do the instructions on the packaging confuse you?	yes
לא בטוחים כיצד יש לבצע את הדיגום?	Not sure how to do the sampling?	yes
בשביל זה אנחנו כאן.	That's what we're here for.	yes
"ישראל היום" ו"איחוד הצלה" מגישים מדריך קצר וקולע לביצוע בדיקת האנטיגן הביתית.	"Israel Hayom" and "Union of Rescue" offer a short and comprehensive guide to performing the home antigen test.	yes
נאחל לכולם להיות חיוביים בחיים ושליליים בבדיקות הקורונה - וכמובן רפואה שלמה והמון בריאות.	We wish everyone positive in life and negative in the coronavirus tests - and of course a full recovery and lots of health.	yes
מודל לריפוי: שלושה רופאים בכירים מספרים על המנטורים שלהם	A model for healing: Three senior doctors tell of their mentors	yes
פרופ' גליה רהב מתגעגעת לשנינות ולחוכמה של פרופ' מרווין שפירא ז"ל, בייחוד בימי המגפה •	Prof. Galia Rahav misses the wit and wisdom of the late Prof. Marvin Shapira, especially in the days of the plague •	yes
ד"ר שלומי קודש לא שוכח, גם ממרום תפקידו, את הדחיפה מפרופ' שאול סוקניק ז"ל •	Dr. Shlomi Kodesh does not forget, even from the top of his job, the push from the late Prof. Shaul Sukenik. •	yes
וד"ר אפרת ברון-הרלב מודה לד"ר טומי שינפלד על השיעור בהזדהות עם המטופלים •	And Dr. Efrat Baron-Harlev thanks Dr. Tommy Sheinfeld for the lesson in identifying with patients •	yes
שלושה אנשי מפתח בבתי החולים כותבים על מי שהעניקו להם השראה ועודדו אותם להיות טובים יותר, כמטפלים וגם כבני אדם.	Three key people at the hospitals write about those who inspired and encouraged them to be better, both as caregivers and as human beings.	yes
שלושה רופאים בכירים, שלושה מורים לחיים ולמקצוע: לרגל יום הרופא הישראלי, "ישראל היום" הזמין את פרופ' גליה רהב, ד"ר שלומי קודש וד"ר אפרת ברון-הרלב להיזכר בדמויות שליוו אותם בתחילת הדרך - וסייעו להם להפוך למי שהם היום.	Three senior doctors, three teachers of life and profession: On the occasion of Israeli Doctor's Day, Israel Hayom invited Prof. Galia Rahav, Dr. Shlomi Kodesh and Dr. Efrat Baron-Harlev to recall the characters who accompanied them at the beginning of the journey - and helped them become who they are today.	yes
פרופ' גליה רהב, מנהלת היחידה למחלות זיהומיות בשיבא |	Prof. Galia Rahav, Director of the Infectious Diseases Unit at Sheba |	yes
על פרופ' מרווין שפירא ז"ל	the late Prof. Marvin Shapira	yes
המפגש שפקח את עיניי - ושינה את חיי	The Meeting that Opened my eyes - and Changed my Life	yes
אלמלא הייתי פוגשת את פרופ' מרווין שפירא ז"ל, שהיה מנהל היחידה למחלות זיהומיות בביה"ח הדסה, כנראה שהייתי נשארת רופאה מומחית ברפואה פנימית.	If I hadn't met the late Prof. Marvin Shapira, who was the director of the Infectious Diseases Unit at Hadassah Hospital, I probably would have remained a specialist in internal medicine.	yes
הוא זה שגרם לי לאהוב את תחום המחלות הזיהומיות והשפיע עלי לעסוק בו.	He was the one who made me love the field of infectious diseases and inspired me to pursue it.	no
