בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: three cheetah cubs were born in Iran	yes
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change reality so that my children and the children of all my friends will have a different future, in the hope that we can heal the crooked system.	no
זוהי המוטיבציה שלי".	That's my motivation."	no
"אני כבר לא אותה קים שחושבת שעות על איזה סלפי ביקיני כדאי להעלות", היא מתעקשת, "אבל זה גם לא נעלם לגמרי מחיי.	"I'm no longer the same Kim who thinks for hours about which bikini selfie to post," she insists, "but it's also not completely gone from my life.	no
אדם חייב להיות נאמן למי שהוא באמת ולקחת הכל בכיף".	A person has to be true to who they really are and take everything for fun."	no
על הסיבות לפיטורי המפיק שגילה אותן ריאן סיקרסט ועל הדרך החדשה והמאוד רווחית שלהן בתעשייה, המשמעות של המעבר לדיסני, מכונת היח"צ המשומנת של המשפחה והשפעתה על רווחיות המותג ועוד, בכתבה המלאה שתפורסם במגזין "שישבת".	On the reasons for firing the producer who discovered them Ryan Seacrest and their new and very profitable way in the industry, the significance of the move to Disney, the family's well-oiled PR machine and its impact on the brand's profitability and more, in the full article that will be published in "Shabbat" magazine.	no
אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז	Indinegev with an international flavor: Afghan and Wigas join Evyatar Banai and Noga Erez	yes
להקת הרוק האמריקאית מצטרפת אל שורת אמנים מקומיים שייקחו השנה חלק בפסטיבל המוזיקה המדברי, שנחשב לאירוע עלייה לרגל בקרב שוחרי מוזיקה רבים	The American rock band joins a string of local artists who will take part in this year's desert music festival, which is considered a pilgrimage event among many music lovers	yes
להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.	Afghan Wiggs, Shlomi Shaban, Noga Erez, Evyatar Banai and Tess are among the names that will take part in the Indinegev festival, which will take place between October 20 and 22.	yes
השנה יציין הפסטיבל 15 שנים להקמתו והיום (רביעי) מפרסמת הפקת הפסטיבל את רשימת המשתתפים באירוע המדברי.	This year, the festival will mark its 15th anniversary, and today (Wednesday) the festival production publishes the list of participants in the desert event.	yes
מוזיקאים אחרים המופיעים בליינאפ כוללים את: הילה רוח, טדי נגוסה, דניאלה ספקטור, יובל מנדלסון והמסע לפולין, להקת המסך הלבן, ריף כהן, קרולינה, עטר מיינר, רבע לאפריקה, פול טראנק, עילי אשדות ורבים אחרים.	Other musicians performing in the line-up include: Hila Ruach, Teddy Neguse, Daniela Spektor, Yuval Mendelsohn and the Journey to Poland, The White Screen Band, Riff Cohen, Carolina, Atar Miner, A Quarter to Africa, Paul Trunk, Eili Ashdot and many others.	yes
אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.	Indinegev began its journey in 2007 as a small niche event, which brought together the hottest names in the Israeli indie scene.	yes
עם השנים הוא הפך לאירוע עלייה לרגל עבור חובבי מוזיקה רבים, והחל לארח שמות בינלאומיים, לצד אמנים מיינסטרימים.	Over the years, it became a pilgrimage event for many music lovers, and began hosting international names, alongside mainstream artists.	yes
אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות	Aviv Geffen and Sarit Hadad: An outdoor festival that creates new surprises in Jerusalem	yes
הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים	The international festival in the capital, which has become a tradition and will take place in several locations, will present musical performances by leading local artists, and will combine circus performances and innovative and surprising artistic performances	yes
.	.	no
כמו כל קיץ לאורך השנים, לצד החום, הלחות והשעמום של התלמידים, מגיע גם הפסטיבל הבינלאומי חוצות היוצר ירושלים, שכבר הפך למסורת בבירה ויתקיים במספר מוקדים (בהם גן מיטשל, בריכת הסולטן, אל מול מגדל דוד ולמרגלות חומות העיר העתיקה) - בין התאריכים 15-27 באוגוסט.	Like every summer over the years, alongside the heat, humidity and boredom of the students, comes the international festival Hutzot HaCreator Jerusalem, which has already become a tradition in the capital and will take place in several locations (including Mitchell Park, the Sultan's Pool, opposite the Tower of David and at the foot of the Old City walls) - from August 15-27.	yes
במסגרת הפסטיבל יתקיימו בכל יום מופעים מוזיקליים של אמנים רבים בהם שרית חדד, קובי פרץ, אביב גפן והתעויוט שיארחו את החברים של נטאשה, שלומי שבת, עידן חביב, נתן גושן, נסרין קדרי, דני סנדרסון שיארח את תיסלם ואמיר דדון, נגה ארז ועוד.	As part of the festival, musical performances by many artists will take place every day, including Sarit Hadad, Kobi Peretz, Aviv Geffen and Hataviut, who will host Natasha's friends, Shlomi Shabbat, Idan Habib, Nathan Goshen, Nasrin Kadri, Danny Sanderson who will host Tisalem and Amir Dadon, Noga Erez and more.	yes
לצד המוסיקה השנה יתקיימו שני מופעים מסקרנים.	Alongside the music this year, there will be two intriguing performances.	yes
הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.	The first is ARTISTA - an exhibition of illuminated exhibits in the public space (Design: Philippe Blau) with figures from other galaxies who will walk among visitors inside a building and present an entire adventure in both light and night.	yes
המיצג התיאטרלי ישלב רקדנים, שחקנים, ואמני תיאטרון פיזי שיתקשרו עם הקהל.	The theatrical performance will include dancers, actors, and physical theater artists who will interact with the audience.	yes
SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.	SPARKS is a circus, movement and aerial hover show of Circus Y, an Instagram photography exhibition inspired by famous works of art.	yes
The Black Box Gallery – היא גלריית ההצצה של היוצר והמבצע ליאור כלפון, שתוצב ברחבת היריד עם חורי הצצה שיחשפו את הקהל לתערוכת יצירותיו הזרחניות של ליאור כלפון, יצירות אמנות של פסלים מוארים של האמן הרב תחומי אלון בירגר (תיאטרון האור) ועוד.	The Black Box Gallery – is the glimpse gallery of creator and performer Lior Kalfon, which will be placed in the fair plaza with peepholes that will expose the audience to an exhibition of Lior Kalfon's phosphorescent works, artworks of illuminated sculptures by multidisciplinary artist Alon Birger (Theater of Light) and more.	yes
צפו: תמיר גרינברג על מערכת היחסים עם אביו	Watch: Tamir Greenberg on his relationship with his father	yes
זוכה "הכוכב הבא" מוצא סינגל שני וחוזר אל זיכרונות ילדותו ולנוכחות המשמעותית של אביו בחייו •	The "Next Star" winner finds a second single and returns to his childhood memories and the significant presence of his father in his life •	yes
"השיר מספר על הדרך לשמור על הקשר מרחוק", הוא מספר	"The song is about how to keep the connection from afar," he says	yes
תמיר גרינברג בסינגל שני בשם Into The Night לאחר שכבש את הקהל עם הסינגל הראשון שלו ובהשתתפותו ב"הכוכב הבא".	Tamir Greenberg in a second single called Into The Night after conquering the audience with his first single and his participation in "The Next Star".	yes
בחודשים האחרונים ממשיך גרינברג בהופעות רבות: היכל תרבות ת"א, משכן האופרה ת"א, אמפי שוני, אמפי גני יהושוע, האנגר 11 ועוד עשרות מופעים.	In recent months, Greenberg has continued his many performances: Tel Aviv Cultural Hall, Tel Aviv Opera House, Shoni Amphitheater, Ganei Yehoshua Amphitheater, Hangar 11 and dozens of other performances.	yes
את השיר Into The Night הפיק ועיבד גרינברג יחד עם המפיק סתיו בגר.	The song Into The Night was produced and arranged by Greenberg together with producer Stav Bagger.	yes
הקליפ, בבימויה של דריה גלר, מחזיר את תמיר לזיכרונות מילדותו ולנוכחות המשמעותית של אביו בחייו.	The video, directed by Daria Geller, brings Tamir back to memories of his childhood and the significant presence of his father in his life.	yes
"השיר מדבר על היחסים בין אבא שלי לביני.	"The song is about the relationship between my father and me.	yes
על התקופה שעזבתי את הארץ לארה"ב והדרך לשמור על הקשר מרחוק", מספר גרינברג.	About the time I left Israel for the United States and the way to keep in touch from afar," Greenberg says.	yes
בחודש הקרוב יופיע גרינברג בטקס הפתיחה של המכביה בישראל, ולקראת העונה החדשה של "הכוכב הבא", השיר איתו זכה בתוכנית, Tell Me Where The Light Goes, נבחר כשיר האודישנים לעונה הקרובה.	In the coming month, Greenberg will appear at the opening ceremony of the Maccabiah in Israel, and ahead of the new season of "The Next Star", the song with which he won the show, "Tell Me Where The Light Goes", was chosen as the audition song for the upcoming season.	yes
תוצרת כחול לבן: יובל שמלא הוא המנצח הגדול של העונה והנינג'ה ה-16 בעולם	Made in Blue and White: Yuval Shamla is the big winner of the season and the 16th ninja in the world	yes
הפנומן טיפס את הר מדוריאמה ב-26 שניות וקטף את התואר "הנינג'ה הישראלי הראשון" •	The phenom climbed Mount Madoriyama in 26 seconds and won the title of "the first Israeli ninja" •	yes
יוגב מלכה טיפס את ההר ב-29 שניות, אך לא יחזיק בתואר נינג'.	Yogev Malka climbed the mountain in 29 seconds, but will not hold the title of ninj.	yes
ה	the	yes
יש מנצח: יובל שמלא כבש את המידוריאמה, והוא המנצח של העונה הרביעית של "נינג'ה ישראל" וכעת הוא מחזיק בתואר הנינג'ה הישראלי הראשון וה-16 בעולם.	There is a winner: Yuval Shamla conquered Midoriyama, and he is the winner of the fourth season of "Ninja Israel" and now holds the title of the first Israeli ninja and the 16th in the world.	yes
שמלא משתתף בתוכנית מאז עונתה הראשונה אז סיים במקום הראשון, ובעונה השנייה הפסיד לגיל מרנץ.	Shamla has been on the show since its first season, when he finished in first place, and in the second season, he lost to Gil Marantz.	yes
בעונה השלישית הוא שוב ניצח ולאחרונה חזר לעונה הרביעית, ובמהלך הצילומים הוא הצהיר שזו תהיה העונה האחרונה.	He won again in the third season and recently returned for the fourth season, and during filming he stated that this would be the last season.	yes
הערב הוא טיפס לראשונה את הר המידוריאמה ב-26 שניות וסיים במקום הראשון, לאחר שגבר על המתמודדים יוגב מלכה וישי כלפון.	This evening he climbed Mount Midoriyama for the first time in 26 seconds and finished in first place, beating the contestants Yogev Malka and Yishai Kalfon.	yes
מלכה הצליח לטפס את ההר ב-29 שניות וסיים במקום השני.	Malka managed to climb the mountain in 29 seconds and finished second.	yes
יצויין שעל פי חוקי התכנית, בכל עונה יכול להיות מוכתר רק נינג׳ה אחד שהצליח לטפס את המידוריאמה בזמן.	It should be noted that according to the rules of the program, in each season only one ninja who managed to climb the Midoriyama in time can be crowned.	yes
לכן, על אף ההישג המרשים של מלכה, כיוון שיובל שמלא מנצח העונה טיפס את המידוריאמה ב-3 שניות מהר יותר, מלכה אינו זוכה בתואר העולמי של נינג׳ה.	Therefore, despite Malka's impressive achievement, since Yuval Shamla, the winner of the season, climbed Midoriyama by 3 seconds faster, Malka does not win the world title of ninja.	no
הוא יוכל להתחרות עליו מחדש בעונה הבאה.	He could compete for it again next season.	no
טוב, הבנו, שמלא גיבור על, רותם סלע מושלמת, ו"נינג'ה ישראל" הוא אירוע הספורט החשוב בעולם	Well, we understood, that full of superheroes, harnesses a perfect rock, and "Ninja Israel" is the most important sporting event in the world	yes
.	.	no
שתי מדליסטיות אולימפיות ושדר ספורט ותיק ישבו בגמר של תוכנית ריאליטי והתנהגו כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ	Two Olympic medalists and a veteran sports broadcaster sat in the finals of a reality show and acted as if it were the most significant sporting achievement on the planet	yes
.	.	no
רותם סלע מייצגת עבורנו אידיאל נשי כל כך מושלם, שזה מעוות להציג אותו כך בטלוויזיה.	Rotem Sela represents for us such a perfect feminine ideal that it is perverse to present it this way on television.	yes
היא מרוויחה על קמפיינים יותר מוונדר וומן, היא יפה מדי, היא יודעת להעמיד במקום את דנה ויס, וכשצריך - גם לסנגר על השותף העסקי שלה.	She earns more on campaigns than Wonder Woman, she's too pretty, she knows how to put Dana Weiss on the spot and, when necessary, advocate for her business partner.	yes
היא אמא וגם אשת קריירה שמפרסמת בנקים ומזגנים, מדגמנת ומובילה סדרות ותוכניות ריאליטי, ומשמשת עבור בנות צעירות מודל חיקוי בלתי מושג.	She is both a mother and a career woman who advertises banks and air conditioners, models and leads series and reality shows, and serves as an unattainable role model for young girls.	yes
ואולי זה הגיוני שרותם סלע עוברת מסך מושלם מדי, כי בתוכנית שהיא מנחה מוכרחים להיות מושלמים, ואין צורך להתנצל על כך.	And maybe it makes sense that Rotem Sela goes through a screen that's too perfect, because the show she hosts has to be perfect, and there's no need to apologize for it.	yes
בעולם של הנינג'ה כולם גדולים מהחיים, והמנחים תחילה.	In the ninja world, everyone is larger than life, and the facilitators first.	yes
אסי עזר הרי הסתבך בפרשה שלכאורה היתה אמורה למחוק אותו מהמסך לתקופה מסוימת, אך מכיוון שהוא לא בן אנוש רגיל - הוא נחלץ ממנה עוד לפני מקבץ הפרסומות הראשון.	After all, Assi Ezer was embroiled in an affair that was ostensibly supposed to erase him from the screen for a while, but since he is not an ordinary human being, he escaped from it even before the first batch of commercials.	yes
תקשיבו לפסקול של האירוע: ניב רסקין, ששידר בחייו זכיות בגביעי אירופה ושיאי עולם, אבל מתרגש ממגה־קיר כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ.	Listen to the soundtrack of the event: Niv Raskin, who has broadcast European Cups and world records in his life, but is moved by a megawall as if it were the most significant sporting achievement on the planet.	no
בגמר ישבו לצידו כפרשניות שתי מדליסטיות אולימפיות (ירדן ג'רבי ולינוי אשרם), כאילו כדי להדגיש כמה נדירים ואיכותיים תנאי הכניסה לעולם העל־אנושי שמציגה תוכנית הריאליטי הזאת כבר ארבע עונות.	In the final, two Olympic medalists (Yarden Jerbi and Linoy Ashram) sat next to him as commentators, as if to emphasize how rare and high quality the conditions of entry into the superhuman world that this reality show has been presenting for four seasons.	no
"נינג'ה ישראל" יצאה מפרופורציות כדי לשווק את העונה, שהסתיימה אמש עם הר המידוריאמה ועם יובל שמלא שהצליח לטפס אותו ב-26 שניות והוכתר סוף סוף לנינג'ה.	"Ninja Israel" was blown out of proportion to market the season, which ended last night with Mount Midoriyama and Yuval Shamla, who managed to climb it in 26 seconds and was finally crowned a ninja.	no
לשם הוביל מסלול כמעט בלתי עביר, שהפיל בזה אחר זה את כל הדמויות העל־אנושיות שהתוכנית דאגה לנפח להן את האגו לאורך השנה.	There he led an almost insurmountable trajectory, dropping down one after another all the superhuman characters for whom the show had inflated their egos throughout the year.	no
רוצים להיות צבי נינג'ה?	Want to be a Teenage Mutant Ninja Turtles?	no
לא אצלנו.	Not with us.	no
כאן מחפשים גיבורי־על.	This is where superheroes are being sought.	no
הדגש היה על חיפוש יורש לשמלא, מי שמכונה "מלך המלכים והאחד במינו", ועוד כינויים שנועדו להבהיר כמה הוא מושלם וחד־פעמי.	The emphasis was on searching for a successor to Shamla, the so-called "one-of-a-kind king of kings," and other nicknames meant to make it clear how perfect and one-of-a-kind he was.	no
כתוצאה מכך הועלתה רמת הקושי, הבנות שניסו להתמודד במסלולי העונה התרסקו, והבנים התחרו ביניהם למי יש יותר ריבועים בבטן וכריזמה של דיקט כדי להיכנס לנעליו של שמלא הפורש.	As a result, the level of difficulty was raised, the girls who tried to compete on the tracks of the season crashed, and the boys competed among themselves who had more squares in their belly and the charisma of plywood to step into the shoes of the retiring Shamla.	no
יגידו שזו תוכנית ספורטיבית שמעודדת פעילות גופנית ומציגה התגברות על קשיים ואתגרים, אבל מבחינת הרוב המוחלט של הצופים - בטטות כורסה בינוניות שכמונו - "נינג'ה ישראל" מטפחת עבורנו מודל ספורטיבי־הישגי בלתי מושג.	They will say that this is a sports program that encourages physical activity and presents overcoming difficulties and challenges, but for the vast majority of viewers - medium-sized couch potatoes like us - "Ninja Israel" cultivates for us an unattainable sports-achievement model.	no
מהיר יותר, חזק יותר, גבוה יותר, מושלם יותר.	Faster, stronger, higher, more perfect.	no
כשגיל ססובר נע בין פאנצ'ים לשיחות על קדושה	When Gil Sassover oscillates between punches and conversations about holiness	yes
מוזר לראות את הקומיקאי, אקס "קומדי סטור", מנחה תוכנית "קבלת שבת" בערוץ 14, שבה הוא טועם מסירים ונותן במה בעיקר לגברים	It is strange to see the comedian, ex "Comedy Store", host of the "Kabbalat Shabbat" program on Channel 14, in which he tastes pots and gives a stage mainly to men	yes
אם נשחק במשחק אסוציאציות, לכולנו יהיו תשובות דומות לשאלה "מה מזכיר לכם המושג 'הכנות לשבת'?".	If we play an association game, we will all have similar answers to the question "What does the concept of 'preparing for Shabbat' remind you of?"	yes
תגידו: ספונג'ה וניקיונות, סירים על הגז וריחות בחדר המדרגות, ירון אילן או אבי כאכון בטלוויזיה, אבל הכי מוזר יהיה אם מישהו יגיד פתאום "גיל ססובר".	Say: sponge and cleaning, pots on the gas and smells in the stairwell, Yaron Ilan or Avi Kakhon on TV, but the strangest thing would be if someone suddenly said "Gil Sesover".	yes
כי גיל ססובר באמצע הספונג'ה והבישולים זה הכי לא קשור שהטלוויזיה יכולה להציע.	Because Gil Sassover in the middle of the sponge and cooking is as unrelated as television can offer.	yes
ובאמת, "קבלת שבת", התוכנית החדשה שהוא מנחה בצהרי שישי בערוץ 14, מנותקת ברוחה מהשעה שהיא משודרת.	Indeed, "Kabbalat Shabbat," the new program he hosts on Friday afternoons on Channel 14, is detached in spirit from the time it airs.	yes
לאורך מחצית ממנה - ססובר עומד.	Along half of it - Sassover stands.	yes
הוא מדבר במהירות, מחזיק ביד מיקרופון גם כשהוא טועם מנות, ומשתדל לחלק את המינון בין פאנצ'ים לבין שיחות על קדושה.	He speaks quickly, holding a microphone in his hand even when tasting dishes, and tries to divide the dose between punches and conversations about holiness.	yes
להגנתו ייאמר כי דלות התקציב מורגשת, וזה כנראה המקסימום שניתן לייצר בתנאים הללו.	In his defense, it should be said that the meager budget is felt, and this is probably the maximum that can be produced under these conditions.	yes
עם זאת, מה שעוד הורגש בתוכנית הבכורה, ששודרה שלשום ממטה בנימין, זו חלוקה מגדרית ברורה.	However, what was also felt in the premiere program, which was broadcast yesterday from Mateh Binyamin, is a clear gender division.	yes
הגברים שרים, מנגנים, רוקדים, מדברים תורה, משווקים מסעדות ומפעלים - ואילו הנשים הסתפקו באייטם קטן, שבו סיפרו בהתרגשות על ניהול מתפרה.	The men sang, played, danced, spoke Torah, marketed restaurants and factories - while the women made do with a small item, in which they excitedly told about running a sewing workshop.	no
יום האישה שמח שיהיה לכן.	Happy Women's Day to you.	no
קבלת שבת עם גיל ססובר, עכשיו 14	Kabbalat Shabbat with Gil Sesover, now 14	no
איגוד הדיור המוגן נגד רותי רוסו: "להגיד 'יש לזה טעם של דיור מוגן' פוגע בפעילותנו"	Assisted Living Association vs. Ruthie Russo: "To say 'it tastes like assisted living' harms our activity"	yes
יושבת הראש יולי גת שיגרה מכתב, שבו הביעה את תלונת האיגוד נגד אמירה מעליבה, לטענתם, של שופטת "המסעדה הבאה" באחד מהטריילרים לתוכנית •	Chairwoman Yuli Gat sent a letter in which she expressed the union's complaint against what they claimed was an insulting statement by the judge of "The Next Restaurant" in one of the trailers for the show •	yes
רותי רוסו בתגובה: "שמחה שיש מקומות שמשקיעים יותר בקולינריה של אוכלוסייה זו".	Ruti Russo responded: "Glad that there are places that invest more in the culinary of this population."	yes
איגוד בתי האבות והדיור המוגן בישראל נגד ״המסעדה הבאה״: במכתב ששלחה יושבת הראש יולי גת והגיע ל״ישראל היום״ נכתב כך: ״בקדימון בטרם השידור, שהופץ בכל רשתות החברתיות ובטלוויזיה, מתואר כי השופטת המקצועית של התחרות אמרה 'לאוכל יש טעם של דיור מוגן', דהיינו אוכל של מוסד סגור עם אוכל ברמה נמוכה״.	The Association of Nursing Homes and Assisted Living in Israel against "The Next Restaurant": A letter sent by Chairwoman Yuli Gat and obtained by Israel Hayom reads as follows: "In the trailer before the broadcast, which was distributed on all social networks and television, it is described that the professional judge of the competition said, 'Food tastes like assisted living,' that is, food of a closed institution with low-level food."	yes
״הטון שבחרה שופטת התוכנית, רותי רוסו, לתאר את אכזבתה מהמזון שהמתמודד הגיש מבטל ברגע את פעילותנו רבת השנים להילחם כנגד הבורות הקיימת בתחום, זאת משום שבתי הדיור המוגן מפעילים בבתים השונים מסעדות לטובת הדיירים עם מנות שף ברמה הכי גבוהה״.	"The tone chosen by the show's judge, Ruthie Russo, to describe her disappointment with the food the contestant served immediately cancels our longstanding activity to fight against the ignorance that exists in the field, because the assisted living homes operate restaurants in the various homes for the benefit of the residents with chef dishes of the highest standard."	yes
עוד נכתב: ״צוותי השירות ומנהלי הבתים נאבקים על תדמיתו של הדיור המוגן המציע פתרונות לדיור איכותי לזקנים, ובכללם הפגת בדידות, פעילויות פנאי בשפע, רמת חיים גבוהה ועוד".	It added: "Service teams and home managers are struggling for the image of assisted living that offers quality housing solutions for the elderly, including alleviating loneliness, abundant leisure activities, a high standard of living and more."	yes
בישראל בשנים האחרונות יותר ויותר משפחות ואנשים מבוגרים מבינים כי בדידות זו המחלה הקשה ביותר בגיל מבוגר ורואים במקומות הקהילתיים כפתרון מוכח למחלה.	In Israel in recent years, more and more families and older people understand that loneliness is the most difficult disease in old age and see community places as a proven solution to the disease.	yes
"מזון הוא אחד מההנאות הגדולות ביותר בחיים, ולכן אנו מקדישים משאבים ומאמצים בכדי להגיש לדיירים את האוכל המשובח ביותר.	"Food is one of life's greatest joys, so we dedicate resources and efforts to serving residents the finest food.	yes
מרבית בתי הדיור המוגן נעזרים בשפים מקצועיים על מנת לבנות תפריט.	Most assisted living facilities rely on professional chefs to build a menu.	yes
אנו נשמח בכל עת להזמין את צוות השופטים בכדי להתרשם מהמנות המנצחות המוגשות מידי יום לעשרות אלפי זקנים בישראל וכן בשם השפים וצוותי המסעדות בבתי הדיור המוגן נבקש התנצלותכם והבהרתכם.	We will be happy at any time to invite the judging panel in order to be impressed by the winning dishes served daily to tens of thousands of elderly people in Israel, and on behalf of the chefs and restaurant staff in the assisted living homes, we will ask for your apology and clarification.	yes
בואו ביחד, אמצעי התקשורת והחברה הישראלית, בכדי לעודד את הדיור הקהילתי למען בריאות הקשישים״.	Come together, the media and Israeli society, to encourage community housing for the health of the elderly."	no
רותי רוסו מסרה בתגובה: "שמחה שיש מקומות שמשקיעים יותר בקולינריה של אוכלוסייה זו, שבהחלט מגיע לה אוכל מעולה בתקופה המתקדמת של החיים.	Ruti Russo said in response: "Glad that there are places that invest more in the culinary of this population, which definitely deserves excellent food in the advanced period of life.	no
אני מכבדת את עבודתם הקשה של טבחים, טבחיות, שפיות ושפים בכל מקום, גם בדיור המוגן".	I respect the hard work of cooks, cooks, chefs and chefs everywhere, even in assisted living facilities."	no
"מוסר כפול: ברוסיה אתה מבטל מופע אבל בישראל לא ביטלת?"	"Double standards: in Russia you cancel a show but in Israel you didn't?"	yes
ניק קייב מגיב לביקורת	Nick Cave responds to criticism	yes
הזמר התייחס לביקורת שהוטחה בו על ידי מעריץ טורקי, שהאשים אותו במוסר כפול •	The singer addressed criticism leveled at him by a Turkish fan, who accused him of double standards •	yes
הזמר בתגובה: "הפלישה לאוקראינה שונה מאוד מהקונפליקט הישראלי-פלשתיני	The singer responded: "The invasion of Ukraine is very different from the Israeli-Palestinian conflict	yes
"	"	no
ניק קייב ביטל מוקדם יותר השבוע הופעה ברוסיה בשל המלחמה והכריז כי הוא "ניצב לצד אוקראינה ומתפלל שהטירוף יסתיים בקרוב".	Nick Cave canceled a concert in Russia earlier this week due to the war, declaring that he "stands with Ukraine and prays that the madness ends soon."	yes
בכך הצטרף הזמר האוסטרלי המוערך לאמנים וללהקות כמו איגי פופ, גרין דיי ופרנץ פרדיננד, שביטלו גם הם הופעות במדינה הפולשת.	In doing so, the esteemed Australian singer joined artists and bands such as Iggy Pop, Green Day and Franz Ferdinand, who also cancelled shows in the invading country.	yes
אבל במקרה של קייב הודעת הביטול שלו קיבלה תפנית מעט שונה.	But in the case of Kyiv, his cancellation announcement took a slightly different turn.	yes
מעריץ טורקי בשם אחמט הטיח בזמר שהוא צבוע, שכן ב-2017 סירב קייב לבטל שתי הופעות שהתקיימו בישראל, למרות הביקורת הרבה שספג מטעם ארגונים פרו-פלשתיניים.	A Turkish fan named Ahmet accused the singer of being a hypocrite, since in 2017 Kiev refused to cancel two concerts held in Israel, despite criticism from pro-Palestinian groups.	yes
בעת ביקורו בארץ אמר אז קייב לתקשורת המקומית: "בסופו של דבר, אני נמצא כאן משתי סיבות: הסיבה הראשונה היא מפני שאני אוהב את ישראל ואת הישראלים, והסיבה השנייה היא שאני נגד כל מי שמנסה לצנזר ולהשתיק מוזיקאים".	During his visit to Israel, Kyiv told local media: "At the end of the day, I am here for two reasons: the first reason is because I love Israel and the Israelis, and the second reason is that I am against anyone who tries to censor and silence musicians."	yes
אותו אחמט זכר היטב את אמירותיו של קייב בעד מוזיקה ונגד פוליטיזציה.	The same Ahmet remembered well Kiev's statements in favor of music and against politicization.	no
המעריץ אף פרסם באתרו האישי והלא מצונזר של הזמר, "The Red Hand Files", פוסט נוקב שבו טען שגם ישראל היא מדינה כובשת, ולכן מצבה של פלשתין זהה למצבה של אוקראינה.	The fan even posted a scathing post on the singer's personal and uncensored website, "The Red Hand Files," in which he claimed that Israel is also an occupying state, and therefore the situation of Palestine is the same as that of Ukraine.	no
"מה שמפריע לי לגבי ההודעה שלך על אוקראינה", כתב אחמט. "זה שלא תמכת כך בפלשתינים, הסובלים גם הם ממשטר ברוטאלי.	"What bothers me about your announcement about Ukraine," Ahmet wrote. "The fact that you didn't support the Palestinians, who also suffer from a brutal regime.	no
למעשה, תיארת את ישראל כדמוקרטיה מתפקדת, אבל לדעתי ישראל היא בראש ובראשונה הגורם האחראי לסבל הפלשתיני.	In fact, you described Israel as a functioning democracy, but in my opinion, Israel is first and foremost responsible for Palestinian suffering.	no
זה מעציב אותי מאוד, שכן אתה מייצג פה מוסר כפול", סיכם המעריץ הטורקי.	It saddens me a lot, because you represent a double standard here," concluded the Turkish fan.	no
אבל הסיפור לא נגמר כאן, שכן קייב בחר להשיב לאחמט במכתב ארוך ומפורט, שבו הדגיש כי "הפלישה של רוסיה לאוקראינה שונה מאוד מהקונפליקט המתמשך בין ישראל לפלשתינים.	But the story does not end here, as Kyiv chose to respond to Ahmet with a long and detailed letter, in which he stressed that "Russia's invasion of Ukraine is very different from the ongoing conflict between Israel and the Palestinians.	no
המצב הראשון הוא תקיפה ללא התגרות קודמת של מדינה אחת בשכנתה, בתקווה לשנות את הסדר הביטחוני של אירופה כולה.	The first situation is a previous unprovoked attack by one country on its neighbor, hoping to change the security order of all of Europe.	no
המצב השני הוא חיכוך מורכב בין שני עמים.	The second situation is complex friction between two peoples.	no
הקונפליקטים אמנם דומים בכך שאנשים תמימים, אשר חולקים גורל טרגי, נאלצים להסתתר במקלטים.	The conflicts are similar in that innocent people, who share a tragic fate, are forced to hide in bomb shelters.	no
אני חש סימפתיה רבה לכל הקהילות הללו - לא משנה היכן הן נמצאות ובמי מדובר".	I have great sympathy for all of these communities – no matter where they are or who they are."	no
קייב הוסיף כי אף שהוא לא מעוניין לפרט את דעותיו בנוגע לקונפליקט הישראלי-פלשתיני, הוא בהחלט תומך גם בפלשתינים, וציין שב-20 השנים האחרונות הרבה להשתתף באירועי התרמה למענם.	Cave added that while he does not want to elaborate on his views on the Israeli-Palestinian conflict, he certainly supports the Palestinians as well, noting that over the past 20 years he has often participated in fundraising events for them.	no
"אבל זה לא זמן לוויכוחים, אחמט", הבהיר הזמר, "זה זמן להתאחד ולתמוך באוקראינים, שכרגע מתחוללת על אדמתם קטסטרופה.	"But this is not a time for arguments, Ahmet," the singer clarified, "this is a time to unite and support the Ukrainians, whose soil is currently experiencing a catastrophe.	no
