בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three endangered cheetah cubs were born in Iran	yes
המבקר מציין כי יש צורך לבחון ולהסדיר את גובה התוספת השנתית במטרה לאפשר ודאות ותכנון ארוך טווח.	The comptroller notes that it is necessary to examine and regulate the amount of the annual supplement in order to enable certainty and long-term planning.	no
עוד ציין אנגלמן כי "מודל השקיפות בעבודת הסל לוקה בחסר".	Engelman also noted that "the transparency model in basket work is lacking."	no
כך, למשל, נוהל עבודת ועדת הסל קובע כי פרוטוקולי הישיבות, שהינן סגורות לציבור, יתפרסם בתוך 60 ימים, אך בפועל הפרוטוקולים מתפרסמים בעיכוב 160-109 ימים, כאשר לעיתים פרוטוקולי הישיבות הסופיות לא מתפרסמים כלל.	Thus, for example, the Hassel Committee's work procedure states that the minutes of the meetings, which are closed to the public, will be published within 60 days, but in practice the minutes are published with a delay of 160-109 days, when sometimes the minutes of the final meetings are not published at all.	no
"העיכוב בפרסום הפרוטוקולים פוגע בשקיפות ההחלטות; בשל כך, עלולה להיפגע היכולת של מגישי ההצעות – ארגוני חולים וחברות התרופות – להגיש בקשות חוזרות בהקדם האפשרי והרלוונטי, לאחר שהפיקו לקחים מדחיית הצעותיהם, ניתחו את הסיבות לאי-הצלחתם בסבב הקודם, שיפרו ותיקנו את הצעותיהם וביצעו הערכה מחודשת באשר להיתכנות לקבלתן בסבב הבא", ציין המבקר בדו"ח.	"The delay in the publication of the protocols harms the transparency of the decisions; as a result, the ability of the submitters of the proposals - hospital organizations and pharmaceutical companies - to submit repeated requests as soon as possible and as relevant, after they learned lessons from the rejection of their proposals, analyzed the reasons for their failure in the previous round, improved and revised their proposals and reassessed the feasibility of accepting them in the next round," the Comptroller noted in the report.	no
"על משרד הבריאות לפרסם את הפרוטוקולים בהתאם ללוחות הזמנים הקבועים בנוהל".	"The Ministry of Health must publish the protocols in accordance with the schedules set forth in the procedure."	no
מתוך אלפי הגשות – הוגשה רק הערה כלכלית אחת	Out of thousands of submissions, only one financial comment was submitted.	no
ביקורת נוספת של אנגלמן נוגעת להליך מקדמי של הערכת הטכנולוגיות המוגשות לסל התרופות.	Another criticism of Engelman relates to the preliminary process of evaluating the technologies submitted to the basket of medicines.	no
המבקר מצא שכמחצית (46%) מהטכנולוגיות שהוגשו לא עברו את השלב הזה, אך משרד הבריאות לא מפרסם את הנימוקים לדחייה.	The comptroller found that about half (46%) of the technologies submitted did not pass this stage, but the Ministry of Health does not publish the reasons for the rejection.	no
ליקוי נוסף נוגע לפעילות ועדת המשנה של סל התרופות שסגורה לתקשורת ולציבור, ושבה נידונים מספרי חולים ועלויות של תרופות.	Another impairment relates to the activities of the Drug Basket subcommittee, which is closed to the media and the public, and in which patient numbers and costs of drugs are discussed.	no
המבקר ממליץ לצרף נציג ציבור או לבחון אפשרות לפרסם לציבור את הדיונים ללא פרטים מסחריים חסויים.	The Comptroller recommends that a public representative be appointed or that the possibility of publicizing the discussions to the public be examined without confidential commercial details.	no
בנוהל שלפיו פועלת ועדת סל שירותי הבריאות נקבע כי "יש להגיש הערכה כלכלית" לבקשה להוספת תרופה לסל.	According to the procedure by which the Health Services Basket Committee operates, "an economic assessment must be submitted" for a request to add a drug to the basket.	no
אך בפועל, לאורך השנים הוגשה רק הערכה כלכלית אחת מתוך אלפי הגשות – והוועדה מקבלת את החלטותיה ללא הערכה כלכלית.	But in practice, over the years only one of thousands of submissions has been submitted - and the committee makes its decisions without an economic assessment.	no
לדוגמה, לדיוני ועדת הסל לשנים 2021-2019 הוגשו בקשות להוסיף לסל תרופות נגד השמנה.	For example, the Hassel Committee's hearings for 2021-2019 submitted requests to add anti-obesity drugs to the basket.	no
מהדו"ח עלה כי לבקשות לא צורפו הערכות כלכליות, לרבות הערכה של הסכום שהיה אפשר לחסוך בשל צמצום נזקי מחלות שמקורן בהשמנה או בשל היכולת להימנע מניתוחי קיצור קיבה.	The report found that the requests did not include economic estimates, including an estimate of the amount that could have been saved due to reducing the damage of obesity-related diseases or due to the ability to avoid gastric surgery.	no
עוד עולה כי החלטות ועדת סל התרופות לא עולות בקנה אחד עם היעדים והאסטרטגיה של משרד הבריאות.	It also emerges that the decisions of the Pharmaceutical Basket Committee are not in line with the goals and strategy of the Ministry of Health.	no
כך, למשל, משרד הבריאות הגדיר ב-2019 את הרפואה המונעת וההיערכות לטיפול בגידול במחלות כרוניות כיעדים, אך במסגרת ההחלטות בדבר הרחבת הסל לא הושם דגש על הצורך בהשגת יעדים אלו.	Thus, for example, in 2019, the Ministry of Health defined preventive medicine and preparations for the treatment of tumors in chronic diseases as goals, but in the framework of the decisions regarding the expansion of the basket, no emphasis was placed on the need to achieve these goals.	no
המבקר מתריע גם כי מאז 2011 נכללים בסל התרופות גם שירותים שאינם באחריות קופות החולים, בהם מכשירי שיקום וניידות וחיסונים שונים, שניתנים על ידי משרד הבריאות ("התוספת השלישית").	The Comptroller also warns that since 2011, services that are not under the responsibility of the HMOs have also been included in the basket of medicines, including rehabilitation and mobility devices and various vaccines, which are given by the Ministry of Health (the "Third Supplement").	no
זאת, כאשר המסגרת החוקית לצעד זה מוסדרת רק בדיעבד.	This is when the legal framework for this step is regulated only retroactively.	no
בשש השנים האחרונות, נעשה שימוש ב-74 מיליון שקלים מהתוספת לסל התרופות עבור שירותים אלו.	In the past six years, NIS 74 million of the supplement to the medical basket has been used for these services.	no
אנגלמן ממליץ למשרד הבריאות לעדכן את נהלי עבודת הסל וגם לקבוע האם יש צורך בתוספת כספית נפרדת עבור שירותים אלו.	Engelman recommends that the Ministry of Health update the basket work procedures and also determine whether a separate financial supplement is needed for these services.	no
כשליש מתרופות החדשות שנכנסות לסל התרופות מוגדרות כ"תרופות ללא תוספת עלות", שהשימוש בהן אינו עולה לקופות החולים בסכום נוסף משום שהן מחליפות טיפול קיים.	About a third of the new drugs that enter the basket are defined as "drugs with no additional cost," whose use does not cost the health funds an additional amount because they replace existing treatment.	no
המבקר מציע לבחון אפשרות שתרופות אלו יידונו במסלול אחר ומקוצר, כך שניתן יהיה לעדכן את סל התרופות מספר פעמים בשנה ולא רק אחת לשנה.	The Comptroller proposes to examine the possibility that these drugs will be discussed in a different and abbreviated track, so that the basket of drugs can be updated several times a year and not only once a year.	no
אין פיקוח על השימוש בתרופות יקרות במיוחד.	There is no control over the use of expensive drugs.	no
מהביקורת עולה גם כי מאז החלה עבודת ועדת הסל לפני 20 שנה, משרד הבריאות לא ביקש מקופות החולים לדווח ולא פיקח על היקף השימושים וניצול התרופות שבסל, מידע שיכול היה לאפשר למשרד לנתח ולבקר את התקציב שניתן לקופות.	The criticism also indicates that since the ETF began its work 20 years ago, the Ministry of Health has not asked HMOs to report and has not supervised the scope of the use and utilization of the drugs in the basket, information that could have enabled the Ministry to analyze and audit the budget given to the health plans.	no
לאורך השנים פורסמו רק שני דו"חות שמתייחסים לשנים 2009-2006, וגם אלה פורסמו באיחור ניכר (האחרון פורסם השנה ועסק בניצול התקציב בשנים 2009-2007).	Over the years, only two reports relating to the years 2006-2009 were published, and these too were published with considerable delay (the last one was published this year and dealt with the utilization of the budget in 2007-2009).	no
"העיכוב בביצוע בדיקות עלול להביא לקושי באיסוף הנתונים ובניתוחם, לאי-רלוונטיות של המסקנות העולות מהבדיקה אחרי תקופה כה ארוכה, לתמחור לא מיטבי של ועדת המשנה ולקבלת החלטות המבוססות על ממצאים לא סופיים", נכתב בדו"ח.	"The delay in conducting examinations may lead to difficulty in collecting and analyzing the data, to the irrelevance of the conclusions arising from the examination after such a long period, to improper pricing of the subcommittee and to decisions based on inconclusive findings," the report said.	no
כמו כן, המשרד גם לא מבקר ומפקח על השימושים בתרופות יקרות במיוחד ולא ביצע הפקת לקחים.	In addition, the Ministry also does not review and supervise the use of particularly expensive drugs and has not learned any lessons.	no
מדובר על 10 תרופות שהיוו 62% מהתוספת לסל (1.7 מיליארד שקלים בשנים 2021-2016).	These are 10 drugs that constituted 62% of the addition to the basket (NIS 1.7 billion in the years 2021-2016).	no
על כך, כתב המבקר: "מומלץ כי משרד הבריאות יבצע בקרות פרטניות על תרופות וטכנולוגיות אלו וינתח את היקף השימוש בהן לעומת האומדנים.	The comptroller wrote: "It is recommended that the Ministry of Health conduct individual controls on these drugs and technologies and analyze the extent of their use in comparison with the estimates.	no
בקרות וניתוח יאפשרו להסיק מסקנות מערכתיות על תהליך העבודה של ועדת הסל וועדת המשנה, ועל אופן הכנת האומדנים בעת תמחור התרופות והטכנולוגיות ולשפרם".	Controls and analysis will make it possible to draw systemic conclusions about the work process of the basket committee and the subcommittee, and about how to prepare and improve estimates when pricing drugs and technologies. "	no
"מזעזע ובלתי נתפס": דיון סוער בוועדת הבריאות על ההרעלה בבית דפנה	"Shocking and incomprehensible": heated debate in the Health Committee on the poisoning in Beit Dafna	yes
המדדים של החוסה הראשונה שנפטרה היו תקינים עשר דקות לפני מותה •	Indices on the first deceased ward were normal ten minutes before her death.	yes
יו"ר הוועדה, ח"כ סילמן: "אם היה איכפת לאנשים שם שהמטבח יהיה כמו בבית - זה לא היה נראה ככה".	MK Silman, chairman of the committee: "If people there cared that the kitchen would be like home, it wouldn't look like this."	yes
עשר דקות לפני שהחוסה הראשונה כבת 40 ממעון "בית דפנה" בחולון נפטרה מהרעלת מזון נלקחו לה מדדים רפואיים שהיו תקינים, כך טענה היום (שלישי) בדיון בוועדת הבריאות מנהלת המעון.	Ten minutes before the first patient, a 40-year-old girl from Beit Dafna in Holon, died of food poisoning, she was taken medical measures that were in order, she claimed today (Tuesday) in a hearing at the Health Committee.	yes
"יש לנו מטפלי לילה שבודקים במהלך הלילה ויש אחות שעושה סבבים.	"We have night caregivers who check in during the night and there is a nurse who does rounds.	yes
היו מספר דיווחים על מקרי שלשול ואותה דיירת בעצם פעם אחרונה שנלקחו לה מדדים היו 10 דקות לפני שהפסיקה להגיב והם היוו תקינים.	There were several reports of cases of diarrhea and the same tenant actually last took her measurements were 10 minutes before she stopped responding and they were normal.	yes
היא היתה במעקב כמו יתר הדייקרים עם שלשול.	She was monitored like the other Dacres with diarrhea.	yes
היא מטופלת סיעודית, הלכנו להביא מנוך כדי לסייע בהעברה שלה ואז אותה דיירת לא הגיבה.	She's a long-term care patient. We went to get Menoch to assist in her transfer, and then that tenant didn't respond.	yes
התחלנו בהחייאה וקראנו לאחות המרפאה", תיארה מנהלת המעון את מה שהתרחש ביום ראשון שעבר בבוקר במעון.	We started CPR and called the clinic nurse, "the daycare manager described what happened last Sunday morning at the daycare center.	yes
מדובר באירוע שבו שלושה דיירים נפטרו, שישה אושפזו ובסה"כ כרבע מדיירי המעון (33 מתוך 131) סבלו משילשולים לארח אכילת בשר גולש מזוהם.	This is an incident in which three residents died, six were hospitalized and a total of about a quarter of the residents of the daycare center (33 out of 131) suffered from diarrhea to eat contaminated goulash meat.	yes
מנהלת המעון אמרה את הדברים על רקע הטענות כי מוות מהרעלת מזון מעיד על הזנחה וחוסר מעקב מצד הגורמים המטפלים.	The director of the daycare center said this against the backdrop of allegations that death from food poisoning indicates neglect and lack of follow-up by the caregivers.	no
ד"ר נעמה נוס אחראית אפדימיולוגיה לשכת הבריאות בת"א ציינה כי "אנחנו לא יכולים לקבוע חד משמעית ממה שלושת הידיירים נפטרו.	Dr. Naama Noss, head of epidemiology at the Tel Aviv Health Bureau, noted that "we cannot determine conclusively what the three friends died of.	no
נלקחו מהם רק בדיקות דם".	Only blood tests were taken. "	no
עוד עלה בדיון כי גם מהדיירים שאושפזו בבית החולים כבר לא ניתן היה לקת דגימת צואה כי לא שלשלו ולכן לא ניתן לקבוע בוודאות את גורם המוות והתחלואה.	The discussion also revealed that even among the residents who were hospitalized, it was no longer possible to obtain a stool sample because they had not been thrown out, and therefore it was not possible to determine with certainty the cause of death and morbidity.	no
עוד ציינה מהנדסת מטעם משרד הבריאות כי "משרד הבריאות בודק מצב תברואי במטבחים במוסדות פעם בארבע שנים לבקשת משרד הרווחה או לבקשת חידוש רישיון".	An engineer from the Ministry of Health noted that "the Ministry of Health checks the sanitary status of kitchens in institutions once every four years at the request of the Ministry of Social Affairs or at the request of renewal of a license."	no
במשרד הרווחה הודו כי טרם מונתה ועדת החקירה למקרה הזה ולמקרה קודם של העללות בחוסים שארעה כבר לפני שלושה חודשים במוסד "בני ציון" בשרון.	The Welfare Ministry admitted that the commission of inquiry has not yet been appointed to this case and to a previous case of abuse of the shelters that occurred three months ago at the Bnei Zion institution in the Sharon.	no
יו"ר ועדת הבריאות, ח"כ עידית סילמן, אמרה במהלך הדיון: "אם היה איכפת לאנשים שם שהמטבח יהיה כמו בבית - זה לא היה נראה ככה.	MK Idit Silman, chairwoman of the Health Committee, said during the hearing: "If people cared that the kitchen would be like home, it wouldn't look like this.	no
הדיריים במעונות הרווחה זקוקים ליותר.	The welfare boarders need more.	no
הם רגישים בריאותית וצריכים השגחה והקפדה יתרה.	They are sensitive to health and need extra care and attention.	no
זה מזעזע ובלתי נתפס מה שהתחולל שם.	It's shocking and unimaginable what happened there.	no
הממצאים הנוראיים שהתגלו הם עוד לאחר שידעו שמשרד הבריאות בא לבדוק.	The terrible findings were discovered after they knew that the Health Ministry had come to check.	no
איפה פיקוח והאחריות של המשרדים?	Where are the responsibilities and responsibilities?	no
איך בכזה דיון לא נוכחים השרים ומנכ"לי המשרדים שייתנו הסבר על מה שמתחולל כאן?"	How is it that in such a discussion the ministers and the directors-general of the ministries are not present to explain what is going on here? "	no
יגאל נחתומי, מנכ"ל בית אקשטיין שמנהל את המעון ואף ניהל את המעון בעצמו אמר "מאות ואלפי אנשים בכל המערך קמים רק במטרה אחת: לעשות טוב לאנשים.	Yigal Natsumi, CEO of Beit Eckstein, who runs the daycare and even managed the daycare center himself, said, "Hundreds and thousands of people in the entire system rise up with only one goal: to do good to people.	no
האנשים שנפטרו אלו אנשים שטיפלתי בהם אישית.	The people who died are people I personally cared for.	no
את אחת הדיירות הרדמתי על הידיים.	I fell asleep on one of my hands.	no
זה אירוע מטלטל מבחינתנו".	It's an event for us. "	no
סמדר אונה, דיירת לשעבר במעון זהה בגילה, התפרצה לעברו ואמרה כי "די עם השקרים והמילים היפות.	Smadar Ona, a former resident of an identical residence at her age, snapped at him and said, "Enough with the lies and the beautiful words.	no
אני הייתי שם".	I was there. "	no
גלי ברמי, נציגת ההורים באקים ישראל: "התלוננו כבר בעבר על האוכל ולא קיבלו את הביקורת".	Gali Bermi, a representative of the parents at Akim Israel: "We complained about the food in the past and did not accept the criticism."	no
אורן הלמן מייסד מיזם סיכוי שווה לשילוב אנשים עם מוגבלות מחה על כך שלא פורסמו שמותיהם של החוסים שנפטרו: "את השמות שלהם בכלל לא יודעים.	Oren Hellman, founder of the Equal Opportunity to Integrate People with Disabilities Project, protested that the names of the deceased residents were not published: "Their names are not known at all.	no
הם שווים פחות?	Are they worth less?	no
מזלזלים בחיים של הילדים שלנו".	They are degrading our children's lives. "	no
חשד למחדל בוולפסון: המנתח גרם לקרע בלב - והמטופל מת.	The surgeon caused a rupture in the heart - and the patient died.	yes
זהו ההליך הראשון שביצע ד"ר פראס אבו עכר כמנהל היחידה לניתוחי חזה בבית החולים •	This is the first procedure performed by Dr. Pras Abu Akar as director of the chest surgery unit at the hospital.	yes
יו"ר ועד הרופאים התלונן שהמנהלת, ד"ר אנגל, הוזהרה טרם מינויו •	The chairman of the doctors' committee complained that the director, Dr. Engel, had been warned before his appointment.	yes
ביה"ח: "הוא מוערך ומנוסה"	Hospital: "He's highly regarded and experienced"	yes
פרסום ראשון: טעות מחרידה התרחשה בבית החולים הממשלתי וולפסון שבחולון, כאשר במהלך ניתוח הרופא ביצע קרע בליבו של המטופל, מה שהוביל למותו הטרגי.	First publication: A horrific mistake occurred at the Wolfson government hospital in Holon, when during the operation the doctor ruptured the patient's heart, leading to his tragic death.	yes
הניתוח בחולה סרטן ריאה בן 83 נערך ב־19 באפריל.	The surgery on an 83-year-old lung cancer patient took place on April 19.	yes
זה היה הניתוח הראשון שביצע ד"ר פראס אבו עכר בבית החולים, לאחר שמונה למנהל היחידה לניתוחי חזה בוולפסון.	This was the first operation performed by Dr. Pras Abu Akar in the hospital, after he was appointed director of the chest surgery unit in Wolfson.	yes
במהלך הניתוח, שנועד לנקז את האזור המקיף את ליבו של המטופל, המנתח גרם בטעות לקרע גדול בלב, שהוביל לדימום קשה וגרם למותו של המטופל.	During the operation, designed to drain the area surrounding the patient's heart, the surgeon accidentally caused a large rupture in the heart, which led to severe bleeding and caused the patient's death.	yes
אלא שהסיבוך החריג פתח תיבת פנדורה, שהעלתה שאלות קשות בכל הנוגע לניהול בית החולים.	However, the unusual complication opened a Pandora's box, which raised serious questions regarding the management of the hospital.	yes
מנהל המכון האונקולוגי ויו"ר ועד הרופאים, ד"ר רונן ברנר, דרש חקירה של הפרשה במכתב שהעביר למנהלת בית החולים, ד"ר ענת אנגל.	The director of the Oncology Institute and the chairman of the committee of doctors, Dr. Ronen Brenner, demanded an investigation of the affair in a letter he sent to the director of the hospital, Dr. Anat Engel.	yes
במכתב העלה טענות קשות ביותר על ההתנהלות של ד"ר אנגל ועל מינויו של ד"ר אבו עכר, זאת לאחר שמנהל היחידה הקודם, ד"ר בני צוקרמן, עבר לביה"ח שיבא בתל השומר.	The letter raised very serious allegations about Dr. Engel's conduct and the appointment of Dr. Abu Akar, after the previous director of the unit, Dr. Benny Zuckerman, moved to Sheba Hospital at Tel Hashomer.	no
חור ענק בלב	Huge hole in heart.	no
על פי מכתבו של ד"ר ברנר, החולה היה צלול, מתפקד וטופל על ידו בארבע השנים האחרונות.	According to Dr. Brenner's letter, the patient was lucid, functional and had been treated by him for the past four years.	no
לאחרונה חלה אצלו התפשטות של המחלה, והתגלתה הצטברות לא תקינה של נוזלים בתוך קרום הלב, שבתוכו נמצא שריר הלב.	He recently had a spread of the disease, and an abnormal accumulation of fluid was discovered in the pericardium, in which the heart muscle is located.	no
כמו כן, המנתח ד"ר אבו עכר, התרשם שהוא יכול לבצע את הניתוח.	Also, the surgeon, Dr. Abu Akar, was impressed that he could perform the operation.	no
לפי התלונה, בניתוח אירעה תקלה חמורה, וד"ר חגי דקל, מנהל מחלקת ניתוחי לב וחזה בוולפסון, שהיה באותו זמן בניתוח של ילד בחדר הסמוך, "נקרא בבהילות לשולחן הניתוח וראה חור ענק בלב".	According to the complaint, the surgery had a serious malfunction, and Dr. Hagai Dekel, head of heart and chest surgery at Wolfson, who was in a child's surgery in the next room at the time, "was rushed to the operating table and saw a huge hole in the heart."	no
לדבריו, הלב היה מרוקן מדם, לחצי הדם היו אפסיים, והגישה הניתוחית היתה שגויה.	He said the heart was drained of blood, the blood pressure was zero, and the surgical approach was wrong.	no
נוסף על כך, ד"ר ברנר סיפר כי ד"ר דקל פנה אליו ואמר לו כי ד"ר אבו עכר לא מתאים מבחינה מקצועית ואישית לניהול יחידת ניתוחי חזה בוולפסון.	In addition, Dr. Brenner said that Dr. Dekel contacted him and told him that Dr. Abu Akar was not professionally and personally suitable for managing a chest surgery unit in Wolfson.	no
עם זאת, על אף אזהרותיו המפורשות ואף שהיה אמור להיות המנהל הישיר של מנתח החזה, ד"ר אנגל ביצעה מכרז בלי לשתף אותו וקיבלה את ד"ר אבו עכר לתפקיד.	However, despite his explicit warnings and although he was supposed to be the direct manager of the chest surgeon, Dr. Engel carried out a tender without sharing it and accepted Dr. Abu Akar for the position.	no
עוד ציין: "מדובר בהליך לא מסובך, שנמשך כמה דקות", והוסיף: "לא ניתן שלא להתייחס לתהליך הלקוי של קבלת ד"ר אבו עכר לתפקיד.	He added: "This is an uncomplicated process, which lasts a few minutes," adding: "It is impossible not to relate to the flawed process of accepting Dr. Abu Akar to the position.	no
עולה השאלה אם קיימת אחריות ישירה של אנגל לכישלון הניתוח ולמות החולה".	The question arises whether Engel is directly responsible for the failure of the operation and the death of the patient. "	no
כירורג מנוסה	Experienced Surgeon	no
בפני ״ישראל היום״ הועלו מידע וטענות של רופאים בכירים נוספים שמחזקים את השאלות שהעלה בפרשה ד״ר רונן ברנר.	Israel Hayom has received information and claims from other senior doctors that reinforce the questions raised in the case by Dr. Ronen Brenner.	no
ד"ר מרדכי שמעונוב, מנהל כירורגית א' בוולפסון, הגיב לתלונה של ברנר וכתב כי ד"ר אבו עכר הוא "אחד הכירורגים היותר מנוסים בארץ, אך כירורג חזה צעיר יחסית".	Dr. Mordechai Shimonov, chief of surgery at Wolfson A, responded to Brenner's complaint and wrote that Dr. Abu Akar is "one of the most experienced surgeons in the country, but a relatively young chest surgeon."	no
עוד הוסיף כי הוא נבחר במכרז תקין וד"ר דקל לא לקח בו חלק, בהתאם להצהרותיו על רצונו "להתנתק" מיחידת החזה.	He added that he was chosen in a proper tender and Dr. Dekel did not take part in it, in accordance with his statements about his desire to "disengage" from the chest unit.	no
עוד ציין: "גם אני לא הייתי שותף להליך, וייתכן שהייתי אמור להיו.	He added: "I wasn't part of the process either, and maybe I was meant to be.	no
ד"ר שמעונוב כתב כי ד"ר פראס אבו עכר החל לעבוד ב־10 באפריל וזכאי ל־100 ימי חסד, "כל רופאי בית החולים התרשמו מהמקצועיות שלו ומהמוטיבציה והנכונות לעבוד.	Dr. Shimonov wrote that Dr. Pras Abu Akar began working on April 10 and is entitled to 100 days of grace, "All the hospital doctors were impressed by his professionalism and motivation and willingness to work.	no
הוא ביצע כבר עשרות מקרים של פרוצדורה דומה, ולצערי המקרה הנוכחי הסתיים כפי שהסתיים בצורה מצערת.	He has already performed dozens of similar procedures, and unfortunately the current case ended as it did in a regrettable manner.	no
מבית החולים וולפסון נמסר בתגובה: "אנו משתתפים בצערה של המשפחה.	Wolfson Hospital said in a statement: "We share the family's grief.	no
מדובר במטופל של האונקולוג ד"ר רונן ברנר.	This is oncologist Dr. Ronen Brenner's patient.	no
מנתח החזה המוזכר בכתבה הוא מנתח מוערך ובעל ניסיון רב שנים, ונבחר במכרז לניהול יחידת כירורגיה חזה המשויכת למחלקת כירורגיה בבית החולים וולפסון.	The chest surgeon mentioned in the article is an esteemed surgeon with many years of experience, and was selected in the tender for the management of a chest surgery unit associated with the surgery department at Wolfson Hospital.	no
"לדברי ד"ר חגי דקל, דבריו שצוטטו אינם מדויקים והוצאו מהקשרם.	"According to Dr. Hagai Dekel, the words quoted are inaccurate and were taken out of context.	no
יש לציין כי מדובר במטופל שהיה לצערנו במצב קשה מאוד.	It is important to note that this is a patient who is in very serious condition.	no
בית החולים בודק את פרטי המקרה בשקיפות, ומשרד הבריאות מכיר את פרטי המקרה".	The hospital examines the details of the case transparently, and the Ministry of Health is familiar with the details of the case. "	no
צפו במדריך: איך לבצע בדיקת אנטיגן באופן עצמאי?	How to conduct an antigen test independently?	yes
ההוראות שעל האריזה מבלבלות אתכם?	Are the instructions on the box confusing you?	yes
"ישראל היום" ו"איחוד הצלה" מציגים: כך תוכלו לדגום את עצמכם ולקבל תשובה בתוך דקות.	"Israel Hayom" and "United Hatzalah" present: this is how you can sample yourself and get an answer in minutes.	yes
ההוראות שעל האריזה מבלבלות אתכם?	Are the instructions on the box confusing you?	yes
לא בטוחים כיצד יש לבצע את הדיגום?	Not sure how to do the sampling?	yes
בשביל זה אנחנו כאן.	That's what we're here for.	yes
"ישראל היום" ו"איחוד הצלה" מגישים מדריך קצר וקולע לביצוע בדיקת האנטיגן הביתית.	"Israel Today" and "United Hatzalah" present a short and conclusive guide for conducting the home antigen test.	yes
נאחל לכולם להיות חיוביים בחיים ושליליים בבדיקות הקורונה - וכמובן רפואה שלמה והמון בריאות.	We wish everyone to be positive in life and negative in COVID-19 testing - and of course complete medicine and lots of health.	yes
מודל לריפוי: שלושה רופאים בכירים מספרים על המנטורים שלהם	A Model for Healing: Three Top Doctors Talk About Their Mentors	yes
פרופ' גליה רהב מתגעגעת לשנינות ולחוכמה של פרופ' מרווין שפירא ז"ל, בייחוד בימי המגפה •	Prof. Galia Rahav misses the wit and wisdom of the late Prof. Marvin Shapira, especially during the plague.	yes
ד"ר שלומי קודש לא שוכח, גם ממרום תפקידו, את הדחיפה מפרופ' שאול סוקניק ז"ל •	Dr. Shlomi Kodesh does not forget, even from the height of his position, the push from the late Prof. Shaul Sukenik	yes
וד"ר אפרת ברון-הרלב מודה לד"ר טומי שינפלד על השיעור בהזדהות עם המטופלים •	Dr. Efrat Baron-Harlev thanks Dr. Tommy Sheinfeld for the lesson in identifying with patients	yes
שלושה אנשי מפתח בבתי החולים כותבים על מי שהעניקו להם השראה ועודדו אותם להיות טובים יותר, כמטפלים וגם כבני אדם.	Three key people in hospitals write about who inspired them and encouraged them to be better, both as caregivers and as human beings.	yes
שלושה רופאים בכירים, שלושה מורים לחיים ולמקצוע: לרגל יום הרופא הישראלי, "ישראל היום" הזמין את פרופ' גליה רהב, ד"ר שלומי קודש וד"ר אפרת ברון-הרלב להיזכר בדמויות שליוו אותם בתחילת הדרך - וסייעו להם להפוך למי שהם היום.	Three senior physicians, three life and professional teachers: On the occasion of Israeli Doctor's Day, "Israel Hayom" invited Prof. Galia Rahav, Dr. Shlomi Kodesh and Dr. Efrat Baron-Harlev to remember the characters who accompanied them in the beginning - and helped them become who they are today.	yes
פרופ' גליה רהב, מנהלת היחידה למחלות זיהומיות בשיבא |	Prof. Galia Rahav, Director of Sheba's Infectious Diseases Unit	yes
על פרופ' מרווין שפירא ז"ל	About the late Prof. Marvin Shapira	yes
המפגש שפקח את עיניי - ושינה את חיי	The meeting that opened my eyes - and changed my life	yes
אלמלא הייתי פוגשת את פרופ' מרווין שפירא ז"ל, שהיה מנהל היחידה למחלות זיהומיות בביה"ח הדסה, כנראה שהייתי נשארת רופאה מומחית ברפואה פנימית.	Had I not met the late Prof. Marvin Shapira, who was the director of the infectious diseases unit at Hadassah Hospital, I probably would have remained a specialist in internal medicine.	yes
הוא זה שגרם לי לאהוב את תחום המחלות הזיהומיות והשפיע עלי לעסוק בו.	He is the one who made me love the field of infectious diseases and influenced me to engage in it.	no
פגשתי אותו במסדרונות הדסה, אי אז בשנות ה-80 של המאה הקודמת.	I met him in the halls of Hadassah, back in the 1980s.	no
לרגע לא חשבתי שאעזוב את הפנימית, שכן אהבתי את הטיפול בחולה עצמו; אבל פרופ' שפירא הראה לי שתחום המחלות הזיהומיות בא לידי ביטוי גם בנוירולוגיה, גם בפנימית, ובעצם בכל שטח.	For a moment I didn't think I would leave the inner room, because I loved the treatment of the patient himself; but Prof. Shapira showed me that the field of infectious diseases is also expressed in neurology, also in the inner room, and in virtually every area.	no
אני מודה לו שהביא אותי לתחום הזה.	Thank you for bringing me into this field.	no
לאורך כל הדרך, אהבתי את הגישה החוקרת שלו, גישה שיורדת לשורש הבעיה.	All along, I liked his investigative approach, one that gets to the root of the problem.	no
הדיונים איתו היו אנליטיים והגיוניים.	Discussions with him were analytical and logical.	no
הוא היה רופא בכל נימי נשמתו, שאהב את החולים ולימד אותי לא לקבל דברים כמובנים מאליהם ולבדוק לעומק כל דבר.	He was a doctor with every fiber of his soul, who loved the sick and taught me not to take things for granted and to look into everything.	no
הוא היה אדם אמיתי וישר, נטול אגו, תכונות שאהבתי בו מאוד.	He was a real, honest man, devoid of ego, qualities I loved very much about him.	no
בתחילה, כשהתבקשתי לבחור רופא שהיווה עבורי מודל לחיקוי והשפיע עלי יותר מכל, התכוונתי לבחור באבא שלי, ד"ר יוסף רקובר ז"ל, ניצול שואה ששירת כרופא ביחידת פרטיזנים.	Initially, when I was asked to choose a doctor who was my role model and influenced me the most, I intended to choose my father, Dr. Yosef Rakover z "l, a Holocaust survivor who served as a doctor in a partisan unit.	no
הוא היה רופא מדהים, שהשפיע עלי ללכת לרפואה - אבל הוא גם מזכיר לי את מרווין שפירא.	He was an amazing doctor, who inspired me to go into medicine - but he also reminds me of Marvin Shapiro.	no
