Police arrest 15 after violent protest outside UK refugee hotel	Die Polizei verhaftet 15 Personen nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel	yes
Biden DOJ 'Doesn't Want an Armed Citizenry'	Biden DOJ „will keine bewaffnete Bürgerschaft“	yes
Rep. Andrew Clyde (R-GA) sat down with Breitbart News on Thursday and discussed his plans to block the ATF pistol brace rule and his conviction that the Biden Department of Justice "doesn't want an armed citizenry" in the first place. Clyde made clear his opposition to the pistol brace rule. His reasons for that opposition include both general objections and more specific ones. Generally, he expressed his conviction that our Founding Fathers did not set forth a plan of governance that included federal agencies making laws in place of the legislature. He said, "The Justice Department is there to enforce the law, not to make the law. When you have the executive branch making the law and enforcing the law, then you have have a king, and a kingdom. Our Founders did not call for a king and they did not lay out a kingdom in the Constitution of the United States." Clyde then moved to specifics regarding the pistol brace rule and expressed his concern that the rule is part of a greater ATF push to acquire broader registration of firearms. He noted, "What the ATF wants is they want to increase the registration database for the National Firearms Act. They want to register people across the country because, as we know, what comes before confiscation is registration. And confiscation, in my opinion, is the ultimate goal, because this Justice Department doesn't want an armed citizenry." He added, "But this Justice Department wants a registered citizenry, so they know who's got what, so they can come after us."	Der Abgeordnete Andrew Clyde (R-GA) traf sich am Donnerstag mit Breitbart News und erörterte seine Pläne, die ATF-Pistolenklammerregel zu blockieren, und seine Überzeugung, dass das Justizministerium von Biden „überhaupt keine bewaffnete Bürgerschaft will“. Clyde machte deutlich, dass er gegen die Regel der Pistolenstütze war. Zu seinen Gründen für diesen Einspruch gehören sowohl allgemeine als auch spezifischere Einwände. Generell brachte er seine Überzeugung zum Ausdruck, dass unsere Gründerväter keinen Regierungsplan aufgestellt haben, der vorsieht, dass Bundesbehörden anstelle der Legislative Gesetze erlassen. Er sagte: „Das Justizministerium ist da, um Gesetze durchzusetzen, nicht um Gesetze zu erlassen. Wenn die Exekutive das Gesetz erlässt und das Gesetz durchsetzt, dann hat man einen König und ein Königreich. Unsere Gründer haben keinen König gefordert und sie haben in der Verfassung der Vereinigten Staaten kein Königreich festgelegt.“ Clyde ging dann zu den Einzelheiten der Regel für Pistolenklammern über und äußerte seine Besorgnis darüber, dass die Regel Teil eines umfassenderen Vorstoßes der ATF zur breiteren Registrierung von Feuerwaffen ist. Er merkte an: „Die ATF will die Registrierungsdatenbank für den National Firearms Act erweitern. Sie wollen Menschen im ganzen Land registrieren, weil, wie wir wissen, vor der Beschlagnahme die Registrierung steht. Und die Konfiskation ist meiner Meinung nach das ultimative Ziel, weil dieses Justizministerium keine bewaffnete Bürgerschaft will.“ Er fügte hinzu: „Aber dieses Justizministerium will eine registrierte Bürgerschaft, damit sie wissen, wer was hat, damit sie uns verfolgen können.“	yes
Clyde's contention is that the ATF pistol brace rule was born in this environment of hostility toward the Second Amendment and toward private gun ownership, and he plans to fight it tooth and nail. He said he has "three tools" with which to fight the rule. The first of those tools is the SHORT Act and the second is the Congressional Review Act.	Clyde behauptet, dass die ATF-Pistolenklammer-Regel in diesem Umfeld der Feindseligkeit gegenüber dem zweiten Verfassungszusatz und dem privaten Waffenbesitz entstanden ist, und er plant, sie mit Händen und Füßen zu bekämpfen. Er sagte, er habe „drei Werkzeuge“, um die Regel zu bekämpfen. Das erste dieser Instrumente ist der SHORT Act und das zweite ist der Congressional Review Act.	no
On January 30 Breitbart News quoted Clyde outlining his plan to "reintroduce the Stop Harassing Owners of Rifles Today Act, or the SHORT Act, to repeal elements of the National Firearms Act, thereby prohibiting the ATF from registering and banning pistols with stabilizing braces." He also noted that he would "introduce a resolution of disapproval under the Congressional Review Act, to override the Biden administration's unlawful overreach." Both acts, the SHORT Act and the Congressional Review Act, have the possibility of blocking the ATF pistol brace rule. But as Clyde told Breitbart News Thursday, the great challenge is that both of those routes will ultimately require President Biden's signature, either to enact the SHORT Act legislation or to finalize a resolution of disapproval under the Congressional Review Act.	Am 30. Januar zitierte Breitbart News Clyde, der seinen Plan skizzierte, „den Stop Harassing Owners of Rifles Today Act, oder den SHORT Act, wieder einzuführen, um Elemente des National Firearms Act aufzuheben und damit der ATF zu verbieten, Pistolen mit stabilisierenden Zahnspangen zu registrieren und zu verbieten“. Er merkte auch an, dass er „einen Missbilligungsbeschluss gemäß dem Congressional Review Act einbringen werde, um die rechtswidrige Übertretung der Biden-Regierung außer Kraft zu setzen“. Beide Gesetze, der SHORT Act und der Congressional Review Act, bieten die Möglichkeit, die ATF-Pistolenklammerregel zu blockieren. Doch wie Clyde am Donnerstag gegenüber Breitbart News mitteilte, besteht die große Herausforderung darin, dass für beide Strecken letztlich die Unterschrift von Präsident Biden erforderlich sein wird, entweder um die SHORT Act-Gesetzgebung in Kraft zu setzen oder um eine Missbilligung im Rahmen des Congressional Review Act abzuschließen.	no
He made clear that getting Biden's signature is not an impossibility, as there are ways; for instance, the SHORT Act legislation could be added to other, larger bills that Democrats are very anxious to pass. However, Clyde indicated there is also a third way to block the ATF pistol brace rule. He said: "I'm on the Appropriations Committee and we can defund this pistol brace rule, through what is called a limitation amendment. We can literally defund this rule and basically say, "No money may be spent executing or enforcing this particular pistol brace rule." And we can also do the very same thing with the ATF receiver/frame rule, from last August. I think both of them need to be defunded and I look forward to working with our appropriators to do it.	Er machte deutlich, dass es nicht unmöglich ist, Bidens Unterschrift zu erhalten, da es Möglichkeiten gibt; zum Beispiel könnte die SHORT Act-Gesetzgebung zu anderen, größeren Gesetzesvorlagen hinzugefügt werden, deren Verabschiedung die Demokraten sehr erpicht sind. Clyde wies jedoch darauf hin, dass es auch eine dritte Möglichkeit gibt, die ATF-Pistolenklammerregel zu blockieren. Er sagte: „Ich bin Mitglied des Bewilligungsausschusses und wir können diese Regel für Pistolenklammern durch einen sogenannten Beschränkungsänderungsantrag aufheben. Wir können diese Regel buchstäblich entkräften und im Grunde sagen: „Für die Ausführung oder Durchsetzung dieser speziellen Regel für Pistolenstützen darf kein Geld ausgegeben werden.“ Und genau dasselbe können wir auch mit der ATF-Empfänger-/Rahmenregel vom letzten August tun. Ich denke, beide müssen entfinanziert werden, und ich freue mich darauf, mit unseren Bevollmächtigten zusammenzuarbeiten, um dies zu tun.	no
We Hope' Biden Has a Plan for Handling Title 42 Ending, 'If They Do, They Haven't Shared It Fully'	Wir hoffen, dass Biden einen Plan für den Umgang mit dem Ende von Titel 42 hat: „Wenn sie das tun, haben sie ihn nicht vollständig geteilt“	yes
On Friday's edition of NBC's "MTP Now," Colorado Gov. Jared Polis (D) said that he has "a lot of concern" over what will happen when Title 42 ends in May, he hopes the Biden administration has a plan for when the policy ends, and that "If they do, they haven't shared it fully with us yet." And said that "we've said, you need a plan. We want them to vet it with us."	In der Freitagsausgabe von NBCs „MTP Now“ sagte der Gouverneur von Colorado, Jared Polis (D), er habe „große Bedenken“ darüber, was passieren wird, wenn Titel 42 im Mai endet. Er hoffe, dass die Biden-Regierung einen Plan hat, wann die Richtlinie endet, und dass „wenn sie das tun, haben sie ihn uns noch nicht vollständig mitgeteilt“. Und sagte: „Wir haben gesagt, du brauchst einen Plan. Wir möchten, dass sie es bei uns überprüfen.“	yes
Polis stated that he wishes that more time was spent on the issue of immigration during the meeting of governors at the White House, but the issue "came up." We did have Secretary Mayorkas there for part of it. And so, we brought up, again, there's a lot of concern I share about what will happen when Title 42 ends in May and so, making sure that the federal government has a plan. We hope they do. If they do, they haven't shared it fully with us yet. But we've said, you need a plan. We want them to vet it with us. We want to make sure it's not what we experienced in December times five or times three, that would be a disaster for the country and it would be terrible for the Biden administration.	Polis erklärte, er wünsche sich, dass während des Treffens der Gouverneure im Weißen Haus mehr Zeit für das Thema Einwanderung aufgewendet würde, aber das Thema „kam zur Sprache“. Wir hatten für einen Teil davon Sekretär Mayorkas da. Deshalb haben wir erneut darauf hingewiesen, dass ich große Bedenken darüber teile, was passieren wird, wenn Titel 42 im Mai ausläuft, und stellen daher sicher, dass die Bundesregierung einen Plan hat. Wir hoffen, dass sie es tun. Wenn sie das tun, haben sie es uns noch nicht vollständig mitgeteilt. Aber wir haben gesagt, du brauchst einen Plan. Wir möchten, dass sie es bei uns überprüfen. Wir wollen sicherstellen, dass nicht das, was wir im Dezember erlebt haben, mal fünf oder mal drei Mal eine Katastrophe für das Land wäre und es wäre schrecklich für die Biden-Regierung.	yes
McDonald's withdraws "tasteless" advert near crematorium - RT World News	McDonald's zieht „geschmacklose“ Werbung in der Nähe des Krematoriums zurück - RT World News	yes
McDonald's has apologized after an advertisement for the fast-food chain's "McCrispy" burger was placed close to a crematorium in the UK - although some locals did see the funny side. The restaurant chain has pledged to remove the offending advertising hoarding following complaints from residents of Truro in the UK county of Cornwall. It had gained attention on social media on Friday for being placed on a busy road directly opposite an establishment which offers cremation services. The brightly lit advert, which was placed directly behind a sign pointing to the crematorium, was branded as "tasteless" by some angry locals. "Although I can see the funny side, it is tasteless and I'm sure some grieving family members won't like to see it when visiting Penmount for the funeral and cremation of a loved one," said a resident whose mother-in-law was cremated at the funeral home last year, as quoted by British media.	McDonald's hat sich entschuldigt, nachdem eine Werbung für den „McCrispy“ -Burger der Fast-Food-Kette in der Nähe eines Krematoriums in Großbritannien platziert wurde - obwohl einige Einheimische die lustige Seite gesehen haben. Die Restaurantkette hat sich nach Beschwerden von Einwohnern von Truro in der britischen Grafschaft Cornwall verpflichtet, die anstößige Werbung zu entfernen. Es hatte am Freitag in den sozialen Medien Aufmerksamkeit erregt, weil es an einer stark befahrenen Straße direkt gegenüber einer Einrichtung platziert wurde, die Feuerbestattungsdienste anbietet. Die hell erleuchtete Werbung, die direkt hinter einem Schild zum Krematorium angebracht war, wurde von einigen verärgerten Einheimischen als „geschmacklos“ gebrandmarkt. „Obwohl ich die lustige Seite sehen kann, ist es geschmacklos und ich bin mir sicher, dass einige trauernde Familienmitglieder es nicht gerne sehen werden, wenn sie Penmount zur Beerdigung und Verbrennung eines geliebten Menschen besuchen“, sagte eine Bewohnerin, deren Schwiegermutter letztes Jahr im Bestattungsunternehmen eingeäschert wurde, wie britische Medien zitierten.	yes
However, not everyone was quite so offended by the unfortunate placement of the advertisement, with one noting that a person's reaction to it would likely be influenced by "how long ago you followed the crematorium sign wearing a black tie." One person said they "fell off the chair laughing" when they spotted the advert online, while it was also noted by another local that it was "no worse" than the council's decision to entertain the idea of allowing a crematorium to be built "next door to a retirement village."	Allerdings waren nicht alle von der unglücklichen Platzierung der Werbung so beleidigt. Einer merkte an, dass die Reaktion einer Person darauf wahrscheinlich davon beeinflusst würde, „wie lange Sie mit schwarzer Krawatte dem Schild des Krematoriums gefolgt sind“. Eine Person sagte, sie seien „lachend vom Stuhl gefallen“, als sie die Anzeige im Internet entdeckte, während ein anderer Einheimischer auch bemerkte, dass es „nicht schlimmer“ sei als die Entscheidung des Rates, die Idee zu erwägen, den Bau eines Krematoriums „neben einem Altersdorf“ zuzulassen.	yes
A statement issued by McDonald's was published by local media on Friday soon after an image of the advertisement went viral online, in which the restaurant chain said it would remove the advert as soon as possible. "We were unaware of the road sign in the vicinity of this bus stop. However, in light of the concerns raised by CornwallLive, we have asked for our advertisement to be removed," the fast-food brand said. Cornwall Council, which operates both the crematorium and the bus shelter which displays the advert, declined the comment on the furor when contacted by local media.	Eine Erklärung von McDonald's wurde am Freitag von den lokalen Medien veröffentlicht, kurz nachdem ein Bild der Werbung im Internet viral wurde. Die Restaurantkette kündigte an, die Anzeige so schnell wie möglich zu entfernen. „Das Verkehrsschild in der Nähe dieser Bushaltestelle war uns nicht bewusst. Angesichts der von CornwallLive geäußerten Bedenken haben wir jedoch darum gebeten, unsere Werbung zu entfernen „, sagte die Fast-Food-Marke. Der Cornwall Council, der sowohl das Krematorium als auch das Bushäuschen betreibt, in dem die Werbung zu sehen ist, lehnte die Stellungnahme zu dem Aufruhr ab, als er von den lokalen Medien kontaktiert wurde.	yes
Gut instinct' missing woman is not in river	Bauchgefühl: Die vermisste Frau ist nicht im Fluss	yes
Searches for missing English woman Nicola Bulley have entered a 16th day after her partner said his "gut instinct" is that she is not in the river. Lancashire Police said officers are keeping an "open mind" while continuing to appeal for information about Ms Bulley, who disappeared on 27 January while walking her dog in St Michael's on Wyre. The force is continuing to search the River Wyre towards the sea at Morecambe Bay, working on one hypothesis that the 45-year-old, from Inskip, could have fallen in. Their search has been aided by specialists and divers from HM Coastguard, mountain rescue, and Lancashire Fire and Rescue Service, with sniffer dogs, drones, and police helicopters deployed.	Die Suche nach der vermissten Engländerin Nicola Bulley hat einen 16. Tag eingegeben, nachdem ihr Partner gesagt hatte, sein „Bauchgefühl“ sei, dass sie nicht im Fluss ist. Die Polizei von Lancashire sagte, die Beamten seien „unvoreingenommen“ und appellieren weiterhin um Informationen über Frau Bulley, die am 27. Januar verschwunden ist, als sie mit ihrem Hund in St. Michael's on Wyre spazieren ging. Die Truppe sucht weiterhin den Fluss Wyre in Richtung Meer bei Morecambe Bay ab und arbeitet an einer Hypothese, dass der 45-Jährige aus Inskip hineingestürzt sein könnte. Ihre Suche wurde von Spezialisten und Tauchern von HM Coastguard, Mountain Rescue und Lancashire Fire and Rescue Service unterstützt, wobei Spürhunde, Drohnen und Polizeihubschrauber eingesetzt wurden.	yes
Ms Bulley vanished while walking her springer spaniel Willow near the river, shortly after dropping her daughters, aged six and nine, at school. The mortgage adviser's phone was found on a bench overlooking the river, still connected to a work call. Her partner, Paul Ansell said he wants to keep "all options open" about her disappearance, but his "gut instinct" tells him she is not in the river. He described Ms Bulley as "fun," "loving," "the most loyal friend you could ever have" and an "exceptional mum" who "absolutely adores our girls." "She's just a pillar of strength to our family and without her, the hole is bigger than you can possibly imagine," he told 5 News.	Frau Bulley verschwand, als sie mit ihrem Springspaniel Willow in der Nähe des Flusses spazieren ging, kurz nachdem sie ihre Töchter im Alter von sechs und neun Jahren zur Schule gebracht hatte. Das Telefon des Hypothekenberaters wurde auf einer Bank mit Blick auf den Fluss gefunden und war immer noch mit einem Geschäftsgespräch verbunden. Ihr Partner Paul Ansell sagte, er wolle sich „alle Optionen offen halten“, was ihr Verschwinden angeht, aber sein „Bauchgefühl“ sagt ihm, dass sie nicht im Fluss ist. Er beschrieb Frau Bulley als „lustig“, „liebevoll“, „die treueste Freundin, die man jemals haben könnte“ und als „außergewöhnliche Mutter“, die „unsere Mädchen absolut liebt“. „Sie ist nur eine Säule der Stärke für unsere Familie und ohne sie ist das Loch größer, als Sie sich vorstellen können“, sagte er 5 News.	yes
Mr Ansell said that although the family is going through "unprecedented hell," hope that his partner will be found is "stronger than ever." Police have discounted foul play and are treating the incident as a missing person inquiry. On Thursday, the focus of their search switched from St Michael's to around 10 miles downstream where the river empties into the sea at Morecambe Bay, with patrol and rescue boats spotted in the area.	Herr Ansell sagte, dass die Familie zwar eine „beispiellose Hölle“ durchmache, die Hoffnung, dass sein Partner gefunden wird, aber „stärker denn je“ sei. Die Polizei hat ein Foulspiel ausgeschlossen und behandelt den Vorfall als Untersuchung vermisster Personen. Am Donnerstag verlagerte sich der Schwerpunkt ihrer Suche von St. Michael's auf etwa 10 Meilen flussabwärts, wo der Fluss bei Morecambe Bay ins Meer mündet. Patrouillen- und Rettungsboote wurden in der Gegend gesichtet.	yes
East Germany's last communist leader dies at 95	Ostdeutschlands letzter kommunistischer Führer stirbt im Alter von 95 Jahren	yes
BERLIN (AP) - Hans Modrow, who served as East Germany's last communist leader during a turbulent tenure that ended in the country's first and only free election, has died. He was 95. Modrow died early Saturday, the Left party parliamentary group tweeted.	BERLIN (AP) — Hans Modrow, der während einer turbulenten Amtszeit, die mit den ersten und einzigen freien Wahlen des Landes endete, als letzter kommunistischer Führer der DDR fungierte, ist gestorben. Er war 95 Jahre alt. Modrow sei am frühen Samstag gestorben, twitterte die Fraktion der Linkspartei.	yes
Modrow, a reform-minded communist, took over East Germany shortly after the Berlin Wall fell and later invited opposition forces into the government, but could not slow the gathering momentum for German reunification. "The entire peaceful course of establishing German unity was precisely a special achievement of his," the Left wrote on Twitter."That will remain his political legacy." During 16 years as communist party chief in Dresden, starting in 1973, Modrow built a reputation as an anti-establishment figure. He rejected party perks and insisted on living in a normal apartment.	Modrow, ein reformorientierter Kommunist, übernahm kurz nach dem Fall der Berliner Mauer die Macht in Ostdeutschland und lud später Oppositionskräfte in die Regierung ein, konnte aber die zunehmende Dynamik der deutschen Wiedervereinigung nicht bremsen. „Der gesamte friedliche Kurs zur Herstellung der deutschen Einheit war gerade eine besondere Leistung von ihm“, schrieb die Linke auf Twitter.“ Das wird sein politisches Erbe bleiben.“ Während 16 Jahren als Chef der Kommunistischen Partei in Dresden, ab 1973, erwarb sich Modrow einen Ruf als Anti-Establishment-Persönlichkeit. Er lehnte Party-Vergünstigungen ab und bestand darauf, in einer normalen Wohnung zu leben.	yes
A post in East Germany's top leadership eluded him until he was made prime minister, a position that previously carried little clout, in November 1989 - days after the fall of the Berlin Wall. When hard-line leader Egon Krenz and his ruling Politburo resigned in early December, Modrow emerged as East Germany's top political figure. But the communists could no longer call the shots on their own. The following month, he agreed to share power with the increasingly vocal opposition and moved up East Germany's landmark first free election to March 1990, amid growing unrest. Even as pro-democracy rallies rapidly took on a pro-unification flavor, the communists initially had opposed talk of reunification.	Ein Amt in der obersten Führung der DDR entging ihm, bis er im November 1989 — Tage nach dem Fall der Berliner Mauer — zum Premierminister ernannt wurde, eine Position, die zuvor wenig Einfluss hatte. Als der Hardliner-Führer Egon Krenz und sein regierendes Politbüro Anfang Dezember zurücktraten, wurde Modrow zur wichtigsten politischen Persönlichkeit der DDR. Aber die Kommunisten konnten nicht mehr alleine das Sagen haben. Im darauffolgenden Monat erklärte er sich bereit, die Macht mit der zunehmend lautstarken Opposition zu teilen, und verschob inmitten wachsender Unruhen die wegweisenden ersten freien Wahlen in der DDR auf März 1990. Obwohl die prodemokratischen Kundgebungen schnell einen vereinheitlichungsfreundlichen Charakter annahmen, hatten sich die Kommunisten zunächst gegen die Rede von einer Wiedervereinigung ausgesprochen.	yes
In February 1990, however, Modrow urged talks with West Germany toward an eventual "united fatherland" that would be independent of military blocs and governed by a joint parliament in Berlin. Modrow headed the election campaign of the restyled communists, the Party of Democratic Socialism, but his personal popularity was not enough to prevent them finishing as only the third-strongest party, with 16 percent support. The winner was an alliance of conservative parties that favored quick reunification and was backed by the government of West German leader Helmut Kohl.	Im Februar 1990 drängte Modrow jedoch auf Gespräche mit der Bundesrepublik Deutschland über ein eventuelles „vereintes Vaterland“, das unabhängig von Militärblöcken sein und von einem gemeinsamen Parlament in Berlin regiert werden sollte. Modrow führte den Wahlkampf der neu gestalteten Kommunisten, der Partei des Demokratischen Sozialismus, an, aber seine persönliche Popularität reichte nicht aus, um zu verhindern, dass sie mit 16 Prozent Unterstützung nur drittstärkste Partei wurden. Der Gewinner war ein Bündnis konservativer Parteien, das eine schnelle Wiedervereinigung befürwortete und von der Regierung des westdeutschen Führers Helmut Kohl unterstützt wurde.	no
Germany reunited under Kohl's leadership and as a NATO member on Oct. 3, 1990, less than a year after the fall of the Berlin Wall. Modrow became a member of the united parliament, where he sat until 1994, and honorary chairman of the post-communist PDS - the predecessor of today's opposition Left party. From 1999 to 2004, he was a member of the European Parliament. Modrow's past under hard-line communist rule landed him in court several years after reunification.	Deutschland wurde am 3. Oktober 1990, weniger als ein Jahr nach dem Fall der Berliner Mauer, unter Kohls Führung und als NATO-Mitglied wiedervereinigt. Modrow wurde Mitglied des vereinigten Parlaments, wo er bis 1994 saß, und Ehrenvorsitzender der postkommunistischen PDS — der Vorgängerin der heutigen oppositionellen Linkspartei. Von 1999 bis 2004 war er Mitglied des Europäischen Parlaments. Modrows Vergangenheit unter kompromissloser kommunistischer Herrschaft brachte ihn einige Jahre nach der Wiedervereinigung vor Gericht.	no
In 1995, a court convicted him of inciting the falsification of results in May 1989 local elections in Dresden. It handed him a nine-month suspended sentence and a fine. Modrow claimed that the trial was politically motivated and asserted that its outcome would aggravate divisions between east and west Germans. His attorney argued that he had made amends for previous injustices by overseeing free elections as prime minister.	1995 verurteilte ihn ein Gericht wegen Anstiftung zur Verfälschung von Ergebnissen bei den Kommunalwahlen in Dresden im Mai 1989. Es verhängte ihm eine neunmonatige Bewährungsstrafe und eine Geldstrafe. Modrow behauptete, der Prozess sei politisch motiviert und behauptete, sein Ausgang würde die Spaltungen zwischen Ost- und Westdeutschen verschärfen. Sein Anwalt argumentierte, er habe frühere Ungerechtigkeiten wiedergutgemacht, indem er als Premierminister freie Wahlen beaufsichtigt habe.	no
Later in life, Modrow served on the council of elders of the Left party. "Hans was a deeply sincere and combative socialist," tweeted Dietmar Bartsch, the chairman of the Left party parliamentary group. "Until old age he was an important adviser in our party, whose wisdom will be missed."	Später im Leben war Modrow Mitglied des Ältestenrates der Linkspartei. „Hans war ein zutiefst aufrichtiger und kämpferischer Sozialist“, twitterte Dietmar Bartsch, der Vorsitzende der Linkspartei. „Bis ins hohe Alter war er ein wichtiger Berater in unserer Partei, dessen Weisheit wir vermissen werden.“	no
Indian govt withdraws appeal to hug cows on Valentine's Day after criticism	Die indische Regierung zieht nach Kritik den Appell zurück, am Valentinstag Kühe zu umarmen	yes
Hugging a cow on Valentine's Day is no longer being encouraged by the Indian government - despite it previously asking people to do so to promote Hindu values. The Animal Welfare Board of India (AWBI) retracted its "Cow Hug Day" appeal after it attracted criticism from political rivals and social media users. The Indian government department had called on citizens to deviate from Western romantic gestures celebrated on Valentine's Day.	Eine Kuh am Valentinstag zu umarmen, wird von der indischen Regierung nicht mehr gefördert — obwohl sie die Menschen zuvor gebeten hatte, dies zu tun, um hinduistische Werte zu fördern. Das Animal Welfare Board of India (AWBI) zog seinen Appell zum „Tag der Kuhumarmung“ zurück, nachdem er von politischen Konkurrenten und Nutzern sozialer Medien kritisiert worden war. Das indische Regierungsministerium hatte die Bürger aufgefordert, von den westlichen romantischen Gesten abzuweichen, die am Valentinstag gefeiert wurden.	yes
Nilanjan Mukhopadhyay, a political analyst, said the call to hug cows had been "absolutely crazy, defying logic." He added that the decision to withdraw the appeal was more "to prevent the politics of Hindutva [Hindu nationalism] from being ridiculed in the face of severe criticism from all quarters." The AWBI reneged on its appeal on Friday saying it "stands withdrawn." It was only on Wednesday when its statement read that "hugging cows [would] bring emotional richness and increase individual and collective happiness."	Nilanjan Mukhopadhyay, ein politischer Analyst, sagte, der Aufruf, Kühe zu umarmen, sei „absolut verrückt und widersetze sich der Logik“. Er fügte hinzu, dass die Entscheidung, den Appell zurückzuziehen, eher dazu diente, „zu verhindern, dass die Politik der Hindutva [Hindu-Nationalismus] angesichts heftiger Kritik von allen Seiten lächerlich gemacht wird“. Die AWBI lehnte ihre Berufung am Freitag ab und erklärte, sie sei „zurückgezogen“. Erst am Mittwoch hieß es in der Erklärung, dass „das Umarmen von Kühen emotionalen Reichtum bringen und das individuelle und kollektive Glück steigern würde“.	yes
It added that the cow is the "backbone of Indian culture and rural economy... because of its nourishing nature like [a] mother." There were mixed reactions to the initial announcement as some posted videos of cows rejecting being hugged and charging off. Others wanted to clarify that the appeal was more for following one's own culture, as opposed to "blindly" following Western values.	Es fügte hinzu, dass die Kuh das „Rückgrat der indischen Kultur und ländlichen Wirtschaft ist... aufgrund ihrer nährenden Natur wie eine Mutter“. Auf die erste Ankündigung gab es gemischte Reaktionen, da einige Videos von Kühen veröffentlichten, die sich weigerten, umarmt zu werden und losstürmten. Andere wollten klarstellen, dass der Appell eher darin bestehe, der eigenen Kultur zu folgen, als „blind“ westlichen Werten zu folgen.	yes
Young Indians typically spend Valentine's Day crowding parks and restaurants, exchanging gifts and holding parties. Cow cuddling is nothing new either - with it being considered therapeutic in parts of the world, and in The Netherlands where it is known as "koe knuffelen." Devout Hindus worship the cow - known as gau mata, or "mother cow" - and most states in India have banned cow slaughter.	Junge Inder verbringen den Valentinstag in der Regel damit, Parks und Restaurants zu überfüllen, Geschenke auszutauschen und Partys abzuhalten. Kuhkuscheln ist ebenfalls nichts Neues — es gilt in Teilen der Welt als therapeutisch und in den Niederlanden, wo es als „Koe Knuffelen“ bekannt ist. Fromme Hindus verehren die Kuh — bekannt als Gau Mata oder „Mutterkuh“ — und die meisten Bundesstaaten Indiens haben das Schlachten von Kühen verboten.	no
In recent years, certain Hindu hard-liners have raided shops selling Valentine's Day items, burned cards and gifts, and chased hand-holding couples out of restaurants and parks, insisting that the day goes against traditional values and promotes promiscuity. Hindu nationalist groups such as Shiv Sena and Bajrang Dal have said such raids help reassert a Hindu identity. Critics of Prime Minister Narendra Modi say his government has pushed a Hindu agenda, seeking the religion's supremacy in a secular nation known for its diversity. While Hindus comprise almost 80% of the nearly 1.4 billion people, Muslims, Christians, Sikhs, Buddhists and Jains account for most of the rest.	In den letzten Jahren haben einige hinduistische Hardliner Geschäfte überfallen, in denen Artikel zum Valentinstag verkauft wurden, Karten und Geschenke verbrannt und Paare, die Hand halten, aus Restaurants und Parks gejagt, wobei sie darauf bestanden, dass der Tag gegen traditionelle Werte verstößt und Promiskuität fördert. Hindu-nationalistische Gruppen wie Shiv Sena und Bajrang Dal haben erklärt, dass solche Überfälle dazu beitragen, eine hinduistische Identität wiederherzustellen. Kritiker von Premierminister Narendra Modi sagen, seine Regierung habe eine hinduistische Agenda vorangetrieben und die Vorherrschaft der Religion in einer säkularen Nation angestrebt, die für ihre Vielfalt bekannt ist. Während Hindus fast 80% der fast 1,4 Milliarden Menschen ausmachen, machen Muslime, Christen, Sikhs, Buddhisten und Jains den größten Teil des Restes aus.	no
Pedestrian dies in hospital after crash with car in Cowdenbeath as man arrested	Fußgänger stirbt im Krankenhaus nach einem Autounfall in Cowdenbeath, als ein Mann festgenommen wurde	yes
A pedestrian has died following a collision with a car in Fife. The 38-year-old female was rushed to Victoria Hospital in Kirkcaldy following the crash on Broad Street in Cowdenbeath on Friday around 1.30pm. A 24-year-old man has subsequently been arrested in connection with the crash. Police are appealing for any witnesses or anyone with dash-cam footage to come forward. Sergeant Lee Walkingshaw said: "Our enquiries are ongoing and we are appealing for anyone who was in the area and who witnessed the crash to get in touch." I would also appeal to anyone who was driving in the area and who may have dash-cam footage which could assist our investigation to contact us. "Anyone who can help is asked to call Police Scotland on 101, quoting incident number 1638 of Friday, February 10, 2023."	Ein Fußgänger ist nach einer Kollision mit einem Auto in Fife gestorben. Die 38-jährige Frau wurde nach dem Absturz auf der Broad Street in Cowdenbeath am Freitag gegen 13.30 Uhr ins Victoria Hospital in Kirkcaldy gebracht. Ein 24-jähriger Mann wurde daraufhin im Zusammenhang mit dem Absturz festgenommen. Die Polizei appelliert an alle Zeugen oder Personen mit Dashcam-Aufnahmen, sich zu melden. Sergeant Lee Walkingshaw sagte: „Unsere Anfragen sind noch nicht abgeschlossen und wir bitten alle, die in der Gegend waren und den Absturz miterlebt haben, sich mit uns in Verbindung zu setzen.“ Ich appelliere auch an alle, die in der Gegend gefahren sind und möglicherweise über Dashcam-Aufnahmen verfügen, die unsere Untersuchung unterstützen könnten, uns zu kontaktieren. „Jeder, der helfen kann, wird gebeten, Police Scotland unter 101 unter Angabe der Vorfallnummer 1638 vom Freitag, den 10. Februar 2023, anzurufen.“	yes
IN NUMBERS: The Oslo boroughs where the most foreigners live	IN ZAHLEN: Die Bezirke von Oslo, in denen die meisten Ausländer leben	yes
