בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Bird Cubs Born in Iran	yes
מערכת היחסים הרומנטית האחרונה של לופז היתה עם שחקן הבייסבול אלכס רודריגז, שממנו נפרדה באפריל 2021 לאחר מערכת יחסים בת ארבע שנים, כולל אירוסים של שנתיים.	Lopez's last romantic relationship was with baseball player Alex Rodriguez, from whom she separated in April 2021 after a four-year relationship, including two-year engagements.	no
הקרדשיאנס מדברות: "אי אפשר להמציא את מה שקורה לנו"	The Kardashians say, "You can't make up what's happening to us".	yes
"הכאוס בלתי נגמר", מתעקשת אמא קריס ג'נר על הסדרה החדשה בכיכוב המשפחה הראשונה של הריאליטי, ומקבלת גיבוי מבנותיה ומהמפיק החדש •	"Chaos Never Ends", mother Chris Jenner insists on a new series starring the reality show's first family, and gets support from her daughters and new producer	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In an article that will be published in Sitting Magazine, they talk about the big money, the mill, the brands and the change Kim wants to make in the world: "I'm not the one who thinks for hours about which bikini selfies to take".	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It may come as a surprise to many, but the most sought-after brand in 2022 of Disney's content empire, which also includes Marvel and Star Wars movies, among others, is the Kardashians.	yes
פרטי החוזה של המשפחה הראשונה של הריאליטי ושל הרשתות החברתיות מול דיסני לא נחשפו, אבל ההערכות טוענות לסכום מינימלי של מאה מיליון דולר שהועבר לבנות המשפחה, שמעתה מתפקדות גם כמפיקות.	The details of the first family's contract with Disney have not been disclosed, but estimates suggest a minimum of $100 million has been transferred to the family's daughters, who now also serve as producers.	yes
במפגש עיתונאי עם הכוכבות, כל אחת מהן מלווה בצוות ביוטי שלם שדואג לטאצ'-אפים של איפור, שיער וקמטוטים בבגדים ללא הפסקה, התעקשו בנות המשפחה, כמו גם המפיק החדש והמבוקש שלהן, שהפעם לא מדובר בריאליטי, הפעם מה שמתקבל על המסך אותנטי לחלוטין.	In a press conference with the stars, each accompanied by an entire beauty team who take care of the touch-ups of makeup, hair and clothes non-stop, the family girls, as well as their new and sought-after producer, insisted that this time it's not reality, this time what's received on screen is completely authentic.	yes
"אי אפשר להמציא את מה שקורה לנו", אומרת בנחרצות האמא של המשפחה קריס ג'נר, "הכאוס בלתי נגמר".	"What is happening to us is unimaginable", family mother Chris Jenner says emphatically, "the chaos is endless".	yes
"אנחנו מראות כמה גדלנו מאז אותה סדרה שעלתה ב-2007", אומרת קלואי קרדשיאן.	"We're showing how much we've grown since that show aired in 2007", says Chloe Kardashian.	yes
"כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.	"When we first started, we were scared, a lot happens to us in life, and we can't simply fit everything into a narrative of beginning, middle and end.	yes
הרבה עלילות זורזו בעריכה, נעטפו בסרט צבעוני מתקתק ונשכחו בצד.	A lot of plots were rushed through editing, wrapped up in flashing color film and forgotten.	yes
ככה לא נראים החיים במציאות.	That's not what real life looks like.	no
עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית".	Now we're more exposed, turning directly to the camera naturally, not just reality but an authentic documentary series".	no
כשמעמתים אותן עם מעורבותן החדשה בהפקת הסדרה, מה שלמעשה נותן להן שליטה מוחלטת בתוכן שמתקבל על המסך, קלואי טוענת: "אנחנו מעורבות מאחורי הקלעים, רואות קטעים בזמן עריכה ונותנות הערות, אבל לא ממקום של מגננה אלא פשוט לתת את דעתנו לגבי מה יעשה את הסדרה לטובה יותר.	When confronted with their new involvement in the show's production, which effectively gives them complete control over the content that is received on screen, Chloe states, "We are involved behind the scenes, watching clips during editing and commenting, but not from a position of protector but simply giving our opinion on what will make the show better.	no
זו מראה של חיינו ואני אישית מרגישה שעברתי צמיחה רגשית מצפייה בעצמי.	It's a reflection of our lives and I personally feel like I've grown emotionally by watching myself.	no
קנדל וקיילי היו ילדות קטנות כשהתחלנו, אז הן יותר מציבות גבולות".	Kendall and Kylie were little girls when we started, so they're more boundary-setting".	no
"התבגרתי"	"Growing up"	no
קים קרדשיאן, מצדה, ממשיכה בכל הכוח לשנות את התדמית שלה, מטראש-ריאליטי זול לעורכת דין עם אג'נדה.	Kim Kardashian, for her part, is continuing to forcefully change her image from a cheap reality thrasher to a lawyer with an agenda.	no
"התבגרתי", היא טוענת, "אני מגדלת ארבעה ילדים שחורים, כלומר מקהילה נרדפת שמופלית לרעה במדינה הזאת.	"I grew up", she claims, "raising four black children, which means I come from the most marginalized community in this country.	no
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change reality, so that my children and the children of all my friends can have a different future, in the hope that we can heal this crooked system.	no
זוהי המוטיבציה שלי".	That's my motivation".	no
"אני כבר לא אותה קים שחושבת שעות על איזה סלפי ביקיני כדאי להעלות", היא מתעקשת, "אבל זה גם לא נעלם לגמרי מחיי.	"I'm no longer the Kim who thinks for hours about what bikini selfies to post", she insists, "but it's not completely gone from my life either.	no
אדם חייב להיות נאמן למי שהוא באמת ולקחת הכל בכיף".	A man must be true to who he really is and take everything for granted".	no
על הסיבות לפיטורי המפיק שגילה אותן ריאן סיקרסט ועל הדרך החדשה והמאוד רווחית שלהן בתעשייה, המשמעות של המעבר לדיסני, מכונת היח"צ המשומנת של המשפחה והשפעתה על רווחיות המותג ועוד, בכתבה המלאה שתפורסם במגזין "שישבת".	On the reasons behind Ryan Seacrest's discovery of the producer's firings and their new and highly profitable path in the industry, the implications of the move to Disney, the family's greasy slot machine and its impact on the brand's profitability and more, in the full article to be published in Sitting Magazine.	no
אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז	Afghans and Whigs join Abhir Builder Vengeance	yes
להקת הרוק האמריקאית מצטרפת אל שורת אמנים מקומיים שייקחו השנה חלק בפסטיבל המוזיקה המדברי, שנחשב לאירוע עלייה לרגל בקרב שוחרי מוזיקה רבים	The American rock band joins a lineup of local artists who will be taking part in this year's desert music festival, which is considered a regular event among many music lovers.	yes
להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.	Afghani Weegz, Shalomi Sheven, Neha Arz, Abhir Benai and Tess are among the names taking part in the Indie festival, which will take place from October 20 to 22.	yes
השנה יציין הפסטיבל 15 שנים להקמתו והיום (רביעי) מפרסמת הפקת הפסטיבל את רשימת המשתתפים באירוע המדברי.	This year the festival will mark 15 years since its establishment and today (Wednesday) the festival production publishes the list of participants in the event.	yes
מוזיקאים אחרים המופיעים בליינאפ כוללים את: הילה רוח, טדי נגוסה, דניאלה ספקטור, יובל מנדלסון והמסע לפולין, להקת המסך הלבן, ריף כהן, קרולינה, עטר מיינר, רבע לאפריקה, פול טראנק, עילי אשדות ורבים אחרים.	Other musicians featured on Lineup include: Hello Spirit, Teddy Nagusa, Daniela Spector, Yuval Mendelsohn and the Voyage to Poland, The White Screen Band, Riff Cohen, Carolina, Aether Miner, Quarter to Africa, Paul Trunk, Ali Ashad and many others.	yes
אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.	Indyb started in 2007 as a small niche event, bringing together the hottest names in the Israeli indie scene.	yes
עם השנים הוא הפך לאירוע עלייה לרגל עבור חובבי מוזיקה רבים, והחל לארח שמות בינלאומיים, לצד אמנים מיינסטרימים.	Over the years it has become a regular event for many music lovers, and has begun to host international names, alongside mainstream artists.	yes
אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות	Spring Grapes and Sharid: An outdoor festival that creates new surprises in Jerusalem	yes
הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים	The capital's international festival, which has become a tradition and will be held in a number of venues, will feature musical performances by leading local artists, and incorporate innovative and surprising circus and artistic performances.	yes
.	I'm not going anywhere.	no
כמו כל קיץ לאורך השנים, לצד החום, הלחות והשעמום של התלמידים, מגיע גם הפסטיבל הבינלאומי חוצות היוצר ירושלים, שכבר הפך למסורת בבירה ויתקיים במספר מוקדים (בהם גן מיטשל, בריכת הסולטן, אל מול מגדל דוד ולמרגלות חומות העיר העתיקה) - בין התאריכים 15-27 באוגוסט.	As every summer through the years, alongside the heat, humidity and boredom of the students, comes the Jerusalem International Outdoor Festival, which has already become a tradition in the capital and will be held in a number of venues (including Mitchell Garden, the Sultan's Pool, in front of the Tower of David and at the foot of the Old City Walls) - between 15-27 August.	yes
במסגרת הפסטיבל יתקיימו בכל יום מופעים מוזיקליים של אמנים רבים בהם שרית חדד, קובי פרץ, אביב גפן והתעויוט שיארחו את החברים של נטאשה, שלומי שבת, עידן חביב, נתן גושן, נסרין קדרי, דני סנדרסון שיארח את תיסלם ואמיר דדון, נגה ארז ועוד.	Within the festival, musical performances of many artists will be held every day, including Shirat Hadid, Kobi Peretz, Abib Geffen and Aaiwiut, who will host Natasha's friends, Shalomi Sabbat, Edan Habib, Nathan Ghoshan, Nasrin Kadri, Danny Sanderson, who will host Tashlem and Amir Dedon, Neha Arz and more.	yes
לצד המוסיקה השנה יתקיימו שני מופעים מסקרנים.	Along with the music, there will be two interesting shows this year.	yes
הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.	The first is ARTISTA - an exhibition of illuminated public space displays (designed by Philip Blow) with figures from other galaxies that will walk among visitors inside a structure and present the entire adventure in the light as well as at night.	yes
המיצג התיאטרלי ישלב רקדנים, שחקנים, ואמני תיאטרון פיזי שיתקשרו עם הקהל.	The theatrical performance will combine dancers, actors, and physical theater artists to interact with the audience.	yes
SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.	SPARKS is a circus, movement and aerial performance by Circus Y, an Instagram photography exhibition inspired by famous works of art.	yes
The Black Box Gallery – היא גלריית ההצצה של היוצר והמבצע ליאור כלפון, שתוצב ברחבת היריד עם חורי הצצה שיחשפו את הקהל לתערוכת יצירותיו הזרחניות של ליאור כלפון, יצירות אמנות של פסלים מוארים של האמן הרב תחומי אלון בירגר (תיאטרון האור) ועוד.	The Black Box Gallery is the gallery of the creator and operator Lior Kalpon, located on the fairgrounds with viewing holes that will expose the audience to the exhibition of the luminous works of Lior Kalpon, works of art of illuminated sculptures by the multidisciplinary artist Elon Birger (Theatre of Light) and more.	yes
צפו: תמיר גרינברג על מערכת היחסים עם אביו	Watch: Tamir Greenberg on his relationship with his father	yes
זוכה "הכוכב הבא" מוצא סינגל שני וחוזר אל זיכרונות ילדותו ולנוכחות המשמעותית של אביו בחייו •	The winner of "Next Star" releases a second single and returns to his childhood memories and his father's significant presence in his life.	yes
"השיר מספר על הדרך לשמור על הקשר מרחוק", הוא מספר	"The song is about how to keep in touch at a distance", he says.	yes
תמיר גרינברג בסינגל שני בשם Into The Night לאחר שכבש את הקהל עם הסינגל הראשון שלו ובהשתתפותו ב"הכוכב הבא".	Tamir Greenberg released his second single, Into The Night, after winning over the crowd with his first single and appearance on The Next Star.	yes
בחודשים האחרונים ממשיך גרינברג בהופעות רבות: היכל תרבות ת"א, משכן האופרה ת"א, אמפי שוני, אמפי גני יהושוע, האנגר 11 ועוד עשרות מופעים.	In recent months, Greenberg has continued to play many concerts: the TA Culture Hall, the TA Opera House, Amphitheatre Shawnee, Amphitheatre Joshua Garden, Hangar 11 and dozens of other shows.	yes
את השיר Into The Night הפיק ועיבד גרינברג יחד עם המפיק סתיו בגר.	The song Into The Night was produced and engineered by Greenberg along with producer Autumn Greer.	yes
הקליפ, בבימויה של דריה גלר, מחזיר את תמיר לזיכרונות מילדותו ולנוכחות המשמעותית של אביו בחייו.	The video, directed by Daria Geller, brings Tamir back to his childhood memories and the significant presence of his father in his life.	yes
"השיר מדבר על היחסים בין אבא שלי לביני.	"The song is about the relationship between my father and me.	yes
על התקופה שעזבתי את הארץ לארה"ב והדרך לשמור על הקשר מרחוק", מספר גרינברג.	About the time I left the country for the U.S. and how to keep in touch at a distance", Greenberg says.	yes
בחודש הקרוב יופיע גרינברג בטקס הפתיחה של המכביה בישראל, ולקראת העונה החדשה של "הכוכב הבא", השיר איתו זכה בתוכנית, Tell Me Where The Light Goes, נבחר כשיר האודישנים לעונה הקרובה.	Next month, Greenberg will perform at the opening ceremony of Maccabiah in Israel, and for the new season of "The Next Star", his winning song, "Tell Me Where The Light Goes", was chosen as the audition song for the upcoming season.	yes
תוצרת כחול לבן: יובל שמלא הוא המנצח הגדול של העונה והנינג'ה ה-16 בעולם	Blue and white product: Jubilee Full is the season's big winner and the 16th ninja in the world.	yes
הפנומן טיפס את הר מדוריאמה ב-26 שניות וקטף את התואר "הנינג'ה הישראלי הראשון" •	The phenomenon climbed Mount Maduryama in 26 seconds and claimed the title of "First Israeli Ninja".	yes
יוגב מלכה טיפס את ההר ב-29 שניות, אך לא יחזיק בתואר נינג'.	Yugev Malaka climbed the mountain in 29 seconds, but he won't hold the Ning title.	yes
ה	The	yes
יש מנצח: יובל שמלא כבש את המידוריאמה, והוא המנצח של העונה הרביעית של "נינג'ה ישראל" וכעת הוא מחזיק בתואר הנינג'ה הישראלי הראשון וה-16 בעולם.	There's a winner: Jubilee, who has completely conquered the Midoriya, and he's the winner of the fourth season of Ninja Israel and now he holds the title of the first Israeli ninja and 16th in the world.	yes
שמלא משתתף בתוכנית מאז עונתה הראשונה אז סיים במקום הראשון, ובעונה השנייה הפסיד לגיל מרנץ.	Who hasn't been on the show since its first season, so he finished first, and in season two, he lost to Gil Merentz.	yes
בעונה השלישית הוא שוב ניצח ולאחרונה חזר לעונה הרביעית, ובמהלך הצילומים הוא הצהיר שזו תהיה העונה האחרונה.	In the third season he won again and recently returned for the fourth season, and during filming he stated that this would be the last season.	yes
הערב הוא טיפס לראשונה את הר המידוריאמה ב-26 שניות וסיים במקום הראשון, לאחר שגבר על המתמודדים יוגב מלכה וישי כלפון.	Tonight, he climbed Mount Midoriama for the first time in 26 seconds and finished first, after beating his rivals Yoyogi Queen Vichy Kalpon.	yes
מלכה הצליח לטפס את ההר ב-29 שניות וסיים במקום השני.	Queen managed to climb the mountain in 29 seconds and finished second.	yes
יצויין שעל פי חוקי התכנית, בכל עונה יכול להיות מוכתר רק נינג׳ה אחד שהצליח לטפס את המידוריאמה בזמן.	It should be noted that according to the rules of the program, in each season only one ninja can be crowned who has managed to climb the Midoriyama in time.	yes
לכן, על אף ההישג המרשים של מלכה, כיוון שיובל שמלא מנצח העונה טיפס את המידוריאמה ב-3 שניות מהר יותר, מלכה אינו זוכה בתואר העולמי של נינג׳ה.	Therefore, despite Queen's impressive achievement, as the season's overall winner will climb the podium three seconds faster, Queen does not win the world ninja title.	no
הוא יוכל להתחרות עליו מחדש בעונה הבאה.	He can compete for it again next season.	no
טוב, הבנו, שמלא גיבור על, רותם סלע מושלמת, ו"נינג'ה ישראל" הוא אירוע הספורט החשוב בעולם	Well, we figured out that full of superheroes, Rotherham Rock is perfect, and Ninja Israel is the most important sporting event in the world.	yes
.	I'm not going anywhere.	no
שתי מדליסטיות אולימפיות ושדר ספורט ותיק ישבו בגמר של תוכנית ריאליטי והתנהגו כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ	Two Olympic medalists and a veteran sports broadcaster sat in the finale of a reality show and acted like it was the most significant sporting achievement on the planet.	yes
.	I'm not going anywhere.	no
רותם סלע מייצגת עבורנו אידיאל נשי כל כך מושלם, שזה מעוות להציג אותו כך בטלוויזיה.	Rotherham Rock represents for us such a perfect feminine ideal, it's a distortion to portray it that way on television.	yes
היא מרוויחה על קמפיינים יותר מוונדר וומן, היא יפה מדי, היא יודעת להעמיד במקום את דנה ויס, וכשצריך - גם לסנגר על השותף העסקי שלה.	She makes more money on campaigns than Wonder Woman, she's too pretty, she knows how to put Dana Weiss in her place, and when she needs to, she can even broker her business partner.	yes
היא אמא וגם אשת קריירה שמפרסמת בנקים ומזגנים, מדגמנת ומובילה סדרות ותוכניות ריאליטי, ומשמשת עבור בנות צעירות מודל חיקוי בלתי מושג.	She's a mother and a career woman who advertises for banks and weather stations, models and hosts reality shows and series, and serves as an inconceivable role model for young girls.	yes
ואולי זה הגיוני שרותם סלע עוברת מסך מושלם מדי, כי בתוכנית שהיא מנחה מוכרחים להיות מושלמים, ואין צורך להתנצל על כך.	And maybe it makes sense that Rock's service is going through a screen that's too perfect, because in the show she hosts, you have to be perfect, and there's no need to apologize for that.	yes
בעולם של הנינג'ה כולם גדולים מהחיים, והמנחים תחילה.	In the ninja world, everyone is bigger than life, and guides come first.	yes
אסי עזר הרי הסתבך בפרשה שלכאורה היתה אמורה למחוק אותו מהמסך לתקופה מסוימת, אך מכיוון שהוא לא בן אנוש רגיל - הוא נחלץ ממנה עוד לפני מקבץ הפרסומות הראשון.	Ace helped her get into a situation where he was supposed to be taken off the screen for a while, but because he's not an ordinary human being, he was taken out before the first set of ads.	yes
תקשיבו לפסקול של האירוע: ניב רסקין, ששידר בחייו זכיות בגביעי אירופה ושיאי עולם, אבל מתרגש ממגה־קיר כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ.	Listen to the soundtrack of the event: Neve Ruskin, who has broadcast European and world records in his lifetime, but is excited about a mega-wall as if it were the most significant sporting achievement on the planet.	no
בגמר ישבו לצידו כפרשניות שתי מדליסטיות אולימפיות (ירדן ג'רבי ולינוי אשרם), כאילו כדי להדגיש כמה נדירים ואיכותיים תנאי הכניסה לעולם העל־אנושי שמציגה תוכנית הריאליטי הזאת כבר ארבע עונות.	In the final, two Olympic medalists (Jordan Gerbi and Lina Ashram) sat alongside him as commentators, as if to emphasize the rarity and quality of the entry requirements for the superhuman world that this reality show has been presenting for four seasons.	no
"נינג'ה ישראל" יצאה מפרופורציות כדי לשווק את העונה, שהסתיימה אמש עם הר המידוריאמה ועם יובל שמלא שהצליח לטפס אותו ב-26 שניות והוכתר סוף סוף לנינג'ה.	Ninja Israel went out of their way to market the season, which ended last night with Mt. Midoriama and the Jubilee, which was climbed in 26 seconds and finally crowned by Ninja.	no
לשם הוביל מסלול כמעט בלתי עביר, שהפיל בזה אחר זה את כל הדמויות העל־אנושיות שהתוכנית דאגה לנפח להן את האגו לאורך השנה.	There led a nearly impassable trail, one after another dropping all the superhuman characters that the show had taken care to inflate their egos throughout the year.	no
רוצים להיות צבי נינג'ה?	You want to be a ninja deer?	no
לא אצלנו.	Not with us.	no
כאן מחפשים גיבורי־על.	This is where superheroes come in.	no
הדגש היה על חיפוש יורש לשמלא, מי שמכונה "מלך המלכים והאחד במינו", ועוד כינויים שנועדו להבהיר כמה הוא מושלם וחד־פעמי.	The emphasis was on the search for an heir to fill the throne, the one called "the King of kings and the only one of his kind", and other titles designed to make clear how perfect and unique he is.	no
כתוצאה מכך הועלתה רמת הקושי, הבנות שניסו להתמודד במסלולי העונה התרסקו, והבנים התחרו ביניהם למי יש יותר ריבועים בבטן וכריזמה של דיקט כדי להיכנס לנעליו של שמלא הפורש.	As a result, the difficulty level was raised, the girls who tried to compete on the season tracks crashed, and the boys competed with each other to see who had the most squares on their stomachs and Dict's charisma to get into the shoes of the retired filly.	no
יגידו שזו תוכנית ספורטיבית שמעודדת פעילות גופנית ומציגה התגברות על קשיים ואתגרים, אבל מבחינת הרוב המוחלט של הצופים - בטטות כורסה בינוניות שכמונו - "נינג'ה ישראל" מטפחת עבורנו מודל ספורטיבי־הישגי בלתי מושג.	They will say that it is a sports program that encourages physical activity and presents overcoming difficulties and challenges, but to the vast majority of viewers - average chair-puppies like us - Ninja Israel cultivates for us a model of sporting achievement that is inconceivable.	no
מהיר יותר, חזק יותר, גבוה יותר, מושלם יותר.	Faster, stronger, higher, more perfect.	no
כשגיל ססובר נע בין פאנצ'ים לשיחות על קדושה	When the age of suspicion moves from punches to talk of holiness	yes
מוזר לראות את הקומיקאי, אקס "קומדי סטור", מנחה תוכנית "קבלת שבת" בערוץ 14, שבה הוא טועם מסירים ונותן במה בעיקר לגברים	It's weird to see the comedian, the ex of Comedy Store, host Channel 14's "Saturday Reception", where he's tasting chopsticks and giving a mainly male stage	yes
אם נשחק במשחק אסוציאציות, לכולנו יהיו תשובות דומות לשאלה "מה מזכיר לכם המושג 'הכנות לשבת'?".	If we were to play a game of association, we would all have the same answers to the question, "What does the concept of willingness to sit remind you of?" I'm going to go.	yes
תגידו: ספונג'ה וניקיונות, סירים על הגז וריחות בחדר המדרגות, ירון אילן או אבי כאכון בטלוויזיה, אבל הכי מוזר יהיה אם מישהו יגיד פתאום "גיל ססובר".	You say, "Sponge and toiletries, pots on gas and staircase odors, Iron Elan or my father as a TV actor", but the weirdest thing would be if someone suddenly said, "Age of grief".	yes
כי גיל ססובר באמצע הספונג'ה והבישולים זה הכי לא קשור שהטלוויזיה יכולה להציע.	'Cause a grief-stricken age in the midst of sponge and cooking is the most disconnected thing television can offer.	yes
ובאמת, "קבלת שבת", התוכנית החדשה שהוא מנחה בצהרי שישי בערוץ 14, מנותקת ברוחה מהשעה שהיא משודרת.	And indeed, "Saturday Night Live", his new show on Channel 14 at noon on Friday, is disconnected in spirit from the time it airs.	yes
לאורך מחצית ממנה - ססובר עומד.	Along the middle of it -- the subwoofer is standing.	yes
הוא מדבר במהירות, מחזיק ביד מיקרופון גם כשהוא טועם מנות, ומשתדל לחלק את המינון בין פאנצ'ים לבין שיחות על קדושה.	He speaks fast, holds a microphone even when he's tasting, and tries to split the dose between punches and talk about holiness.	yes
להגנתו ייאמר כי דלות התקציב מורגשת, וזה כנראה המקסימום שניתן לייצר בתנאים הללו.	In his defense, the budget deficit is felt, and that's probably the maximum that can be produced under these conditions.	yes
עם זאת, מה שעוד הורגש בתוכנית הבכורה, ששודרה שלשום ממטה בנימין, זו חלוקה מגדרית ברורה.	However, what was also felt in the premiere, which aired the day before from headquarters in Benin, is a clear gender divide.	yes
הגברים שרים, מנגנים, רוקדים, מדברים תורה, משווקים מסעדות ומפעלים - ואילו הנשים הסתפקו באייטם קטן, שבו סיפרו בהתרגשות על ניהול מתפרה.	The men sang, played, danced, preached Torah, marketed restaurants and factories - while the women contented themselves with a small item, in which they excitedly told stories of sewing.	no
יום האישה שמח שיהיה לכן.	Happy women's day to you.	no
קבלת שבת עם גיל ססובר, עכשיו 14	Got a date with Gilles Sauvre, now 14.	no
איגוד הדיור המוגן נגד רותי רוסו: "להגיד 'יש לזה טעם של דיור מוגן' פוגע בפעילותנו"	Protected Housing Association v. Ruthie Rousseau: "Saying 'this tastes like protected housing' is hurting our business".	yes
יושבת הראש יולי גת שיגרה מכתב, שבו הביעה את תלונת האיגוד נגד אמירה מעליבה, לטענתם, של שופטת "המסעדה הבאה" באחד מהטריילרים לתוכנית •	Chairwoman Julie Geth wrote a letter expressing the union's complaint against what they claimed was an offensive statement by the judge of "Next Restaurant" in one of the trailers for the show.	yes
רותי רוסו בתגובה: "שמחה שיש מקומות שמשקיעים יותר בקולינריה של אוכלוסייה זו".	Ruthie Rousseau responds, "I'm glad there are places that invest more in the cuisine of this population".	yes
איגוד בתי האבות והדיור המוגן בישראל נגד ״המסעדה הבאה״: במכתב ששלחה יושבת הראש יולי גת והגיע ל״ישראל היום״ נכתב כך: ״בקדימון בטרם השידור, שהופץ בכל רשתות החברתיות ובטלוויזיה, מתואר כי השופטת המקצועית של התחרות אמרה 'לאוכל יש טעם של דיור מוגן', דהיינו אוכל של מוסד סגור עם אוכל ברמה נמוכה״.	The Association of Nursing Homes and Safe Housing in Israel against "The Next Restaurant": In a letter sent to Israel Today by chairwoman Yuli Geth, it is written: "In the pre-show preview, which was distributed on all social networks and television, it is described that the professional judge of the competition said 'food tastes like safe housing', i.e. food from a closed establishment with low-quality food".	yes
״הטון שבחרה שופטת התוכנית, רותי רוסו, לתאר את אכזבתה מהמזון שהמתמודד הגיש מבטל ברגע את פעילותנו רבת השנים להילחם כנגד הבורות הקיימת בתחום, זאת משום שבתי הדיור המוגן מפעילים בבתים השונים מסעדות לטובת הדיירים עם מנות שף ברמה הכי גבוהה״.	"The tone chosen by the show's judge, Ruthie Rousseau, to describe her disappointment with the food the contestant has filed to cancel our long-standing campaign to fight ignorance in the area is because the sheltered housing communities operate in the various houses restaurants for the benefit of the tenants with top-notch chef meals".	yes
עוד נכתב: ״צוותי השירות ומנהלי הבתים נאבקים על תדמיתו של הדיור המוגן המציע פתרונות לדיור איכותי לזקנים, ובכללם הפגת בדידות, פעילויות פנאי בשפע, רמת חיים גבוהה ועוד".	It added: "Service teams and homeowners struggle to maintain the image of secure housing that offers quality housing solutions for the elderly, including reduced loneliness, abundant recreation, a high standard of living, and more".	yes
בישראל בשנים האחרונות יותר ויותר משפחות ואנשים מבוגרים מבינים כי בדידות זו המחלה הקשה ביותר בגיל מבוגר ורואים במקומות הקהילתיים כפתרון מוכח למחלה.	In Israel in recent years more and more families and older people are realizing that loneliness is the most serious illness of old age and are seen in community settings as a proven solution to the disease.	yes
"מזון הוא אחד מההנאות הגדולות ביותר בחיים, ולכן אנו מקדישים משאבים ומאמצים בכדי להגיש לדיירים את האוכל המשובח ביותר.	"Food is one of life's greatest pleasures, which is why we devote resources and effort to providing our residents with the finest food.	yes
מרבית בתי הדיור המוגן נעזרים בשפים מקצועיים על מנת לבנות תפריט.	Most shelters use professional chefs to build a menu.	yes
אנו נשמח בכל עת להזמין את צוות השופטים בכדי להתרשם מהמנות המנצחות המוגשות מידי יום לעשרות אלפי זקנים בישראל וכן בשם השפים וצוותי המסעדות בבתי הדיור המוגן נבקש התנצלותכם והבהרתכם.	We would be happy at any time to invite the judging panel to be impressed by the winning dishes served daily to tens of thousands of elderly people in Israel and on behalf of the chefs and restaurant staff at the sheltered housing, we apologize and clarify.	yes
בואו ביחד, אמצעי התקשורת והחברה הישראלית, בכדי לעודד את הדיור הקהילתי למען בריאות הקשישים״.	Let's come together, the media and Israeli society, to encourage community housing for the health of the elderly".	no
רותי רוסו מסרה בתגובה: "שמחה שיש מקומות שמשקיעים יותר בקולינריה של אוכלוסייה זו, שבהחלט מגיע לה אוכל מעולה בתקופה המתקדמת של החיים.	Ruthie Rousseau commented: "I'm glad there are places that are investing more in the cuisine of this population, who definitely deserve great food in their later years.	no
אני מכבדת את עבודתם הקשה של טבחים, טבחיות, שפיות ושפים בכל מקום, גם בדיור המוגן".	I respect the hard work of cooks, butchers, nurses and chefs everywhere, including safe houses".	no
"מוסר כפול: ברוסיה אתה מבטל מופע אבל בישראל לא ביטלת?"	"Double standards: in Russia you cancel a show but in Israel you didn't?"	yes
ניק קייב מגיב לביקורת	Nick Cave responds to criticism	yes
הזמר התייחס לביקורת שהוטחה בו על ידי מעריץ טורקי, שהאשים אותו במוסר כפול •	The singer responded to criticism from a Turkish fan, who accused him of double standards.	yes
הזמר בתגובה: "הפלישה לאוקראינה שונה מאוד מהקונפליקט הישראלי-פלשתיני	"The invasion of Ukraine is very different from the Israeli-Palestinian conflict.	yes
"	♪ I'm going ♪	no
