בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under the threat of extinction: three cheetah cubs were born in Iran	yes
המדד מחלק את הרשויות לשלוש קבוצות גודל לפי מספר תושבים, שכן רשות מקומית של עד 50 אלף תושבים אינה דומה לרשות מקומית של יותר מ־150 אלף תושבים.	The index divides the authorities into three size groups according to the number of inhabitants, since a local authority of up to 50 thousand inhabitants is not similar to a local authority of more than 150 thousand inhabitants.	no
ת"א זינקה השנה	Tel Aviv jumped this year	no
המדד מתעדכן אחת לשנה ומשקלל ארבעה דירוגים שונים בכל רשות מקומית: שביעות רצון של עסקים, נגישות למכרזים, נגישות המידע וארנונה.	The index is updated once a year and weighs four different ratings in each local authority: business satisfaction, accessibility to tenders, accessibility of information and property taxes.	no
מהדירוג עולה כי רמת גן ירדה מהמקום השני למקום השמיני, בת ים ירדה מהמקום הרביעי למקום ה־12 ונתניה ירדה מהמקום החמישי למקום ה־13.	The ranking shows that Ramat Gan dropped from second place to eighth place, Bat Yam dropped from fourth place to 12th place and Netanya dropped from fifth place to 13th place.	no
ירידה בדירוג אינה אומרת שהשירות לעסקים של הרשות הידרדר, ובמקרים רבים היא נובעת מכך שהשירות של רשויות אחרות לעסקים השתפר יותר והן עלו בדירוג, בשעה שהרשות שירדה בדירוג שיפרה פחות את השירותים שלה לעסקים.	A drop in rating does not mean that the authority's service to businesses has deteriorated, and in many cases it results from the fact that the service of other authorities to businesses has improved more and they have gone up in rating, while the authority that has dropped in rating has improved its services to businesses less.	no
בין העולים בדירוג ניתן למצוא את פתח תקווה, שעלתה מהמקום השישי למקום השני, ורחובות שעלתה מהמקום ה־12 למקום השלישי.	Among the newcomers in the ranking can be found Petah Tikva, which rose from sixth place to second place, and Rehovot, which rose from 12th place to third place.	no
תל אביב, שירדה ב־2019 מהמקום הרביעי למקום ה־11, השתפרה ב־2021 ועלתה למקום השישי.	Tel Aviv, which dropped from fourth place to 11th place in 2019, improved in 2021 and rose to sixth place.	no
"העסקים - מנוע צמיחה"	"Business - engine of growth"	no
מהדירוג עולה כי נוף הגליל מובילה ברשויות המקומיות הכוללות בין 50 ל־150 אלף תושבים.	The ranking shows that Nof HaGilil is a leader in local authorities that include between 50 and 150 thousand residents.	no
לאחריה ממוקמות קריית מוצקין, מטה בנימין, מודיעין־מכבים־רעות, כפר סבא, רעננה, נהריה, כרמיאל, עפולה והוד השרון.	After it are located Kiryat Motzkin, Meta Binyamin, Modi'in-Maccabim-Reot, Kfar Saba, Ra'anana, Nahariya, Karmiel, Afula and Hod Hasharon.	no
במקום ה־28 והאחרון ממוקמת טבריה.	In the 28th and last place is Tiberias.	no
"המדד נועד לעודד רשויות מקומיות להקל על העסקים הקטנים והבינוניים, החל ממועד פתיחת העסק ולאורך פעילותו מול הרשויות", אומרת שרת הכלכלה והתעשייה, אורנה ברביבאי.	"The index is intended to encourage local authorities to make it easier for small and medium-sized businesses, starting from the time the business opens and throughout its activity with the authorities," says the Minister of Economy and Industry, Orna Barbibai.	no
"העסקים מהווים מנוע צמיחה משמעותי למשק הישראלי והם אחראים לכ־50% מהתוצר העסקי ולכ־60% מהמועסקים במשק.	"The businesses are a significant growth engine for the Israeli economy and are responsible for about 50% of the business output and about 60% of the employed in the economy.	no
פיתוח העסקים הקטנים הוא אינטרס ציבורי של כולנו, אולם לרשות המקומית יש השפעה ישירה על העסקים שנמצאים בה.	The development of small businesses is in the public interest of all of us, but the local authority has a direct influence on the businesses located there.	no
הקורונה הדגישה את חשיבותו של השלטון המקומי וראינו כי רשויות שפעלו ועודדו את קידום העסקים הקטנים ומצאו פתרונות יצירתיים עבורם, הפכו לממשק השלטוני הראשון עבורם".	The corona virus emphasized the importance of local government and we saw that authorities that acted and encouraged the promotion of small businesses and found creative solutions for them, became the first governmental interface for them."	no
רן קויתי, מנהל הסוכנות לעסקים קטנים ובינוניים במשרד הכלכלה והתעשייה, מוסיף: "לרשויות המקומיות חלק מרכזי ומהותי ביכולתם של עסקים בתחומן לשגשג ולפרוח.	Ran Kuiti, director of the Small and Medium Business Agency at the Ministry of Economy and Industry, adds: "Local authorities play a central and essential part in the ability of businesses in their field to thrive and flourish.	no
בשנתיים האחרונות, שבהן אנו מתמודדים עם משבר הקורונה, לרשויות משקל גדול יותר בסיוע לעסקים לשרוד בתחומן ולשרוד בכלל".	In the last two years, when we are dealing with the corona crisis, the authorities have a greater weight in helping businesses survive in their field and survive in general."	no
2021 בדואר: 20 חבילות לכל משק בית - וזינוק במשקלן	2021 by mail: 20 packages per household - and a jump in their weight	yes
46.6 מיליון חבילות הגיעו לישראל במהלך 2021 - בדומה ל־2020 •	46.6 million packages arrived in Israel during 2021 - similar to 2020 •	yes
המשקל הממוצע לחבילה עומד על 435 גרם - זינוק של 36% לעומת 2020 •	The average weight per package is 435 grams - a jump of 36% compared to 2020 •	yes
החודש העמוס ביותר: דצמבר, אז עמד משקל החבילה הממוצעת על 524 גרם.	The busiest month: December, when the average package weight was 524 grams.	yes
בשנת 2021 הגיעו לישראל 46.6 מיליון חבילות דואר, כמעט 20 חבילות בממוצע לכל משק בית - כך עולה מנתוני דואר ישראל שהגיעו לידי "ישראל היום".	In 2021, 46.6 million mail packages arrived in Israel, almost 20 packages on average per household - this is according to Israel Post data obtained by Israel Hayom.	yes
כמות החבילות שהגיעו ב־2021 דומה לשנת 2020, שבה הגיעו לישראל 46.5 מיליון חבילות, ונמוך מ־2019 - שבה הגיעו 61.6 מיליון חבילות.	The amount of packages that arrived in 2021 is similar to 2020, when 46.5 million packages arrived in Israel, and lower than 2019 - when 61.6 million packages arrived.	yes
עם זאת, השנה חל זינוק של יותר מ־36% בשנה במשקל החבילות שהגיעו מחו"ל.	However, this year there was a jump of more than 36% per year in the weight of packages arriving from abroad.	yes
ב־2021 הגיעו לישראל 20,253 טונות מוצרים מחו"ל, זינוק של 36% לעומת 14,860 טונות בשנת 2020, ו־16,743 טונות ב־2019.	In 2021, 20,253 tons of products from abroad arrived in Israel, a jump of 36% compared to 14,860 tons in 2020, and 16,743 tons in 2019.	yes
שינויים בהרגלי הצריכה	Changes in consumption habits	yes
המשקל הממוצע לחבילה זינק ב־60% בשנתיים - מ־272 גרם ב־2019 ל־435 גרם ב־2021.	The average weight per package jumped by 60% in two years - from 272 grams in 2019 to 435 grams in 2021.	yes
הזינוק במשקל החבילות מושפע בעיקר משתי מגמות מרכזיות, הן מצד המוכר והן מצד הקונה: אתרי הקניות הגדולים בחו"ל מאחדים פריטים למשלוח אחד וכבר לא שולחים כל מוצר מ"סל הקניות" באריזה נפרדת.	The jump in package weight is mainly influenced by two major trends, both from the seller's and the buyer's side: the major shopping sites abroad combine items into one shipment and no longer send each product from the "shopping basket" in separate packaging.	no
מצד הצרכן הישראלי, המסירה המהירה של המשלוחים, בתוך ימים בודדים מרגע ההזמנה, תומכת ברכישה של יותר מוצרים יומיומיים כמו ביגוד ומתנות, שאותם הרוכשים מעוניינים לקבל בסמוך לביצוע הקנייה.	On the part of the Israeli consumer, the fast delivery of the shipments, within a few days from the moment of the order, supports the purchase of more everyday products such as clothing and gifts, which those buyers wish to receive close to making the purchase.	no
גם ב־2021, כמו ב־2020 וב־2019, החודש שבו הגיעו הכי חבילות מחו"ל במשקל הגבוה ביותר ומספר הפריטים הגבוה ביותר הוא חודש דצמבר, עם 4.2 מיליון חבילות במשקל כולל של 2,200 טונות.	Also in 2021, as in 2020 and 2019, the month in which the most packages arrived from abroad with the highest weight and the highest number of items is the month of December, with 4.2 million packages with a total weight of 2,200 tons.	no
בחודש דצמבר המשקל הממוצע לחבילה עמד על 524 גרם, גבוה ב־20% מהמשקל הממוצע השנתי.	In December, the average weight per package was 524 grams, 20% higher than the annual average weight.	no
אפקט בלאק פריידי	Black Friday effect	no
יותר חבילות הגיעו בדצמבר מבכל חודש אחר, ככל הנראה בעקבות חגי הקניות של נובמבר, דוגמת יום הרווקים הסיני, בלאק פריידי וסייבר מאנדיי.	More packages arrived in December than any other month, apparently following the November shopping holidays, such as Chinese Singles Day, Black Friday and Cyber Monday.	no
ההזמנות הגדולות מתחילות להגיע לישראל בין שבוע לשבועיים לאחר הקנייה.	The large orders start arriving in Israel between one and two weeks after the purchase.	no
מחקר: רוב השכירים במשק לא מודעים לכך שניתן לקבל החזרי מס	Research: Most employees in the economy are not aware that they can receive tax refunds	yes
לשכירים רבים מגיע כסף מהמדינה, שיכול להגיע לעשרות אלפי שקלים •	Many employees receive money from the state, which can reach tens of thousands of shekels •	yes
שיניתם מקום עבודה?	Have you changed jobs?	yes
יצאתם לחל"ת?	Did you go out to Halat?	yes
עברתם מהעיר ליישוב?	Did you move from the city to the settlement?	yes
ייתכן שאתם זכאים לקבל סכום לא מבוטל בהליך פשוט •	You may be entitled to receive a significant amount in a simple procedure •	yes
כל הפרטים - בפנים	All the details are inside	yes
רוב השכירים אינם מודעים לעובדה כי הם זכאים להחזרי מס, אשר יכולים להצטבר לסכומים גבוהים.	Most employees are not aware of the fact that they are entitled to tax refunds, which can add up to high amounts.	yes
מבקר המדינה ציין בדו"ח מלפני כחודשיים כי שני מיליון שכירים זכאים להחזרי מס בגובה של 3.6 מילארד שקלים, מה שאומר שכדאי גם לכם לבדוק האם אתם זכאים לקבל החזרי מס.	The State Comptroller stated in a report from about two months ago that two million employees are entitled to tax refunds in the amount of 3.6 billion shekels, which means that you should also check whether you are entitled to receive tax refunds.	yes
שכירים רבים יכולים לקבל סכום גבוה, שכן ארבעה מתוך חמישה שכירים זכאים להחזרי למס.	Many employees can receive a high amount, since four out of five employees are entitled to tax refunds.	yes
בפועל לעומת זאת, מגישים כמה עשרות אלפי שכירים בשנה.	In practice, on the other hand, they serve several tens of thousands of employees per year.	no
אם אתם חושבים כי ממילא הכספים הללו ירדו לטמיון, חישבו שנית: שכירים יכולים להגיש בקשה למס הכנסה להחזרים בגין שש שנים אחורה.	If you think that these funds have gone down the drain anyway, think again: employees can apply to the IRS for refunds for six years back.	no
חברת Tax:On ביצעה מחקר עומק בקרב 4,000 מלקוחותיה בעניין החזרי המס במהלך שנת 2020.	The Tax:On company conducted an in-depth study among 4,000 of its customers regarding tax refunds during the year 2020.	no
לחברה למעלה מ-30 אלף לקוחות, כך שהמדגם משקף את הפיזור שלהם מבחינת קבוצות באוכלוסיה ומבחינת מגדר, גילאים וגיאוגרפיה.	The company has over 30 thousand customers, so the sample reflects their dispersion in terms of groups in the population and in terms of gender, ages and geography.	no
מהנתונים עולה כי במהלך שנת 2020, בגלל התפרצות משבר הקורונה וההוצאה של מאות אלפי עובדים לחל״ת, חלו מספר שינויים משמעותיים ובמרכזם עלייה של 15% בגובה ההחזר הממוצע לבית אב שעמד על סכום של 4,300 שקלים בשנה.	The data shows that during the year 2020, due to the outbreak of the Corona crisis and the spending of hundreds of thousands of workers on unemployment benefits, there were a number of significant changes, the center of which was a 15% increase in the amount of the average reimbursement to a single family, which amounted to NIS 4,300 per year.	no
הסיבה היא שדמי החל"ת הם נמוכים יותר מהמשכורות ולכן נוצר פער בין מה שהעובד שילם כמס למה שהוא צריך בפועל.	The reason is that the tax dues are lower than the salaries, so there is a gap between what the employee paid as tax and what he actually needs.	no
אגב, ההחזר הגבוה ביותר שקיבל בשנת 2020 לקוח של החברה עמד על סכום של 121,054 ש״ח בגין החזרים על 6 השנים האחרונות.	By the way, the highest refund received in 2020 by a client of the company was NIS 121,054 for refunds over the past 6 years.	no
על מה אפשר לקבל החזרי מס?	What can you get tax refunds for?	no
אחת הסיבות לקבל החזרי מס היא שינוי במקום העבודה.	One of the reasons to receive tax refunds is a change in the workplace.	no
ל-81% מהאנשים שהחליפו מקום עבודה במהלך השנה נוצר החזר מס בסכום ממוצע של 2,943 שקלים.	81% of the people who changed jobs during the year received a tax refund in the average amount of NIS 2,943.	no
סיבה נוספת היא חופשת לידה.	Another reason is maternity leave.	no
מהנתונים עולה כי 74% מהנשים שילדו וששהו בחופשת לידה מעל 16 שבועות היו זכאיות להחזר בגובה ממוצע של 3,538 שקלים על אותה שנה	The data shows that 74% of the women who gave birth and were on maternity leave for more than 16 weeks were entitled to a refund in the average amount of NIS 3,538 for that year	no
סיבה נוספת להחזר היא תרומות.	Another reason for reimbursement is donations.	no
100% מהאנשים התורמים ומשלמים מיסים קיבלו החזר.	100% of people donating and paying taxes got a refund.	no
גורם נוסף להחזר הוא אי רישום נקודות זיכוי בגין מזונות. 63%	Another factor for reimbursement is not registering credit points for alimony. 63%	no
מהגרושים לא עדכנו נקודת זיכוי בגין מזונות ולכן החזר המס לכל שנה שלא עודכנה נקודת זיכוי כזאת הינה 2,616 שקלים.	For the divorced, we did not update a credit point for alimony, therefore the tax refund for each year that such a credit point was not updated is NIS 2,616.	no
בשל אבטלה - הוצאה לחל״ת: 93% מהיוצאים לחלת או אבטלה ואשר הרוויחו מעל 12,000 שקלים קיבלו החזר מס בגובה 4021 שקלים לאותה שנה.	Due to unemployment - spending on unemployment benefits: 93% of those who were sick or unemployed and who earned over NIS 12,000 received a tax refund of NIS 4021 for that year.	no
סיבות נוספות להחזרי מס הינן: החזר בגין תשלומי ביטוח חיים, ביטוח חיים על משכנתא ,החזר ישוב מזכה, החזר בגין הפסדים בניירות ערך ,אי רישום נקודות זיכוי לגבר בגין לידה וחלוקת החזרי מס לפי מקום גיאוגרפי.	Other reasons for tax refunds are: refund for life insurance payments, life insurance on a mortgage, refund for a qualifying return, refund for losses in securities, failure to register credit points for a man for giving birth and distribution of tax refunds according to geographic location.	no
- 94% מהאנשים שהפקידו לביטוח חיים אישי או בגין לקיחת משכנתא היו זכאים להחזר מס.	- 94% of the people who deposited for personal life insurance or for taking out a mortgage were entitled to a tax refund.	no
בבדיקה שנערכה על כל מיליון שקלים משכנתא ל-25 שנה, החזר המס המצטבר לתקופה הינו בגובה של מעל 20,000 שקלים לכל תקופת המשכנתא	In an inspection conducted on every million shekels of a 25-year mortgage, the cumulative tax refund for the period is over 20,000 shekels for the entire mortgage period	no
100% מהעוברים לישוב מזכה קיבלו החזר מס על שנת המעבר היות ואישור על תושבות בישוב מזכה ניתנת רק לאחר 12 חודשים מיום הפיכת התושב לתושב מזכה ובכך למעשה השנה הראשונה משולם מס מלא.	100% of those who move to a qualifying settlement received a tax refund for the year of the move since confirmation of residency in a qualifying settlement is given only after 12 months from the day the resident became a qualifying resident, thus effectively the first year full tax is paid.	no
79% מהלקוחות המחזיקים ניירות ערך היו זכאים להחזר מס השנים האמורות.	79% of the customers holding securities were entitled to a tax refund for the aforementioned years.	no
עם זאת, מי שמחזיק ניירות ערך חשוב שיבדוק כל שנה היות והפסדים לא מגולגלים משנה לשנה אלא רק דרך הגשת דוח.	However, it is important for those who hold securities to check every year since losses are not rolled over from year to year but only through the submission of a report.	no
56% מהגברים שנולד להם ילד לא רושמים נקודות זיכוי בשנת הלידה בתלוש השכר.	56% of the men who had a child do not register credit points in the year of birth on the payslip.	no
שיעור ההחזר יכול להגיע לעשרות אלפי שקלים לאורך 6 שנים.	The repayment rate can reach tens of thousands of shekels over 6 years.	no
זו תופעה הקיימת בעיקר במגזר הערבי.	This is a phenomenon that exists mainly in the Arab sector.	no
מנכ״ל tax:on, טל כרמון: "משבר הקורונה גרם לכך שציבור השכירים בישראל הפך להרבה יותר אקטיבי.	CEO of tax:on, Tal Carmon: "The corona crisis has meant that the salaried public in Israel has become much more active.	no
הוא מתעניין, בודק ודורש את מה שמגיע לו בהחזרים ממס הכנסה.	He is interested, checks and demands what he deserves in returns from the income tax.	no
מתברר שהישיבה בבית, בחל״ת או אחרי פיטורים, של מאות אלפי ישראלים במשך חודשים ארוכים, גרמה לשכירים רבים לבדוק לעומק מה מגיע להם מהמדינה.	It turns out that hundreds of thousands of Israelis sitting at home, on unemployment benefits or after layoffs, for many months, caused many employees to take a deep look at what they deserve from the state.	no
חשוב לדעת שכיום ניתן לבצע את כל ההליכים לקבלת החזרי מס באופן דיגיטלי, קל ופשוט, בלי הבירוקרטיה שהרתיעה רבים בעבר״.	It is important to know that today all procedures for receiving tax refunds can be carried out digitally, easily and simply, without the bureaucracy that deterred many in the past.'	no
שוק התעסוקה: פחות מועמדים למשרה, יותר שכר	The job market: fewer job applicants, more pay	yes
דו"ח אולג'ובס לסיכום 2021: בראש הביקושים - משרות ללא ניסיון •	AllJobs 2021 summary report: at the top of the demand - jobs without experience •	yes
היקף המשרות שהוצעו עלה ב-50% •	The scope of jobs offered increased by 50% •	yes
"מחפשים עבודה, אך לא מסתערים על השוק"	"Looking for a job, but not storming the market"	yes
בשנה שהסתיימה זה עתה חלה ירידה של 15% במספר קורות החיים שנשלחו, ועל כל תפקיד התמודדו בממוצע 23 מועמדים בלבד, לעומת 41 מועמדים בשנה הקודמת - כך עולה מדו"ח של אתר אולג'ובס לסיכום שנת 2021, על משבר הקורונה והשפעותיו על שוק העבודה בישראל.	In the year that just ended, there was a 15% decrease in the number of resumes sent, and for each position only 23 candidates competed on average, compared to 41 candidates the previous year - according to a report by the AllJobs website summarizing the year 2021, on the corona crisis and its effects on the labor market in Israel	yes
לפי הדו"ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.	According to the report, the job seekers were mainly interested in areas saturated with jobs such as administration and sales, for which 1,738,485 CVs were sent.	yes
עם זאת, המשרות ללא ניסיון הובילו בראש הביקושים עם יותר מ-38 אלף חיפושים - כנראה בעקבות חזרה של צעירים חסרי ניסיון מקצועי לחיפוש אחר עבודה מיידית, בתום תשלומי החל"ת.	However, the jobs without experience led the demand with more than 38 thousand searches - probably due to the return of young people without professional experience to look for immediate work, at the end of the Halat payments.	yes
מספר החיפושים למכירות ולאדמיניסטרציה היה 35 אלף ו-32 אלף (בהתאמה), לנהגים ולשליחים היו 11 אלף חיפושים, ולשמירה היו מעט פחות מ-9,000 חיפושים.	The number of searches for sales and administration was 35,000 and 32,000 (respectively), drivers and couriers had 11,000 searches, and maintenance had just under 9,000 searches.	yes
מאידך, למרות משבר הקורונה, השכר בשנת 2021 עלה ב-2% בהשוואה לשנת 2020, והשכר הממוצע בישראל עמד על 11,675 שקלים ברוטו.	On the other hand, despite the corona crisis, wages in 2021 increased by 2% compared to 2020, and the average wage in Israel was NIS 11,675 gross.	yes
השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.	The monthly salary in the software field was NIS 17,915 on average, and in information systems analysis it was NIS 17,140.	yes
עם זאת, בין המרכז לפריפריה היה קיים פער שכר של יותר מ-2,000 שקלים: במרכז הארץ הוא היה 12,500 שקלים בממוצע, לעומת 10,795 בצפון ו-10,135 שקלים בדרום.	However, between the center and the periphery there was a wage gap of more than NIS 2,000: in the center of the country it was NIS 12,500 on average, compared to NIS 10,795 in the north and NIS 10,135 in the south.	no
מבחינה מגדרית, פער השכר הממוצע בין נשים לגברים, שאותו ניתן להסביר גם בסוג העבודה ובהיקפי השעות, נשמר ועמד על 36%.	From a gender perspective, the average wage gap between women and men, which can also be explained by the type of work and the number of hours, remained at 36%.	no
גברים השתכרו 13,295 שקלים, לעומת שכר הנשים שעמד על 9,740 שקלים.	Men earned NIS 13,295, compared to women's wages of NIS 9,740.	no
מנסים לחזור לתלם	Trying to get back into the groove	no
בצד של העסקים, נרשמה צמיחה רוחבית כמעט בכל ענפי המשק, והעסקים השתוקקו לידיים עובדות.	On the business side, horizontal growth was recorded in almost all branches of the economy, and businesses craved working hands.	no
כך, היצע המשרות עלה ב-50% ורשם שיא של יותר מ-40 אלף משרות באולג'ובס.	Thus, the offer of jobs increased by 50% and recorded a record of more than 40 thousand jobs in AllJobs.	no
סקר שערך האתר בקרב מעסיקים מצא כי 50% היו אופטימיים לגבי הסטטוס הכלכלי שלהם ב-2022, 30% מהם העידו על כוונתם להגדיל את סך הגיוסים אך 72% מבינים שיתקשו בכך השנה.	A survey conducted by the site among employers found that 50% were optimistic about their economic status in 2022, 30% of them testified that they intend to increase the total number of hires, but 72% understand that they will have difficulty doing so this year.	no
ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.	The largest offer was for jobs without experience - and there were more than 58 thousand of them on the site.	no
אחריהן היו תפקידי שירות לקוחות ואדמיניסטרציה עם כ-44 אלף משרות בכל תחום, מכירות ותוכנה עם 41 אלף משרות כל אחת, הוראה וחינוך עם 24 אלף משרות פנויות, ומחסנאים עדיין מבוקשים ב-19 אלף משרות פנויות.	They were followed by customer service and administration positions with approximately 44,000 jobs in each field, sales and software with 41,000 jobs each, teaching and education with 24,000 vacancies, and warehouse workers still in demand with 19,000 vacancies.	no
עינב בוימפלד, מנהלת המחקר והתוכן באולג'ובס: "מחפשי העבודה מנסים לחזור לתלם אך אינם מסתערים על השוק, בעיקר בשל היעדר משרות אטרקטיביות בעיניהם.	Einav Boimfeld, director of research and content at AllJobs: "The job seekers are trying to get back into the groove but are not attacking the market, mainly due to the lack of attractive jobs in their eyes.	no
כמו כן, הנתק הממושך ממעגל העבודה מקשה עליהם לחזור, וחלקם מצאו אופנים יצירתיים להתפרנס".	Also, the prolonged disconnection from the work circle makes it difficult for them to return, and some have found creative ways to make a living."	no
הלמ"ס: שיעור האבטלה בישראל עלה ל-6.3%	CBS: The unemployment rate in Israel rose to 6.3%	yes
מנתוני סקר הלשכה עולה כי כ-270 אלף ישראלים נותרו מחוסרי עבודה בחודש דצמבר 2021 •	According to the Bureau's survey data, approximately 270,000 Israelis remained unemployed in December 2021.	yes
בנובמבר היו כ-262 אלף מובטלים	In November there were about 262 thousand unemployed	yes
אחוז המובטלים במחצית הראשונה של חודש דצמבר 2021 עמד על 6.3%, כ-270 אלף ישראלים, לעומת 6.1% במחצית השנייה של נובמבר 2021 (כ-262 אלף).	The percentage of unemployed in the first half of December 2021 was 6.3%, about 270 thousand Israelis, compared to 6.1% in the second half of November 2021 (about 262 thousand).	yes
כך עולה מנתוני סקר כוח אדם למחצית הראשונה של חודש דצמבר 2021 של הלשכה המרכזית לסטטיסטיקה.	This is according to the personnel survey data for the first half of December 2021 of the Central Bureau of Statistics.	yes
אחוז הבלתי מועסקים עמד על 4.5% במחצית הראשונה של דצמבר 2021 לעומת 4.3% במחצית השנייה של נובמבר 2021.	The percentage of the unemployed was 4.5% in the first half of December 2021 compared to 4.3% in the second half of November 2021.	yes
במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.	In other words, it is 193 thousand unemployed compared to 180.3 thousand.	yes
לפי תכונות כוח העבודה במחצית הראשונה של דצמבר 2021 בקרב בני 15 ומעלה עולה כי אוכלוסיה זו כללה 6,607,500 תושבים בישראל, לא כולל מוסדות וגרים מחוץ לישובים.	According to the characteristics of the workforce in the first half of December 2021 among those aged 15 and over, it appears that this population included 6,607,500 residents in Israel, excluding institutions and living outside the settlements.	yes
מתוכם 64.4%, כלומר 4,252,700 הם בכוח העבודה והשאר המהווים 2,354,800 אינם בכוח העבודה.	Of these, 64.4%, i.e. 4,252,700 are in the labor force and the rest which is 2,354,800 are not in the labor force.	yes
מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.	Of those in the workforce, 95.5%, which is 4,059,700, are employed and the rest are unemployed.	yes
מאלה אשר אינם בכוח העבודה, 2.3% הפסיקו לעבוד בגלל פיטורים או סגירת העבודה ממרץ 2020.	Of those not in the labor force, 2.3% stopped working due to layoffs or job closures as of March 2020.	no
סקר כוח אדם מספק מידע על כוח העבודה בישראל והוא נערך באופן שוטף על ידי הלשכה המרכזית לסטטיסטיקה.	A labor force survey provides information on the labor force in Israel and is conducted regularly by the Central Bureau of Statistics.	no
במחצית הראשונה של חודש דצמבר 2021 רואיינו באופן שוטף כ-8,700 בני 15 ומעלה.	In the first half of December 2021, approximately 8,700 people aged 15 and over were interviewed on an ongoing basis.	no
במחצית השנייה של חודש נובמבר 2021 רואיינו באופן שוטף כ-8,900 בני 15 ומעלה.	In the second half of November 2021, approximately 8,900 people aged 15 and over were interviewed on an ongoing basis.	no
אוכלוסיית הסקר כוללת את התושבים הקבועים של מדינת ישראל, תיירים ותושבים ארעיים השוהים בישראל יותר משנה ברציפות.	The survey population includes the permanent residents of the State of Israel, tourists and temporary residents who stay in Israel for more than a year continuously.	no
הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.	The survey enables monitoring of the development of the labor force, its size and characteristics, the extent of unemployment and more.	no
"לא מובן מאליו": סאבלימינל מקדש את השבת - ומתכונן לעצמאות	"Not obvious": Subliminal sanctifies the Sabbath - and prepares for independence	yes
חוגג את העובדה ש"אנחנו יכולים לחיות כמו שבא לנו", מתרגש לקראת המפגש עם הקהל ומקפיד לבלות עם הילדים •	Celebrates the fact that "we can live the way we want", gets excited about meeting the audience and makes sure to spend time with the children •	yes
סוף השבוע ויום העצמאות של קובי שמעוני, סאבלימינל	The weekend and Independence Day of Kobi Shimoni, Subliminal	yes
איך נראה יום שישי טיפוסי שלך?	What does your typical Friday look like?	yes
"סופי השבוע הם הרגעים החשובים בחיים, מבחינתי.	"The weekends are the most important moments in life, as far as I'm concerned.	yes
הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.	The sanctification and tradition are a very deep root in my soul.	yes
ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).	My Fridays are dedicated to the children, Or (10) and Jonathan (8).	yes
אני אוסף אותם מבית הספר, אנחנו קונים פרחים ומצרכים לקידוש, אוכלים צהריים ועושים משהו כיפי ביחד, כמו לשחק כדורגל, לרכוב על סוסים או לשחק במכוניות על שלט.	I pick them up from school, we buy flowers and groceries for Kiddush, have lunch and do something fun together, like play soccer, ride horses or play with cars on a sign.	yes
לפעמים הולכים לים, או אפילו סתם לרחוץ את הרכב, אבל תמיד עוצרים בדרך לקנות מתנה בחנות הצעצועים בשכונה - ותמיד יש תירוץ אחר.	Sometimes we go to the beach, or even just to wash the car, but we always stop on the way to buy a gift at the toy store in the neighborhood - and there is always another excuse.	yes
כשחוזרים הביתה עם שלל המתנות, ריחות הבישולים מקבלים את פנינו".	When we return home with the multitude of gifts, the smells of cooking greet us."	yes
איך נראית ארוחת שישי שלכם?	What does your Friday dinner look like?	no
"בורכתי בבשלניות סביבי.	"I was blessed by the cooking around me.	no
מהצד שלי יש מטבח פרסי־תוניסאי, מלא סלטים ואווירה של צחוקים, מוזיקה, שירה ושמחה.	On my side there is Persian-Tunisian cuisine, full of salads and an atmosphere of laughter, music, singing and joy.	no
מהצד של אשתי אינס, שהיא גם בשלנית נהדרת, מגיעים המאכלים האוקראיניים, שהם עמוקים וחריפים, עם הרבה בשר.	From the side of my wife Ines, who is also a great cook, comes the Ukrainian dishes, which are deep and spicy, with a lot of meat.	no
כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.	When we arrive at my mother-in-law's, already from the lobby of the building, amazing smells are coming from her apartment.	no
לרוב אני עושה את הקידוש, יחד עם הילדים, שמכירים אותו בעל פה.	I usually do the Kiddush, together with the children, who know it by heart.	no
בסופו של דבר, הכיף שלי אחרי האוכל זה להתעלף על השטיח, ושהילדים קופצים עלי כאילו אני איזה מתנפח".	In the end, my fun after eating is passing out on the carpet, and having the kids jump on me like I'm some kind of inflatable."	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have a special childhood memory from the weekends?	no
"כילד, הייתי מתעורר בשבת לצלילי מוזיקה ישראלית ברשת ג' ולמערכוני הגשש החיוור, שידענו בעל פה.	"As a child, I would wake up on Shabbat to the sounds of Israeli music on Channel C and the skits of The Pale Tracker, which we knew by heart.	no
