בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs born in Iran	yes
בטח היינו רבים על כדורגל ופוליטיקה ומתמוגגים אלה מאלה".	We must have been talking a lot about football and politics and languishing between the two. "	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have a special childhood memory from the weekends?	no
"היינו משפחה חמה ומאוחדת.	We were a warm and united family.	no
בשישי בצהריים אמא היתה מכינה ערימת שניצלים, מביאה מהשוק חומוס ופיתות ושורפת חצילים לסלט טחינה.	On Friday at noon, my mother would prepare a pile of schnitzels, bring hummus and pita from the market, and burn eggplants for a tahini salad.	no
אחר כך היינו נוסעים לדודה חנה ביד אליהו, או כמו שהיא היתה אומרת 'יד אליָיְקֶ'ה', והיא היתה מכינה בלינצ'סים.	Then we would go to Aunt Hannah's in Yad Eliyahu, or as she used to say, Yad Eliyke, and she would make lynchings.	no
מכיוון שרק אני לא אהבתי צימוקים, היא היתה מכינה לי כמה ללא צימוקים.	Since only I didn't like raisins, she would make me some without raisins.	no
היא ראתה אותי, הקטנה שבאחים, ודאגה לי.	She saw me, the youngest of the brothers, and took care of me.	no
בשבתות היינו עושים סיור עם אבא שלי בנמל יפו, והוא היה מראה לנו מאיפה הוא ואחיו התאום, גרישה, הגיעו לארץ בלי כלום".	On Saturdays we would do a tour with my father in the port of Jaffa, and he would show us where he and his twin brother, Grisha, came to Israel with nothing. "	no
פיינליסטית "אקס פקטור" ענבל ביבי תשתתף במחזמר "הלהקה"	"X Factor" finalist Inbal Bibi will take part in the musical "The Band"	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •	Bibi participated in the last season of The X Factor and finished in third place.	yes
היא תשחק בתפקיד נועה שאותו גילמה דפנה ארמוני	She will play the role of Noa played by Daphne Armoni	yes
פיינליסטית ״אקס פקטור״, ענבל ביבי, לוהקה למחזמר ״הלהקה״ שיעלה בתיאטרון הארצי ותשחק בתפקיד נועה.	"X Factor" finalist, Inbal Bibi, was cast in the musical "The Band" that will be staged at the National Theater and will play the role of Noa.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי והמכובד.	Bibi participated in the last season of The X Factor and finished in third place.	yes
כעת מתגלה שיש חיים אחרי הריאליטי והיא מצטרפת למחזמר ״הלהקה״.	Now it turns out that there is life after reality TV and she joins the musical "The Band."	yes
ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.	Bibi will play the role of Noa, played by Dafna Armoni.	yes
ביבי תצטרף לעמית פרקש, נאיה בינשטוק, ים רפאלי, נופר סלמאן, שי המבר, אלישע בנאי ועוד.	Bibi will join Amit Prakash, Naya Binstock, Yam Refaeli, Nofar Salman, Shai Hember, Elisha Banai and more.	yes
ג'ניפר לופז ובן אפלק התארסו	Jennifer Lopez and Ben Affleck got engaged	no
כמעט שני עשורים אחרי סיפור האהבה שלהם שנגמר בפרידה, לופז ואפלק חוזרים זה לזרועות זו •	Nearly two decades after their love story ended in separation, Lopez and Affleck are back in each other's arms •	no
לופז נפרדה משחקן הבייסבול אלכס רודריגז באפריל 2021	Lopez broke up with baseball player Alex Rodriguez in April 2021	no
.	.	no
האחת שלו: כמעט שני עשורים אחרי סיפור האהבה הראשון שלהם שנגמר בפרידה ושנה לאחר הקאמבק המתוקשר, ג'ניפר לופז ובן אפלק סוגרים מעגל רומנטי ומאורסים.	His one: Nearly two decades after their first love story ended in separation and a year after the highly publicized comeback, Jennifer Lopez and Ben Affleck are closing a romantic circle and are engaged.	no
את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com	Lopez shared the news with fans on her official website onthejlo.com on Friday night.	no
.	.	no
הידיעה על האירוסין מגיעה לאחר שהשבוע תועדה לופז מסתובבת כשטבעת יהלום ענקית נראית בבירור על אצבע האירוסין שלה.	The news of the engagement comes after this week Lopez was documented walking around with a huge diamond ring clearly visible on her engagement finger.	no
נציג מטעמה אישר למגזין פיפל כי אפלק ולופז אכן מאורסים.	A representative on her behalf confirmed to People magazine that Affleck and Lopez are indeed engaged.	no
כזכור, בפעם הקודמת שאפלק (49) שלף טבעת והציע ללופז (52) להיות שלו לנצח זה היה בשנת 2002, ואז היה מדובר בטבעת מנקרת עיניים עם יהלום ורוד ענק של שישה קראט, בשווי מוערך של כ-2.5 מיליון דולר.	Remember, the last time Affleck (49) pulled out a ring and offered Lopez (52) to be his forever it was in 2002, and then it was an eye-popping ring with a huge six-carat pink diamond, estimated at about $2.5 million.	no
למרות מחוות האהבה הגרנדיוזית, השניים נפרדו בשנת 2004, כשהם מאשימים את התקשורת באובססיביות יתר ובחיטוט בלתי פוסק בחייהם.	Despite the grandiose gesture of love, the two broke up in 2004, accusing the media of over-obsession and incessant rummaging through their lives.	no
מאז אפלק הספיק להינשא לשחקנית ג'ניפר גארנר, אם שלושת ילדיו, ואילו לופז, כידוע, היתה נשואה כבר 3 פעמים בעבר, כולל לזמר מארק אנתוני, שיחד הפכו הורים לתאומים.	Since then, Affleck managed to marry actress Jennifer Garner, the mother of his three children, while Lopez, as you know, has been married 3 times before, including to singer Marc Anthony, who together became parents to twins.	no
מערכת היחסים הרומנטית האחרונה של לופז היתה עם שחקן הבייסבול אלכס רודריגז, שממנו נפרדה באפריל 2021 לאחר מערכת יחסים בת ארבע שנים, כולל אירוסים של שנתיים.	Lopez's most recent romantic relationship was with baseball player Alex Rodriguez, whom she broke up with in April 2021 after a four-year relationship, including a two-year engagement.	no
הקרדשיאנס מדברות: "אי אפשר להמציא את מה שקורה לנו"	The Kardashians: "You can't make up what's happening to us."	yes
"הכאוס בלתי נגמר", מתעקשת אמא קריס ג'נר על הסדרה החדשה בכיכוב המשפחה הראשונה של הריאליטי, ומקבלת גיבוי מבנותיה ומהמפיק החדש •	"The chaos is never-ending," mom Kris Jenner insists of the new series starring reality TV's first family, getting backing from her daughters and the new producer •	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In an article that will be published in "Shishat" magazine, they talk about the big money, the PR mill, the brand factory and the change that Kim wants to make in the world: "I'm no longer the one who thinks for hours about which bikini selfie should be uploaded"	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It may surprise many, but the most sought-after brand in 2022 of the Disney content empire, which among other things also includes the Marvel films and "Star Wars," is the Kardashian family.	yes
פרטי החוזה של המשפחה הראשונה של הריאליטי ושל הרשתות החברתיות מול דיסני לא נחשפו, אבל ההערכות טוענות לסכום מינימלי של מאה מיליון דולר שהועבר לבנות המשפחה, שמעתה מתפקדות גם כמפיקות.	The details of the contract of the first family of reality TV and social networks with Disney were not disclosed, but estimates say that a minimum amount of one hundred million dollars was transferred to the daughters of the family, who now also function as producers.	yes
במפגש עיתונאי עם הכוכבות, כל אחת מהן מלווה בצוות ביוטי שלם שדואג לטאצ'-אפים של איפור, שיער וקמטוטים בבגדים ללא הפסקה, התעקשו בנות המשפחה, כמו גם המפיק החדש והמבוקש שלהן, שהפעם לא מדובר בריאליטי, הפעם מה שמתקבל על המסך אותנטי לחלוטין.	At a press meeting with the stars, each of them accompanied by an entire beauty team that takes care of makeup, hair and wrinkles in clothes non-stop, the family insisted, as well as their new and sought-after producer, that this time it is not reality, this time what is received on the screen is completely authentic.	yes
"אי אפשר להמציא את מה שקורה לנו", אומרת בנחרצות האמא של המשפחה קריס ג'נר, "הכאוס בלתי נגמר".	"It's impossible to make up what's happening to us," the family's mom Kris Jenner says emphatically, "the chaos is never-ending."	yes
"אנחנו מראות כמה גדלנו מאז אותה סדרה שעלתה ב-2007", אומרת קלואי קרדשיאן.	"We're showing how much we've grown since that series came out in 2007," says Khloe Kardashian.	yes
"כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.	"When we started, we were terrified, a lot happens to us in life and it is impossible to confine everything simply to a narrative of beginning, middle and end.	yes
הרבה עלילות זורזו בעריכה, נעטפו בסרט צבעוני מתקתק ונשכחו בצד.	A lot of plots were expedited in the edit, wrapped in a ticking colored film and forgotten on the side.	yes
ככה לא נראים החיים במציאות.	This is not what life looks like in reality.	no
עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית".	Now we're more exposed, facing the camera naturally, not just a reality show but an authentic documentary series. "	no
כשמעמתים אותן עם מעורבותן החדשה בהפקת הסדרה, מה שלמעשה נותן להן שליטה מוחלטת בתוכן שמתקבל על המסך, קלואי טוענת: "אנחנו מעורבות מאחורי הקלעים, רואות קטעים בזמן עריכה ונותנות הערות, אבל לא ממקום של מגננה אלא פשוט לתת את דעתנו לגבי מה יעשה את הסדרה לטובה יותר.	When confronted with their new involvement in the production of the series, which in fact gives them complete control over the content that is received on the screen, Chloe claims: "We are involved behind the scenes, see footage during editing and give comments, but not from a place of protection but simply to give our opinion on what will make the series better.	no
זו מראה של חיינו ואני אישית מרגישה שעברתי צמיחה רגשית מצפייה בעצמי.	It's a mirror of our lives and I personally feel like I've had emotional growth from watching myself.	no
קנדל וקיילי היו ילדות קטנות כשהתחלנו, אז הן יותר מציבות גבולות".	Kendall and Kylie were little girls when we started, so they're more of a boundary setter. "	no
"התבגרתי"	"I have grown up"	no
קים קרדשיאן, מצדה, ממשיכה בכל הכוח לשנות את התדמית שלה, מטראש-ריאליטי זול לעורכת דין עם אג'נדה.	Kim Kardashian, for her part, continues with all her might to change her image, from a cheap reality TV crush to a lawyer with an agenda.	no
"התבגרתי", היא טוענת, "אני מגדלת ארבעה ילדים שחורים, כלומר מקהילה נרדפת שמופלית לרעה במדינה הזאת.	"Growing up, I am raising four black children, that is, from a persecuted community that is discriminated against in this country.	no
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change reality, so that my children and the children of all my friends will have a different future, in the hope that we can heal the crooked system.	no
זוהי המוטיבציה שלי".	That is my motivation. "	no
"אני כבר לא אותה קים שחושבת שעות על איזה סלפי ביקיני כדאי להעלות", היא מתעקשת, "אבל זה גם לא נעלם לגמרי מחיי.	"I'm no longer the same Kim who thinks for hours about which bikini selfie to upload," she insists, "but it hasn't completely disappeared from my life either.	no
אדם חייב להיות נאמן למי שהוא באמת ולקחת הכל בכיף".	A man must be true to who he really is and take it all in stride. "	no
על הסיבות לפיטורי המפיק שגילה אותן ריאן סיקרסט ועל הדרך החדשה והמאוד רווחית שלהן בתעשייה, המשמעות של המעבר לדיסני, מכונת היח"צ המשומנת של המשפחה והשפעתה על רווחיות המותג ועוד, בכתבה המלאה שתפורסם במגזין "שישבת".	About the reasons for the dismissal of the producer discovered by Ryan Seacrest and their new and very profitable way in the industry, the meaning of the move to Disney, the family's well-oiled PR machine and its impact on the profitability of the brand and more, in the full article that will be published in "Shishat" magazine.	no
אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז	Indigab with an international scent: Afghan and Wigs join Avitar Banai and Naga Erez	yes
להקת הרוק האמריקאית מצטרפת אל שורת אמנים מקומיים שייקחו השנה חלק בפסטיבל המוזיקה המדברי, שנחשב לאירוע עלייה לרגל בקרב שוחרי מוזיקה רבים	The American rock band joins a host of local artists who will take part in the Desert Music Festival this year, which is considered a pilgrimage event among many music lovers	yes
להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.	Afghan Wigs, Shlomi Shaban, Naga Erez, Avitar Banai and Tess are among the names that will take part in the Indigab Festival, which will take place from October 20 to 22.	yes
השנה יציין הפסטיבל 15 שנים להקמתו והיום (רביעי) מפרסמת הפקת הפסטיבל את רשימת המשתתפים באירוע המדברי.	This year the festival will mark its 15th anniversary and today (Wednesday) the festival production publishes the list of participants in the desert event.	yes
מוזיקאים אחרים המופיעים בליינאפ כוללים את: הילה רוח, טדי נגוסה, דניאלה ספקטור, יובל מנדלסון והמסע לפולין, להקת המסך הלבן, ריף כהן, קרולינה, עטר מיינר, רבע לאפריקה, פול טראנק, עילי אשדות ורבים אחרים.	Other musicians appearing in the lineup include: Hila Spirit, Teddy Negosa, Danielle Spector, Yuval Mendelssohn and the Journey to Poland, The White Screen Band, Riff Cohen, Carolina, Atar Meiner, Quarter for Africa, Paul Trunk, Ali Ashdod and many others.	yes
אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.	Indigab began in 2007 as a small niche event that brought together the hottest names in the Israeli indie scene.	yes
עם השנים הוא הפך לאירוע עלייה לרגל עבור חובבי מוזיקה רבים, והחל לארח שמות בינלאומיים, לצד אמנים מיינסטרימים.	Over the years, it became a pilgrimage event for many music lovers, and began hosting international names, alongside mainstream artists.	yes
אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות	Aviv Gefen and Sarit Hadad: A Festival of Outdoors in Jerusalem with New Surprises	yes
הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים	The international festival in the capital, which has become a tradition and will be held in several locations, will present musical performances by leading local artists, and will combine circus performances and innovative and surprising artistic performances.	yes
.	.	no
כמו כל קיץ לאורך השנים, לצד החום, הלחות והשעמום של התלמידים, מגיע גם הפסטיבל הבינלאומי חוצות היוצר ירושלים, שכבר הפך למסורת בבירה ויתקיים במספר מוקדים (בהם גן מיטשל, בריכת הסולטן, אל מול מגדל דוד ולמרגלות חומות העיר העתיקה) - בין התאריכים 15-27 באוגוסט.	Like every summer over the years, along with the heat, humidity and boredom of the students, comes the international outdoor festival that creates Jerusalem, which has already become a tradition in the capital and will be held in several locations (including the Mitchell Garden, the Sultan Pool, in front of the Tower of David and at the foot of the Old City walls) - from August 15-27.	yes
במסגרת הפסטיבל יתקיימו בכל יום מופעים מוזיקליים של אמנים רבים בהם שרית חדד, קובי פרץ, אביב גפן והתעויוט שיארחו את החברים של נטאשה, שלומי שבת, עידן חביב, נתן גושן, נסרין קדרי, דני סנדרסון שיארח את תיסלם ואמיר דדון, נגה ארז ועוד.	As part of the festival, musical performances by many artists will be held every day, including Sarit Hadad, Kobi Peretz, Aviv Gefen and HaThuyot, who will host Natasha's friends, Shlomi Shabbat, Idan Habib, Nathan Goshen, Nasrin Kadri, Danny Sanderson, who will host Tislem and Amir Dadon, Naga Erez and more.	yes
לצד המוסיקה השנה יתקיימו שני מופעים מסקרנים.	Alongside the music this year, there will be two intriguing shows.	yes
הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.	The first is ARTISTA - an exhibition of illuminated performances in the public space (design: Philippe Blau) with figures from other galaxies that will rotate among visitors inside a building and present a complete adventure in both light and night.	yes
המיצג התיאטרלי ישלב רקדנים, שחקנים, ואמני תיאטרון פיזי שיתקשרו עם הקהל.	The theatrical performance will combine dancers, actors, and physical theater artists who will interact with the audience.	yes
SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.	Sparks is a circus, movement and aerial levitation show by Circus Y, an Instagrammable photography exhibition inspired by famous works of art.	yes
The Black Box Gallery – היא גלריית ההצצה של היוצר והמבצע ליאור כלפון, שתוצב ברחבת היריד עם חורי הצצה שיחשפו את הקהל לתערוכת יצירותיו הזרחניות של ליאור כלפון, יצירות אמנות של פסלים מוארים של האמן הרב תחומי אלון בירגר (תיאטרון האור) ועוד.	The Black Box Gallery - is the peek gallery of the creator and performer Lior Kalfon, which will be placed in the fair's plaza with peek holes that will expose the audience to the exhibition of Lior Kalfon's luminous works, artworks of illuminated sculptures by the multidisciplinary artist Alon Birger (Light Theater) and more.	yes
צפו: תמיר גרינברג על מערכת היחסים עם אביו	Watch: Tamir Greenberg on his relationship with his father	yes
זוכה "הכוכב הבא" מוצא סינגל שני וחוזר אל זיכרונות ילדותו ולנוכחות המשמעותית של אביו בחייו •	The "Next Star" winner finds a second single and returns to his childhood memories and the significant presence of his father in his life •	yes
"השיר מספר על הדרך לשמור על הקשר מרחוק", הוא מספר	"The song tells about the way to keep the relationship at a distance," he says.	yes
תמיר גרינברג בסינגל שני בשם Into The Night לאחר שכבש את הקהל עם הסינגל הראשון שלו ובהשתתפותו ב"הכוכב הבא".	Tamir Greenberg in a second single called Into the Night after capturing the audience with his first single and his participation in "The Next Star."	yes
בחודשים האחרונים ממשיך גרינברג בהופעות רבות: היכל תרבות ת"א, משכן האופרה ת"א, אמפי שוני, אמפי גני יהושוע, האנגר 11 ועוד עשרות מופעים.	In recent months, Greenberg has continued to perform in many venues: The Tel Aviv Culture Hall, the Tel Aviv Opera House, the Shoni Amphitheater, the Yehoshua Gardens Amphitheater, Hangar 11 and dozens of other shows.	yes
את השיר Into The Night הפיק ועיבד גרינברג יחד עם המפיק סתיו בגר.	The song "Into the Night" was produced and adapted by Greenberg together with producer Autumn Begar.	yes
הקליפ, בבימויה של דריה גלר, מחזיר את תמיר לזיכרונות מילדותו ולנוכחות המשמעותית של אביו בחייו.	The video, directed by Daria Geller, brings Tamir back to memories of his childhood and the significant presence of his father in his life.	yes
"השיר מדבר על היחסים בין אבא שלי לביני.	The song is about the relationship between my father and me.	yes
על התקופה שעזבתי את הארץ לארה"ב והדרך לשמור על הקשר מרחוק", מספר גרינברג.	About the time I left the country for the United States and the way to keep the connection at a distance, "says Greenberg.	yes
בחודש הקרוב יופיע גרינברג בטקס הפתיחה של המכביה בישראל, ולקראת העונה החדשה של "הכוכב הבא", השיר איתו זכה בתוכנית, Tell Me Where The Light Goes, נבחר כשיר האודישנים לעונה הקרובה.	In the coming month, Greenberg will perform at the opening ceremony of the Maccabiah in Israel, and ahead of the new season of "The Next Star," the song with which he won the show, Tell Me Where The Light Goes, was chosen as the audition song for the upcoming season.	yes
תוצרת כחול לבן: יובל שמלא הוא המנצח הגדול של העונה והנינג'ה ה-16 בעולם	Made in Blue and White: Jubilee Shamal is the season's big winner and the 16th ninja in the world	yes
הפנומן טיפס את הר מדוריאמה ב-26 שניות וקטף את התואר "הנינג'ה הישראלי הראשון" •	The Phenomenon climbed Mount Madurayama in 26 seconds and won the title of "The First Israeli Ninja"	yes
יוגב מלכה טיפס את ההר ב-29 שניות, אך לא יחזיק בתואר נינג'.	Yogev Malka climbed the mountain in 29 seconds, but will not hold the title of ninja.	yes
ה	The	yes
יש מנצח: יובל שמלא כבש את המידוריאמה, והוא המנצח של העונה הרביעית של "נינג'ה ישראל" וכעת הוא מחזיק בתואר הנינג'ה הישראלי הראשון וה-16 בעולם.	There is a winner: Yuval Shamal conquered Midoriyama, and is the winner of the fourth season of "Ninja Israel" and now holds the title of the first Israeli ninja and the 16th in the world.	yes
שמלא משתתף בתוכנית מאז עונתה הראשונה אז סיים במקום הראשון, ובעונה השנייה הפסיד לגיל מרנץ.	Shamal has been participating in the show since its first season then finished in first place, and in the second season lost to Gil Marantz.	yes
בעונה השלישית הוא שוב ניצח ולאחרונה חזר לעונה הרביעית, ובמהלך הצילומים הוא הצהיר שזו תהיה העונה האחרונה.	In the third season, he won again and recently returned for the fourth season, and during filming he stated that this would be the final season.	yes
הערב הוא טיפס לראשונה את הר המידוריאמה ב-26 שניות וסיים במקום הראשון, לאחר שגבר על המתמודדים יוגב מלכה וישי כלפון.	This evening, he climbed Mount Midoriyama for the first time in 26 seconds and finished in first place, after beating contestants Yugeb Malka and Vichy Klepon.	yes
מלכה הצליח לטפס את ההר ב-29 שניות וסיים במקום השני.	Malka managed to climb the mountain in 29 seconds and finished second.	yes
יצויין שעל פי חוקי התכנית, בכל עונה יכול להיות מוכתר רק נינג׳ה אחד שהצליח לטפס את המידוריאמה בזמן.	It should be noted that according to the rules of the program, in each season only one ninja can be crowned who managed to climb the Midoriyama in time.	yes
לכן, על אף ההישג המרשים של מלכה, כיוון שיובל שמלא מנצח העונה טיפס את המידוריאמה ב-3 שניות מהר יותר, מלכה אינו זוכה בתואר העולמי של נינג׳ה.	Therefore, despite Malka's impressive achievement, since Yuval, who is full of winners this season, climbed Midoriyama 3 seconds faster, Malka does not win the world ninja title.	no
הוא יוכל להתחרות עליו מחדש בעונה הבאה.	He will be able to compete on it again next season.	no
טוב, הבנו, שמלא גיבור על, רותם סלע מושלמת, ו"נינג'ה ישראל" הוא אירוע הספורט החשוב בעולם	Well, we realized, that full of a superhero, Rotem Sela is perfect, and "Ninja Israel" is the most important sports event in the world	yes
.	.	no
שתי מדליסטיות אולימפיות ושדר ספורט ותיק ישבו בגמר של תוכנית ריאליטי והתנהגו כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ	Two Olympic medalists and a veteran sports broadcaster sat in the final of a reality show and acted like it was the most significant sporting achievement on the planet	yes
.	.	no
רותם סלע מייצגת עבורנו אידיאל נשי כל כך מושלם, שזה מעוות להציג אותו כך בטלוויזיה.	Rotem Sela represents for us a feminine ideal so perfect that it is distorted to present it this way on television.	yes
היא מרוויחה על קמפיינים יותר מוונדר וומן, היא יפה מדי, היא יודעת להעמיד במקום את דנה ויס, וכשצריך - גם לסנגר על השותף העסקי שלה.	She earns more on campaigns than Wonder Woman, she is too beautiful, she knows how to put Dana Weiss in place, and when necessary - also to advocate for her business partner.	yes
היא אמא וגם אשת קריירה שמפרסמת בנקים ומזגנים, מדגמנת ומובילה סדרות ותוכניות ריאליטי, ומשמשת עבור בנות צעירות מודל חיקוי בלתי מושג.	She is both a mom and a career woman who advertises banks and air conditioners, models and leads reality series and shows, and serves for young girls as an unattainable role model.	yes
ואולי זה הגיוני שרותם סלע עוברת מסך מושלם מדי, כי בתוכנית שהיא מנחה מוכרחים להיות מושלמים, ואין צורך להתנצל על כך.	And maybe it makes sense that Rotem Sela goes through a screen that is too perfect, because the show she hosts must be perfect, and there is no need to apologize for that.	yes
בעולם של הנינג'ה כולם גדולים מהחיים, והמנחים תחילה.	In the world of the ninja, everyone is larger than life, and the facilitators first.	yes
אסי עזר הרי הסתבך בפרשה שלכאורה היתה אמורה למחוק אותו מהמסך לתקופה מסוימת, אך מכיוון שהוא לא בן אנוש רגיל - הוא נחלץ ממנה עוד לפני מקבץ הפרסומות הראשון.	Assi Ezer was involved in an affair that was supposed to erase him from the screen for a certain period of time, but because he is not an ordinary human being - he was rescued from it even before the first set of advertisements.	yes
תקשיבו לפסקול של האירוע: ניב רסקין, ששידר בחייו זכיות בגביעי אירופה ושיאי עולם, אבל מתרגש ממגה־קיר כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ.	Listen to the soundtrack of the event: Niv Raskin, who broadcast European Cup wins and world records in his life, but is excited about the mega-wall as if it were the most significant sporting achievement on the planet.	no
בגמר ישבו לצידו כפרשניות שתי מדליסטיות אולימפיות (ירדן ג'רבי ולינוי אשרם), כאילו כדי להדגיש כמה נדירים ואיכותיים תנאי הכניסה לעולם העל־אנושי שמציגה תוכנית הריאליטי הזאת כבר ארבע עונות.	In the final, two Olympic medalists (Jordan Jarvi and Linui Ashram) sat alongside him as commentators, as if to emphasize how rare and high-quality the conditions for entering the superhuman world that this reality show has been presenting for four seasons.	no
"נינג'ה ישראל" יצאה מפרופורציות כדי לשווק את העונה, שהסתיימה אמש עם הר המידוריאמה ועם יובל שמלא שהצליח לטפס אותו ב-26 שניות והוכתר סוף סוף לנינג'ה.	"Ninja Israel" went out of proportion to market the season, which ended last night with Mount Midoriyama and a full jubilee who managed to climb it in 26 seconds and was finally crowned a ninja.	no
לשם הוביל מסלול כמעט בלתי עביר, שהפיל בזה אחר זה את כל הדמויות העל־אנושיות שהתוכנית דאגה לנפח להן את האגו לאורך השנה.	There led an almost impassable path, which brought down one by one all the superhuman characters that the show made sure to inflate their egos throughout the year.	no
רוצים להיות צבי נינג'ה?	Do you want to be a ninja?	no
לא אצלנו.	Not at our place.	no
כאן מחפשים גיבורי־על.	We're looking for superheroes here.	no
הדגש היה על חיפוש יורש לשמלא, מי שמכונה "מלך המלכים והאחד במינו", ועוד כינויים שנועדו להבהיר כמה הוא מושלם וחד־פעמי.	The emphasis was on finding a successor to Shamla, who is called "the king of kings and the only one of his kind," and other nicknames intended to make it clear how perfect and unique he is.	no
כתוצאה מכך הועלתה רמת הקושי, הבנות שניסו להתמודד במסלולי העונה התרסקו, והבנים התחרו ביניהם למי יש יותר ריבועים בבטן וכריזמה של דיקט כדי להיכנס לנעליו של שמלא הפורש.	As a result, the difficulty level was raised, the girls who tried to compete in the season's tracks crashed, and the boys competed among themselves for who had more squares in their stomachs and plywood charisma to step into the shoes of the retiring Shamal.	no
יגידו שזו תוכנית ספורטיבית שמעודדת פעילות גופנית ומציגה התגברות על קשיים ואתגרים, אבל מבחינת הרוב המוחלט של הצופים - בטטות כורסה בינוניות שכמונו - "נינג'ה ישראל" מטפחת עבורנו מודל ספורטיבי־הישגי בלתי מושג.	It will be said that this is a sports program that encourages physical activity and shows overcoming difficulties and challenges, but from the point of view of the vast majority of viewers - medium-sized armchair yams like us - "Ninja Israel" cultivates an unattainable sports-achievement model for us.	no
מהיר יותר, חזק יותר, גבוה יותר, מושלם יותר.	Faster, stronger, higher, more perfect.	no
כשגיל ססובר נע בין פאנצ'ים לשיחות על קדושה	As Gil Sessover moves between punchlines and conversations about holiness	yes
מוזר לראות את הקומיקאי, אקס "קומדי סטור", מנחה תוכנית "קבלת שבת" בערוץ 14, שבה הוא טועם מסירים ונותן במה בעיקר לגברים	It's strange to see the comedian, ex "Comedy Store," host a program "Kabbalah Shabbat" on Channel 14, in which he tastes dishes and gives a platform mainly to men	yes
אם נשחק במשחק אסוציאציות, לכולנו יהיו תשובות דומות לשאלה "מה מזכיר לכם המושג 'הכנות לשבת'?".	If we play an association game, we will all have similar answers to the question, "What does the term'preparing for Shabbat 'remind you of?"	yes
תגידו: ספונג'ה וניקיונות, סירים על הגז וריחות בחדר המדרגות, ירון אילן או אבי כאכון בטלוויזיה, אבל הכי מוזר יהיה אם מישהו יגיד פתאום "גיל ססובר".	Say: Spunge and cleaning, pots on the gas and smells in the stairwell, Yaron Ilan or my father on TV, but the strangest thing would be if someone suddenly said "Gil Sasover."	yes
כי גיל ססובר באמצע הספונג'ה והבישולים זה הכי לא קשור שהטלוויזיה יכולה להציע.	Because Gil Sassover in the middle of the sponja and the cooking is the most unrelenting that television can offer.	yes
ובאמת, "קבלת שבת", התוכנית החדשה שהוא מנחה בצהרי שישי בערוץ 14, מנותקת ברוחה מהשעה שהיא משודרת.	And really, "Kabbalah Shabbat," the new program he hosts on Friday afternoons on Channel 14, is disconnected in spirit from the hour it airs.	yes
לאורך מחצית ממנה - ססובר עומד.	For half of it - Sassover is standing.	yes
הוא מדבר במהירות, מחזיק ביד מיקרופון גם כשהוא טועם מנות, ומשתדל לחלק את המינון בין פאנצ'ים לבין שיחות על קדושה.	He speaks quickly, holding a microphone in his hand even as he tastes dishes, and tries to divide the dose between punches and conversations about holiness.	yes
