בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Breeders' Puppies Born in Iran	yes
פיתוח העסקים הקטנים הוא אינטרס ציבורי של כולנו, אולם לרשות המקומית יש השפעה ישירה על העסקים שנמצאים בה.	Small business development is a public interest for all of us, but the local authority has a direct impact on the businesses that are there.	no
הקורונה הדגישה את חשיבותו של השלטון המקומי וראינו כי רשויות שפעלו ועודדו את קידום העסקים הקטנים ומצאו פתרונות יצירתיים עבורם, הפכו לממשק השלטוני הראשון עבורם".	Corona has highlighted the importance of local government and we have seen that authorities that have acted to encourage the promotion of small businesses and found creative solutions for them, have become the first government interface for them".	no
רן קויתי, מנהל הסוכנות לעסקים קטנים ובינוניים במשרד הכלכלה והתעשייה, מוסיף: "לרשויות המקומיות חלק מרכזי ומהותי ביכולתם של עסקים בתחומן לשגשג ולפרוח.	Ren Koithi, director of the Small and Medium-Sized Business Agency at the Ministry of Economy and Industry, adds: "Local authorities have a central and vital role in the ability of businesses in their area to thrive and flourish.	no
בשנתיים האחרונות, שבהן אנו מתמודדים עם משבר הקורונה, לרשויות משקל גדול יותר בסיוע לעסקים לשרוד בתחומן ולשרוד בכלל".	In the last two years, as we've been dealing with the coronavirus crisis, authorities have had a greater say in helping businesses survive in their area and survive in general".	no
2021 בדואר: 20 חבילות לכל משק בית - וזינוק במשקלן	2021 in March: 20 packages for every household - and a jump in weight	yes
46.6 מיליון חבילות הגיעו לישראל במהלך 2021 - בדומה ל־2020 •	46.6 million parcels arrived in Israel during 2021 - similar to 2020	yes
המשקל הממוצע לחבילה עומד על 435 גרם - זינוק של 36% לעומת 2020 •	The average weight per package stands at 435 grams - a jump of 36% compared to 2020	yes
החודש העמוס ביותר: דצמבר, אז עמד משקל החבילה הממוצעת על 524 גרם.	The busiest month: December, when the average package weighed 524 grams.	yes
בשנת 2021 הגיעו לישראל 46.6 מיליון חבילות דואר, כמעט 20 חבילות בממוצע לכל משק בית - כך עולה מנתוני דואר ישראל שהגיעו לידי "ישראל היום".	In 2021, 46.6 million postal packages arrived in Israel, almost 20 packages on average per household - according to Israel Post data obtained by Israel Today.	yes
כמות החבילות שהגיעו ב־2021 דומה לשנת 2020, שבה הגיעו לישראל 46.5 מיליון חבילות, ונמוך מ־2019 - שבה הגיעו 61.6 מיליון חבילות.	The number of packages that arrived in 2021 is similar to 2020, when 46.5 million packages arrived in Israel, and lower than 2019 - when 61.6 million packages arrived.	yes
עם זאת, השנה חל זינוק של יותר מ־36% בשנה במשקל החבילות שהגיעו מחו"ל.	However, this year there was a jump of more than 36 percent year over year in the weight of packages from abroad.	yes
ב־2021 הגיעו לישראל 20,253 טונות מוצרים מחו"ל, זינוק של 36% לעומת 14,860 טונות בשנת 2020, ו־16,743 טונות ב־2019.	In 2021, 20,253 tons of products arrived in Israel from abroad, a jump of 36% compared to 14,860 tons in 2020, and 16,743 tons in 2019.	yes
שינויים בהרגלי הצריכה	Changes in consumption habits	yes
המשקל הממוצע לחבילה זינק ב־60% בשנתיים - מ־272 גרם ב־2019 ל־435 גרם ב־2021.	The average weight of a package has jumped 60 percent in two years - from 272 grams in 2019 to 435 grams in 2021.	yes
הזינוק במשקל החבילות מושפע בעיקר משתי מגמות מרכזיות, הן מצד המוכר והן מצד הקונה: אתרי הקניות הגדולים בחו"ל מאחדים פריטים למשלוח אחד וכבר לא שולחים כל מוצר מ"סל הקניות" באריזה נפרדת.	The increase in package weight is mainly influenced by two main trends, both from the seller and the buyer side: the large overseas shopping sites are uniting items for one delivery and no longer send each product from the shopping cart in a separate package.	no
מצד הצרכן הישראלי, המסירה המהירה של המשלוחים, בתוך ימים בודדים מרגע ההזמנה, תומכת ברכישה של יותר מוצרים יומיומיים כמו ביגוד ומתנות, שאותם הרוכשים מעוניינים לקבל בסמוך לביצוע הקנייה.	On the Israeli consumer side, the fast delivery of the shipments, within a few days of ordering, supports the purchase of more everyday products such as clothing and gifts, which the buyers want to receive near the purchase.	no
גם ב־2021, כמו ב־2020 וב־2019, החודש שבו הגיעו הכי חבילות מחו"ל במשקל הגבוה ביותר ומספר הפריטים הגבוה ביותר הוא חודש דצמבר, עם 4.2 מיליון חבילות במשקל כולל של 2,200 טונות.	In 2021, as in 2020 and 2019, the month with the highest number of packages from abroad is December, with 4.2 million packages weighing a total of 2,200 tons.	no
בחודש דצמבר המשקל הממוצע לחבילה עמד על 524 גרם, גבוה ב־20% מהמשקל הממוצע השנתי.	In December the average weight of a package was 1,800 pounds [524 g], 20 percent higher than the annual average.	no
אפקט בלאק פריידי	Black Friday effect	no
יותר חבילות הגיעו בדצמבר מבכל חודש אחר, ככל הנראה בעקבות חגי הקניות של נובמבר, דוגמת יום הרווקים הסיני, בלאק פריידי וסייבר מאנדיי.	More packages arrived in December than any other month, likely in the wake of November's shopping holidays, such as Chinese Singles' Day, Black Friday and Cyber Monday.	no
ההזמנות הגדולות מתחילות להגיע לישראל בין שבוע לשבועיים לאחר הקנייה.	The big orders start arriving in Israel a week or two after the purchase.	no
מחקר: רוב השכירים במשק לא מודעים לכך שניתן לקבל החזרי מס	Research: Most tenants in the economy are unaware that tax refunds can be obtained	yes
לשכירים רבים מגיע כסף מהמדינה, שיכול להגיע לעשרות אלפי שקלים •	Many tenants receive money from the state, which can reach tens of thousands of shekels	yes
שיניתם מקום עבודה?	You changed jobs?	yes
יצאתם לחל"ת?	You went to space?	yes
עברתם מהעיר ליישוב?	You moved from the city to the settlement?	yes
ייתכן שאתם זכאים לקבל סכום לא מבוטל בהליך פשוט •	You may be entitled to a lump sum in a simple procedure.	yes
כל הפרטים - בפנים	All the details - inside	yes
רוב השכירים אינם מודעים לעובדה כי הם זכאים להחזרי מס, אשר יכולים להצטבר לסכומים גבוהים.	Most tenants are unaware of the fact that they are entitled to tax refunds, which can add up to large sums.	yes
מבקר המדינה ציין בדו"ח מלפני כחודשיים כי שני מיליון שכירים זכאים להחזרי מס בגובה של 3.6 מילארד שקלים, מה שאומר שכדאי גם לכם לבדוק האם אתם זכאים לקבל החזרי מס.	The state comptroller said in a report from about two months ago that two million employees are eligible for a tax refund of NIS 3.6 billion, which means you should check to see if you're eligible for a tax refund.	yes
שכירים רבים יכולים לקבל סכום גבוה, שכן ארבעה מתוך חמישה שכירים זכאים להחזרי למס.	Many employees can get a large amount, as four out of five employees are eligible for a tax refund.	yes
בפועל לעומת זאת, מגישים כמה עשרות אלפי שכירים בשנה.	In practice, however, several tens of thousands of employees are served each year.	no
אם אתם חושבים כי ממילא הכספים הללו ירדו לטמיון, חישבו שנית: שכירים יכולים להגיש בקשה למס הכנסה להחזרים בגין שש שנים אחורה.	If you think that money has been wasted, think again: employees can file for a tax refund for six years back.	no
חברת Tax:On ביצעה מחקר עומק בקרב 4,000 מלקוחותיה בעניין החזרי המס במהלך שנת 2020.	Tax:On conducted an in-depth survey of 4,000 of its clients on their tax returns during 2020.	no
לחברה למעלה מ-30 אלף לקוחות, כך שהמדגם משקף את הפיזור שלהם מבחינת קבוצות באוכלוסיה ומבחינת מגדר, גילאים וגיאוגרפיה.	It has over 30,000 customers, so the sample reflects their dispersion by demographic groups and by gender, age and geography.	no
מהנתונים עולה כי במהלך שנת 2020, בגלל התפרצות משבר הקורונה וההוצאה של מאות אלפי עובדים לחל״ת, חלו מספר שינויים משמעותיים ובמרכזם עלייה של 15% בגובה ההחזר הממוצע לבית אב שעמד על סכום של 4,300 שקלים בשנה.	The data shows that during 2020, due to the outbreak of the coronavirus crisis and the displacement of hundreds of thousands of workers to the US, there were several significant changes, and in the center of them was a 15% increase in the average amount of reimbursement to the parent, which stood at 4,300 shekels per year.	no
הסיבה היא שדמי החל"ת הם נמוכים יותר מהמשכורות ולכן נוצר פער בין מה שהעובד שילם כמס למה שהוא צריך בפועל.	The reason is that the initial costs are lower than the wages and therefore there is a gap between what the worker paid in taxes and what he actually needs.	no
אגב, ההחזר הגבוה ביותר שקיבל בשנת 2020 לקוח של החברה עמד על סכום של 121,054 ש״ח בגין החזרים על 6 השנים האחרונות.	Incidentally, the highest return received in 2020 by a customer of the company was NIS 121,054 for returns over the past 6 years.	no
על מה אפשר לקבל החזרי מס?	What can you get a tax refund on?	no
אחת הסיבות לקבל החזרי מס היא שינוי במקום העבודה.	One of the reasons to get a tax refund is a change of workplace.	no
ל-81% מהאנשים שהחליפו מקום עבודה במהלך השנה נוצר החזר מס בסכום ממוצע של 2,943 שקלים.	Eighty-one percent of people who changed jobs during the year received an average tax refund of $2,943.	no
סיבה נוספת היא חופשת לידה.	Another reason is maternity leave.	no
מהנתונים עולה כי 74% מהנשים שילדו וששהו בחופשת לידה מעל 16 שבועות היו זכאיות להחזר בגובה ממוצע של 3,538 שקלים על אותה שנה	The data shows that 74% of women who gave birth and were on maternity leave for more than 16 weeks were entitled to an average of £3,538 in that year.	no
סיבה נוספת להחזר היא תרומות.	Another reason to give back is donations.	no
100% מהאנשים התורמים ומשלמים מיסים קיבלו החזר.	100% of the people who donated and paid taxes got their refunds.	no
גורם נוסף להחזר הוא אי רישום נקודות זיכוי בגין מזונות. 63%	Another factor in the return is the failure to register alimony credit points.	no
מהגרושים לא עדכנו נקודת זיכוי בגין מזונות ולכן החזר המס לכל שנה שלא עודכנה נקודת זיכוי כזאת הינה 2,616 שקלים.	The divorced ones haven't updated their alimony deductions, so the tax refund for each year that hasn't updated their deductions is $2,616.	no
בשל אבטלה - הוצאה לחל״ת: 93% מהיוצאים לחלת או אבטלה ואשר הרוויחו מעל 12,000 שקלים קיבלו החזר מס בגובה 4021 שקלים לאותה שנה.	Due to unemployment - Expenditure on the US: 93% of those who went to work or unemployment and who earned more than 12,000 shekels received a tax refund of 4021 shekels for that year.	no
סיבות נוספות להחזרי מס הינן: החזר בגין תשלומי ביטוח חיים, ביטוח חיים על משכנתא ,החזר ישוב מזכה, החזר בגין הפסדים בניירות ערך ,אי רישום נקודות זיכוי לגבר בגין לידה וחלוקת החזרי מס לפי מקום גיאוגרפי.	Other reasons for a tax refund are: a refund for life insurance payments, life insurance on a mortgage, a refund for a capital gain, a refund for losses in securities, no registration of credit points for a man for birth and a split of the tax refund by geographical location.	no
- 94% מהאנשים שהפקידו לביטוח חיים אישי או בגין לקיחת משכנתא היו זכאים להחזר מס.	94% of people who had a personal life insurance policy or a mortgage were eligible for a tax refund.	no
בבדיקה שנערכה על כל מיליון שקלים משכנתא ל-25 שנה, החזר המס המצטבר לתקופה הינו בגובה של מעל 20,000 שקלים לכל תקופת המשכנתא	In a check on every million dollars of mortgage for 25 years, the cumulative tax refund for the period is over 20,000 dollars for the entire mortgage term.	no
100% מהעוברים לישוב מזכה קיבלו החזר מס על שנת המעבר היות ואישור על תושבות בישוב מזכה ניתנת רק לאחר 12 חודשים מיום הפיכת התושב לתושב מזכה ובכך למעשה השנה הראשונה משולם מס מלא.	100% of the beneficiaries received a tax refund for the year of transfer, since the residence permit for the beneficiary is only granted after 12 months from the date of the beneficiary's becoming a beneficiary, and thus in fact the first year is fully taxed.	no
79% מהלקוחות המחזיקים ניירות ערך היו זכאים להחזר מס השנים האמורות.	79% of the clients holding securities were eligible for tax refunds in those years.	no
עם זאת, מי שמחזיק ניירות ערך חשוב שיבדוק כל שנה היות והפסדים לא מגולגלים משנה לשנה אלא רק דרך הגשת דוח.	However, it is important for a stockholder to check annually since losses are not rolled over from year to year but only by filing a report.	no
56% מהגברים שנולד להם ילד לא רושמים נקודות זיכוי בשנת הלידה בתלוש השכר.	56% of men who have a child don't take credit in the year of birth in the paycheck.	no
שיעור ההחזר יכול להגיע לעשרות אלפי שקלים לאורך 6 שנים.	The payback rate can reach tens of thousands of shekels over six years.	no
זו תופעה הקיימת בעיקר במגזר הערבי.	It's a phenomenon that exists mainly in the Arab sector.	no
מנכ״ל tax:on, טל כרמון: "משבר הקורונה גרם לכך שציבור השכירים בישראל הפך להרבה יותר אקטיבי.	Tax:on CEO Tal Karmon: "The coronavirus crisis has made the Israeli wage-earning public much more active.	no
הוא מתעניין, בודק ודורש את מה שמגיע לו בהחזרים ממס הכנסה.	He's interested, he's checking and he's demanding what he's owed in income tax returns.	no
מתברר שהישיבה בבית, בחל״ת או אחרי פיטורים, של מאות אלפי ישראלים במשך חודשים ארוכים, גרמה לשכירים רבים לבדוק לעומק מה מגיע להם מהמדינה.	It turns out that sitting at home, on leave or after being fired, by hundreds of thousands of Israelis for months on end, has caused many hired hands to think deeply about what they deserve from the country.	no
חשוב לדעת שכיום ניתן לבצע את כל ההליכים לקבלת החזרי מס באופן דיגיטלי, קל ופשוט, בלי הבירוקרטיה שהרתיעה רבים בעבר״.	It's important to know that today all the procedures for getting tax returns can be done digitally, easily and simply, without the red tape that deterred many in the past".	no
שוק התעסוקה: פחות מועמדים למשרה, יותר שכר	The job market: fewer applicants, higher pay	yes
דו"ח אולג'ובס לסיכום 2021: בראש הביקושים - משרות ללא ניסיון •	Alljobs report for the 2021 roundup: Top of the demand - jobs with no experience	yes
היקף המשרות שהוצעו עלה ב-50% •	• The number of jobs offered increased by 50%	yes
"מחפשים עבודה, אך לא מסתערים על השוק"	"Looking for a Job, But Not Storming the Market"	yes
בשנה שהסתיימה זה עתה חלה ירידה של 15% במספר קורות החיים שנשלחו, ועל כל תפקיד התמודדו בממוצע 23 מועמדים בלבד, לעומת 41 מועמדים בשנה הקודמת - כך עולה מדו"ח של אתר אולג'ובס לסיכום שנת 2021, על משבר הקורונה והשפעותיו על שוק העבודה בישראל.	In the year just ended, there was a 15% decrease in the number of resumes sent, and on average only 23 candidates competed for each position, compared to 41 candidates in the previous year - according to a report by the AllJobs website summarizing the year 2021, on the coronavirus crisis and its effects on the Israeli labor market.	yes
לפי הדו"ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.	According to the report, job seekers were most interested in the job search fields of administration and sales, for which 1,738,485 resumes were sent.	yes
עם זאת, המשרות ללא ניסיון הובילו בראש הביקושים עם יותר מ-38 אלף חיפושים - כנראה בעקבות חזרה של צעירים חסרי ניסיון מקצועי לחיפוש אחר עבודה מיידית, בתום תשלומי החל"ת.	However, the inexperienced jobs led the search with more than 38,000 searches - likely due to the return of young people with no professional experience to look for immediate work after the initial payday.	yes
מספר החיפושים למכירות ולאדמיניסטרציה היה 35 אלף ו-32 אלף (בהתאמה), לנהגים ולשליחים היו 11 אלף חיפושים, ולשמירה היו מעט פחות מ-9,000 חיפושים.	The number of searches for sales and administration was 35,000 and 32,000 (respectively), drivers and couriers had 11,000 searches, and security had just under 9,000 searches.	yes
מאידך, למרות משבר הקורונה, השכר בשנת 2021 עלה ב-2% בהשוואה לשנת 2020, והשכר הממוצע בישראל עמד על 11,675 שקלים ברוטו.	On the other hand, despite the corona crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel stood at 11,675 shekels gross.	yes
השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.	The average monthly salary in software was $17,915, and in information systems analysis it was $17,140.	yes
עם זאת, בין המרכז לפריפריה היה קיים פער שכר של יותר מ-2,000 שקלים: במרכז הארץ הוא היה 12,500 שקלים בממוצע, לעומת 10,795 בצפון ו-10,135 שקלים בדרום.	However, between the center and the periphery there was a wage gap of more than 2,000 shekels: in the center of the country it was 12,500 shekels on average, compared to 10,795 in the north and 10,135 in the south.	no
מבחינה מגדרית, פער השכר הממוצע בין נשים לגברים, שאותו ניתן להסביר גם בסוג העבודה ובהיקפי השעות, נשמר ועמד על 36%.	Gender-wise, the average gender pay gap, which can also be explained by the type of work and the amount of hours worked, remained at 36%.	no
גברים השתכרו 13,295 שקלים, לעומת שכר הנשים שעמד על 9,740 שקלים.	Men earned NIS 13,295, compared to the women's salary of NIS 9,740.	no
מנסים לחזור לתלם	Trying to get back on track.	no
בצד של העסקים, נרשמה צמיחה רוחבית כמעט בכל ענפי המשק, והעסקים השתוקקו לידיים עובדות.	On the business side, there was exponential growth in almost every sector of the economy, and businesses were hungry for hands-on work.	no
כך, היצע המשרות עלה ב-50% ורשם שיא של יותר מ-40 אלף משרות באולג'ובס.	So, the job supply increased by 50% and a record of more than 40,000 jobs in the Ohlsjos.	no
סקר שערך האתר בקרב מעסיקים מצא כי 50% היו אופטימיים לגבי הסטטוס הכלכלי שלהם ב-2022, 30% מהם העידו על כוונתם להגדיל את סך הגיוסים אך 72% מבינים שיתקשו בכך השנה.	A survey of employers by the site found that 50% were optimistic about their economic status in 2022, 30% of them indicated their intention to increase the number of recruits but 72% understand that they will have difficulty doing so this year.	no
ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.	The largest bid was for jobs with no experience -- and there were over 58,000 of them on the site.	no
אחריהן היו תפקידי שירות לקוחות ואדמיניסטרציה עם כ-44 אלף משרות בכל תחום, מכירות ותוכנה עם 41 אלף משרות כל אחת, הוראה וחינוך עם 24 אלף משרות פנויות, ומחסנאים עדיין מבוקשים ב-19 אלף משרות פנויות.	They were followed by customer service and administration with about 44,000 jobs in each area, sales and software with 41,000 jobs each, teaching and education with 24,000 vacancies, and warehouses still in demand with 19,000 vacancies.	no
עינב בוימפלד, מנהלת המחקר והתוכן באולג'ובס: "מחפשי העבודה מנסים לחזור לתלם אך אינם מסתערים על השוק, בעיקר בשל היעדר משרות אטרקטיביות בעיניהם.	Einav Bymfeld, director of research and content at Alljobs: "Job seekers are trying to get back to work but are not storming the market, mainly because they lack attractive jobs.	no
כמו כן, הנתק הממושך ממעגל העבודה מקשה עליהם לחזור, וחלקם מצאו אופנים יצירתיים להתפרנס".	Also, the long disconnection from the work cycle makes it difficult for them to return, and some have found creative ways to make a living".	no
הלמ"ס: שיעור האבטלה בישראל עלה ל-6.3%	The unemployment rate in Israel has risen to 6.3%	yes
מנתוני סקר הלשכה עולה כי כ-270 אלף ישראלים נותרו מחוסרי עבודה בחודש דצמבר 2021 •	The Bureau's survey data shows that about 270,000 Israelis were unemployed in December 2021.[1]	yes
בנובמבר היו כ-262 אלף מובטלים	In November, there were 262,000 unemployed.	yes
אחוז המובטלים במחצית הראשונה של חודש דצמבר 2021 עמד על 6.3%, כ-270 אלף ישראלים, לעומת 6.1% במחצית השנייה של נובמבר 2021 (כ-262 אלף).	The unemployment rate in the first half of December 2021 stood at 6.3%, about 270,000 Israelis, compared to 6.1% in the second half of November 2021 (about 262,000).	yes
כך עולה מנתוני סקר כוח אדם למחצית הראשונה של חודש דצמבר 2021 של הלשכה המרכזית לסטטיסטיקה.	This is according to the Central Bureau of Statistics' Human Resources Survey for the first half of December 2021.	yes
אחוז הבלתי מועסקים עמד על 4.5% במחצית הראשונה של דצמבר 2021 לעומת 4.3% במחצית השנייה של נובמבר 2021.	The unemployment rate stood at 4.5% in the first half of December 2021 compared to 4.3% in the second half of November 2021.	yes
במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.	In other words, it's 193,000 unemployed versus 180,3000.	yes
לפי תכונות כוח העבודה במחצית הראשונה של דצמבר 2021 בקרב בני 15 ומעלה עולה כי אוכלוסיה זו כללה 6,607,500 תושבים בישראל, לא כולל מוסדות וגרים מחוץ לישובים.	According to the characteristics of the labor force in the first half of December 2021 among those aged 15 and over, this population included 6,607,500 residents in Israel, not including institutions and communities outside the settlements.	yes
מתוכם 64.4%, כלומר 4,252,700 הם בכוח העבודה והשאר המהווים 2,354,800 אינם בכוח העבודה.	Of these, 64.4%, or 4,252,700 are in the labor force and the remaining 2,354,800 are not in the labor force.	yes
מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.	Of those in the labor force, 95.5% of the 4,059,700 are employed and the rest are unemployed.	yes
מאלה אשר אינם בכוח העבודה, 2.3% הפסיקו לעבוד בגלל פיטורים או סגירת העבודה ממרץ 2020.	Of those not in the labor force, 2.3% have stopped working due to layoffs or closures since March 2020.	no
סקר כוח אדם מספק מידע על כוח העבודה בישראל והוא נערך באופן שוטף על ידי הלשכה המרכזית לסטטיסטיקה.	The Manpower Survey provides information on the Israeli workforce and is conducted on a regular basis by the Central Bureau of Statistics.	no
במחצית הראשונה של חודש דצמבר 2021 רואיינו באופן שוטף כ-8,700 בני 15 ומעלה.	In the first half of December 2021, 8,700 people aged 15 and over were interviewed on a regular basis.	no
במחצית השנייה של חודש נובמבר 2021 רואיינו באופן שוטף כ-8,900 בני 15 ומעלה.	In the second half of November 2021, 8,900 people aged 15 and over were interviewed on a regular basis.	no
אוכלוסיית הסקר כוללת את התושבים הקבועים של מדינת ישראל, תיירים ותושבים ארעיים השוהים בישראל יותר משנה ברציפות.	The survey population includes permanent residents of the State of Israel, tourists and temporary residents who have been in Israel for more than one year continuously.	no
הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.	The survey allows the development of the labour force, its size and characteristics, the level of unemployment and more to be monitored.	no
"לא מובן מאליו": סאבלימינל מקדש את השבת - ומתכונן לעצמאות	"Unforgettable": Subliminal sanctifies the Sabbath - and prepares for independence	yes
חוגג את העובדה ש"אנחנו יכולים לחיות כמו שבא לנו", מתרגש לקראת המפגש עם הקהל ומקפיד לבלות עם הילדים •	• Celebrates the fact that "we can live as we want", is excited about meeting the audience and makes sure to spend time with the children	yes
סוף השבוע ויום העצמאות של קובי שמעוני, סאבלימינל	This weekend and the independence day of the Shaman Koby, Subliminal.	yes
איך נראה יום שישי טיפוסי שלך?	What's your typical Friday?	yes
"סופי השבוע הם הרגעים החשובים בחיים, מבחינתי.	"The weekends are the most important moments in life, for me.	yes
הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.	The sacred and the traditional are very deeply rooted in my soul.	yes
ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).	My Fridays are dedicated to the children, Orr (10) and Jonathan (8).	yes
אני אוסף אותם מבית הספר, אנחנו קונים פרחים ומצרכים לקידוש, אוכלים צהריים ועושים משהו כיפי ביחד, כמו לשחק כדורגל, לרכוב על סוסים או לשחק במכוניות על שלט.	I pick them up from school, we buy flowers and sacraments, have lunch and do something fun together, like play soccer, ride horses or play cars on a board.	yes
לפעמים הולכים לים, או אפילו סתם לרחוץ את הרכב, אבל תמיד עוצרים בדרך לקנות מתנה בחנות הצעצועים בשכונה - ותמיד יש תירוץ אחר.	Sometimes we go to the beach, or even just to wash the car, but we always stop to buy a gift at the neighborhood toy store - and there's always another excuse.	yes
כשחוזרים הביתה עם שלל המתנות, ריחות הבישולים מקבלים את פנינו".	When we return home with the spoils of the gifts, the smells of the cooking greet us".	yes
איך נראית ארוחת שישי שלכם?	How's your Friday dinner looking?	no
"בורכתי בבשלניות סביבי.	♪ I've been blessed with cooks around me ♪	no
מהצד שלי יש מטבח פרסי־תוניסאי, מלא סלטים ואווירה של צחוקים, מוזיקה, שירה ושמחה.	Next to me is a Persian-Tunisian kitchen, full of salads and an atmosphere of laughter, music, song and joy.	no
מהצד של אשתי אינס, שהיא גם בשלנית נהדרת, מגיעים המאכלים האוקראיניים, שהם עמוקים וחריפים, עם הרבה בשר.	From my wife Ines' side, who's also a great cook, comes the Ukrainian food, which is deep and spicy, with a lot of meat.	no
כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.	By the time we get to my mother-in-law, the lobby of her apartment is already emitting amazing smells.	no
לרוב אני עושה את הקידוש, יחד עם הילדים, שמכירים אותו בעל פה.	I usually do the consecration with the children, who know it by heart.	no
בסופו של דבר, הכיף שלי אחרי האוכל זה להתעלף על השטיח, ושהילדים קופצים עלי כאילו אני איזה מתנפח".	After all, my fun after dinner is passing out on the carpet, and having the kids jump on me like I'm some kind of bloat".	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have any special childhood memories from the weekends?	no
"כילד, הייתי מתעורר בשבת לצלילי מוזיקה ישראלית ברשת ג' ולמערכוני הגשש החיוור, שידענו בעל פה.	"As a child, I would wake up on Saturday to the sounds of Israeli music on J and the pale-colored tracking devices we knew by heart.	no
אבא שלי אהב טבע וטיילנו המון בארץ ישראל, בדרך כלל לצפון.	My father loved nature and we traveled a lot in the Land of Israel, usually to the north.	no
כל פינה נידחת בארץ עשתה לו גאווה בלב.	Every remote corner of the land made his heart proud.	no
הוא נפטר לפני שלושה חודשים ממחלה קשה, ובשבילו קידוש ושבת היו קודש הקודשים, בעיקר מהבחינה שכל המשפחה צריכה להיות יחד.	He died three months ago of a serious illness, and to him, Shabbat and Lent were sacred days, especially since the whole family had to be together.	no
לאחרונה הוצאתי שיר לזכרו בשם 'שומר עליך', שיצרתי עם אושר כהן.	I recently released a song in his honor called "Suspending You", which I created with Usher Cohen.	no
אני מאמין שהוא היה גאה ביצירה הזו, שמקדשת את הקשר בין אבא לבן".	I believe he would have been proud of this piece, which celebrates the bond between father and son".	no
בקרוב נציין את יום העצמאות ה־74. כציוני נלהב, מה התחושות שלך לגבי החג?	As a zealous Zionist, how do you feel about the holiday?	no
"יום העצמאות הוא יום קדוש בשבילי, וחלק מהמשמעות ומהזהות שלי.	"Independence Day is a sacred day to me, and part of my meaning and identity.	no
בפרס ובתוניסיה הוריי נאלצו להסתיר את הזהות היהודית שלהם, ואילו אני יהודי־ישראלי שזוכה לחיות עם ילדיו במדינה שלנו.	In Persia and Tunisia my parents had to hide their Jewish identity, while I am an Israeli Jew who is allowed to live with his children in our country.	no
שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.	A week or two before Independence Day, I was already climbing trees and being tied to a house of ropes with Israeli flags.	no
היום ימי העצמאות שלי מלאים בהופעות, ותמיד פוגשים קהל שמח בטירוף, שחוגג את זה שאנחנו יכולים לחיות כמו שבא לנו.	Now my days of independence are filled with performances, and I'm always met by a madly happy crowd, celebrating that we can live as we please.	no
צריך לשמור שגם לילדים, לנכדים ולנינים שלנו תהיה האפשרות הזו, ולזכור ששום דבר פה לא מובן מאליו".	We have to make sure that our children, our grandchildren and our great-grandchildren have that option, and remember that nothing is taken for granted".	no
שישי שלה: אסתי זקהיים מברכת את השבת	Her Friday: Estee Zackheim blessing the Sabbath	yes
"החלום שלי הוא לפתוח שולחן גדול ולהזמין את כל יקיריי המתים": ארוחת שישי שאסתי זקהיים חולמת עליה, ואיך היא מתמודדת עם העובדה שבעלה שומר שבת?	"My dream is to open a big table and invite all my dead loved ones": a Friday dinner that Sati Zakheim dreams of, and how does she deal with the fact that her husband keeps a Sabbath?	yes
ספרי על ההכנות שלך לשבת	Tell me about your willingness to sit down	yes
.	I know.	no
"ההכנות מתחילות כבר בחמישי בלילה, כשאני חוזרת מהצגה או מסדנה ומבשלת עד שלוש לפנות בוקר את כל מה שמצריך בישול ארוך כמו גולש, צלי ורטבים.	"Preparations begin as early as Thursday night, when I return from a show or workshop and cook until three o'clock in the morning all that requires long cooking such as goulash, shade and moisturizers.	yes
בשישי, בחלק הראשון של היום, אני מקדישה את הזמן לעצמי, לפגישה עם חברות וחברים לקפה, להצגה או לסרט, או שאני משתתפת בחזרות.	On Friday, the first part of the day, I spend time with myself, meeting with friends and colleagues for coffee, a show or a movie, or I go to rehearsals.	yes
בקיץ השבתות נכנסות מאוחר, ויש לי הרבה זמן לשבת בגינה השכונתית ולצפות בשקיעה או סתם בסדרה טובה.	Summer holidays come late, and I have a lot of time to sit in the neighborhood garden and watch a sunset or just a good show.	yes
בארוחת השבת אני לרוב מארחת את אמא שלי, ורדה, שחגגה 89, וגם חברים".	For Saturday dinner, I usually invite my mother, Verda, who is celebrating her 89th birthday, and friends".	yes
יכולה לשתף עוד בבישולים?	Can we share more cooking?	yes
