בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Onion endangered: Three cheetah cubs born in Iran	yes
בכתבה שתתפרסם במגזין "שישבת" הן מדברות על הכסף הגדול, מטחנת היח"צ, מפעל המותגים והשינוי שקים רוצה לעשות בעולם: "אני כבר לא אותה אחת שחושבת שעות על איזה סלפי ביקיני כדאי להעלות"	In the article published in the magazine “Shavat” they talk about the big money, the PR grinder, the brand factory and the change Kim wants to make in the world: “I am no longer the one who thinks for hours about what bikini selfie is worth uploading”	yes
זה אולי יפתיע רבים, אבל המותג המבוקש ביותר בשנת 2022 של אימפריית התוכן דיסני, שבין היתר כוללת גם את סרטי מארוול ו"מלחמת הכוכבים", הוא משפחת קרדשיאן.	It may surprise many, but the most sought-after brand in 2022 of the Disney content empire, which among other things also includes the Marvel and “Star Wars” movies, is the Kardashians.	yes
פרטי החוזה של המשפחה הראשונה של הריאליטי ושל הרשתות החברתיות מול דיסני לא נחשפו, אבל ההערכות טוענות לסכום מינימלי של מאה מיליון דולר שהועבר לבנות המשפחה, שמעתה מתפקדות גם כמפיקות.	The details of the reality show's first family and social media contract with Disney have not been disclosed, but estimates claim a minimum amount of $100 million was transferred to the family's daughters, who now also function as producers.	yes
במפגש עיתונאי עם הכוכבות, כל אחת מהן מלווה בצוות ביוטי שלם שדואג לטאצ'-אפים של איפור, שיער וקמטוטים בבגדים ללא הפסקה, התעקשו בנות המשפחה, כמו גם המפיק החדש והמבוקש שלהן, שהפעם לא מדובר בריאליטי, הפעם מה שמתקבל על המסך אותנטי לחלוטין.	In a press meeting with the stars, each of them is accompanied by a whole beauty team that takes care of makeup, hair and fine lines in clothes constantly, the family members insisted, as well as their new and sought-after producer, that this time it is not reality, this time what is obtained on the screen is completely authentic.	yes
"אי אפשר להמציא את מה שקורה לנו", אומרת בנחרצות האמא של המשפחה קריס ג'נר, "הכאוס בלתי נגמר".	“You can't make up what happens to us,” says emphatically the family's matriarch Kris Jenner, “the chaos is never-ending.”	yes
"אנחנו מראות כמה גדלנו מאז אותה סדרה שעלתה ב-2007", אומרת קלואי קרדשיאן.	“We're showing how much we've grown since that series that came up in 2007,” Khloe Kardashian says.	yes
"כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.	“When we started, we were terrified, a lot was happening to us in life and it is impossible to simply delimit everything into a narrative of beginning, middle and end.	yes
הרבה עלילות זורזו בעריכה, נעטפו בסרט צבעוני מתקתק ונשכחו בצד.	A lot of storylines were catalyzed in editing, wrapped in a sugary color film and forgotten on the side.	yes
ככה לא נראים החיים במציאות.	That's not what life looks like in reality.	no
עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית".	Now we're more exposed, turning directly to the camera naturally, not just reality TV but authentic documentary series.”	no
כשמעמתים אותן עם מעורבותן החדשה בהפקת הסדרה, מה שלמעשה נותן להן שליטה מוחלטת בתוכן שמתקבל על המסך, קלואי טוענת: "אנחנו מעורבות מאחורי הקלעים, רואות קטעים בזמן עריכה ונותנות הערות, אבל לא ממקום של מגננה אלא פשוט לתת את דעתנו לגבי מה יעשה את הסדרה לטובה יותר.	When confronting them with their new involvement in the production of the series, which actually gives them total control over the content that gets on screen, Chloe claims: “We're involved behind the scenes, seeing footage while editing and giving comments, but not from a place of being defensive but simply giving our opinions about what will make the series better.	no
זו מראה של חיינו ואני אישית מרגישה שעברתי צמיחה רגשית מצפייה בעצמי.	It's a mirror of our lives and I personally feel I've gone through emotional growth from watching myself.	no
קנדל וקיילי היו ילדות קטנות כשהתחלנו, אז הן יותר מציבות גבולות".	Kendall and Kylie were little girls when we started, so they're more setting boundaries.”	no
"התבגרתי"	“I've grown up”	no
קים קרדשיאן, מצדה, ממשיכה בכל הכוח לשנות את התדמית שלה, מטראש-ריאליטי זול לעורכת דין עם אג'נדה.	Kim Kardashian, for her part, continues with all her might to change her image, from trashy reality TV to a lawyer with an agenda.	no
"התבגרתי", היא טוענת, "אני מגדלת ארבעה ילדים שחורים, כלומר מקהילה נרדפת שמופלית לרעה במדינה הזאת.	“I've grown up,” she claims, “I'm raising four black children, namely from a persecuted community that is discriminated against in this country.	no
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change reality, so that my children and the children of all my friends have different futures, hopefully we can heal the crooked system.	no
זוהי המוטיבציה שלי".	This is my motivation.”	no
"אני כבר לא אותה קים שחושבת שעות על איזה סלפי ביקיני כדאי להעלות", היא מתעקשת, "אבל זה גם לא נעלם לגמרי מחיי.	“I'm no longer the same Kim who thinks for hours about what bikini selfie is worth uploading,” she insists, “but it hasn't completely disappeared from my life either.	no
אדם חייב להיות נאמן למי שהוא באמת ולקחת הכל בכיף".	A man must be true to who he really is and take everything with fun.”	no
על הסיבות לפיטורי המפיק שגילה אותן ריאן סיקרסט ועל הדרך החדשה והמאוד רווחית שלהן בתעשייה, המשמעות של המעבר לדיסני, מכונת היח"צ המשומנת של המשפחה והשפעתה על רווחיות המותג ועוד, בכתבה המלאה שתפורסם במגזין "שישבת".	About the reasons for firing the producer Ryan Seacrest discovered and their new and very profitable way in the industry, the significance of the move to Disney, the family's oiled PR machine and its impact on the brand's profitability, and more, in the full article published in “You Sat” magazine.	no
אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז	Indignab with international fragrance: Afgan and Wigaz join Abithar Banai and Nga Erez	yes
להקת הרוק האמריקאית מצטרפת אל שורת אמנים מקומיים שייקחו השנה חלק בפסטיבל המוזיקה המדברי, שנחשב לאירוע עלייה לרגל בקרב שוחרי מוזיקה רבים	The American rock band joins a host of local artists who will take part in the Desert Music Festival this year, which is considered a pilgrimage among many music lovers	yes
להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.	Afgan band Wigaz, Shlomi Shaban, Noga Erez, Abither Banai and Tess are among the names who will take part in the Indingab festival, which will take place from October 20 to 22.	yes
השנה יציין הפסטיבל 15 שנים להקמתו והיום (רביעי) מפרסמת הפקת הפסטיבל את רשימת המשתתפים באירוע המדברי.	This year, the festival will mark 15 years of its establishment and today (Wednesday) the festival's production publishes the list of participants in the desert event.	yes
מוזיקאים אחרים המופיעים בליינאפ כוללים את: הילה רוח, טדי נגוסה, דניאלה ספקטור, יובל מנדלסון והמסע לפולין, להקת המסך הלבן, ריף כהן, קרולינה, עטר מיינר, רבע לאפריקה, פול טראנק, עילי אשדות ורבים אחרים.	Other musicians featured in Linap include: Hala Wind, Teddy Nagosa, Daniela Spector, Yuval Mendelssohn and the Journey to Poland, The White Screen Band, Riff Cohen, Karolina, Atar Miner, Quarter to Africa, Paul Trunk, Cascades, and many others.	yes
אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.	Indinegev began its journey in 2007 as a small nichet event, bringing together the hottest names in the Israeli indie scene.	yes
עם השנים הוא הפך לאירוע עלייה לרגל עבור חובבי מוזיקה רבים, והחל לארח שמות בינלאומיים, לצד אמנים מיינסטרימים.	Over the years, it became a pilgrimage event for many music lovers, and began hosting international names, alongside mainstream artists.	yes
אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות	Aviv Geffen and Sarit Haddad: an outdoor festival created in Jerusalem with new surprises	yes
הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים	The international festival in the capital, which has become a tradition and will be held in several locations will present musical performances by leading local artists, combining circus performances and innovative and surprising artistic performances	yes
.	.	no
כמו כל קיץ לאורך השנים, לצד החום, הלחות והשעמום של התלמידים, מגיע גם הפסטיבל הבינלאומי חוצות היוצר ירושלים, שכבר הפך למסורת בבירה ויתקיים במספר מוקדים (בהם גן מיטשל, בריכת הסולטן, אל מול מגדל דוד ולמרגלות חומות העיר העתיקה) - בין התאריכים 15-27 באוגוסט.	Like every summer over the years, alongside the heat, humidity and boredom of the students, also comes the international outdoor festival that creates Jerusalem, which has already become a tradition in the capital and will take place in several locations (including the Mitchell Garden, the Sultan's Pool, opposite the Tower of David and at the foot of the Old City walls) - from August 15-27.	yes
במסגרת הפסטיבל יתקיימו בכל יום מופעים מוזיקליים של אמנים רבים בהם שרית חדד, קובי פרץ, אביב גפן והתעויוט שיארחו את החברים של נטאשה, שלומי שבת, עידן חביב, נתן גושן, נסרין קדרי, דני סנדרסון שיארח את תיסלם ואמיר דדון, נגה ארז ועוד.	As part of the festival there will be musical performances by many artists including Sarit Haddad, Kobi Peretz, Aviv Gefen and Hatayot, which will host members of Natasha, Shlomi Shabbat, Idan Habib, Natan Goshen, Nasreen Kadri, Danny Sanderson who will host Thislam and Amir Dadon, Noga Erez and more.	yes
לצד המוסיקה השנה יתקיימו שני מופעים מסקרנים.	Next to the music this year there will be two intriguing shows.	yes
הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.	The first is ARTISTA - an exhibition of illuminated exhibits in public space (design: Philip Blau) with figures from other galaxies that will circulate among visitors within a structure and present a complete adventure in both light and night.	yes
המיצג התיאטרלי ישלב רקדנים, שחקנים, ואמני תיאטרון פיזי שיתקשרו עם הקהל.	The theatrical performance will combine dancers, actors, and physical theater artists who communicate with the audience.	yes
SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.	SPARKS is a circus show, movement and aerial levitation of Circus Y, an instagramic photography exhibition inspired by famous works of art.	yes
The Black Box Gallery – היא גלריית ההצצה של היוצר והמבצע ליאור כלפון, שתוצב ברחבת היריד עם חורי הצצה שיחשפו את הקהל לתערוכת יצירותיו הזרחניות של ליאור כלפון, יצירות אמנות של פסלים מוארים של האמן הרב תחומי אלון בירגר (תיאטרון האור) ועוד.	The Black Box Gallery — is the glimpse gallery of creator and performer Lior Kalafon, which will be placed in the fairground with peepholes that will expose the audience to the exhibition of the phosphorescent works of Lior Kalafon, artworks of illuminated sculptures by multidisciplinary artist Alon Birger (Theater of Light) and more.	yes
צפו: תמיר גרינברג על מערכת היחסים עם אביו	Watch: Tamir Greenberg on the relationship with his father	yes
זוכה "הכוכב הבא" מוצא סינגל שני וחוזר אל זיכרונות ילדותו ולנוכחות המשמעותית של אביו בחייו •	“The Next Star” winner finds a second single and returns to his childhood memories and the significant presence of his father in his life •	yes
"השיר מספר על הדרך לשמור על הקשר מרחוק", הוא מספר	“The song tells about the way to maintain contact at a distance,” he recounts	yes
תמיר גרינברג בסינגל שני בשם Into The Night לאחר שכבש את הקהל עם הסינגל הראשון שלו ובהשתתפותו ב"הכוכב הבא".	Tamir Greenberg in a second single called Into The Night after conquering the audience with his first single and with his participation in “The Next Star”.	yes
בחודשים האחרונים ממשיך גרינברג בהופעות רבות: היכל תרבות ת"א, משכן האופרה ת"א, אמפי שוני, אמפי גני יהושוע, האנגר 11 ועוד עשרות מופעים.	In recent months, Greenberg has continued numerous performances: Tel Aviv Cultural Hall, Tel Aviv Opera House, Amphi-Shawnee, Joshua Gardens Amphias, Hangar 11, and dozens more shows.	yes
את השיר Into The Night הפיק ועיבד גרינברג יחד עם המפיק סתיו בגר.	Greenberg produced and reworked the song Into The Night together with producer Autumn Beger.	yes
הקליפ, בבימויה של דריה גלר, מחזיר את תמיר לזיכרונות מילדותו ולנוכחות המשמעותית של אביו בחייו.	The music video, directed by Daria Geller, brings Tamir back to memories of his childhood and the significant presence of his father in his life.	yes
"השיר מדבר על היחסים בין אבא שלי לביני.	“The song talks about the relationship between my father and me.	yes
על התקופה שעזבתי את הארץ לארה"ב והדרך לשמור על הקשר מרחוק", מספר גרינברג.	About the time I left the country for the US and the way to maintain contact at a distance,” says Greenberg.	yes
בחודש הקרוב יופיע גרינברג בטקס הפתיחה של המכביה בישראל, ולקראת העונה החדשה של "הכוכב הבא", השיר איתו זכה בתוכנית, Tell Me Where The Light Goes, נבחר כשיר האודישנים לעונה הקרובה.	This month Greenberg will perform at the Maccabiah opening ceremony in Israel, and ahead of the new season of “The Next Star,” the song he won on the show, Tell Me Where The Light Goes, was chosen as the auditioning song for the upcoming season.	yes
תוצרת כחול לבן: יובל שמלא הוא המנצח הגדול של העונה והנינג'ה ה-16 בעולם	Made in blue and white: Yuval Shamlal is the season's big winner and 16th ninja in the world	yes
הפנומן טיפס את הר מדוריאמה ב-26 שניות וקטף את התואר "הנינג'ה הישראלי הראשון" •	The Phenomen climbed Mount Madoriyama in 26 seconds and took the title of “First Israeli Ninja” •	yes
יוגב מלכה טיפס את ההר ב-29 שניות, אך לא יחזיק בתואר נינג'.	Yogev Malka climbed the mountain in 29 seconds but would not hold the Ninja title.	yes
ה	the	yes
יש מנצח: יובל שמלא כבש את המידוריאמה, והוא המנצח של העונה הרביעית של "נינג'ה ישראל" וכעת הוא מחזיק בתואר הנינג'ה הישראלי הראשון וה-16 בעולם.	There is a winner: Yuval Shamal conquered the Midoriyama, and is the winner of the fourth season of “Ninja Israel” and now holds the world's first and 16th Israeli ninja title.	yes
שמלא משתתף בתוכנית מאז עונתה הראשונה אז סיים במקום הראשון, ובעונה השנייה הפסיד לגיל מרנץ.	who has been a participant in the program since its first season then finished in first place, and in the second season lost to Gil Marantz.	yes
בעונה השלישית הוא שוב ניצח ולאחרונה חזר לעונה הרביעית, ובמהלך הצילומים הוא הצהיר שזו תהיה העונה האחרונה.	In the third season he again won and recently returned for the fourth season, and during filming he stated that this would be the last season.	yes
הערב הוא טיפס לראשונה את הר המידוריאמה ב-26 שניות וסיים במקום הראשון, לאחר שגבר על המתמודדים יוגב מלכה וישי כלפון.	This evening he climbed Mount Midoriyama for the first time in 26 seconds and finished in first place, having overtaken contenders Yogev Malka and Vichy Kalafon.	yes
מלכה הצליח לטפס את ההר ב-29 שניות וסיים במקום השני.	Malka managed to climb the mountain in 29 seconds and finished second.	yes
יצויין שעל פי חוקי התכנית, בכל עונה יכול להיות מוכתר רק נינג׳ה אחד שהצליח לטפס את המידוריאמה בזמן.	It should be noted that according to the rules of the program, in each season there can be crowned only one ninje who managed to climb the Midoriyama in time.	yes
לכן, על אף ההישג המרשים של מלכה, כיוון שיובל שמלא מנצח העונה טיפס את המידוריאמה ב-3 שניות מהר יותר, מלכה אינו זוכה בתואר העולמי של נינג׳ה.	Therefore, despite Malka's impressive achievement, as Yuval who is full of the winner of the season climbed the Midoriyama by 3 seconds faster, Malka does not win the Ningja world title.	no
הוא יוכל להתחרות עליו מחדש בעונה הבאה.	He will be able to re-compete for him next season.	no
טוב, הבנו, שמלא גיבור על, רותם סלע מושלמת, ו"נינג'ה ישראל" הוא אירוע הספורט החשוב בעולם	Well, we realized that full of a superhero, harnesses a perfect rock, and “Ninja Israel” is the most important sporting event in the world	yes
.	.	no
שתי מדליסטיות אולימפיות ושדר ספורט ותיק ישבו בגמר של תוכנית ריאליטי והתנהגו כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ	Two Olympic medallists and a veteran sportscaster sat in the final of a reality TV show and acted as if it were the most significant sporting achievement on the planet	yes
.	.	no
רותם סלע מייצגת עבורנו אידיאל נשי כל כך מושלם, שזה מעוות להציג אותו כך בטלוויזיה.	Rotem Sela represents for us a feminine ideal so perfect that it is perverse to present it like that on television.	yes
היא מרוויחה על קמפיינים יותר מוונדר וומן, היא יפה מדי, היא יודעת להעמיד במקום את דנה ויס, וכשצריך - גם לסנגר על השותף העסקי שלה.	She earns more on campaigns than Wonder Woman, she is too beautiful, she knows how to put Dana Weiss in place, and when necessary - also advocate for her business partner.	yes
היא אמא וגם אשת קריירה שמפרסמת בנקים ומזגנים, מדגמנת ומובילה סדרות ותוכניות ריאליטי, ומשמשת עבור בנות צעירות מודל חיקוי בלתי מושג.	She is a mother and also a career woman who advertises banks and air conditioners, models and leads series and reality shows, and serves for young girls an unattainable imitation model.	yes
ואולי זה הגיוני שרותם סלע עוברת מסך מושלם מדי, כי בתוכנית שהיא מנחה מוכרחים להיות מושלמים, ואין צורך להתנצל על כך.	And maybe it makes sense that Rotem Sela goes through a perfect screen too, because in the program she directs you have to be perfect, and there's no need to apologize for that.	yes
בעולם של הנינג'ה כולם גדולים מהחיים, והמנחים תחילה.	In the world of the ninja everyone is larger than life, and the moderators first.	yes
אסי עזר הרי הסתבך בפרשה שלכאורה היתה אמורה למחוק אותו מהמסך לתקופה מסוימת, אך מכיוון שהוא לא בן אנוש רגיל - הוא נחלץ ממנה עוד לפני מקבץ הפרסומות הראשון.	Assi helped, after all, got involved in an affair that was supposed to wipe him off the screen for a period of time, but since he was not an ordinary human, he was rescued from it even before the first batch of advertisements.	yes
תקשיבו לפסקול של האירוע: ניב רסקין, ששידר בחייו זכיות בגביעי אירופה ושיאי עולם, אבל מתרגש ממגה־קיר כאילו מדובר בהישג הספורטיבי הכי משמעותי על פני כדור הארץ.	Listen to the soundtrack of the event: Niamh Ruskin, who has broadcast European Cup wins and world records, but is excited about a wall wall as if it were the most significant sporting achievement on the planet.	no
בגמר ישבו לצידו כפרשניות שתי מדליסטיות אולימפיות (ירדן ג'רבי ולינוי אשרם), כאילו כדי להדגיש כמה נדירים ואיכותיים תנאי הכניסה לעולם העל־אנושי שמציגה תוכנית הריאליטי הזאת כבר ארבע עונות.	In the final, two Olympic medalists (Jordan Jarbi and Linoy Ashram) sat alongside him, as if to highlight how rare and high-quality the conditions for entering the superhuman world that this reality show has been presenting for four seasons.	no
"נינג'ה ישראל" יצאה מפרופורציות כדי לשווק את העונה, שהסתיימה אמש עם הר המידוריאמה ועם יובל שמלא שהצליח לטפס אותו ב-26 שניות והוכתר סוף סוף לנינג'ה.	“Ninja Israel” went out of proportion to market the season, which ended last night with Mount Midoriyama and with a full jubilee who managed to climb it in 26 seconds and was finally crowned a ninja.	no
לשם הוביל מסלול כמעט בלתי עביר, שהפיל בזה אחר זה את כל הדמויות העל־אנושיות שהתוכנית דאגה לנפח להן את האגו לאורך השנה.	There he led an almost insurmountable path, which brought down one by one all the superhuman characters that the show cared to inflate their egos throughout the year.	no
רוצים להיות צבי נינג'ה?	Want to be Teenage Mutant Ninja Turtles?	no
לא אצלנו.	Not with us.	no
כאן מחפשים גיבורי־על.	This is where you are looking for superheroes.	no
הדגש היה על חיפוש יורש לשמלא, מי שמכונה "מלך המלכים והאחד במינו", ועוד כינויים שנועדו להבהיר כמה הוא מושלם וחד־פעמי.	The emphasis was on seeking a successor to Shamalah, who is known as the “King of Kings and one of a kind,” and other epithets designed to clarify how perfect and disposable he is.	no
כתוצאה מכך הועלתה רמת הקושי, הבנות שניסו להתמודד במסלולי העונה התרסקו, והבנים התחרו ביניהם למי יש יותר ריבועים בבטן וכריזמה של דיקט כדי להיכנס לנעליו של שמלא הפורש.	As a result, the difficulty level was raised, the girls who tried to cope in the tracks of the season crashed, and the boys competed among them who has more squares in the stomach and charisma of plywood to get into the shoes of the retiring Shamalah.	no
יגידו שזו תוכנית ספורטיבית שמעודדת פעילות גופנית ומציגה התגברות על קשיים ואתגרים, אבל מבחינת הרוב המוחלט של הצופים - בטטות כורסה בינוניות שכמונו - "נינג'ה ישראל" מטפחת עבורנו מודל ספורטיבי־הישגי בלתי מושג.	They will say that it is a sports program that encourages physical activity and presents overcoming difficulties and challenges, but for the vast majority of viewers - medium-sized armchair yams like us - “Ninja Israel” fosters an unattainable sport-achievement model for us.	no
מהיר יותר, חזק יותר, גבוה יותר, מושלם יותר.	Faster, stronger, higher, more perfect.	no
כשגיל ססובר נע בין פאנצ'ים לשיחות על קדושה	As Gil Sesovar moves between punchs to conversations about sanctity	yes
מוזר לראות את הקומיקאי, אקס "קומדי סטור", מנחה תוכנית "קבלת שבת" בערוץ 14, שבה הוא טועם מסירים ונותן במה בעיקר לגברים	It's strange to see the comedian, Ex “Comedy Store,” host a “Saturday Reception” program on Channel 14, in which he tasted pots and gives a stage mostly to men	yes
אם נשחק במשחק אסוציאציות, לכולנו יהיו תשובות דומות לשאלה "מה מזכיר לכם המושג 'הכנות לשבת'?".	If we play an association game, we will all have similar answers to the question “What reminds you of the concept of 'preparing for the Sabbath? '”.	yes
תגידו: ספונג'ה וניקיונות, סירים על הגז וריחות בחדר המדרגות, ירון אילן או אבי כאכון בטלוויזיה, אבל הכי מוזר יהיה אם מישהו יגיד פתאום "גיל ססובר".	Say: Spunja and cleanings, pots on the gas and smells in the stairwell, Yaron Ilan or Avi Kachon on TV, but the strangest would be if someone suddenly said “Gil Sesovar”.	yes
כי גיל ססובר באמצע הספונג'ה והבישולים זה הכי לא קשור שהטלוויזיה יכולה להציע.	Because the age of Sesovar in the middle of the spunja and cooking is the most unrelated that television can offer.	yes
ובאמת, "קבלת שבת", התוכנית החדשה שהוא מנחה בצהרי שישי בערוץ 14, מנותקת ברוחה מהשעה שהיא משודרת.	And really, “Receiving Saturday,” the new program he hosts on Friday afternoon on Channel 14, is disconnected in spirit from the hour it airs.	yes
לאורך מחצית ממנה - ססובר עומד.	Along half of it - Sesovar stands.	yes
הוא מדבר במהירות, מחזיק ביד מיקרופון גם כשהוא טועם מנות, ומשתדל לחלק את המינון בין פאנצ'ים לבין שיחות על קדושה.	He speaks quickly, holds a microphone in his hand even when he tasts dishes, and endeavors to divide the dose between punchs and conversations about sainthood.	yes
להגנתו ייאמר כי דלות התקציב מורגשת, וזה כנראה המקסימום שניתן לייצר בתנאים הללו.	In his defense, it will be said that the sparseness of the budget is felt, which is probably the maximum that can be produced under these conditions.	yes
עם זאת, מה שעוד הורגש בתוכנית הבכורה, ששודרה שלשום ממטה בנימין, זו חלוקה מגדרית ברורה.	However, what was still felt in the premiere program, which aired the other day from Benyamin headquarters, is a clear gender divide.	yes
הגברים שרים, מנגנים, רוקדים, מדברים תורה, משווקים מסעדות ומפעלים - ואילו הנשים הסתפקו באייטם קטן, שבו סיפרו בהתרגשות על ניהול מתפרה.	The men sing, play, dance, speak Torah, market restaurants and factories - while the women settled for a small aytem, in which they excitedly told about managing a tailoring.	no
יום האישה שמח שיהיה לכן.	Happy Women's Day to be so.	no
קבלת שבת עם גיל ססובר, עכשיו 14	Receiving Shabbat with Gil Sesovar, now 14	no
איגוד הדיור המוגן נגד רותי רוסו: "להגיד 'יש לזה טעם של דיור מוגן' פוגע בפעילותנו"	Protected Housing Association against Ruthie Russo: “Saying 'It tastes like protected housing' hurts our activities”	yes
יושבת הראש יולי גת שיגרה מכתב, שבו הביעה את תלונת האיגוד נגד אמירה מעליבה, לטענתם, של שופטת "המסעדה הבאה" באחד מהטריילרים לתוכנית •	Chairwoman Yuli Gat sent a letter expressing the union's complaint against an insulting statement, they claimed, of the “next restaurant” judge in one of the trailers for the program.	yes
רותי רוסו בתגובה: "שמחה שיש מקומות שמשקיעים יותר בקולינריה של אוכלוסייה זו".	Ruthie Russo in response: “Glad that there are places that invest more in the culinary of this population.”	yes
איגוד בתי האבות והדיור המוגן בישראל נגד ״המסעדה הבאה״: במכתב ששלחה יושבת הראש יולי גת והגיע ל״ישראל היום״ נכתב כך: ״בקדימון בטרם השידור, שהופץ בכל רשתות החברתיות ובטלוויזיה, מתואר כי השופטת המקצועית של התחרות אמרה 'לאוכל יש טעם של דיור מוגן', דהיינו אוכל של מוסד סגור עם אוכל ברמה נמוכה״.	The Association of Nursing Homes and Protected Housing in Israel against the “Next Restaurant”: A letter sent by Chairwoman Yuli Gat and reached Israel Today reads: “In a pre-broadcast, which was distributed on all social networks and on television, it is described that the professional judge of the competition said 'food tastes like protected housing', i.e., food of a closed institution with low-level food.”	yes
״הטון שבחרה שופטת התוכנית, רותי רוסו, לתאר את אכזבתה מהמזון שהמתמודד הגיש מבטל ברגע את פעילותנו רבת השנים להילחם כנגד הבורות הקיימת בתחום, זאת משום שבתי הדיור המוגן מפעילים בבתים השונים מסעדות לטובת הדיירים עם מנות שף ברמה הכי גבוהה״.	“The tone chosen by the judge of the program, Ruthie Russo, to describe her disappointment with the food that the contestant submitted at the moment cancels our longstanding activity to fight against the ignorance that exists in the field, because the protected housing houses operate restaurants for the benefit of tenants with the highest level of chef dishes.”	yes
עוד נכתב: ״צוותי השירות ומנהלי הבתים נאבקים על תדמיתו של הדיור המוגן המציע פתרונות לדיור איכותי לזקנים, ובכללם הפגת בדידות, פעילויות פנאי בשפע, רמת חיים גבוהה ועוד".	The service staff and home managers are struggling for the image of protected housing that offers solutions for high-quality housing for the elderly, including the relief of loneliness, abundant leisure activities, a high standard of living, and more.”	yes
בישראל בשנים האחרונות יותר ויותר משפחות ואנשים מבוגרים מבינים כי בדידות זו המחלה הקשה ביותר בגיל מבוגר ורואים במקומות הקהילתיים כפתרון מוכח למחלה.	In Israel in recent years, more and more families and older people understand that loneliness is the most serious disease in old age and see communal places as a proven solution to the disease.	yes
"מזון הוא אחד מההנאות הגדולות ביותר בחיים, ולכן אנו מקדישים משאבים ומאמצים בכדי להגיש לדיירים את האוכל המשובח ביותר.	“Food is one of the greatest pleasures in life, so we dedicate resources and efforts to serve the finest food to the tenants.	yes
מרבית בתי הדיור המוגן נעזרים בשפים מקצועיים על מנת לבנות תפריט.	Most of the houses of protected housing are helped by professional chefs in order to build a menu.	yes
אנו נשמח בכל עת להזמין את צוות השופטים בכדי להתרשם מהמנות המנצחות המוגשות מידי יום לעשרות אלפי זקנים בישראל וכן בשם השפים וצוותי המסעדות בבתי הדיור המוגן נבקש התנצלותכם והבהרתכם.	We will be happy at any time to invite the judges team to get an impression of the winning dishes served every day to tens of thousands of elders in Israel, as well as on behalf of the chefs and restaurant teams in the protected housing, we will ask for your apology and clarifying.	yes
בואו ביחד, אמצעי התקשורת והחברה הישראלית, בכדי לעודד את הדיור הקהילתי למען בריאות הקשישים״.	Come together, the media and Israeli society, to encourage community housing for the health of the elderly.”	no
רותי רוסו מסרה בתגובה: "שמחה שיש מקומות שמשקיעים יותר בקולינריה של אוכלוסייה זו, שבהחלט מגיע לה אוכל מעולה בתקופה המתקדמת של החיים.	Ruthie Russo said in response: “Glad that there are places that invest more in the culinary of this population, which certainly deserves excellent food in the advanced period of life.	no
אני מכבדת את עבודתם הקשה של טבחים, טבחיות, שפיות ושפים בכל מקום, גם בדיור המוגן".	I respect the hard work of cooks, cooks, sanity and chefs everywhere, even in sheltered housing.”	no
"מוסר כפול: ברוסיה אתה מבטל מופע אבל בישראל לא ביטלת?"	“Double Morality: In Russia you cancel a show but in Israel you haven't canceled?”	yes
ניק קייב מגיב לביקורת	Nick Kiev responds to criticism	yes
הזמר התייחס לביקורת שהוטחה בו על ידי מעריץ טורקי, שהאשים אותו במוסר כפול •	The singer addressed criticism leveled at him by a Turkish fan, who accused him of double moralizing •	yes
הזמר בתגובה: "הפלישה לאוקראינה שונה מאוד מהקונפליקט הישראלי-פלשתיני	The singer said: “The invasion of Ukraine is very different from the Israeli-Palestinian conflict	yes
"	”	no
ניק קייב ביטל מוקדם יותר השבוע הופעה ברוסיה בשל המלחמה והכריז כי הוא "ניצב לצד אוקראינה ומתפלל שהטירוף יסתיים בקרוב".	Nick Kiev cancelled an appearance in Russia earlier this week due to the war and declared that he was “standing by Ukraine and praying that the madness will end soon.”	yes
