Police arrest 15 after violent protest outside UK refugee hotel	Polizei nimmt 15 Personen nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel fest	yes
Trump's Prized 40 Wall Street Building On 'Lender Watch' Amid Dropping Income: Report	Trumps geschätztes Wall-Street-Gebäude 40 unter Beobachtung der Kreditgeber, da die Einnahmen sinken: Bericht	yes
Donald Trump's heavily mortgaged skyscraper at 40 Wall Street is on "lender watch" amid plummeting income and increasing costs, Bloomberg reported Friday. The vacancy rate at the 72-story building - Trump's most valuable - jumped to almost 18% in the third quarter of last year, according to a monthly filing on the building's remaining $126.5 million mortgage, Bloomberg reported. Expenses, meanwhile, have reportedly risen 11% since the origin of the 2015 mortgage. Trump has often bragged about the building he acquired in 1995, which was appraised at $540 million in 2015.	Donald Trumps mit einer hohen Hypothek belasteter Wolkenkratzer in der Wall Street 40 steht angesichts sinkender Einnahmen und steigender Kosten unter Beobachtung der Kreditgeber, berichtete Bloomberg am Freitag. Die Leerstandsquote in dem 72-stöckigen Gebäude - Trumps wertvollstes Gebäude - stieg im dritten Quartal des vergangenen Jahres auf fast 18 %, wie aus einem monatlichen Bericht über die verbleibende 126,5-Millionen-Dollar-Hypothek des Gebäudes hervorgeht, berichtet Bloomberg. Die Ausgaben sind seit der Aufnahme der Hypothek im Jahr 2015 um 11 % gestiegen. Trump hat oft mit dem Gebäude geprahlt, das er 1995 erworben hat und das 2015 auf 540 Millionen Dollar geschätzt wurde.	yes
The day of the Sept. 11, 2001, terrorist attacks that destroyed the World Trade Center and killed 3,000 people, a Trump bragged in a TV interview that 40 Wall Street was suddenly the tallest building in the city. Not only was his claim insensitive, it was also a lie.	Am Tag der Terroranschläge vom 11. September 2001, bei denen das World Trade Center zerstört wurde und 3.000 Menschen ums Leben kamen, prahlte Trump in einem Fernsehinterview, dass 40 Wall Street plötzlich das höchste Gebäude der Stadt sei. Diese Behauptung war nicht nur unsensibel, sie war auch eine Lüge.	yes
Another nearby skyscraper on Pine Street in Lower Manhattan became the tallest building after the destruction of the Twin Towers. High-rise office leasing in Manhattan has been dropping for years, which was exacerbated after the outbreak of the COVID-19 pandemic as many companies shut down and employees of surviving firms worked remotely. Wells Fargo, which is servicing the mortgage on 40 Wall Street, "has reached out to the borrower for a status of leasing developments" and the plans to improve the property's performance, according to the filing, Bloomberg reported.	Ein anderer nahe gelegener Wolkenkratzer in der Pine Street in Lower Manhattan wurde nach der Zerstörung der Zwillingstürme das höchste Gebäude. Die Vermietung von Hochhausbüros in Manhattan ist seit Jahren rückläufig, was sich nach dem Ausbruch der COVID-19-Pandemie noch verschlimmerte, da viele Unternehmen geschlossen wurden und die Mitarbeiter der überlebenden Firmen aus der Ferne arbeiteten. Wells Fargo, das die Hypothek auf 40 Wall Street verwaltet, "hat sich an den Kreditnehmer gewandt, um den Stand der Vermietungsentwicklungen zu erfahren" und die Pläne zur Verbesserung der Leistung des Objekts zu erläutern, heißt es in dem Bericht von Bloomberg.	yes
Wagner owner says war in Ukraine will drag on for years	Wagner-Besitzer sagt, dass sich der Krieg in der Ukraine über Jahre hinziehen wird	yes
The owner of the Russian Wagner Group private military contractor actively involved in the fighting in Ukraine has predicted that the war could drag on for years. Yevgeny Prigozhin said in a video interview released late Friday that it could take 18 months to two years for Russia to fully secure control of Ukraine's eastern industrial heartland of Donbas. He added that the war could go on for three years if Moscow decides to capture broader territories east of the Dnieper River.	Der Eigentümer der russischen Wagner-Gruppe, die als privates Militärunternehmen aktiv an den Kämpfen in der Ukraine beteiligt ist, hat vorausgesagt, dass sich der Krieg über Jahre hinziehen könnte. Jewgeni Prigoschin sagte in einem Videointerview, das am späten Freitag veröffentlicht wurde, dass es 18 Monate bis zwei Jahre dauern könnte, bis Russland die vollständige Kontrolle über das östliche industrielle Kernland der Ukraine, den Donbas, erlangt hat. Er fügte hinzu, dass der Krieg drei Jahre andauern könnte, wenn Moskau beschließt, weitere Gebiete östlich des Dnjepr zu erobern.	yes
The statement from Prigozhin, a millionaire who has close links to Russian President Vladimir Putin and was dubbed "Putin's chef" for his lucrative Kremlin catering contracts, marked a recognition of the difficulties that the Kremlin has faced in the campaign, which it initially expected to wrap up within weeks when Russian troops invaded Ukraine on Feb. 24.	Die Erklärung Prigoschins, eines Millionärs, der enge Beziehungen zum russischen Präsidenten Wladimir Putin unterhält und wegen seiner lukrativen Catering-Verträge mit dem Kreml als "Putins Koch" bezeichnet wurde, war ein Zeichen der Anerkennung der Schwierigkeiten, mit denen der Kreml in diesem Wahlkampf konfrontiert war, von dem er ursprünglich annahm, dass er innerhalb weniger Wochen abgeschlossen sein würde, als russische Truppen am 24. Februar in die Ukraine einmarschierten.	yes
Russia suffered a series of humiliating setbacks in the fall when the Ukrainian military launched successful counteroffensives to reclaim broad swaths of territory in the east and the south. The Kremlin has avoided making forecasts on how long the fighting could continue, saying that what it called the "special military operation" will continue until its goals are fulfilled. The Russian forces have focused on Ukraine's Luhansk and Donetsk provinces that make up the Donbas region where Moscow-backed separatists have been fighting Ukrainian forces since 2014.	Russland musste im Herbst eine Reihe von demütigenden Rückschlägen hinnehmen, als das ukrainische Militär erfolgreiche Gegenoffensiven startete, um weite Teile des Gebiets im Osten und Süden zurückzuerobern. Der Kreml hat es vermieden, Prognosen darüber abzugeben, wie lange die Kämpfe noch andauern könnten, und erklärte, dass die so genannte "spezielle Militäroperation" so lange andauern wird, bis ihre Ziele erreicht sind. Die russischen Streitkräfte haben sich auf die ukrainischen Provinzen Luhansk und Donezk konzentriert, die die Region Donbas bilden, in der die von Moskau unterstützten Separatisten seit 2014 gegen die ukrainischen Streitkräfte kämpfen.	yes
Prigozhin said that the Wagner Group mercenaries were continuing fierce battles for control of the Ukrainian stronghold of Bakhmut in the Donetsk region. He acknowledged that the Ukrainian troops were mounting fierce resistance. As Russian troops have pushed their attacks in the Donbas, Moscow has also sought to demoralize Ukrainians by leaving them without heat and water in the bitter winter.	Prigozhin sagte, dass die Söldner der Wagner-Gruppe weiterhin heftige Kämpfe um die Kontrolle der ukrainischen Hochburg Bakhmut in der Region Donezk führten. Er räumte ein, dass die ukrainischen Truppen erbitterten Widerstand leisteten. Während die russischen Truppen ihre Angriffe im Donbass vorantreiben, versucht Moskau auch, die Ukrainer zu demoralisieren, indem es sie im bitteren Winter ohne Wärme und Wasser lässt.	yes
On Friday, Russia launched the 14th round of massive strikes on Ukrainian energy facilities and other vital infrastructure. High-voltage infrastructure facilities were hit in the eastern, western and southern regions, resulting in power outages in some areas. Ukraine's energy company, Ukrenergo, said Saturday that the situation was "difficult but controllable," adding that involved backups to keep up power supplies but noting that power rationing will continue in some areas. Ukraine's military chief, Gen. Valerii Zaluzhnyi, said that Russian forces launched 71 cruise missiles, 35 S-300 missiles and seven Shahed drones between late Thursday and midday Friday, adding that Ukrainian air defenses downed 61 cruise missiles and five drones.	Am Freitag startete Russland die 14. Runde massiver Angriffe auf ukrainische Energieanlagen und andere lebenswichtige Infrastrukturen. In den östlichen, westlichen und südlichen Regionen wurden Hochspannungsanlagen getroffen, was in einigen Gebieten zu Stromausfällen führte. Das ukrainische Energieunternehmen Ukrenergo erklärte am Samstag, die Situation sei "schwierig, aber beherrschbar", und fügte hinzu, dass die Stromversorgung mit Hilfe von Notstromaggregaten aufrechterhalten werde, dass aber in einigen Gebieten weiterhin Stromrationierungen vorgenommen würden. Der ukrainische Militärchef, General Valerii Zaluzhnyi, sagte, dass die russischen Streitkräfte zwischen Donnerstagabend und Freitagmittag 71 Marschflugkörper, 35 S-300-Raketen und sieben Shahed-Drohnen abgefeuert hätten, und fügte hinzu, dass die ukrainische Luftabwehr 61 Marschflugkörper und fünf Drohnen abgeschossen habe.	no
The Ukrainian authorities reported more attacks by killer drones later on Friday. The Ukrainian air force said the military downed 20 Shahed drones in the evening. Late Friday, Russian military bloggers and some Ukrainian news outlets posted a video showing an attack by a sea drone on a strategic railway bridge in the Odesa region. The grainy video showed a fast-moving object approaching the bridge in Zatoka, about 50 kilometers (30 miles) southwest of Odesa, and exploding in a powerful blast. The authenticity of the video couldn't be verified. The Ukrainian military hasn't commented on the attack, and Serhii Bratchuk, a spokesman for the regional administration, wouldn't confirm the drone attack when he spoke in televised remarks on Saturday. The bridge, which was targeted by Russian missile strikes early in the war, serves the railway link to Romania, which is a key conduit for Western arms supplies.	Die ukrainischen Behörden meldeten im Laufe des Freitags weitere Angriffe von Killerdrohnen. Nach Angaben der ukrainischen Luftwaffe schoss das Militär am Abend 20 Shahed-Drohnen ab. Am späten Freitag veröffentlichten russische Militärblogger und einige ukrainische Nachrichtenagenturen ein Video, das den Angriff einer Seedrohne auf eine strategisch wichtige Eisenbahnbrücke in der Region Odesa zeigt. Das körnige Video zeigte ein sich schnell bewegendes Objekt, das sich der Brücke in Zatoka, etwa 50 Kilometer südwestlich von Odesa, näherte und mit einer gewaltigen Explosion explodierte. Die Authentizität des Videos konnte nicht überprüft werden. Das ukrainische Militär hat sich nicht zu dem Angriff geäußert, und Serhii Bratchuk, ein Sprecher der Regionalverwaltung, wollte den Drohnenangriff in einer Fernsehansprache am Samstag nicht bestätigen. Die Brücke, die zu Beginn des Krieges Ziel russischer Raketenangriffe war, dient der Eisenbahnverbindung nach Rumänien, die ein wichtiger Durchgang für westliche Waffenlieferungen ist.	no
Kazakh rescuers pull out 7 survivors and bodies of 19 deceased in Türkiye: 11 February 2023, 12:15	Kasachische Retter bergen 7 Überlebende und die Leichen von 19 Toten in der Türkei: 11. Februar 2023, 12:15	yes
GAZIANTEP.KAZINFORM - Kazakh rescuers continue digging through the rubble searching for survivors in Türkiye, Kazinform cites the press service of the Kazakh Emergency Situations Ministry. The work of the rescuers is hampered by large amounts of debris and unstable constructions. As of now, the Kazakhstani rescue team pulled out seven quake survivors and the bodies of 19 people, including one kid, in Türkiye. First medical aid is also provided on a round-the-clock basis. Notably, a 7.7 magnitude quake that devastated parts of southeast Türkiye and northern Syria hit early Monday. As of today, the death toll from massive quakes hit the southeast of Türkiye exceeded 20,000.	GAZIANTEP.KAZINFORM - Kasachische Rettungskräfte graben sich weiterhin durch die Trümmer auf der Suche nach Überlebenden in der Türkei, zitiert Kazinform den Pressedienst des kasachischen Ministeriums für Notsituationen. Die Arbeit der Retter wird durch große Trümmermengen und instabile Konstruktionen erschwert. Bislang haben die kasachischen Rettungskräfte sieben Überlebende des Bebens und die Leichen von 19 Menschen, darunter ein Kind, in der Türkei geborgen. Außerdem wird rund um die Uhr erste medizinische Hilfe geleistet. Am frühen Montag ereignete sich ein Beben der Stärke 7,7, das Teile des Südostens der Türkei und Nordsyriens verwüstete. Bis heute hat die Zahl der Todesopfer der massiven Beben im Südosten der Türkei die Zahl von 20.000 überschritten.	yes
Asian Championships is to give new impetus to development of athletics	Asienmeisterschaften sollen der Entwicklung der Leichtathletik neuen Schwung verleihen	yes
ASTANA.KAZINFORM - Opening ceremony of the 10th Asian Athletics Indoor Championships took place on Friday at Qazaqstan sports center in Astana. Attending the event was Kazakh Prime Minister Alikhan Smailov, Kazinform cites the press service of the Kazakh Prime Minister. Opening the event, the Head of the Kazakh government read out the welcome letter of President Kassym-Jomart Tokayev. "Sport knows no bounds. It strengthens friendship and brings together nations and countries. Special attention is attached to sports in Kazakhstan. There are all conditions for doing professional and mass sports in our country.	ASTANA.KAZINFORM - Die Eröffnungsfeier der 10. Asiatischen Leichtathletik-Hallenmeisterschaften fand am Freitag im Sportzentrum Qazaqstan in Astana statt. An der Veranstaltung nahm der kasachische Premierminister Alikhan Smailov teil, zitiert Kazinform den Pressedienst des kasachischen Premierministers. Bei der Eröffnung der Veranstaltung verlas der kasachische Regierungschef das Grußwort von Präsident Kassym-Jomart Tokajew. "Sport kennt keine Grenzen. Er stärkt die Freundschaft und bringt Nationen und Länder zusammen. Dem Sport wird in Kasachstan besondere Aufmerksamkeit gewidmet. In unserem Land gibt es alle Voraussetzungen für die Ausübung von Profi- und Breitensport.	yes
Great attention is placed on the development of sports infrastructure. Clear evidence of that is this athletics complex seating over six thousand people," reads the Kazakh President's letter. Kazakhstani athletes successfully compete and represent Kazakhstan at major world competitions. They are an example to the growing generation and inspire the youth for great victories, Tokayev noted. He expressed confidence that the holding of the Asian Championships in Astana will give a new impetus to the development of athletics in the country, pledging for greater cooperation with international organizations in the sphere.	Dem Ausbau der Sportinfrastruktur wird große Aufmerksamkeit gewidmet. Ein klarer Beweis dafür ist dieser Leichtathletikkomplex mit über sechstausend Plätzen", heißt es in dem Schreiben des kasachischen Präsidenten. Kasachische Athleten nehmen erfolgreich an großen internationalen Wettkämpfen teil und vertreten Kasachstan. Sie sind ein Vorbild für die heranwachsende Generation und inspirieren die Jugend zu großen Erfolgen, so Tokajew. Er zeigte sich zuversichtlich, dass die Ausrichtung der Asienmeisterschaften in Astana der Entwicklung der Leichtathletik in Kasachstan neue Impulse verleihen wird, und versprach eine verstärkte Zusammenarbeit mit internationalen Organisationen in diesem Bereich.	yes
Kazakh Prime minister Smailov expressed special gratitude to the President of the Asian Athletics Association Dahlan al-Hamad for his assistance in preparing for and holding the championships. The Asian Athletics Indoor Championships take place for the first time in the CIS territory. The tournament brought together over 500 athletes from 31 countries who are to compete in race, relay race, long jump, high jump, triple jump, pole vault, shot put, and all-around event. The tournament is to run through February 12. Earlier it was reported Kazakhstani runner Caroline Chepkoech Kipkirui won the women's 3,000m gold, and Olga Safronova claimed the women's 60m silver at the tournament.	Der kasachische Premierminister Smailov sprach dem Präsidenten des Asiatischen Leichtathletikverbandes Dahlan al-Hamad seinen besonderen Dank für seine Unterstützung bei der Vorbereitung und Durchführung der Meisterschaften aus. Die asiatischen Leichtathletik-Hallenmeisterschaften finden zum ersten Mal auf dem Gebiet der GUS statt. An dem Turnier nehmen über 500 Athleten aus 31 Ländern teil, die in den Disziplinen Lauf, Staffellauf, Weitsprung, Hochsprung, Dreisprung, Stabhochsprung, Kugelstoßen und Mehrkampf antreten werden. Das Turnier wird bis zum 12. Februar dauern. Zuvor wurde berichtet, dass die kasachische Läuferin Caroline Chepkoech Kipkirui Gold über 3.000 m der Frauen und Olga Safronova Silber über 60 m der Frauen gewonnen hat.	no
Yellowstone' actor Q'orianka Kilcher beats fraud charges	Yellowstone"-Darstellerin Q'orianka Kilcher wehrt sich gegen Betrugsvorwürfe	yes
Attorney Camille Vasquez, who represented Johnny Depp in last year's blockbuster defamation trial, has scored another legal victory - this time with "Yellowstone" actor Q'orianka Kilcher. On Friday, the Los Angeles County district attorney's office cleared Kilcher, 32, of all charges in a workers" compensation fraud case. In a statement shared Friday with The Times, a spokesperson for the Los Angeles County district attorney said the court "determined that Ms. Kilcher did not commit insurance fraud and advised the court that we were unable to proceed."	Die Anwältin Camille Vasquez, die Johnny Depp im letzten Jahr in einem bahnbrechenden Verleumdungsprozess vertrat, hat einen weiteren juristischen Sieg errungen - dieses Mal mit der "Yellowstone"-Darstellerin Q'orianka Kilcher. Am Freitag sprach die Staatsanwaltschaft von Los Angeles County die 32-jährige Kilcher von allen Vorwürfen in einem Fall von Betrug bei der Arbeiterunfallversicherung frei. In einer Erklärung, die am Freitag mit der Times geteilt wurde, sagte ein Sprecher der Bezirksstaatsanwaltschaft von Los Angeles County, dass das Gericht "festgestellt hat, dass Frau Kilcher keinen Versicherungsbetrug begangen hat und dem Gericht mitgeteilt hat, dass wir nicht fortfahren können".	yes
In July 2022, California officials charged Kilcher with two felony counts of workers" compensation fraud, accusing her of illegally collecting more than $96,000 in disability benefits between October 2019 and September 2021. The time frame also includes several months when Kilcher worked on "Yellowstone," despite the actor's claims that she was too injured to work. Kilcher self-surrendered and was arraigned in May.	Im Juli 2022 klagten kalifornische Beamte Kilcher in zwei Fällen wegen Betrugs bei der Arbeitnehmerentschädigung an und beschuldigten sie, zwischen Oktober 2019 und September 2021 unrechtmäßig mehr als 96.000 US-Dollar an Invaliditätsleistungen kassiert zu haben. In diesen Zeitraum fallen auch mehrere Monate, in denen Kilcher bei "Yellowstone" mitarbeitete, obwohl die Schauspielerin behauptete, sie sei zu verletzt, um zu arbeiten. Kilcher hat sich selbst gestellt und wurde im Mai angeklagt.	yes
"Today, I am beyond grateful that my case has been dismissed - tomorrow my journey begins to help raise awareness and demand more transparency for worker's rights within the workers comp system" Kilcher said Friday in a statement shared with The Times. She added that she "look[s] forward to shedding more light on this experience and continuing to do the work I love." Kilcher also thanked Vasquez and her fellow Brown Rudnick attorney Steve Cook for "their steadfast belief in my innocence."	"Heute bin ich mehr als dankbar, dass mein Fall abgewiesen wurde - morgen beginnt meine Reise, um das Bewusstsein zu schärfen und mehr Transparenz für die Rechte der Arbeitnehmer im Rahmen des Arbeitsunfallversicherungssystems zu fordern", sagte Kilcher am Freitag in einer Erklärung, die der Times vorliegt. Sie fügte hinzu, dass sie sich darauf freue, mehr Licht in diese Erfahrung zu bringen und die Arbeit fortzusetzen, die ich liebe". Kilcher bedankte sich auch bei Vasquez und ihrem Kollegen Steve Cook von Brown Rudnick für "ihren unerschütterlichen Glauben an meine Unschuld".	yes
According to TMZ, Kilcher hired the two in September. Kilcher broke out with Terrence Malick's 2002 movie "The New World," where she portrayed Pocahontas. Her credits also include "Sons of Anarchy," "The Alienist" and "Dora and the Lost City of Gold." She most recently appeared in the road-trip film "Dog," starring Channing Tatum.	Nach Angaben von TMZ hat Kilcher die beiden im September angeheuert. Kilcher wurde 2002 mit Terrence Malicks Film "The New World" bekannt, in dem sie Pocahontas darstellte. Zu ihren Referenzen gehören auch "Sons of Anarchy", "The Alienist" und "Dora and the Lost City of Gold". Zuletzt spielte sie in dem Road-Trip-Film "Dog" mit Channing Tatum in der Hauptrolle.	no
Balenciaga boss calls holiday campaign 'stupid mistake'	Balenciaga-Chef nennt Urlaubskampagne "dummen Fehler	yes
Luxury clothing brand Balenciaga is still reeling from the backlash over two of its recent ad campaigns. Months after the fashion house came under heat for promotional images that critics said sexualized children, Balenciaga artistic director Demna (full name Demna Gvasalia) said he's still sorry for the images in an interview with Vogue published Friday. "I want to personally apologize for the wrong artistic choice of concept for the gifting campaign with the kids and I take my responsibility," he told Vogue, echoing a previous statement he posted to social media in December.	Die Luxusbekleidungsmarke Balenciaga leidet noch immer unter den Reaktionen auf zwei ihrer jüngsten Werbekampagnen. Monate, nachdem das Modehaus wegen Werbebildern in die Kritik geraten war, in denen Kinder sexualisiert wurden, sagte der künstlerische Leiter von Balenciaga, Demna (vollständiger Name Demna Gvasalia), in einem am Freitag veröffentlichten Interview mit der Vogue, dass ihm die Bilder immer noch leid tun. "Ich möchte mich persönlich für die falsche künstlerische Wahl des Konzepts für die Geschenkkampagne mit den Kindern entschuldigen und übernehme die Verantwortung", sagte er gegenüber der Vogue und wiederholte damit eine frühere Erklärung, die er im Dezember in den sozialen Medien veröffentlicht hatte.	yes
In November, the brand shared photos for its "The Gift" collection, which featured child models posing with teddy bears that were dressed in bondage attire. Shortly after, Balenciaga dropped photos for its spring 2023 campaign that featured a page from a 2008 Supreme Court case involving "virtual child pornography" in the background. Parents, including reality TV star and longtime Balenciaga fan - and brand partner - Kim Kardashian, spoke out against the brand and its "disturbing images" on social media. Days later, Balenciaga released a statement apologizing for the photos and outlining the changes it would implement to avoid similar "mistakes" in the future. "This experience has forced me to reevaluate a lot of things in the way I, we, work, in the way we create and communicate images, the way we interact with our audiences, and the way we learn from our mistakes and move forward," Demna told Vogue.	Im November veröffentlichte die Marke Fotos für ihre "The Gift"-Kollektion, auf denen Kindermodelle mit Teddybären posierten, die in Fesselkleidung gekleidet waren. Kurz darauf veröffentlichte Balenciaga Fotos für seine Frühjahrskampagne 2023, auf denen im Hintergrund eine Seite aus einem Fall des Obersten Gerichtshofs von 2008 zu sehen war, bei dem es um "virtuelle Kinderpornografie" ging. Eltern, darunter der Reality-TV-Star und langjährige Balenciaga-Fan - und Markenpartner - Kim Kardashian, sprachen sich in den sozialen Medien gegen die Marke und ihre "verstörenden Bilder" aus. Einige Tage später veröffentlichte Balenciaga eine Erklärung, in der es sich für die Fotos entschuldigte und Änderungen vorschlug, um ähnliche "Fehler" in Zukunft zu vermeiden. "Diese Erfahrung hat mich dazu gezwungen, die Art und Weise, wie ich und wir arbeiten, neu zu bewerten. Die Art und Weise, wie wir Bilder kreieren und kommunizieren, wie wir mit unserem Publikum interagieren und wie wir aus unseren Fehlern lernen und uns weiterentwickeln", so Demna gegenüber Vogue.	yes
He detailed the postbacklash changes at Balenciaga: "restructuring the image department," conducting more internal and external checks for campaign imagery, and partnering with the National Children's Alliance to help "thousands of kids in the process of overcoming trauma and dealing with their mental health." "It's the one thing that makes me happy about this whole horrible situation: to do something good out of it," he said of that partnership, which was announced Wednesday.	Er erläuterte die Veränderungen bei Balenciaga nach dem "Backlash": "Umstrukturierung der Image-Abteilung", mehr interne und externe Kontrollen für Kampagnenbilder und eine Partnerschaft mit der National Children's Alliance, um "Tausenden von Kindern bei der Überwindung von Traumata und der Bewältigung ihrer psychischen Gesundheit" zu helfen. "Es ist das Einzige, was mich in dieser ganzen schrecklichen Situation glücklich macht: etwas Gutes daraus zu machen", sagte er über diese Partnerschaft, die am Mittwoch bekannt gegeben wurde.	yes
Also teaming up with the NCA is Balenciaga's parent company, Kering, which oversees other luxury brands including Saint Laurent and Bottega Veneta. Under the Kering umbrella is Gucci, which faced backlash in December for a campaign featuring Harry Styles that some social media critics alleged also sexualized children. In the interview, Denma said he plans to move away from the brand's "provocative" ways. "This is part of my learning: I will have a more mature and serious approach to everything I release as an idea or an image," he said. "I have decided to go back to my roots in fashion as well as to the roots of Balenciaga, which is making quality clothes - not making image or buzz."	Die Muttergesellschaft von Balenciaga, Kering, die auch andere Luxusmarken wie Saint Laurent und Bottega Veneta kontrolliert, arbeitet ebenfalls mit der NCA zusammen. Unter dem Dach von Kering befindet sich auch Gucci, das im Dezember wegen einer Kampagne mit Harry Styles, die nach Ansicht einiger Kritiker in den sozialen Medien auch Kinder sexualisiert, in die Kritik geraten war. In dem Interview sagte Denma, er wolle sich von der "provokativen" Art der Marke abwenden. "Dies ist ein Teil meines Lernprozesses: Ich werde einen reiferen und ernsthafteren Ansatz für alles haben, was ich als Idee oder Bild veröffentliche", sagte er. "Ich habe mich entschlossen, zu meinen Wurzeln in der Mode und zu den Wurzeln von Balenciaga zurückzukehren, die darin bestehen, qualitativ hochwertige Kleidung herzustellen - und nicht, Image oder Aufsehen zu erregen."	no
Speaking of the brand's origins, elsewhere in the interview Demna said one of the most "painful" parts of the backlash was tarnishing "the name of Balenciaga and the legacy of Cristóbal Balenciaga." "Balenciaga is a house that is over one century old and is based on strong and beautiful creative values, and I have been busy doing all in my creative power to bring it to its modern relevance, and suddenly we were under attack and labeled as something we're not at all," Demna said. "We certainly made a huge and stupid mistake with the gifting campaign, and we certainly have learned from it."	Über die Ursprünge der Marke sprechend, sagte Demna an anderer Stelle des Interviews, dass einer der "schmerzhaftesten" Teile der Gegenreaktion darin bestehe, "den Namen Balenciaga und das Erbe von Cristóbal Balenciaga" zu beschmutzen. "Balenciaga ist ein Haus, das mehr als ein Jahrhundert alt ist und auf starken und schönen kreativen Werten basiert, und ich war damit beschäftigt, alles in meiner kreativen Macht Stehende zu tun, um es zu seiner modernen Relevanz zu bringen, und plötzlich wurden wir angegriffen und als etwas abgestempelt, was wir überhaupt nicht sind", sagte Demna. "Wir haben sicherlich einen großen und dummen Fehler mit der Geschenkkampagne gemacht, und wir haben sicherlich daraus gelernt."	no
It's Fake News, CBN Debunks Claim It Lacks Capacity To Print More New Naira Notes	Fake News: CBN widerlegt Behauptung, sie könne keine weiteren neuen Naira-Noten drucken	yes
The Central Bank of Nigeria (CBN) has described as misleading, the report that claimed to be quoting CBN govemor, Mr. Godwin Emefiele, as attributing the current challenge in the distribution of the newly redesigned Naira banknotes to a shortage of printing materials at the Nigerian Security Printing and Minting Company Plc. In a statement issued on Saturday, CBN spokesman, Osita Nwasinobi, said at no time did the CBN governor made such statement during his presentation to the National Council of State at its meeting on Friday, February 10, 2023. Mr Nwasinobi said Emefiele only told the meeting that the NSPMC was working on printing all denominations of the Naira to meet the transaction needs of Nigerians. He said while the CBN appreciates the concerns shown by all stakeholders about the distribution of the new Naira notes, "we are alarmed at the extent to which vested interests are attempting to manipulate facts and pitch the public against the Bank." Nwasinobi said the CBN remains committed to performing its monetary policy functions, as stipulated in the CBN Act, 2007 (as amended). "We also wish to restate that the NSPMC has the capacity and enough materials to produce the required indent of the Naira. "The bank, therefore, wishes to appeal to the public to disregard the said report and exercise more restraint, even as we work assiduously to increase the circulation of the new notes in the country," he added.	Die Zentralbank von Nigeria (CBN) hat einen Bericht als irreführend bezeichnet, in dem behauptet wird, dass der Gouverneur der CBN, Godwin Emefiele, die derzeitigen Probleme bei der Verteilung der neu gestalteten Naira-Banknoten auf einen Mangel an Druckmaterial bei der Nigerian Security Printing and Minting Company Plc zurückführt. In einer am Samstag herausgegebenen Erklärung sagte CBN-Sprecher Osita Nwasinobi, dass der CBN-Gouverneur zu keinem Zeitpunkt während seiner Präsentation vor dem Nationalen Staatsrat auf dessen Sitzung am Freitag, den 10. Februar 2023, eine solche Erklärung abgegeben habe. Nwasinobi sagte, Emefiele habe lediglich gesagt, dass das NSPMC daran arbeite, alle Stückelungen der Naira zu drucken, um den Transaktionsbedarf der Nigerianer zu decken. Er sagte, dass die CBN zwar die Besorgnis aller Beteiligten über die Verteilung der neuen Naira-Noten schätze, aber "wir sind alarmiert über das Ausmaß, in dem Interessengruppen versuchen, Fakten zu manipulieren und die Öffentlichkeit gegen die Bank aufzubringen." Nwasinobi sagte, die CBN bleibe der Erfüllung ihrer geldpolitischen Aufgaben verpflichtet, wie sie im CBN-Gesetz von 2007 (in seiner geänderten Fassung) festgelegt seien. "Wir möchten auch bekräftigen, dass das NSPMC über die Kapazität und genügend Material verfügt, um die erforderliche Einrückung der Naira vorzunehmen. "Die Bank möchte daher an die Öffentlichkeit appellieren, den besagten Bericht zu ignorieren und mehr Zurückhaltung zu üben, auch wenn wir eifrig daran arbeiten, den Umlauf der neuen Banknoten im Lande zu erhöhen", fügte er hinzu.	yes
On a particular voice note trending on the social media alleging that the CBN planned to shut down some banks, particularly in a particular geopolitical region of the country, the CBN said there was no such plan and that the claims were illogical and do not comply with the workings of the Nigerian banking system. "The public is therefore advised to ignore such recordings as they do not represent the policy thrust of the CBN and are only the desperate attempts of persons bent on inciting the public against the Bank," he stated.	Zu einer bestimmten Sprachnotiz, die in den sozialen Medien kursierte und in der behauptet wurde, die CBN plane die Schließung einiger Banken, insbesondere in einer bestimmten geopolitischen Region des Landes, sagte die CBN, es gebe keinen solchen Plan und die Behauptungen seien unlogisch und entsprächen nicht der Funktionsweise des nigerianischen Bankensystems. "Der Öffentlichkeit wird daher geraten, derartige Aufnahmen zu ignorieren, da sie nicht die politische Ausrichtung der CBN widerspiegeln und nur der verzweifelte Versuch von Personen sind, die die Öffentlichkeit gegen die Bank aufhetzen wollen", erklärte er.	yes
Tim Sherwood tears into £44m signing Pedro Porro after dismal Tottenham debut	Tim Sherwood kritisiert die 44-Millionen-Pfund-Verpflichtung Pedro Porro nach dem miserablen Tottenham-Debüt	yes
Porro had an afternoon to forget against Leicester (Picture: Getty)	Porro erlebte gegen Leicester einen Nachmittag zum Vergessen (Bild: Getty)	yes
