Police arrest 15 after violent protest outside UK refugee hotel	Polizei nimmt 15 nach gewalttätigen Protesten vor britischem Flüchtlingshotel fest	yes
Mr Ansell said that although the family is going through "unprecedented hell," hope that his partner will be found is "stronger than ever." Police have discounted foul play and are treating the incident as a missing person inquiry. On Thursday, the focus of their search switched from St Michael's to around 10 miles downstream where the river empties into the sea at Morecambe Bay, with patrol and rescue boats spotted in the area.	Herr Ansell sagte, dass, obwohl die Familie durch eine "beispiellose Hölle" gehe, die Hoffnung, dass sein Partner gefunden werde, "stärker denn je" sei. Die Polizei hat ein Foulspiel ausgeschlossen und behandelt den Vorfall als Vermisstenermittlung. Am Donnerstag verlagerte sich der Schwerpunkt ihrer Suche von St. Michael's auf etwa 10 Meilen flussabwärts, wo der Fluss in der Morecambe Bay ins Meer mündet, wobei Patrouillen- und Rettungsboote in der Gegend gesichtet wurden.	yes
East Germany's last communist leader dies at 95	Der letzte kommunistische Führer der DDR stirbt im Alter von 95 Jahren	yes
BERLIN (AP) - Hans Modrow, who served as East Germany's last communist leader during a turbulent tenure that ended in the country's first and only free election, has died. He was 95. Modrow died early Saturday, the Left party parliamentary group tweeted.	BERLIN (AP) - Hans Modrow, der während einer turbulenten Amtszeit, die mit der ersten und einzigen freien Wahl des Landes endete, als letzter kommunistischer Führer der DDR diente, ist gestorben. Er wurde 95 Jahre alt. Modrow sei am frühen Samstag gestorben, twitterte die Linksfraktion.	yes
Modrow, a reform-minded communist, took over East Germany shortly after the Berlin Wall fell and later invited opposition forces into the government, but could not slow the gathering momentum for German reunification. "The entire peaceful course of establishing German unity was precisely a special achievement of his," the Left wrote on Twitter."That will remain his political legacy." During 16 years as communist party chief in Dresden, starting in 1973, Modrow built a reputation as an anti-establishment figure. He rejected party perks and insisted on living in a normal apartment.	Modrow, ein reformorientierter Kommunist, übernahm kurz nach dem Fall der Berliner Mauer die DDR und lud später Oppositionskräfte in die Regierung ein, konnte aber die zunehmende Dynamik für die deutsche Wiedervereinigung nicht bremsen. "Der gesamte friedliche Kurs der deutschen Einheit war gerade eine besondere Leistung von ihm", schrieb die Linke auf Twitter. Das wird sein politisches Vermächtnis bleiben." Während seiner 16-jährigen Tätigkeit als KP-Chef in Dresden ab 1973 erwarb sich Modrow einen Ruf als Anti-Establishment-Figur. Er lehnte Partyvergünstigungen ab und bestand darauf, in einer normalen Wohnung zu leben.	yes
A post in East Germany's top leadership eluded him until he was made prime minister, a position that previously carried little clout, in November 1989 - days after the fall of the Berlin Wall. When hard-line leader Egon Krenz and his ruling Politburo resigned in early December, Modrow emerged as East Germany's top political figure. But the communists could no longer call the shots on their own. The following month, he agreed to share power with the increasingly vocal opposition and moved up East Germany's landmark first free election to March 1990, amid growing unrest. Even as pro-democracy rallies rapidly took on a pro-unification flavor, the communists initially had opposed talk of reunification.	Ein Posten in der DDR-Führungsspitze blieb ihm verwehrt, bis er im November 1989 - wenige Tage nach dem Fall der Berliner Mauer - zum Ministerpräsidenten ernannt wurde. Als Hardliner-Chef Egon Krenz und sein regierendes Politbüro Anfang Dezember zurücktraten, avancierte Modrow zur politischen Spitzenfigur der DDR. Aber die Kommunisten konnten nicht mehr allein das Sagen haben. Im folgenden Monat erklärte er sich bereit, die Macht mit der immer lauter werdenden Opposition zu teilen, und verlegte die bahnbrechenden ersten freien Wahlen in Ostdeutschland auf März 1990, inmitten wachsender Unruhen. Selbst als die pro-demokratischen Kundgebungen schnell einen Pro-Vereinigungs-Beigeschmack annahmen, hatten sich die Kommunisten zunächst gegen Gespräche über eine Wiedervereinigung ausgesprochen.	yes
In February 1990, however, Modrow urged talks with West Germany toward an eventual "united fatherland" that would be independent of military blocs and governed by a joint parliament in Berlin. Modrow headed the election campaign of the restyled communists, the Party of Democratic Socialism, but his personal popularity was not enough to prevent them finishing as only the third-strongest party, with 16 percent support. The winner was an alliance of conservative parties that favored quick reunification and was backed by the government of West German leader Helmut Kohl.	Im Februar 1990 drängte Modrow jedoch auf Gespräche mit Westdeutschland über ein mögliches "vereintes Vaterland", das unabhängig von Militärblöcken sein und von einem gemeinsamen Parlament in Berlin regiert werden sollte. Modrow leitete den Wahlkampf der umgestalteten Kommunisten, der Partei des Demokratischen Sozialismus, aber seine persönliche Popularität reichte nicht aus, um zu verhindern, dass sie mit 16 Prozent Unterstützung nur drittstärkste Partei wurde. Sieger wurde ein Bündnis konservativer Parteien, die eine schnelle Wiedervereinigung befürworteten und von der Regierung des westdeutschen Regierungschefs Helmut Kohl unterstützt wurden.	no
Germany reunited under Kohl's leadership and as a NATO member on Oct. 3, 1990, less than a year after the fall of the Berlin Wall. Modrow became a member of the united parliament, where he sat until 1994, and honorary chairman of the post-communist PDS - the predecessor of today's opposition Left party. From 1999 to 2004, he was a member of the European Parliament. Modrow's past under hard-line communist rule landed him in court several years after reunification.	Deutschland vereinigte sich unter Kohls Führung und als NATO-Mitglied am 3. Oktober 1990, weniger als ein Jahr nach dem Fall der Berliner Mauer. Modrow wurde Mitglied des vereinigten Parlaments, dem er bis 1994 angehörte, und Ehrenvorsitzender der postkommunistischen PDS - der Vorgängerin der heutigen oppositionellen Linkspartei. Von 1999 bis 2004 war er Mitglied des Europäischen Parlaments. Modrows Vergangenheit unter kommunistischer Hardliner-Herrschaft brachte ihn einige Jahre nach der Wiedervereinigung vor Gericht.	no
In 1995, a court convicted him of inciting the falsification of results in May 1989 local elections in Dresden. It handed him a nine-month suspended sentence and a fine. Modrow claimed that the trial was politically motivated and asserted that its outcome would aggravate divisions between east and west Germans. His attorney argued that he had made amends for previous injustices by overseeing free elections as prime minister.	1995 verurteilte ihn ein Gericht wegen Anstiftung zur Wahlfälschung bei den Kommunalwahlen im Mai 1989 in Dresden. Es verurteilte ihn zu einer neunmonatigen Bewährungsstrafe und einer Geldstrafe. Modrow behauptete, der Prozess sei politisch motiviert und behauptete, dass sein Ausgang die Spaltung zwischen Ost- und Westdeutschen verschärfen würde. Sein Anwalt argumentierte, dass er frühere Ungerechtigkeiten wiedergutgemacht habe, indem er freie Wahlen als Premierminister beaufsichtigt habe.	no
Later in life, Modrow served on the council of elders of the Left party. "Hans was a deeply sincere and combative socialist," tweeted Dietmar Bartsch, the chairman of the Left party parliamentary group. "Until old age he was an important adviser in our party, whose wisdom will be missed."	Später saß Modrow im Ältestenrat der Linkspartei. "Hans war ein zutiefst aufrichtiger und kämpferischer Sozialist", twitterte Dietmar Bartsch, der Vorsitzende der Linksfraktion. "Bis ins hohe Alter war er ein wichtiger Berater in unserer Partei, dessen Weisheit wir vermissen werden."	no
Indian govt withdraws appeal to hug cows on Valentine's Day after criticism	Indische Regierung zieht nach Kritik Appell zurück, Kühe am Valentinstag zu umarmen	yes
Hugging a cow on Valentine's Day is no longer being encouraged by the Indian government - despite it previously asking people to do so to promote Hindu values. The Animal Welfare Board of India (AWBI) retracted its "Cow Hug Day" appeal after it attracted criticism from political rivals and social media users. The Indian government department had called on citizens to deviate from Western romantic gestures celebrated on Valentine's Day.	Eine Kuh am Valentinstag zu umarmen, wird von der indischen Regierung nicht mehr gefördert - obwohl sie die Menschen früher dazu aufgefordert hat, um hinduistische Werte zu fördern. Das Animal Welfare Board of India (AWBI) zog seinen Aufruf zum "Cow Hug Day" zurück, nachdem er Kritik von politischen Rivalen und Social-Media-Nutzern auf sich gezogen hatte. Das indische Regierungsministerium hatte die Bürger aufgefordert, von westlichen romantischen Gesten abzuweichen, die am Valentinstag gefeiert werden.	yes
Nilanjan Mukhopadhyay, a political analyst, said the call to hug cows had been "absolutely crazy, defying logic." He added that the decision to withdraw the appeal was more "to prevent the politics of Hindutva [Hindu nationalism] from being ridiculed in the face of severe criticism from all quarters." The AWBI reneged on its appeal on Friday saying it "stands withdrawn." It was only on Wednesday when its statement read that "hugging cows [would] bring emotional richness and increase individual and collective happiness."	Nilanjan Mukhopadhyay, ein politischer Analyst, sagte, der Aufruf, Kühe zu umarmen, sei "absolut verrückt gewesen und widerspreche der Logik". Er fügte hinzu, dass die Entscheidung, die Berufung zurückzuziehen, eher dazu diene, "zu verhindern, dass die Politik der Hindutva [Hindu-Nationalismus] angesichts heftiger Kritik von allen Seiten lächerlich gemacht wird". Die AWBI lehnte ihren Einspruch am Freitag mit der Begründung ab, dass sie "zurückgezogen" sei. Erst am Mittwoch hieß es in der Erklärung, dass "das Umarmen von Kühen emotionalen Reichtum bringen und das individuelle und kollektive Glück steigern würde".	yes
It added that the cow is the "backbone of Indian culture and rural economy... because of its nourishing nature like [a] mother." There were mixed reactions to the initial announcement as some posted videos of cows rejecting being hugged and charging off. Others wanted to clarify that the appeal was more for following one's own culture, as opposed to "blindly" following Western values.	Er fügte hinzu, dass die Kuh das "Rückgrat der indischen Kultur und der ländlichen Wirtschaft ist ... wegen seiner nährenden Natur wie [eine] Mutter." Es gab gemischte Reaktionen auf die erste Ankündigung, da einige Videos von Kühen posteten, die sich weigerten, umarmt zu werden, und davonstürmten. Andere wollten klarstellen, dass es eher darum ging, der eigenen Kultur zu folgen, als "blind" westlichen Werten zu folgen.	yes
Young Indians typically spend Valentine's Day crowding parks and restaurants, exchanging gifts and holding parties. Cow cuddling is nothing new either - with it being considered therapeutic in parts of the world, and in The Netherlands where it is known as "koe knuffelen." Devout Hindus worship the cow - known as gau mata, or "mother cow" - and most states in India have banned cow slaughter.	Junge Inder verbringen den Valentinstag in der Regel damit, Parks und Restaurants zu bevölkern, Geschenke auszutauschen und Partys zu veranstalten. Kuscheln mit Kühen ist auch nichts Neues - in Teilen der Welt gilt es als therapeutisch und in den Niederlanden, wo es als "Koe Knuffelen" bekannt ist. Gläubige Hindus verehren die Kuh - bekannt als Gau Mata oder "Mutterkuh" - und die meisten Bundesstaaten Indiens haben das Schlachten von Kühen verboten.	no
In recent years, certain Hindu hard-liners have raided shops selling Valentine's Day items, burned cards and gifts, and chased hand-holding couples out of restaurants and parks, insisting that the day goes against traditional values and promotes promiscuity. Hindu nationalist groups such as Shiv Sena and Bajrang Dal have said such raids help reassert a Hindu identity. Critics of Prime Minister Narendra Modi say his government has pushed a Hindu agenda, seeking the religion's supremacy in a secular nation known for its diversity. While Hindus comprise almost 80% of the nearly 1.4 billion people, Muslims, Christians, Sikhs, Buddhists and Jains account for most of the rest.	In den letzten Jahren haben bestimmte hinduistische Hardliner Geschäfte mit Valentinstagsartikeln überfallen, Karten und Geschenke verbrannt und Händchenhaltende Paare aus Restaurants und Parks gejagt, wobei sie darauf bestanden, dass der Tag gegen traditionelle Werte verstößt und Promiskuität fördert. Hindu-nationalistische Gruppen wie Shiv Sena und Bajrang Dal haben erklärt, dass solche Razzien dazu beitragen, eine hinduistische Identität wiederherzustellen. Kritiker von Premierminister Narendra Modi sagen, seine Regierung habe eine hinduistische Agenda vorangetrieben und die Vorherrschaft der Religion in einer säkularen Nation angestrebt, die für ihre Vielfalt bekannt ist. Während Hindus fast 80% der fast 1,4 Milliarden Menschen ausmachen, machen Muslime, Christen, Sikhs, Buddhisten und Jains den größten Teil des Rests aus.	no
Pedestrian dies in hospital after crash with car in Cowdenbeath as man arrested	Fußgänger stirbt im Krankenhaus nach Zusammenstoß mit Auto in Cowdenbeath, als Mann festgenommen wird	yes
A pedestrian has died following a collision with a car in Fife. The 38-year-old female was rushed to Victoria Hospital in Kirkcaldy following the crash on Broad Street in Cowdenbeath on Friday around 1.30pm. A 24-year-old man has subsequently been arrested in connection with the crash. Police are appealing for any witnesses or anyone with dash-cam footage to come forward. Sergeant Lee Walkingshaw said: "Our enquiries are ongoing and we are appealing for anyone who was in the area and who witnessed the crash to get in touch." I would also appeal to anyone who was driving in the area and who may have dash-cam footage which could assist our investigation to contact us. "Anyone who can help is asked to call Police Scotland on 101, quoting incident number 1638 of Friday, February 10, 2023."	Ein Fußgänger ist nach einer Kollision mit einem Auto in Fife gestorben. Die 38-jährige Frau wurde nach dem Unfall auf der Broad Street in Cowdenbeath am Freitag gegen 13.30 Uhr ins Victoria Hospital in Kirkcaldy gebracht. Ein 24-jähriger Mann wurde im Zusammenhang mit dem Absturz festgenommen. Die Polizei bittet Zeugen oder Personen mit Dashcam-Aufnahmen, sich zu melden. Sergeant Lee Walkingshaw sagte: "Unsere Ermittlungen dauern an und wir appellieren an alle, die in der Gegend waren und den Absturz beobachtet haben, sich zu melden." Ich appelliere auch an alle, die in der Gegend gefahren sind und möglicherweise über Dashcam-Aufnahmen verfügen, die unsere Ermittlungen unterstützen könnten, sich mit uns in Verbindung zu setzen. "Jeder, der helfen kann, wird gebeten, die schottische Polizei unter der Nummer 101 anzurufen und die Vorfallnummer 1638 vom Freitag, den 10. Februar 2023, anzugeben."	yes
IN NUMBERS: The Oslo boroughs where the most foreigners live	IN ZAHLEN: Die Osloer Bezirke, in denen die meisten Ausländer leben	yes
Roughly 177,000 of Oslo's 634,000's residents have immigrated to Norway from other countries. When you include those born in Oslo to foreign parents, the proportion of those who are immigrants or have an immigrant background rises to more than a third. In Oslo, citizens from Asia, including Turkey, made up the largest immigrant group, with over 62,985 of these nationals living in the city, according to figures from the national data agency Statistics Norway (SSB). After that, citizens from the EU, EEA and the UK made up the second largest group, accounting for not far off 10 percent of the city's population.	Etwa 177.000 der 634.000 Einwohner Oslos sind aus anderen Ländern nach Norwegen eingewandert. Rechnet man die in Oslo Geborenen ausländischer Eltern hinzu, steigt der Anteil derjenigen, die Einwanderer sind oder einen Migrationshintergrund haben, auf mehr als ein Drittel. In Oslo bildeten Bürger aus Asien, einschließlich der Türkei, die größte Einwanderergruppe: Über 62.985 dieser Staatsangehörigen lebten in der Stadt, wie aus Zahlen der nationalen Datenagentur Statistics Norway (SSB) hervorgeht. Danach bildeten Bürger aus der EU, dem EWR und dem Vereinigten Königreich die zweitgrößte Gruppe und machten nicht weit von 10 Prozent der Stadtbevölkerung aus.	yes
Africans made up the third largest group of immigrants in Oslo, with 28,020 people from Africa living in Oslo. Europeans from countries that aren't part of the UK, EU or EEA were the fourth largest group, accounting for 15,566 Oslo residents. From here, the size of the groups drops significantly. For example, there were just shy of 7,000 citizens from South American countries in 2022, while there was a smidge over 3,000 nationals hailing from North and Central America. Meanwhile, there were less than 700 people from Oceania in Oslo.	Afrikaner bildeten mit 28.020 Menschen aus Afrika, die in Oslo lebten, die drittgrößte Gruppe von Einwanderern in Oslo. Europäer aus Ländern, die nicht Teil des Vereinigten Königreichs, der EU oder des EWR sind, waren mit 15.566 Einwohnern von Oslo die viertgrößte Gruppe. Von hier aus nimmt die Größe der Gruppen deutlich ab. So gab es im Jahr 2022 knapp 7.000 Bürger aus südamerikanischen Ländern, während es nur knapp über 3.000 Staatsangehörige aus Nord- und Mittelamerika gab. Währenddessen waren weniger als 700 Menschen aus Ozeanien in Oslo.	yes
Alna, in the northeast of the city, was the borough with the most foreign residents. Some 18,257 foreign residents were registered as living there in 2022. Afterwards, trendy Grünerløkka, located reasonably centrally, had the second highest number of foreign residents, with 17,631. Gamle Oslo also had a significant immigrant population, with 17,631 people living there after moving from another country.	Alna, im Nordosten der Stadt, war der Stadtteil mit den meisten ausländischen Einwohnern. Im Jahr 2022 waren dort 18.257 Ausländer gemeldet. Danach hatte das trendige Grünerløkka, das einigermaßen zentral gelegen ist, mit 17.631 die zweithöchste Anzahl ausländischer Einwohner. Gamle Oslo hatte auch eine bedeutende Einwandererbevölkerung, mit 17.631 Menschen, die dort lebten, nachdem sie aus einem anderen Land gezogen waren.	no
Statistics Norway's figures showed that foreigners were scattered all over the city's districts, as Søndre Nordstrand, the borough furthest south in Oslo, had over 14,000 immigrants registered there. Many immigrants also lived in sought-after areas, as Frogner was the district with the fifth most foreigners. After that, Stovner, Bjerke, Grorud, Østensjø and Sagene made up the rest of the ten districts in Oslo with the most residents from another country.	Die Zahlen von Statistics Norway zeigten, dass Ausländer über alle Stadtteile verstreut waren, da in Søndre Nordstrand, dem am weitesten südlich gelegenen Stadtteil von Oslo, über 14.000 Einwanderer registriert waren. Viele Zuwanderer lebten auch in begehrten Gegenden, denn Frogner war der Bezirk mit den fünftmeisten Ausländern. Danach bildeten Stovner, Bjerke, Grorud, Østensjø und Sagene den Rest der zehn Bezirke in Oslo mit den meisten Einwohnern aus einem anderen Land.	no
At the other end of the spectrum, just 184 foreign residents called Marka home, and just over 700 lived in the city's central borough. Ullern, Vestre Aker and Nordstrand made up the other boroughs with the fewest foreign residents. However, these boroughs had significantly more immigrants living there than in central Oslo and Marka. Those from EU and EEA countries and those from the United Kingdom mostly lived in Frogner, Grünerløkka, Gamle Oslo and St. Hanshaugen. Meanwhile, while plenty of citizens from Asia, including Turkey, also resided in Game Oslo (5,837), the majority were registered as living in the boroughs of Alna, Stovner and Søndre Nordstrand.	Am anderen Ende des Spektrums nannten nur 184 ausländische Einwohner Marka ihr Zuhause, und etwas mehr als 700 lebten im zentralen Stadtteil der Stadt. Ullern, Vestre Aker und Nordstrand bildeten die anderen Bezirke mit den wenigsten ausländischen Einwohnern. Allerdings lebten in diesen Bezirken deutlich mehr Einwanderer als im Zentrum von Oslo und Marka. Diejenigen aus EU- und EWR-Ländern sowie solche aus dem Vereinigten Königreich lebten hauptsächlich in Frogner, Grünerløkka, Gamle Oslo und St. Hanshaugen. Während viele Bürger aus Asien, einschließlich der Türkei, ebenfalls in Game Oslo wohnten (5.837), war die Mehrheit in den Bezirken Alna, Stovner und Søndre Nordstrand gemeldet.	no
Gamle Oslo and Alna were the two parts of the city where the largest number of immigrants from Africa lived, along with Stovner, Grünerløkka and Søndre Norstrand. Those from North America were spread fairly evenly across Frogner, Grünerløkka, Gamle Oslo, Vestre Aker and Nordre Aker. Citizens from South and Central America were most commonly found in Frogner, Grünerløkka, Gamle Oslo St.Hanshaugen and Sagene. Europeans from outside the EU, EEA and UK tended to live in the town's most central borough, Ullern, Vestre Aker, Nordre Aker and Stovner. And finally, of the several hundred nationals from Oceania, Frogner, Grünerløkka and Gamle Oslo were the boroughs with the highest populations of these nationals.	Gamle Oslo und Alna waren die beiden Stadtteile, in denen neben Stovner, Grünerløkka und Søndre Norstrand die meisten Einwanderer aus Afrika lebten. Die aus Nordamerika verteilten sich ziemlich gleichmäßig auf Frogner, Grünerløkka, Gamle Oslo, Vestre Aker und Nordre Aker. Bürger aus Süd- und Mittelamerika waren am häufigsten in Frogner, Grünerløkka, Gamle, Oslo, St.Hanshaugen und Sagene zu finden. Europäer von außerhalb der EU, des EWR und des Vereinigten Königreichs lebten in der Regel in den zentralsten Bezirken der Stadt, Ullern, Vestre Aker, Nordre Aker und Stovner. Und schließlich waren von den mehreren hundert Staatsangehörigen aus Ozeanien Frogner, Grünerløkka und Gamle Oslo die Bezirke mit der höchsten Bevölkerungszahl dieser Staatsangehörigen.	no
Zimbabwe to Start Operating New Coal Power Unit by March	Simbabwe will neues Kohlekraftwerk bis März in Betrieb nehmen	yes
BENGALURU (Reuters) - Zimbabwe will start operating a new unit at its only coal-fired power plant by March, says the country's deputy energy minister, providing relief to millions of citizens rocked by frequent power outages in recent months. The new unit of the Hwange power plant will lift the African nation's installed capacity by more than 14% to 2400 megawatts. The next unit is expected to be commissioned soon after, Magna Mudyiwa said, without giving a timeline.	BENGALURU (Reuters) - Simbabwe wird nach Angaben des stellvertretenden Energieministers des Landes bis März einen neuen Block in seinem einzigen Kohlekraftwerk in Betrieb nehmen und damit Millionen von Bürgern entlasten, die in den letzten Monaten von häufigen Stromausfällen erschüttert wurden. Der neue Block des Kraftwerks Hwange wird die installierte Leistung des afrikanischen Landes um mehr als 14 % auf 2400 Megawatt erhöhen. Die nächste Einheit soll bald in Betrieb genommen werden, sagte Magna Mudyiwa, ohne einen Zeitplan zu nennen.	yes
Less than half of Zimbabwe's 16 million citizens have access to electricity, and a global squeeze on funding new coal-fired capacity has limited the country's ability to plug chronic power cuts that have lasted as long as 18 hours in recent days. "We have the capacity to generate up to 2100 megawatts (MW) from our power sources but at the moment we're generating far less than that..about 1000MW," Mudyiwa told Reuters. "But our demand for electricity is about 1700MW so we have a serious deficit," she said. Deficient rainfall has led to a decline in hydropower generation, while the efficiency of the sole, decades-old coal-fired utility has dipped sharply over time while power demand has surged in recent years due to higher mining and agricultural activity. The International Monetary Fund counts electricity shortages as one of the major factors weighing on Zimbabwe's growth prospects. Lack of funding for coal-fired power is driving the mining and agriculture-dependent economy to import costly power from regional neighbors including Zambia and Mozambique.	Weniger als die Hälfte der 16 Millionen Einwohner Simbabwes hat Zugang zu Elektrizität, und ein weltweiter Druck bei der Finanzierung neuer Kohlekraftwerke hat die Fähigkeit des Landes eingeschränkt, chronische Stromausfälle zu stopfen, die in den letzten Tagen bis zu 18 Stunden gedauert haben. "Wir haben die Kapazität, bis zu 2100 Megawatt (MW) aus unseren Stromquellen zu erzeugen, aber im Moment erzeugen wir weit weniger. etwa 1000 MW", sagte Mudyiwa gegenüber Reuters. "Aber unser Strombedarf liegt bei etwa 1700 MW, so dass wir ein ernsthaftes Defizit haben", sagte sie. Mangelhafte Niederschläge haben zu einem Rückgang der Wasserkrafterzeugung geführt, während die Effizienz des einzigen, jahrzehntealten Kohleversorgers im Laufe der Zeit stark gesunken ist, während die Stromnachfrage in den letzten Jahren aufgrund höherer Bergbau- und landwirtschaftlicher Aktivitäten sprunghaft angestiegen ist. Der Internationale Währungsfonds zählt die Stromknappheit zu den Hauptfaktoren, die die Wachstumsaussichten Simbabwes belasten. Mangelnde Finanzierung für Kohlekraftwerke treibt die vom Bergbau und der Landwirtschaft abhängige Wirtschaft dazu, kostspieligen Strom aus regionalen Nachbarn wie Sambia und Mosambik zu importieren.	yes
The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.	Die gehackte Version von Jedi Knight stürzte ab, weil sie eine Funktion am Ende einer vtable aufrief.	yes
Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.	Es stellte sich heraus, dass davon ausgegangen wurde, dass der Aufruf von IDirect3D::CreateViewport() einen IDirect3DViewport3 zurückgeben würde, der im Vergleich zu einem IDirect3DViewport, der im Vergleich zu einem IDirect3DViewport, den ich implementiert habe, zusätzliche Methoden an das Ende angeheftet hat.	yes
To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.	Für mich ist dies eine ziemlich große Annahme, da der Viewport nur mit einem Direct3D-Objekt und nicht mit einem Direct3D3-Objekt erstellt wird.	yes
Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end. But this is not universally true; for those cases it matters what interface you are using to create the object in question.	Jetzt verstehe ich, dass IDirectXObject2 in der Praxis normalerweise eine richtige Obermenge von IDirectXObject ist, ohne geänderte Funktionssignaturen und neue Methoden, die nur am Ende hinzugefügt werden. Aber das ist nicht universell wahr; In diesen Fällen spielt es eine Rolle, welche Schnittstelle Sie verwenden, um das betreffende Objekt zu erstellen.	yes
So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.	Wie auch immer, da es hier zutrifft, musste ich, um es zu beheben, meine Viewport-Implementierung erweitern, um die IDirect3DViewport3-Methoden zu enthalten, damit der Aufruf der neuen gültig war.	yes
Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support. Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.	Nehmen wir an, dass die Wissenschaft zumindest teilweise aus Listen objektiv sachlicher Aussagen über die Welt besteht, die unabhängig von jeder Theorie, die sie stützen könnten, wahr sind. Selbst wenn es stimmt, dass es solche Fakten in der Wissenschaft gibt, ist es immer noch möglich zu argumentieren, dass wissenschaftliche Fakten theoriebeladen sind.	yes
Scientific facts result from experiments. The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered. Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.	Wissenschaftliche Fakten ergeben sich aus Experimenten. Die Experimente erzeugen nicht die Fakten auf dieser Lektüre, sondern die Wahl, welche Experimente durchgeführt werden sollen, kontrolliert, welche Fakten entdeckt werden. Manche Fakten, z.B. über subatomare Teilchen, können sich nur aus Experimenten ergeben, die selbst nur im Kapitalismus möglich sind, weil sie zu viele Ressourcen, zu viel Organisation, zu viel Zwang erfordern, um sie anders durchzuziehen.	yes
This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts. It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.	Dies ist eine sehr kurze Skizze eines plausiblen Arguments, dass Theorien des Kapitalismus, die den tatsächlichen Inhalt der Wissenschaft beeinflussen, mit Theorien übereinstimmen, die die Existenz objektiver wissenschaftlicher Fakten behaupten. Es ist *kein* Argument für die Existenz objektiver wissenschaftlicher Fakten, an die ich nicht glaube.	yes
Going to be my first project car.	Es wird mein erstes Projektfahrzeug sein.	yes
Picking this up this weekend. I was looking for a good first car guy car; and I really love the 80s aesthetic. Already on coil overs and lowered ride height. I've done a little research but I would love if anyone has any info about this car. Personal experiences? I know they're not fast compared	Ich greife das an diesem Wochenende auf. Ich war auf der Suche nach einem guten ersten Auto; und ich liebe die Ästhetik der 80er Jahre. Bereits bei Gewindefahrwerken und abgesenkter Fahrhöhe. Ich habe ein wenig recherchiert, aber ich würde mich freuen, wenn jemand Informationen zu diesem Auto hat. Persönliche Erfahrungen? Ich weiß, dass sie im Vergleich nicht schnell sind	yes
#Venting into the Fediverse time. The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub. When we went to check out, the cashier is a fairly obvious #trans woman. Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as "making me look like a neo-nazi". Her body immediately stiffened and there was this look of fear in her eyes.	#Venting in die Fediverse Zeit. Der Lebenspartner und ich gingen heute Abend in den Spirituosenladen, um ein paar Bier und eine Flasche Bub zu trinken. Als wir zur Kasse gingen, war die Kassiererin eine ziemlich offensichtliche #trans Frau. Ich, in Boardshorts und einem Frauenschläger, und The Domestic Partner, alle zerfetzt und mit einem neuen Haarschnitt, den er selbst als "mich wie einen Neonazi aussehen lassen" bezeichnete. Ihr Körper versteifte sich sofort und in ihren Augen war dieser Ausdruck der Angst.	yes
And then we just... paid for our stuff. And said thank you. And I said her nails looked cool. The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.	Und dann haben wir einfach... bezahlt für unsere Sachen. Und bedankte sich. Und ich sagte, ihre Nägel sähen cool aus. Das Lächeln der Erleichterung auf ihrem Gesicht war ein tolles Gefühl, aber die Tatsache, dass sie zuerst Angst hatte, FUCKING SUCKS AND I HATE IT.	yes
This is the stupidest timeline and I hate it dot com.	Dies ist die dümmste Zeitleiste und ich hasse sie dot com.	yes
Nothing stops Donald Trump from running for president while under indictment, after being convicted, or even from within a prison cell. If elected, he would undoubtedly pardon himself to get out of prison.	Nichts hindert Donald Trump daran, für das Präsidentenamt zu kandidieren, während er unter Anklage, nach einer Verurteilung oder sogar aus einer Gefängniszelle heraus steht. Sollte er gewählt werden, würde er sich zweifellos selbst begnadigen, um aus dem Gefängnis zu kommen.	yes
But he can't pardon himself out of state prison. It takes the state's governor. The two states involved are New York and Georgia. The latter's Governor Kemp will undoubtedly pardon Trump if convicted or even indicted by Fulton County DA Fannie Willis. NY is the best hope for accountability	Aber er kann sich aus dem Staatsgefängnis nicht begnadigen. Es braucht den Gouverneur des Staates. Die beiden beteiligten Staaten sind New York und Georgia. Dessen Gouverneur Kemp wird Trump zweifellos begnadigen, wenn er von Fannie Willis, der Staatsanwältin von Fulton County, verurteilt oder sogar angeklagt wird. New York ist die beste Hoffnung auf Rechenschaftspflicht	yes
